cn.bingoogolapple	bga-okvolley	1.0.0		N/A
cn.sexycode	springo-docs	0.0.1		42206dc377ba95a49863db120462c7afad701a7a
com.alibaba.otter	connector.tcp	1.1.7		1a407ca4cd2c8a76a1577863539b2dd0292b1f08
com.alibaba.otter	connector.tcp	1.1.7	jar-with-dependencies	d5f326273496c35281a22d1b763254b88c1cb516
com.alibaba.otter	connector.tcp	1.1.8		3d397c932aed4837859c780325d66bceda359952
com.alibaba.otter	connector.tcp	1.1.8	jar-with-dependencies	b47a6559833d525f76a21a7e5949d945dd418366
com.antgroup.tugraph	tugraph-db-ogm-test	1.1.0		149bbe259a32483706e4f551abfef67c809fd559
com.antgroup.tugraph	tugraph-db-ogm-test	1.1.1		36cc818b511bb6f891f56b8492c9cc1dced875b2
com.antgroup.tugraph	tugraph-db-ogm-test	1.2.0		2c2c9e9c64b5971521e75b429b72ebcee41b086e
com.antgroup.tugraph	tugraph-db-ogm-test	1.2.1		680ac1c3f23540a3f1cf11f62223f132593ae19e
com.antgroup.tugraph	tugraph-db-ogm-test	1.2.2		c0a630e4764ecf3f99a2bda28441b46613bd6615
com.antgroup.tugraph	tugraph-db-ogm-test	1.3.0		7de9275a6825733a46023c73808c35ba23be31c6
com.antgroup.tugraph	tugraph-db-ogm-test	1.3.1		6be83dac182c1c30d938ec2063bf4a2402e14548
com.antgroup.tugraph	tugraph-db-ogm-test	1.3.2		1a25ceec258c19a959e11f05fa07da5c500c26e8
com.antgroup.tugraph	tugraph-db-ogm-test	1.3.2-snapshot		960d7c26afc1adeb4ab3cddf6bbbf32c08fd30d6
com.antgroup.tugraph	tugraph-db-ogm-test	1.4.0		13678c8e041b98b3fe3c6e6ab9d1a2f7cff4a4f0
com.antgroup.tugraph	tugraph-db-ogm-test	1.4.1		b07e5156db72a5c48abe863dd43a79ec78fe6fd4
com.antgroup.tugraph	tugraph-db-ogm-test	1.4.2		4f0496c450bc3179db3bbd67c92e7784e1954fc5
com.attafitamim.mtproto	client-api-android	3.0.3-alpha07		N/A
com.attafitamim.mtproto	client-api-android	3.0.3-alpha08		N/A
com.attafitamim.mtproto	client-api-android	3.0.3-alpha09		N/A
com.attafitamim.mtproto	client-api-android	3.0.3-alpha10		N/A
com.attafitamim.mtproto	client-api-android	3.0.3-alpha11		N/A
com.attafitamim.mtproto	client-api-android	3.0.3-alpha12		N/A
com.attafitamim.mtproto	client-api-android	3.0.3-alpha13		N/A
com.attafitamim.mtproto	client-api-android	3.0.3-alpha14		N/A
com.attafitamim.mtproto	client-api-android	3.0.3-alpha15		N/A
com.attafitamim.mtproto	client-api-android	3.0.3-alpha16		N/A
com.attafitamim.mtproto	client-api-android	3.0.3-alpha17		N/A
com.attafitamim.mtproto	client-api-android	3.0.3-alpha18		N/A
com.attafitamim.mtproto	client-api-android	3.0.3-alpha19		N/A
com.attafitamim.mtproto	client-api-android	3.0.3-kotlin19-alpha10		N/A
com.attafitamim.mtproto	client-api-android	3.0.3-kotlin19-alpha11		N/A
com.dinstone.focus	focus-transport	0.9.9		N/A
com.dinstone.focus	focus-transport	1.0.0		N/A
com.dinstone.focus	focus-transport	1.1.0		N/A
com.dinstone.focus	focus-transport	1.2.0		N/A
com.dinstone.focus	focus-transport	1.3.0		N/A
com.dinstone.focus	focus-transport	1.4.0		N/A
com.dinstone.focus	focus-transport	1.4.1		N/A
com.easy-query	sql-test	0.0.10		713b74f312e0064bdfa349ba0fe89676db6eda70
com.easy-query	sql-test	0.0.11		0d1fce36d74c967343240fda497636a8648d1c67
com.easy-query	sql-test	0.0.52		c1806c87883bb83f10987cf5192cea5055cdb4e1
com.easy-query	sql-test	0.8.12		7d7dc63f1967e64222f9273a891fbae19e06ae00
com.easy-query	sql-test	0.9.58		fb0f36878ca2553579f04464314f62aa0bd69282
com.easy-query	sql-test	1.9.6		000891973f60b23dd259bc05a83061e0aea0bd9e
com.easy-query	sql-test	2.0.101		ebaf968536aa3fc1b2e167bc0321e7cdf7d0a0ff
com.easy-query	sql-test	2.2.0		7b06714c0f636c4d414ddb9f9f3f83f9107cd01d
com.easy-query	sql-test	2.7.4		005f4acf4ead7b71d5e600b13752c170f0a4c8fa
com.easy-query	sql-test	2.8.11		461f197b866cd8fb46372a4756559ffa250e315d
com.epam.reportportal	agent-java-karate	5.0.0		b8b9a2748a714830f83ae13f94216d0155de45a6
com.epam.reportportal	agent-java-karate	5.0.2		b7aa17e150764560cf73942eb7367faf57ff70c6
com.epam.reportportal	agent-java-karate	5.0.3		dea8437a10cf7a7db5ee322ae181f72f3c340cda
com.epam.reportportal	agent-java-karate	5.0.4		3ed2e2d29a076f504c0b58e210c6a3a6f859eab0
com.epam.reportportal	agent-java-karate	5.0.5		86a5a1f2a42628ac11722ecc3dff275ef8c76b61
com.epam.reportportal	agent-java-karate	5.1.0		6673708af854846177c621f4d00a5b31bff9ca87
com.epam.reportportal	agent-java-karate	5.1.1		5b38059b265476b7ee32bccdbef57ec4cc3ff579
com.epam.reportportal	agent-java-karate	5.1.2		882d19bccad00bd04927afca3cd93bedca789864
com.epam.reportportal	agent-java-karate	5.1.3		0cf05aaceb681cdce388390663266eb4f7e6e446
com.github.lstephen	basepom-scala	1.15		N/A
com.github.lstephen	basepom-scala	1.16		N/A
com.github.lstephen	basepom-scala	1.17		N/A
com.github.thorbenkuck	keller-events	1.0		bfed21442352f5b9b76e886ad52d26911901f7b6
com.github.vladislavsevruk	recursive-assertion-junit5	1.0.0		d600fa7bfd67814195ee2d98e33be138588de698
com.github.vladislavsevruk	recursive-assertion-junit5	1.0.1		1fc6ae509ef32a720345f822211f54bbb13fbea0
com.github.xionghuicoder	clearpool	1.0.0		e212f6aed353792b60e7d2cf7a15a13d1fb36b9b
com.google.apis	google-api-services-sheets	v4-rev1-1.18.0-rc		1e34db3feead7db39fd6f4c378274f16ce326387
com.google.apis	google-api-services-sheets	v4-rev1-1.20.0		5b7f6428fbedd8c83ce8a5d078a0343dbbba2403
com.google.apis	google-api-services-sheets	v4-rev1-1.21.0		0ac995059d45284977dfb505e44df0876da1f607
com.google.apis	google-api-services-sheets	v4-rev1-1.22.0		1754672f995747c85a570ac30d36ca27530b3703
com.google.apis	google-api-services-sheets	v4-rev10-1.18.0-rc		91903adfd6ce0399d8f8f23dd5ecff14895c6ac8
com.google.apis	google-api-services-sheets	v4-rev10-1.20.0		aa88290ea0099792e053f3e1a242110619bd786b
com.google.apis	google-api-services-sheets	v4-rev10-1.21.0		95d063ca9846b6b5cb9b77189c689b0979d7663d
com.google.apis	google-api-services-sheets	v4-rev10-1.22.0		5d6a09770b10601dd15680aa28e002ca3372f6df
com.google.apis	google-api-services-sheets	v4-rev103-1.18.0-rc		170445e388b6fad336ace56389883103bbd3f5d9
com.google.apis	google-api-services-sheets	v4-rev103-1.20.0		04fbbcb75037deeb3c4f1e31bf09a4e88e241f5b
com.google.apis	google-api-services-sheets	v4-rev103-1.21.0		baf4c2b0be0be54abd85a68dc50f723c1bb56e98
com.google.apis	google-api-services-sheets	v4-rev103-1.22.0		169713d6da945ae6aacff58f31f765bcd5815d8b
com.google.apis	google-api-services-sheets	v4-rev108-1.18.0-rc		e35e9f708bd329b22ea6a5a786ef0ada369cf3a3
com.google.apis	google-api-services-sheets	v4-rev108-1.20.0		8ad973fef0df683661a99f36f83ead2062ab5188
com.google.apis	google-api-services-sheets	v4-rev108-1.21.0		ad13d7177b6a79540edb48acd72a84122c571e88
com.google.apis	google-api-services-sheets	v4-rev108-1.22.0		b3ae227b57d1cdfac085cefdcff03c9d883a2e1e
com.google.apis	google-api-services-sheets	v4-rev11-1.18.0-rc		b72ad66a2eedb04db6bc5a4bcaa47cdabac2e523
com.google.apis	google-api-services-sheets	v4-rev11-1.20.0		0bb00bac4bc66b9703974eaf3379fe4e65d4a4c3
com.google.apis	google-api-services-sheets	v4-rev11-1.21.0		2f291ae2ad477e57291e1a99a91bfecdda0727f2
com.google.apis	google-api-services-sheets	v4-rev11-1.22.0		e336cf6c6be389f0b6b1087fed708838e8def886
com.google.apis	google-api-services-sheets	v4-rev12-1.18.0-rc		aaa472e7d4f426fe51ea1485d522603c132d259f
com.google.apis	google-api-services-sheets	v4-rev12-1.20.0		ef9329e0342c25eb822ca86e9bdb5728961c798b
com.google.apis	google-api-services-sheets	v4-rev12-1.21.0		30cd73fb1a93144bf9a991e76f25f8d406d3c261
com.google.apis	google-api-services-sheets	v4-rev12-1.22.0		bf3563e82eb7a92c9c214a0bd77ecceebe2149b2
com.google.apis	google-api-services-sheets	v4-rev127-1.18.0-rc		03844a6b0c9c1e2db3d83e09413636ef077cef1b
com.google.apis	google-api-services-sheets	v4-rev13-1.18.0-rc		b76c63128de26ea43933bdb4f16b5113b5b0ed24
com.google.apis	google-api-services-sheets	v4-rev13-1.20.0		82d35d9a8efd9af3fce80025ba7e741ba6cd25c0
com.google.apis	google-api-services-sheets	v4-rev13-1.21.0		34f488fcfee6246796d6aae65b35b551781cfa76
com.google.apis	google-api-services-sheets	v4-rev13-1.22.0		03d65b6e919b9eae7c3e9a99435b9e6cd5e62e77
com.google.apis	google-api-services-sheets	v4-rev14-1.18.0-rc		946fe3b68f3a389b35e3cce52f11fc0e1dbf0625
com.google.apis	google-api-services-sheets	v4-rev14-1.20.0		6e16ce854af4916f2995037711bbdb2d1fd21278
com.google.apis	google-api-services-sheets	v4-rev14-1.21.0		8750626b3d7c15a1b8e882115dc91d466dca5dd2
com.google.apis	google-api-services-sheets	v4-rev14-1.22.0		bd3a284db317475ce54c6de7844d1d6fd6c98a1c
com.google.apis	google-api-services-sheets	v4-rev15-1.18.0-rc		b53e4acf0aa5a9a9f0bce41c044dadfc57654388
com.google.apis	google-api-services-sheets	v4-rev15-1.20.0		b32d439f6e51b9f7f7b364d90db4b95984b2d6ef
com.google.apis	google-api-services-sheets	v4-rev15-1.21.0		13fc22192311c7335697e935370d672620f03eb6
com.google.apis	google-api-services-sheets	v4-rev15-1.22.0		994e9f81074656c703b19d01ae3fe4124e9ec016
com.google.apis	google-api-services-sheets	v4-rev16-1.18.0-rc		0276e253e6bfeb64b90ca2bd5c49bb2695e836d6
com.google.apis	google-api-services-sheets	v4-rev16-1.20.0		37b992b1555225a32e355348e67c0405e3699202
com.google.apis	google-api-services-sheets	v4-rev16-1.21.0		357a9c475080d1031d9126da4633ff1b6258e1eb
com.google.apis	google-api-services-sheets	v4-rev16-1.22.0		0a1762f9c70680e682f48347d29a3ab416ed6405
com.google.apis	google-api-services-sheets	v4-rev17-1.18.0-rc		788207bc431b4fd3a6751028b7b52fb76cba368d
com.google.apis	google-api-services-sheets	v4-rev17-1.20.0		72397069c16d78314d7ded5bdce540d394c08967
com.google.apis	google-api-services-sheets	v4-rev17-1.21.0		d7e615f563c06bf1ddae7beb5831171f75cb971e
com.google.apis	google-api-services-sheets	v4-rev17-1.22.0		a2d9e5ba7df7adb2c8b46d4d22cab78a00c5e078
com.google.apis	google-api-services-sheets	v4-rev18-1.18.0-rc		a50edc2610010c868ef1899453f7eb7d0a8eb9e7
com.google.apis	google-api-services-sheets	v4-rev18-1.20.0		b3e34a1df386e398d5fa1ad2eac3c13988e86ce0
com.google.apis	google-api-services-sheets	v4-rev18-1.21.0		11593f060fbb984111ff17190e6987edcd3a2289
com.google.apis	google-api-services-sheets	v4-rev18-1.22.0		63adb171f61c06322e2026faf0db70ac08d61752
com.google.apis	google-api-services-sheets	v4-rev19-1.18.0-rc		e433616cf912329e2f71095b8e4c9ca8dad889eb
com.google.apis	google-api-services-sheets	v4-rev19-1.20.0		54d84bcdbbfe46d91b4ffe603699f3836bf883db
com.google.apis	google-api-services-sheets	v4-rev19-1.21.0		f0db76d78b461e53e189c882944e55635adeecab
com.google.apis	google-api-services-sheets	v4-rev19-1.22.0		625925a668039834ebdaa48a9d13239a9625f5bd
com.google.apis	google-api-services-sheets	v4-rev2-1.18.0-rc		3d4d934693b54ed4148d7de3fa47c86273433777
com.google.apis	google-api-services-sheets	v4-rev2-1.20.0		c3038456a18877db57343856faffe8086b3cc6dc
com.google.apis	google-api-services-sheets	v4-rev2-1.21.0		726d26d060b6edbbe282d4f03d29a3eda95cfc24
com.google.apis	google-api-services-sheets	v4-rev2-1.22.0		1eca6c67d9e17d4925836392bce5ba92e788f545
