app.moviebase	kotlin-express	1.5.0		N/A
ch.ethz.inf.vs	cf-rd	0.18.7-final		299fe2d716040e8b00bc2d646036ce24fd002223
cn.bee-cloud	beecloud-service-base	6.1.0		90e78ed2cadbfbabbbd67ea2339665659aae62f2
cn.bee-cloud	beecloud-service-base	6.1.1		4382760f2f56aa9af12a308c46de9047e2630368
cn.bee-cloud	beecloud-service-base	6.1.10		fee9b74fc2324deec05358228d2b944711ee625d
cn.bee-cloud	beecloud-service-base	6.1.10a		7432315f4db3b511c09fe2c57c0035109b10249a
cn.bee-cloud	beecloud-service-base	6.1.10b		759e5cdbdf037ad69c0ac515788ffe9d7cab4c63
cn.bee-cloud	beecloud-service-base	6.1.10d		19b0dab8b80e171a5b12d7f3f20bc0f800afdfe9
cn.bee-cloud	beecloud-service-base	6.1.10e		9815f1824fee302199b40e6915db70789169f890
cn.bee-cloud	beecloud-service-base	6.1.10f		fd634fcb337c31d82d61097006c585a0de462289
cn.bee-cloud	beecloud-service-base	6.1.10g		5cd69555adaf4707c42abb978dc0056b36670150
cn.bee-cloud	beecloud-service-base	6.1.10h		339f11628b54c89743c985513cd676c78ee6d62b
cn.bee-cloud	beecloud-service-base	6.1.10i		9395cbe5aa95034c7c4382066f29405378e2b3fb
cn.bee-cloud	beecloud-service-base	6.1.11		ad6331954e9235370d5f1b89f0d56be2ab705450
cn.bee-cloud	beecloud-service-base	6.1.11a		1eef0f49d75e0029ff0b90420966e3ce755112d0
cn.bee-cloud	beecloud-service-base	6.1.11b		730513f851fd3a97365d8b2bddeb72bc76d15a89
cn.bee-cloud	beecloud-service-base	6.1.11c		3259057d83650e7eb25844dbff408610421f2f4d
cn.bee-cloud	beecloud-service-base	6.1.11d		5a199314b056c72e1eeb4ebd263baf8672df35f7
cn.bee-cloud	beecloud-service-base	6.1.11e		ad43c46cb6be4d72f9e38a5f44a67ac32e0e969b
cn.bee-cloud	beecloud-service-base	6.1.11f		a69dcf6beb67a6349a5429fee59a0186f3634f54
cn.bee-cloud	beecloud-service-base	6.1.11g		34bc5d52cedd14a587ffa35ffb09bd9464fca4bd
cn.bee-cloud	beecloud-service-base	6.1.12		fcafe0b3c9d27e8ac11cf7d00137c7d097db2059
