ca.weblite	PanelMatic	0.9.9		220b1d7cc79ee720dc01066134da82051e0bafe0
cn.mybatis-mp	mybatis-mp-sql-core	1.0.0		0553eec3a292ea781d01b18c064a61468f26b99c
cn.mybatis-mp	mybatis-mp-sql-core	1.0.1		088e3f7644b85eb32cdab585ad6c89d896d3170d
cn.mybatis-mp	mybatis-mp-sql-core	1.0.2		c1513a9cd95586eb48505a8599e27516f7032b48
cn.mybatis-mp	mybatis-mp-sql-core	1.0.3		895182f9057dd1561c0c521ae64e72bca805b0bb
cn.mybatis-mp	mybatis-mp-sql-core	1.0.4		ddb137038e8b681390015f97ad4d64756743f385
cn.mybatis-mp	mybatis-mp-sql-core	1.0.5		4cd0c9d90d8e61d570338e4e3a3946300b24cc45
cn.mybatis-mp	mybatis-mp-sql-core	1.0.6		bd868a4adb206b3c1ddc69a718efddfd1cb2c86d
cn.mybatis-mp	mybatis-mp-sql-core	1.0.7		2746d0a4250806cf5901a23f195bc6a8472c65cf
cn.mybatis-mp	mybatis-mp-sql-core	1.0.8		c652c039eb27083cfaec664a7e2c485623c366a8
cn.mybatis-mp	mybatis-mp-sql-core	1.0.9		18bfe685b0efdbee7fb10b0aab2a241f2579d451
cn.mybatis-mp	mybatis-mp-sql-core	1.1.0		91a40fd52d46a6af21735b2e15090693c4b7f07e
cn.mybatis-mp	mybatis-mp-sql-core	1.1.1		69e6369916e6b7b5db2cbfea3d7bfda2644bab66
cn.mybatis-mp	mybatis-mp-sql-core	1.1.2		e98347679230206c155e91a5eb832dc8c03c5be6
cn.mybatis-mp	mybatis-mp-sql-core	1.1.3		7ff4465415c432f6b0ea36e4385de5d906133220
com.adobe.aam	metrics-opentsdb	1.0.0		9fdec6587a8f74e27a9da91694621b5d813f04d0
com.adobe.aam	metrics-opentsdb	1.0.1		07c5f25ade172e0f2cc66244bc79a10880b08088
com.adobe.aam	metrics-opentsdb	1.0.2		95ee5bab12544482415e0af24c082c6238755f87
com.adobe.aam	metrics-opentsdb	1.0.3		2a50995a25a227800dda59c722a63415f4f494bd
com.alibaba.blink	flink-mapr-fs	1.5.1		54eaa7b40aa64b97429e6dc2cb51f05d8af82130
com.alibaba.blink	flink-mapr-fs	blink-3.2.0		4259945db6521a1446d98b1465ab939c2f0cf3a1
com.alibaba.blink	flink-mapr-fs	blink-3.2.1		72fdb0c7aaa5c7b2499def945a18701c7e05e3ba
com.alibaba.blink	flink-mapr-fs	blink-3.2.2		84f56c53b56d07168755d45a1e4e01d9fdd6c908
com.alibaba.blink	flink-mapr-fs	blink-3.2.3		fdad1e4061a80c839ebc46ea65915cfdd3fb5c3a
com.alibaba.blink	flink-mapr-fs	blink-3.2.4		cc2d6500c106782036f2a113e457b90f39a4b7bd
com.alibaba.blink	flink-mapr-fs	blink-3.3.0		8c92c6b4676786e11c197b8eaccb47bac8888832
com.alibaba.blink	flink-mapr-fs	blink-3.4.0		2be642a52aa715cedbfc9af0467450495875f847
com.alibaba.blink	flink-mapr-fs	blink-3.6.8		79e741556660112af15edb0fa151832fa3ae9f23
com.alibaba.blink	flink-mapr-fs	blink-3.7.0		e69e3a3dea833626305b373f8b32efa8c02c259c
com.aptoide.pt	controller-detector	1.0.0		N/A
com.dukescript.archetype	knockout4j-archetype	0.10		1187c993c7855420b3c4dc934ef09304815e12e5
com.dukescript.archetype	knockout4j-archetype	0.11		478f171da3c4e4f8b678e19f5238304f65503f46
com.dukescript.archetype	knockout4j-archetype	0.12		3602ac52533d83f16f9cd1f1da21bedba6200810
com.dukescript.archetype	knockout4j-archetype	0.13		a0c2cc86d2f9f3b11f12c46634a69e6918ed6968
com.dukescript.archetype	knockout4j-archetype	0.14		7c88008a0cf53c91563cd36a65fd2fcc0781ec95
com.dukescript.archetype	knockout4j-archetype	0.15		094037377a76c7aa7bf63ffa309bfc30656ff878
com.dukescript.archetype	knockout4j-archetype	0.16		cf599d03312dbde984e3a40b4f09046c36ce3a56
com.dukescript.archetype	knockout4j-archetype	0.17		60c81c80d2e556e7efb90b6bb5ed363c55ddcad1
com.dukescript.archetype	knockout4j-archetype	0.18		c71bddebac00caee19d5005a3e8eaf5d9880cb4b
com.dukescript.archetype	knockout4j-archetype	0.20		4e7be280975c71444598a2f991001846968fdf63
com.dukescript.archetype	knockout4j-archetype	0.21		d8e8e9e609be5e419ea2b7826da587c0357e1778
com.dukescript.archetype	knockout4j-archetype	0.22		267116fb38d47478f1edfc2c0f11e6a66368b71f
com.dukescript.archetype	knockout4j-archetype	0.23		32e954c1fc803a571e0a1ad6c2997405ffd3ec00
com.dukescript.archetype	knockout4j-archetype	0.24		bf36a6e1bdd7113e867f497b51069c5b22b4144f
com.dukescript.archetype	knockout4j-archetype	0.25		6bc8ea7456a946e02d9f862309bce1aec9084abc
com.dukescript.archetype	knockout4j-archetype	0.26		6ba36e5ff1717e7cb36e1c02f64d6b6e4e6fea89
com.dukescript.archetype	knockout4j-archetype	0.27		1e7d32a4159bd452aa7ae75b0ff993b77e480130
com.dukescript.archetype	knockout4j-archetype	0.28		7f6bbb16c638c0f3dd95c6b7f0de265023689289
com.dukescript.archetype	knockout4j-archetype	0.29		7d489367c0aad19e473f978e4df3bd236eae61b5
com.dukescript.archetype	knockout4j-archetype	0.30		5d34d7444aa03440fc00a631832bccfb06963510
com.dukescript.archetype	knockout4j-archetype	0.31		e9a26bd6db58d4b7db82e16ec9a1dcb6340ae09d
com.dukescript.archetype	knockout4j-archetype	0.32		fd81a2b4d47058018f477660ff6e9abffb278f8b
com.dukescript.archetype	knockout4j-archetype	0.33		40462a68f7c267eaebe9a214ea6574a22f1914b9
com.dukescript.archetype	knockout4j-archetype	0.7		458e43e9792cfb2fe607336bbf22ce0daa9ab575
com.dukescript.archetype	knockout4j-archetype	0.8		aba514a6642ee11fd970082cc168b91a1f09ea1d
com.dukescript.archetype	knockout4j-archetype	0.9		35cc6b73aef0e8fea0f28958ff27d93603b96024
com.fluxchess.jcpi	jcpi	1.4.1		4bbd267de490c4811112e6bf05bdd8f4e9c1ff99
com.gitee.zodiacstack	zodiac-poi-core	1.5.13		f41afc1659518f45e09ae1e773a81da62d481e19
com.gitee.zodiacstack	zodiac-poi-core	1.5.14		0254f8639aba5037bced158129213b3a28aa7cac
com.gitee.zodiacstack	zodiac-poi-core	1.5.15		6cb7a90605bac71cec54fbb71fbe4c2ae0faea57
com.gitee.zodiacstack	zodiac-poi-core	1.5.16		a9641c36105097018c26248953dfce91996fe6c8
com.gitee.zodiacstack	zodiac-poi-core	1.5.17		ae94e3c23167fd7cd7344ad5313f29c7293ca5a4
com.gitee.zodiacstack	zodiac-poi-core	1.5.18		5ac0c85e9bf85d65d0775c2ca3c3c6fb58abf5b7
com.gitee.zodiacstack	zodiac-poi-core	1.6.0		e31f825333897af9af5067798f138f2a9c94492c
com.gitee.zodiacstack	zodiac-poi-core	1.6.1		0de7c5bce79ef821ae06afe776382809cfca0d02
com.gitee.zodiacstack	zodiac-poi-core	1.6.2		ed42e9f8f051e3b9a963748405e6f62fc09856a6
com.gitee.zodiacstack	zodiac-poi-core	1.6.3		46aae366b09acad746a1fc165d86bf8bee52b27f
com.gitee.zodiacstack	zodiac-poi-core	1.6.4		1e7122880f1c44718eb0b46dd5bb7ce2491a9e0a
