cloud.keveri.dev	keveri-spi	1.0		2c119c925c75d3d7e6c07acbb2e548c078e0ce73
com.alibaba.android	virtual-compiler	0.0.0.1		a0ad58035803e0d3be0e8292f964fe56fb55171d
com.alibaba.android	virtual-compiler	1.0.10		ec0478b21c7b3e0145226b484afee846db913dc3
com.alibaba.android	virtual-compiler	1.0.7.1		822e29c334198ad588626dec55e2f4dd0765d7d0
com.andyln	mof	0.1.0		cd6b50cf110869f39473c7cc587a21ab04c85260
com.andyln	mof	1.0.0		cf390064618b0fa2f002909cf5e346bb2d6dd81b
com.andyln	mof	1.1.0		604285f9f4fd7a509bef96681f25668249edc38b
com.andyln	mof	1.2.0		e4247eb9c6a9114771872099bb6da36bf9fa0e5f
com.atlassian.commonmark	commonmark-ext-task-list-items	0.15.0		3b1a4c26cd03aceb7c03b2b25daaab7029a314f9
com.atlassian.commonmark	commonmark-ext-task-list-items	0.15.1		4f9a040bd858b29550c888f05754c01f80623f07
com.atlassian.commonmark	commonmark-ext-task-list-items	0.15.2		1dcd8a0fa1d32f3e6d180c7dd8dc2fcd1cbfc38a
com.atlassian.commonmark	commonmark-ext-task-list-items	0.16.1		e739d95dc59660466038ff9c3398b24600bcc0f1
com.atlassian.commonmark	commonmark-ext-task-list-items	0.17.0		f37f34ad89294f98bc9199eb46e4f92c73d49c15
com.cloudera.oryx	oryx-app-api	2.3.0		26b4401d7a0631d5464a6e8ea34e65d95f8451b3
com.cloudera.oryx	oryx-app-api	2.4.0		69441271f1322649830c34dab29cd716e0c756c9
com.cloudera.oryx	oryx-app-api	2.4.1		53bfe28e76b286bc1b46910aec5320035e24f54b
com.cloudera.oryx	oryx-app-api	2.5.0		370b3757fec53151bf3a8caeeaeac547a2420c42
com.cloudera.oryx	oryx-app-api	2.6.0		4822787b045964a3db873011e94bbb11aeb34380
com.cloudera.oryx	oryx-app-api	2.7.0		0995ab96ce37d9155f73898556c876176c13aef8
com.cloudera.oryx	oryx-app-api	2.7.1		337283a1ba2b219672bedb9a0dc91f0cffa4f738
com.cloudera.oryx	oryx-app-api	2.7.2		ec5e2b881667b423359480d18df1a8d8c8623e48
com.cloudera.oryx	oryx-app-api	2.8.0		4eb8c8db3739d3c8e71dc2147b7d64df68807195
com.dwolla	fs2-utils_3	3.0.0-RC2		535d03040bf332d379e8a1943913edd46c01a6a9
