ai.sensfrx	sensfrx-sdk	1.0.3		N/A
at.released.weh	test-logger-js	0.1		N/A
at.released.weh	test-logger-js	0.1-alpha01		N/A
at.released.weh	test-logger-js	0.2		N/A
at.released.weh	test-logger-js	0.3		N/A
at.released.weh	test-logger-js	0.4		N/A
at.released.weh	test-logger-js	0.5		N/A
cloud.timo.timocloud	TimoCloud-API	6.6.0		e08e1febd79cef271bd43038185ae0a1896f9f49
cloud.timo.timocloud	TimoCloud-API	6.7.0		0687d251ee42ce587c29ed366fe9477188ac1ba3
cloud.timo.timocloud	TimoCloud-API	6.7.1		456b8f591cd3669adc75d86b91055a73db47f71e
cloud.timo.timocloud	TimoCloud-API	6.7.2		28e3e47425cb8afa0b60a6febeb26b194b600f15
cloud.timo.timocloud	TimoCloud-API	6.7.4		a67ca7dedf6f4ff4040f57db4f77cc7793af8e51
cloud.timo.timocloud	TimoCloud-API	6.7.9		a386c534a840d199c3245cad0d20320d49961dc7
cn.devicelinks.framework	org.eclipse.paho.mqttv5.client	1.2.6		81c3e920baad4f662f81fca87aab7dc140400907
com.acervera.osm4scala	osm4scala-core_2.13	1.0.10		453a402efb1f890def65ebb7909e99e32a56875e
com.acervera.osm4scala	osm4scala-core_2.13	1.0.11		2652f11a383d287e957df8c49815970af26fba7a
com.acervera.osm4scala	osm4scala-core_2.13	1.0.3		87d1acd85dba4933e91a50ad4b37c3cc3fc18b89
com.acervera.osm4scala	osm4scala-core_2.13	1.0.4		4c4b39caf939d42deecda82cc080aa811d2edc44
com.acervera.osm4scala	osm4scala-core_2.13	1.0.5		74a93d387223d51c8c6c92d18e32125e4ba87e0d
com.acervera.osm4scala	osm4scala-core_2.13	1.0.6		b69f154e804f838fd3886084c438105708ee415b
com.acervera.osm4scala	osm4scala-core_2.13	1.0.7		b8368fe1b28b0e7ed942f994e913ea7f329500fb
com.acervera.osm4scala	osm4scala-core_2.13	1.0.8		a6366191635fb7aa17c57a11eb335074d43a357e
