be.vlaanderen.informatievlaanderen.ldes.ldi	ldi-core	2.12.0		N/A
ca.jimr	gae-mini-profiler	1.1.0		59d9821f54381520fae60abb98ab044a6c619dd0
ca.jimr	gae-mini-profiler	1.1.1		c51bb38064e70315213065d3192ec342d2f38abe
ca.jimr	gae-mini-profiler	2.0.0		ba1e93caf914edb04291bbf8e6593907731fa062
ca.jimr	gae-mini-profiler	2.0.1		b1df9c458f5b72017b736fc269d94e2674f995b4
ca.jimr	gae-mini-profiler	2.0.2		4325c41c1532bfa7fd764fd668fbda95681301d6
ca.jimr	gae-mini-profiler	2.0.3		9a11028db69d6cdac2ae5ab33ccf0186055fc2ac
ch.qos.logback.access	tomcat	2.0.0		1d2c8a18c8feb8ac308b31e18b1769cbedd657b7
ch.qos.logback.access	tomcat	2.0.1		08f9b4477c246f7e2ffe27f58e02a47011ebbbe3
ch.qos.logback.access	tomcat	2.0.2		cc9421b58912c9d09484094603dddec47608c8ed
ch.qos.logback.access	tomcat	2.0.3		2532c0164f55f0931439f8aa74d1fa9f67b8c8a9
com.adikteev	crossdk-android	2.0.0		N/A
com.adikteev	crossdk-android	2.1.0		N/A
com.adikteev	crossdk-android	2.1.1		N/A
com.adikteev	crossdk-android	2.2.0		N/A
com.adikteev	crossdk-android	2.3.0		N/A
com.afollestad.inline-activity-result	rxjava	0.2.0		N/A
com.aliyun	green20170823	1.0.0		5a3c9736518b50405508c47dfb91d82474ff2ee0
com.aliyun	green20170823	1.0.0	shaded	56ea6129b58f21ab0a22fc13d0a327d2061ecc18
com.barrybecker4	bb4-aikido-app	1.0		d791f32e23d6da7bb611e99cd08f7683fe5f24ba
com.barrybecker4	bb4-aikido-app	1.0	scaladoc	743dc48a65e2bdc5c3638cb04b914dedd5af58ec
com.barrybecker4	bb4-aikido-app	1.6		bfc988af5333312474a0d46492498ffed8958cc4
com.barrybecker4	bb4-aikido-app	1.6	scaladoc	18cf2d6d08a99bf0033cb48cb5d9ab8d7e1b75c3
com.cisco.oss.foundation	client-common	1.0.1-1		68fd42b393d3196a59633c720a1ec3523be7d239
com.cisco.oss.foundation	client-common	1.1.0-1		3531045a5f8b681dc192292bcff4e80cba417ce5
com.cisco.oss.foundation	client-common	1.1.0-2		98456f14b525f6726e826ec6496f461b4799e432
com.cisco.oss.foundation	client-common	1.1.1-1		7ed1c65a15c40e6140e4ab77a15867e8ac434e04
com.cisco.oss.foundation	client-common	1.1.1-2		5e8771aba6c0ec41887aa5e269c294a48543c9e8
com.cisco.oss.foundation	client-common	1.1.2-1		6d7670a5552a27a5328c1953eab43937223e5df1
com.d3xsystems	morpheus-quandl	1.0.2		640d533c80e4e5d5a91d04eeedbd7069271000cf
com.d3xsystems	morpheus-quandl	1.0.3		a66b3d3a181097a2ced99a7879ad827630d04222
com.epion-t3	epion-t3-aws-sqs	0.1.0		0f6bc9c22bb35aee6c5a739f806df3e22dc47b7d
com.episode6.hackit.mockspresso	mockspresso-mockito	0.0.1		e7ddbf3eea0ea536f0404c16c2b2856d17262eb6
com.episode6.hackit.mockspresso	mockspresso-mockito	0.0.10		033fedabc58b509913bb41db1fa375ef18f5d675
com.episode6.hackit.mockspresso	mockspresso-mockito	0.0.11		0ede7a8fdb460c6fafd5f5805e9e7ceddf544138
com.episode6.hackit.mockspresso	mockspresso-mockito	0.0.12		bd3e1c4bd0dbdbf5a28f203ebabc8bdb47d2afd4
com.episode6.hackit.mockspresso	mockspresso-mockito	0.0.13		2e4b034f324ccd14ad8c2b867eb921666f6f6e8c
com.episode6.hackit.mockspresso	mockspresso-mockito	0.0.14		092fa5d6ba02bb945b61cc55c784e0760f0d0db1
com.episode6.hackit.mockspresso	mockspresso-mockito	0.0.15		f86d21ced8968ab19a27795db321e845debd9b5a
com.episode6.hackit.mockspresso	mockspresso-mockito	0.0.16		a1c6e4cf7a094274b81c8cec0eaab86218acc56c
com.episode6.hackit.mockspresso	mockspresso-mockito	0.0.2		c3cbd14541906af6b887f5c632d4ab0027e511d4
com.episode6.hackit.mockspresso	mockspresso-mockito	0.0.4		86f238248dec0b8a5c0977145b25d5d698684e90
com.episode6.hackit.mockspresso	mockspresso-mockito	0.0.5		44277d9a32946f9b8d86911742a5bbbeae942db2
com.episode6.hackit.mockspresso	mockspresso-mockito	0.0.6		55f79d3ee9fdd62229457a8ca62943b3ea1f15e6
com.episode6.hackit.mockspresso	mockspresso-mockito	0.0.7		057d552155ec26dcace29811d5908ac19558c73b
com.episode6.hackit.mockspresso	mockspresso-mockito	0.0.8		7bad9798257789f56e7726595d9478063187b394
com.episode6.hackit.mockspresso	mockspresso-mockito	0.0.9		3efb9804e9b42061badf4047bfb6b81547350400
com.episode6.hackit.mockspresso	mockspresso-mockito	0.1.0		1ebc47785c676460b74ea99ba6de9377f86d7e0c
com.episode6.hackit.mockspresso	mockspresso-mockito	0.1.0-beta1		b19d7b2061c93096d1d8effda82f7c118a16f390
com.episode6.hackit.mockspresso	mockspresso-mockito	0.1.0-beta2		dce3bf573370fb1a0f9a5991c8d261e4c50ad057
com.episode6.hackit.mockspresso	mockspresso-mockito	0.1.0-beta3		0f8be379d331669f11c384c3695a4ba7d783dac2
com.episode6.hackit.mockspresso	mockspresso-mockito	0.1.0-beta4		b0fe003ff0f87dc6aea586c07a94030ae06751da
com.github.betterJ1995	swagger-spring-boot-starter	1.0		30c83d9dd49ceb5e8fc7aa60283a1a1737f93353
com.github.ksoichiro	gradle-android-git	0.1.0		321915c9c9c9941cb870b38933366378f950282b
