app.tulz	tuplez-apply_3.0.0-RC3	0.3.6		87a81bb149a14a68baa650da52d3bbe013a34985
aws.smithy.kotlin	aws-json-protocols-jvm	0.15.3		b3bed9b7d0ee919f393d75811a8dd573d5d9761e
aws.smithy.kotlin	aws-json-protocols-jvm	0.16.0		b3bed9b7d0ee919f393d75811a8dd573d5d9761e
aws.smithy.kotlin	aws-json-protocols-jvm	0.16.1		b3bed9b7d0ee919f393d75811a8dd573d5d9761e
aws.smithy.kotlin	aws-json-protocols-jvm	0.16.2		b3bed9b7d0ee919f393d75811a8dd573d5d9761e
aws.smithy.kotlin	aws-json-protocols-jvm	0.16.3		b3bed9b7d0ee919f393d75811a8dd573d5d9761e
aws.smithy.kotlin	aws-json-protocols-jvm	0.16.4		b3bed9b7d0ee919f393d75811a8dd573d5d9761e
aws.smithy.kotlin	aws-json-protocols-jvm	0.16.5		b3bed9b7d0ee919f393d75811a8dd573d5d9761e
aws.smithy.kotlin	aws-json-protocols-jvm	0.16.6		b3bed9b7d0ee919f393d75811a8dd573d5d9761e
aws.smithy.kotlin	aws-json-protocols-jvm	0.17.0		b3bed9b7d0ee919f393d75811a8dd573d5d9761e
aws.smithy.kotlin	aws-json-protocols-jvm	0.17.1		b3bed9b7d0ee919f393d75811a8dd573d5d9761e
aws.smithy.kotlin	aws-json-protocols-jvm	0.17.2		b3bed9b7d0ee919f393d75811a8dd573d5d9761e
aws.smithy.kotlin	aws-json-protocols-jvm	0.17.3		b3bed9b7d0ee919f393d75811a8dd573d5d9761e
aws.smithy.kotlin	aws-json-protocols-jvm	0.17.4		b3bed9b7d0ee919f393d75811a8dd573d5d9761e
aws.smithy.kotlin	aws-json-protocols-jvm	0.18.0		b3bed9b7d0ee919f393d75811a8dd573d5d9761e
aws.smithy.kotlin	aws-json-protocols-jvm	0.19.0		b3bed9b7d0ee919f393d75811a8dd573d5d9761e
aws.smithy.kotlin	aws-json-protocols-jvm	0.20.0		b3bed9b7d0ee919f393d75811a8dd573d5d9761e
aws.smithy.kotlin	aws-json-protocols-jvm	0.21.0		b3bed9b7d0ee919f393d75811a8dd573d5d9761e
aws.smithy.kotlin	aws-json-protocols-jvm	0.21.1		b3bed9b7d0ee919f393d75811a8dd573d5d9761e
aws.smithy.kotlin	aws-json-protocols-jvm	0.21.2		b3bed9b7d0ee919f393d75811a8dd573d5d9761e
aws.smithy.kotlin	aws-json-protocols-jvm	0.21.3		44b2791f7849c4b4984133ba60fe04c13ca65fca
aws.smithy.kotlin	aws-json-protocols-jvm	0.22.0		886a794a059741cd18d1ac39900c72b4055e7c0c
aws.smithy.kotlin	aws-json-protocols-jvm	0.22.1		886a794a059741cd18d1ac39900c72b4055e7c0c
aws.smithy.kotlin	aws-json-protocols-jvm	0.23.0		5ecf29f6dbed9af6ac43063cb4d916bac5c367a3
aws.smithy.kotlin	aws-json-protocols-jvm	0.24.0		5ecf29f6dbed9af6ac43063cb4d916bac5c367a3
aws.smithy.kotlin	aws-json-protocols-jvm	0.25.0		233a2c2a2420dba22c535972dbf672c2f823f2a3
aws.smithy.kotlin	aws-json-protocols-jvm	0.25.1		233a2c2a2420dba22c535972dbf672c2f823f2a3
aws.smithy.kotlin	aws-json-protocols-jvm	0.26.0		233a2c2a2420dba22c535972dbf672c2f823f2a3
aws.smithy.kotlin	aws-json-protocols-jvm	0.27.0		233a2c2a2420dba22c535972dbf672c2f823f2a3
aws.smithy.kotlin	aws-json-protocols-jvm	0.27.1		233a2c2a2420dba22c535972dbf672c2f823f2a3
aws.smithy.kotlin	aws-json-protocols-jvm	0.27.2		233a2c2a2420dba22c535972dbf672c2f823f2a3
aws.smithy.kotlin	aws-json-protocols-jvm	0.27.3		233a2c2a2420dba22c535972dbf672c2f823f2a3
aws.smithy.kotlin	aws-json-protocols-jvm	0.27.4		233a2c2a2420dba22c535972dbf672c2f823f2a3
aws.smithy.kotlin	aws-json-protocols-jvm	0.27.5		233a2c2a2420dba22c535972dbf672c2f823f2a3
aws.smithy.kotlin	aws-json-protocols-jvm	0.27.6		16fc071c20e3ba317795875d06928f2ad37bcbe7
aws.smithy.kotlin	aws-json-protocols-jvm	0.27.7		16fc071c20e3ba317795875d06928f2ad37bcbe7
aws.smithy.kotlin	aws-json-protocols-jvm	0.28.0		6a0a9036e51a2fbfaa2b88b07b0f909eea272af6
aws.smithy.kotlin	aws-json-protocols-jvm	0.28.1		6a0a9036e51a2fbfaa2b88b07b0f909eea272af6
aws.smithy.kotlin	aws-json-protocols-jvm	0.28.2		6a0a9036e51a2fbfaa2b88b07b0f909eea272af6
aws.smithy.kotlin	aws-json-protocols-jvm	0.29.0		6a0a9036e51a2fbfaa2b88b07b0f909eea272af6
aws.smithy.kotlin	aws-json-protocols-jvm	0.30.0		a418155ddb1dd46020b86d4886beb62c9511dd28
aws.smithy.kotlin	aws-json-protocols-jvm	1.0.0		a418155ddb1dd46020b86d4886beb62c9511dd28
aws.smithy.kotlin	aws-json-protocols-jvm	1.0.1		a418155ddb1dd46020b86d4886beb62c9511dd28
aws.smithy.kotlin	aws-json-protocols-jvm	1.0.10		d25244dd956719d759465c42a79b24dd782f3f8e
aws.smithy.kotlin	aws-json-protocols-jvm	1.0.11		d25244dd956719d759465c42a79b24dd782f3f8e
