ai.x	safe_2.11	0.1.0		04dface0537f95aeeb8a0425eb2cd0a6b513921d
aws.sdk.kotlin	ivschat	0.15.0		b2b1e233dcceb2d1b5d3928b3440a354128473bd
aws.sdk.kotlin	ivschat	0.15.1-beta		28d5ede09ebc7d9186072857be49ca3568bc5c2f
aws.sdk.kotlin	ivschat	0.15.2-beta		64014050f90cb3a3d14c22178489b605c662d4bc
aws.sdk.kotlin	ivschat	0.16.0		8ffc93f4b2f9901f5c25aa84c60fe827f96f78bb
aws.sdk.kotlin	ivschat	0.16.1-beta		c976c21e38c0f12914f479f3352d0b28a89b63d5
aws.sdk.kotlin	ivschat	0.16.2-beta		b911e1dfffeebbb4856301881fee3b1a39c038b4
aws.sdk.kotlin	ivschat	0.16.3-beta		e9f3930a04971a04d35ff60c2d0422e7e0222e74
aws.sdk.kotlin	ivschat	0.16.4-beta		fbfe0e20ee5abcae65896b7ea0a7c3dcc85b7c66
aws.sdk.kotlin	ivschat	0.16.5-beta		54a28718004b1457652b91c6db56349d2f8fd8ce
aws.sdk.kotlin	ivschat	0.16.6-beta		e717aa4487b44a15516755dda31743a3bcb85d25
aws.sdk.kotlin	ivschat	0.16.7-beta		1ad724e0a1431d60352a206c3b17702862c4b935
aws.sdk.kotlin	ivschat	0.17.0-beta		feb98e90817eb8be3ef0591eb51c0c2b0b19f0fb
aws.sdk.kotlin	ivschat	0.17.1-beta		a421cfc683248c228f176f98d72f1711532b3aaf
aws.sdk.kotlin	ivschat	0.17.10-beta		b5448b567a5ee9796269a37f721e6cbe2a76c6f3
aws.sdk.kotlin	ivschat	0.17.10-beta	all	9c5850bf46e9433838350f02e145a21152c063b6
aws.sdk.kotlin	ivschat	0.17.11-beta		84dd14a5a5c3c4bcc6bda9277542a35163840927
aws.sdk.kotlin	ivschat	0.17.11-beta	all	38959a419d5a30ec3a420353c65dc07378b5fa2e
aws.sdk.kotlin	ivschat	0.17.12-beta		7b97353f31fee2023984d5192e6d9241e4f44468
aws.sdk.kotlin	ivschat	0.17.12-beta	all	dbfcb78aa4c4280661ffd721f59ae031fa353a31
aws.sdk.kotlin	ivschat	0.17.2-beta		0f261a7f71cc5e9e211cb9662b3921e388f25d3b
aws.sdk.kotlin	ivschat	0.17.3-beta		0d37237ae2cc6c99a28cc4489254d8e48e9d1cdc
aws.sdk.kotlin	ivschat	0.17.4-beta		f0b836a284169e42e0a012f99537c2fe4f19f231
aws.sdk.kotlin	ivschat	0.17.5-beta		bbf5b99ddd30758cec27f166b35742489ad0fda5
aws.sdk.kotlin	ivschat	0.17.6-beta		e97d21f0f4720a0db44023f24405dfa1908c5298
aws.sdk.kotlin	ivschat	0.17.7-beta		8ec15b8a16ae47754fa8adb97ed4fabd0bda9865
aws.sdk.kotlin	ivschat	0.17.8-beta		61972857f3be8f1ca0f7775986c9f032090923dc
aws.sdk.kotlin	ivschat	0.17.8-beta	all	47e0b7c87ec46ec9ee4fa914217df6076781c0ad
aws.sdk.kotlin	ivschat	0.17.9-beta		10909779f4970b413874cb812fa4869936664510
aws.sdk.kotlin	ivschat	0.17.9-beta	all	f82aa0252c20513a8769f52d1c39a015f2afbdc3
aws.sdk.kotlin	ivschat	0.18.0-beta		6c5f6d8fd9b39a92c4d56a41a9fe1dc0e9b6fa55
aws.sdk.kotlin	ivschat	0.18.0-beta	all	4fd4e633e9d9ff9e8246e80f3341080f65b1bd29
