app.cash.copper	copper-flow	1.0.0		N/A
cc.protea.platform	platform	0.1		9c06ee997c556a6af3cfb92c6f1e2a0a43aa1c69
cc.protea.platform	platform	0.2		5999e5809849ff40a2cc5c859994b3461244a499
cc.protea.platform	platform	0.3.1		23404a19ad0d3ccfabb3b084f39c6e181d35edeb
cc.protea.platform	platform	0.4.1		0262f4737d231a8e4ec0b8b84aa99cde576dd83a
cc.protea.platform	platform	0.4.2		7b4a41dbec8b83e5f7255d933480ed75fec16b40
cc.protea.platform	platform	0.4.3		fa5e5e99a4d6e8cb8dfee2a7f9681b69dab87adf
cc.protea.platform	platform	0.4.4		67718ea39c12028f7ddd23f5b45f9aeb7988340f
cc.protea.platform	platform	0.4.6		747dfe83b917abbd8e0f26dac14335b94276fae1
cc.protea.platform	platform	0.5.0		d62768a711307a700d0d762a530db2e61513bb68
cc.protea.platform	platform	0.5.1		9ed9f27f3e38b379b3286459794ed89248159232
cc.protea.platform	platform	0.5.10		21f0c4f939281224c2eb887626e7108f7eae9af9
cc.protea.platform	platform	0.5.11		59f3876a411799fe3d782f8c7a331673f7a8f254
cc.protea.platform	platform	0.5.2		d8a5829420f44f93d8df93a26fdde1ca84336a83
cc.protea.platform	platform	0.5.3		1aa11a21e73b60a56204f9b4a8bfce778628ff68
cc.protea.platform	platform	0.5.4		ef544ccd40de09beea6dc89d5d0044b415cfb23c
cc.protea.platform	platform	0.5.6		732ef7a57968bb04d98d53c7b6b617d36539376e
cc.protea.platform	platform	0.5.9		bb2bfd0427b94f318501d84a9bb7113058809a1a
club.zhcs	rop	2.3.1.RELEASE		N/A
club.zhcs	rop	2.3.2.RELEASE		N/A
club.zhcs	rop	2.3.3.RELEASE		N/A
club.zhcs	rop	2.3.4.RELEASE		N/A
club.zhcs	rop	2.3.5.RELEASE		N/A
club.zhcs	rop	2.3.6.RELEASE		N/A
club.zhcs	rop	2.3.7.RELEASE		N/A
club.zhcs	rop	2.3.9.RELEASE		N/A
com.aiwiown.face	face-java-sdk	3.0.0		8b2b399c1186f73d075f624ac75e3f80bc6bae93
com.aiwiown.face	face-java-sdk	3.0.1		304776282c4d95bad985002ddbc357cfd209c0d6
com.aiwiown.face	face-java-sdk	3.0.3		5ad501eb96e4c6ff9235f7f0a9f72833efe23cd1
com.aiwiown.face	face-java-sdk	3.0.4		3244f6db9f46c0fd1560142bf83f1e3e4a6cdb63
com.aiwiown.face	face-java-sdk	3.0.5		5fd9319dfd34ca0a28161098205e9af4249b6049
com.aiwiown.face	face-java-sdk	3.0.6		2e8c71302a0917711517bae127e307ed529d74a7
com.aiwiown.face	face-java-sdk	3.0.7		08f5551ae6fa1c7fb885bcb2b272d2c159bc9904
com.aiwiown.face	face-java-sdk	3.0.8		bc1d13bac9279b9e6433da13373dfdc67189838b
com.aiwiown.face	face-java-sdk	3.0.9		27e0f9e01a145f562f7aa53c9803caf4bf83febd
com.amirkhawaja	ksuid	1.0.0		6dc2da527897f01fc9bd51777799ca58b6c50df2
com.amirkhawaja	ksuid	2.0.0-RC1		4124d87d184e303e45298c59471f10963c3b18d8
com.antgroup.antchain.openapi	openapi-ak_250f978053da425e919991f8f283b559	1.0.0		1668524b939a0fc9c14fe056908b25c65ec0d196
com.antgroup.antchain.openapi	openapi-ak_250f978053da425e919991f8f283b559	1.0.1		5bbb44c747f63f25b6edb8dfe64f294e466d663f
com.buession.springboot	buession-springboot-session	1.0.0		318a3b09556478b5a8c9f53298398bb30273bdd0
com.buession.springboot	buession-springboot-session	1.0.1		70b7824ef9be739bd159e718407f757244a9e2c1
com.buession.springboot	buession-springboot-session	1.1.1		3267df12a9f8e713fa105ff6ae825e23dbdca358
com.buession.springboot	buession-springboot-session	1.1.2		0434d8c40d54c73ae99ace7e90ce4ee01e787aaa
com.buession.springboot	buession-springboot-session	1.2.0		9ad77962fc4211ce93de77540e11f92a97c6b6a4
com.buession.springboot	buession-springboot-session	1.2.1		b7a5066b556bb9e88fc787fc56f85c31427c008c
com.buession.springboot	buession-springboot-session	1.2.2		64f38420c4a5e5124fe8314fde0ac417e5915507
com.buession.springboot	buession-springboot-session	1.3.0		9e46ab6f5ca3f20b3ad6f7b2f89ea9e6dece6eb4
com.buession.springboot	buession-springboot-session	1.3.1		a2c294da3b0b4aea1a9e54f06ccdff66e46184d0
com.buession.springboot	buession-springboot-session	1.3.2		9a18be41a0db5fedf5afc8cea745d665dc0e02a5
com.buession.springboot	buession-springboot-session	2.0.0		fe2777c4bcf365e5e0089f07baf4050dda76aec5
com.buession.springboot	buession-springboot-session	2.0.1		99a8ceb23de17ca776fc83191c7bba9837370aa8
com.buession.springboot	buession-springboot-session	2.0.2		2209bc4b4727377787562a9815741f2712e7a1cd
com.buession.springboot	buession-springboot-session	2.1.0		5603299362c9f046d68d13174fb2f55fae619e9a
com.buession.springboot	buession-springboot-session	2.1.1		c8ffc82d2479f0497f7e14025eeee254b2375976
com.buession.springboot	buession-springboot-session	2.1.2		b9e42378d97da71340b0db3c7f2ce953ff7bc5f8
com.buession.springboot	buession-springboot-session	2.2.0		ce0abd467c474fa1aeac4b179a9a7cae427905e7
com.buession.springboot	buession-springboot-session	2.2.1		a98ceb1f3aa476b4067e91c952932632938227d2
com.buession.springboot	buession-springboot-session	2.3.0		f93b830a8284be29df8add86b604aebe94956074
com.buession.springboot	buession-springboot-session	2.3.1		e9211a00a92a3734fdd7efe1a84fb790d8617b2f
com.buession.springboot	buession-springboot-session	2.3.2		8f479013ab7223d97cf1428234796bc6b8e6ffc4
com.buession.springboot	buession-springboot-session	2.3.3		ea9569a1b73f98b366e16122aaa90682b8c83f5f
com.buschmais.jqassistant.scm	jqassistant.scm.common	1.0.0		aca981335d706e21bbc049fdab7715221df7b5d1
com.buschmais.jqassistant.scm	jqassistant.scm.common	1.0.0-M3		9e2970b30f3d98a5b4f91b713e23998734de5ab1
com.buschmais.jqassistant.scm	jqassistant.scm.common	1.0.0-M4		5216dc2268e96ed4f084e54fe88a3a9c067ec50c
