ai.swim	swim-java	3.10.0		2b44bef698d49a982d1754fd7782ef21a940f5ca
aws.sdk.kotlin	appstream	0.10.0-beta		c18f85c4b2baa11e8f25abb7823d4debeb0f1c32
aws.sdk.kotlin	appstream	0.10.1-beta		f1eb071962eb9aada739b78a76ca1379a8ca9e59
aws.sdk.kotlin	appstream	0.11.0-beta		b9f01fbe574863889e454dd82e9768db7fc6e469
aws.sdk.kotlin	appstream	0.12.0-beta		e605e81f182f5560fc1795545067b092564c13e9
aws.sdk.kotlin	appstream	0.13.0-beta		43dfdd988accf21fc24df23191b52e20833b3755
aws.sdk.kotlin	appstream	0.13.1-beta		52098844e770167de0e8e8ebafe41a5e911c49e6
aws.sdk.kotlin	appstream	0.14.0-beta		d583d07a614b73ddc56d74f5692ad2969cfb6101
aws.sdk.kotlin	appstream	0.14.1-beta		643e98cde0e7cf85b3f9504afc7d42e8b7562b0a
aws.sdk.kotlin	appstream	0.14.2-beta		fcfd87ca6dd9c45de391ea275aa90a661289975f
aws.sdk.kotlin	appstream	0.14.3-beta		fe4a7cbbbb6ae9eb809e47bf7bdce6e194eb1075
aws.sdk.kotlin	appstream	0.14.4-beta		e3d4a6a0118200988bff478079b899665c6aba5b
aws.sdk.kotlin	appstream	0.15.0		69707089f01f58f1d9ab34d30064f70a76d706d9
aws.sdk.kotlin	appstream	0.15.1-beta		c6c0d72517d762f29522fd10e2f80a87e19602fe
aws.sdk.kotlin	appstream	0.15.2-beta		8abbcd849b788baed29c4739bdc60e06feecff92
aws.sdk.kotlin	appstream	0.16.0		6148c80194c0b8f2ccb05e99b5388aa2bc4ac0f2
aws.sdk.kotlin	appstream	0.16.1-beta		616bd1b1333a30069d53898a0ea9da7abe27a6d8
aws.sdk.kotlin	appstream	0.16.2-beta		60ba0a4b4f066f5f6acb64b7a1a6827fe2c6f0b2
aws.sdk.kotlin	appstream	0.16.3-beta		339f5d308456ba49c523ee9df56adfc8d9346560
aws.sdk.kotlin	appstream	0.16.4-beta		e525c821ecd935de8109195826fc46231719c55a
