co.jsilval.apimanager	apimanager	1.0.0		N/A
com.alibaba.csp	sentinel-logging-slf4j	1.7.2		3f73227d333ad651bd139218e660c5470a068eac
com.alibaba.csp	sentinel-logging-slf4j	1.8.0		46e70fc76c79f37c6d80ee2e8622c9a9168380f7
com.alibaba.csp	sentinel-logging-slf4j	1.8.1		73e6e4055c32267e73979c8015b50da52ca278ec
com.alibaba.csp	sentinel-logging-slf4j	1.8.2		3aad02c4cc701c04a5367fc397209d3d9811fb8d
com.alibaba.csp	sentinel-logging-slf4j	1.8.3		4c1d30bb5a5a7546420b623ba5e57435debd8027
com.alibaba.csp	sentinel-logging-slf4j	1.8.4		e214473b2b0542982124c0888d4e72c6cd93d0bf
com.alibaba.csp	sentinel-logging-slf4j	1.8.5		1f4ee98f04b581a95ce47a30489b709001f5b763
com.alibaba.csp	sentinel-logging-slf4j	1.8.6		d3e361ea43e875d3630d3d0eafbe073d5c446ef8
com.alibaba.csp	sentinel-logging-slf4j	1.8.7		ad6dca4feea5b399ac7866178fece6c8569b8b39
com.alibaba.csp	sentinel-logging-slf4j	1.8.8		bbd8578ba27f854154d9c92c78a0ef7d550ce073
com.amap.api	navi-3dmap-aar	6.6.0_3dmap6.7.0		N/A
com.amap.api	navi-3dmap-aar	6.6.0_3dmap6.7.0_beta		1550d19804c805b04be9b6a768eec16ee536ba32
com.amap.api	navi-3dmap-aar	6.6.0_3dmap6.7.0_beta3		1550d19804c805b04be9b6a768eec16ee536ba32
com.amap.api	navi-3dmap-aar	6.6.0_3dmap6.7.0_beta4		N/A
com.arconsis	datarobot.processor	0.1		db9197a636f27b76ffcbcda0062609f32dd109c7
com.arconsis	datarobot.processor	0.1.2		f21a856bc7061ddf7f0d0cb99e935a044f784e75
com.arconsis	datarobot.processor	0.1.3		6d488dd693bb1e5ae20edae7f944c7159940fa97
com.arconsis	datarobot.processor	0.1.4		c14d4cf18ebc5874c0624e54283fc7ba934f8ae6
com.arconsis	datarobot.processor	0.1.5		1e7f87c4a24451fb76245c01271825cf4ae09eee
com.assaabloyglobalsolutions.axon.dynamodb	axon-dynamodb-spring-boot-autoconfigure	0.10.0		5297f4b0942a980911df1e89071474615eb86bca
com.assaabloyglobalsolutions.axon.dynamodb	axon-dynamodb-spring-boot-autoconfigure	0.11.0		688d41852758dbf866ec1ddf8d088fd829b84d06
com.assaabloyglobalsolutions.axon.dynamodb	axon-dynamodb-spring-boot-autoconfigure	0.12.0		42e38e6e5880ddf0a35207055965494e8609e9a6
com.assaabloyglobalsolutions.axon.dynamodb	axon-dynamodb-spring-boot-autoconfigure	0.13.0		8838722f994f068932375b10366dc0f6b48c1404
com.assaabloyglobalsolutions.axon.dynamodb	axon-dynamodb-spring-boot-autoconfigure	0.14.0		3415c8939cb0134298c55f5ff96da279904776bc
