be.atbash.ee.security	http-sig-core	0.1		0f30b95a0ff2c4f05469f52f21aaaa405c21673e
ch.epfl.scala	io	0.13.17-sourcedeps		2babf890583dbffa4551de61ec5780bfa0071599
club.ximeng.util	IdentityCard	1.0		cdfc3e22982073bfc5756ab1cddcab2d706fe391
co.touchlab.skie	runtime-kotlin-1.9.0-tvossimulatorarm64	0.10.0		N/A
co.touchlab.skie	runtime-kotlin-1.9.0-tvossimulatorarm64	0.10.0	metadata	efd9a3459f48298c68be9b909f3af40fa77e7674
co.touchlab.skie	runtime-kotlin-1.9.0-tvossimulatorarm64	0.10.1		N/A
co.touchlab.skie	runtime-kotlin-1.9.0-tvossimulatorarm64	0.10.1	metadata	5f1990f4ec3e58f8c9f7e4f0b1c90df8302f6e05
co.touchlab.skie	runtime-kotlin-1.9.0-tvossimulatorarm64	0.10.2-preview.2.1.20		N/A
co.touchlab.skie	runtime-kotlin-1.9.0-tvossimulatorarm64	0.10.2-preview.2.1.20	metadata	ecff88c5dee1be53a6a222a60f4b3809dd39aaad
co.touchlab.skie	runtime-kotlin-1.9.0-tvossimulatorarm64	0.9.0		N/A
co.touchlab.skie	runtime-kotlin-1.9.0-tvossimulatorarm64	0.9.0	metadata	b554acf5b317deae1cb9de59711e1cf0f7053a22
co.touchlab.skie	runtime-kotlin-1.9.0-tvossimulatorarm64	0.9.0-RC.1		N/A
co.touchlab.skie	runtime-kotlin-1.9.0-tvossimulatorarm64	0.9.0-RC.1	metadata	5d26c6c21b555e9fd85f895ca4ed7fafb3feb5ba
co.touchlab.skie	runtime-kotlin-1.9.0-tvossimulatorarm64	0.9.0-RC.3		N/A
co.touchlab.skie	runtime-kotlin-1.9.0-tvossimulatorarm64	0.9.0-RC.3	metadata	b5fb5a97975b9901a2ab193d7f5ebe6b4c06ddba
co.touchlab.skie	runtime-kotlin-1.9.0-tvossimulatorarm64	0.9.0-RC.4		N/A
co.touchlab.skie	runtime-kotlin-1.9.0-tvossimulatorarm64	0.9.0-RC.4	metadata	8532bad1afee642e24740e023b6bf5ca04444423
co.touchlab.skie	runtime-kotlin-1.9.0-tvossimulatorarm64	0.9.0-RC.5		N/A
co.touchlab.skie	runtime-kotlin-1.9.0-tvossimulatorarm64	0.9.0-RC.5	metadata	550d061479042d5beca756187b115c3ef507063a
co.touchlab.skie	runtime-kotlin-1.9.0-tvossimulatorarm64	0.9.1		N/A
co.touchlab.skie	runtime-kotlin-1.9.0-tvossimulatorarm64	0.9.1	metadata	a2ea299a6f25710d04ec06799b7ecc386382f254
co.touchlab.skie	runtime-kotlin-1.9.0-tvossimulatorarm64	0.9.2		N/A
