biz.cgta	autowire_sjs0.6_2.11	0.2.9		1d0d7fff3f9a6937fa84b257e87fd17a07fa6a02
cc.zenfery	spring-cloud-easy-create-project-starter	1.0		N/A
cc.zenfery	spring-cloud-easy-create-project-starter	1.0.1		c121fc2e52464b9756e6ca3406f03ef5966d159d
cc.zenfery	spring-cloud-easy-create-project-starter	1.0.2		7ef173a6813b17c3970af63dba5f4fa62afc5915
cc.zenfery	spring-cloud-easy-create-project-starter	1.0.3		ffffdfce44ffb0866e8ae18a528dd45c13d5d5d5
cc.zenfery	spring-cloud-easy-create-project-starter	1.1.0		5bc5dba9d44e59810684db0a44e760732fea7e91
cc.zenfery	spring-cloud-easy-create-project-starter	1.1.2		90cd7ac5e8fd59a6287258f4f4a2042cb294e3b3
cc.zenfery	spring-cloud-easy-create-project-starter	1.1.3		eb8f49102df4c89d4da70034d7f77d171abb30f1
club.dawdler	dawdler-client-plug-web	0.0.1-jdk1.8-RELEASES		d47e7789df460496a81c772142902ed371f07fc4
club.dawdler	dawdler-client-plug-web	0.0.1-jdk17-RELEASES		c3c747bc8073340f0df38bcc5b72c061627f6569
club.dawdler	dawdler-client-plug-web	0.0.1-jdk21-RELEASES		4c6e4af36c6fba87948001a8beb3da3a0a54ff12
club.dawdler	dawdler-client-plug-web	0.0.2-jdk1.8-RELEASES		b08a6555273dc165fb6ef9c5b1bec3e7f3dbfd82
club.dawdler	dawdler-client-plug-web	0.0.2-jdk17-RELEASES		2b628d4c9f6962aee8240b107c3e036f0f1426d2
club.dawdler	dawdler-client-plug-web	0.0.2-jdk21-RELEASES		e6388cb71727f559dacd4d4de6e1bd6310293bd1
club.dawdler	dawdler-client-plug-web	0.0.3-jdk1.8-RELEASES		fa298a99669c712ecb40b0569b4a97df0a145080
club.dawdler	dawdler-client-plug-web	0.0.3-jdk17-RELEASES		f1f9f90ad8b60098ca254ba287fd67be521d388e
club.dawdler	dawdler-client-plug-web	0.0.3-jdk21-RELEASES		f55c0c2745007aa484d0841a2a626291dfa2f6a9
club.dawdler	dawdler-client-plug-web	0.0.4-jdk1.8-RELEASES		ea8f836245121f1d98f79d5921089356126faed7
club.dawdler	dawdler-client-plug-web	0.0.4-jdk17-RELEASES		7da321779bf2397843f5af7430f6a93547a2f4a0
club.dawdler	dawdler-client-plug-web	0.0.4-jdk21-RELEASES		2ded37925c99c63e5c77bed7f4dfae8db3a2eb2d
club.dawdler	dawdler-client-plug-web	0.0.5-jdk1.8-RELEASES		ee304b49f0cc5fd7b19fa161b2114f89f83c1f4a
club.dawdler	dawdler-client-plug-web	0.0.5-jdk17-RELEASES		ba6650a92c3cf5a7299c6513c3967604484989ac
club.dawdler	dawdler-client-plug-web	0.0.5-jdk21-RELEASES		c38bad0a9cf686a327f2418c475f8ae51dd98529
club.dawdler	dawdler-client-plug-web	0.0.6-jdk1.8-RELEASES		b00a6f97dfd398fb253fee1a499d87f149a47911
club.dawdler	dawdler-client-plug-web	0.0.6-jdk17-RELEASES		6e6423ca622644d48284d4581e32e93be1c6da02
club.dawdler	dawdler-client-plug-web	0.0.6-jdk21-RELEASES		e7b4b1a96e8168cf8c85ba6f84404930840f0f6a
club.dawdler	dawdler-client-plug-web	0.0.7-jdk1.8-RELEASES		298b003d2c3b7526e34bc37be69d50c75a718fe4
club.dawdler	dawdler-client-plug-web	0.0.7-jdk17-RELEASES		b244684578ac8613f6c40da8eb6fa11d7a94ca0a
club.dawdler	dawdler-client-plug-web	0.0.7-jdk21-RELEASES		2712fbd92b9dd7fd31026a4130b3eb8c427bbcfe
club.dawdler	dawdler-client-plug-web	0.0.8-jdk1.8-RELEASES		8937e0dab155d7ed537b2b5f8c7101c8adf1bb75
club.dawdler	dawdler-client-plug-web	0.0.8-jdk17-RELEASES		c50decdfde7ed6cd06bcc2f3757bb5711eab18d1
club.dawdler	dawdler-client-plug-web	0.0.8-jdk21-RELEASES		42b5723bacb0f7d7dfea36f876d3b23d0fbf1ce9
club.dawdler	dawdler-client-plug-web	0.0.9-jdk1.8-RELEASES		3dc2b5da24f32adf8c98b382915fab5a48c1622d
club.dawdler	dawdler-client-plug-web	0.0.9-jdk17-RELEASES		2d6acd89dca915d3b56c248ca321dbdfb666f2e6
club.dawdler	dawdler-client-plug-web	0.0.9-jdk21-RELEASES		27cfb0ee86a54005eaae80923b987d87b512a93b
cn.com.antcloud.api	antcloud-api-ak_2a208836e8ae421bb0fbcdbd0dab8d14	1.0.1		b60a3a9c6020ae115f535c19cca0acf1b9024802
co.touchlab	stately-concurrent-collections-iosx64	2.0.0		N/A
co.touchlab	stately-concurrent-collections-iosx64	2.0.0	metadata	ca4450bf32d251e6a2e814d769e2b8622f7937e9
co.touchlab	stately-concurrent-collections-iosx64	2.0.0-rc1		N/A
co.touchlab	stately-concurrent-collections-iosx64	2.0.0-rc1	metadata	940e0653219f893f9570ab3d45f912fbd8c759be
co.touchlab	stately-concurrent-collections-iosx64	2.0.0-rc2		N/A
co.touchlab	stately-concurrent-collections-iosx64	2.0.0-rc2	metadata	39a7e772d31a0104fe535cf496680d6afb1d25aa
co.touchlab	stately-concurrent-collections-iosx64	2.0.0-rc3		N/A
co.touchlab	stately-concurrent-collections-iosx64	2.0.0-rc3	metadata	e75af6f7cac965bb37138a2c5f5fe12b9a3d9a38
co.touchlab	stately-concurrent-collections-iosx64	2.0.2		N/A
co.touchlab	stately-concurrent-collections-iosx64	2.0.2	metadata	37954e34e2236472c5695d5add49c2371fff9d5f
co.touchlab	stately-concurrent-collections-iosx64	2.0.3		N/A
co.touchlab	stately-concurrent-collections-iosx64	2.0.3	metadata	f9754c0000a0a2b615c69aa10d872eeda3f6e7c2
co.touchlab	stately-concurrent-collections-iosx64	2.0.4		N/A
co.touchlab	stately-concurrent-collections-iosx64	2.0.4	metadata	f2c79783e83a34f131c61eacae983431dbad381d
co.touchlab	stately-concurrent-collections-iosx64	2.0.5		N/A
