at.bestsolution.fx.test	at.bestsolution.fx.test	0.0.1		N/A
br.com.devires.framework.boot	devires-framework-audit	1.0.0		N/A
br.com.devires.framework.boot	devires-framework-audit	1.0.0	plain	3a5fca258fe0251b7ad60266c83ca09f7eb0292b
br.dev.dig.logger.printer	firebase-ktx	1.2.0		N/A
br.dev.dig.logger.printer	firebase-ktx	1.3.0		N/A
ch.admin.bit.jeap	jeap-messaging-avro-validator	8.15.0		37849375ca47c77e91dfcb6e31466611efed8183
ch.admin.bit.jeap	jeap-messaging-avro-validator	8.16.0		2bf3051660d3f8f153b747973433236f8a293422
ch.admin.bit.jeap	jeap-messaging-avro-validator	8.17.0		dc62f9d664da4becf7ec3933c0f51d2e0259d345
ch.admin.bit.jeap	jeap-messaging-avro-validator	8.18.0		a8d30de70a17d4d17e80e744c797c2e971f75242
ch.admin.bit.jeap	jeap-messaging-avro-validator	8.19.0		40a7575ae6591dcc43d55bfd3d467455bf67d326
ch.admin.bit.jeap	jeap-messaging-avro-validator	8.20.0		c2cd5713884a7c6811869a1d5cb11ae9f196b52e
ch.admin.bit.jeap	jeap-messaging-avro-validator	8.21.0		bccf53834c2bff4ee89c19c19e300fe2e9612353
ch.admin.bit.jeap	jeap-messaging-avro-validator	8.22.0		719eac983b3d7ec6cfd8994bb51311502d3bd17f
ch.admin.bit.jeap	jeap-messaging-avro-validator	8.23.0		aef92bb4e3ab6db04c338d06715a08f5e9796b89
ch.admin.bit.jeap	jeap-messaging-avro-validator	8.24.0		9b459f853faf57470ac161a3b4daa5983f273d8d
ch.admin.bit.jeap	jeap-messaging-avro-validator	8.25.0		568a9f8bf461f010d0cfe4011c6d84de42443411
ch.admin.bit.jeap	jeap-messaging-avro-validator	8.26.0		def91d8edef21da4731e0125b87dee88f178edc8
ch.admin.bit.jeap	jeap-messaging-avro-validator	8.27.0		10b35f05e9b11040a745a3367159c366827fbac5
ch.admin.bit.jeap	jeap-messaging-avro-validator	8.27.1		f388ebc46eb2b998b623000cc588e4131f82b4b4
ch.admin.bit.jeap	jeap-messaging-avro-validator	8.27.2		36ff1ad0b9e8e318f01daf6ebdf806acbe7aab97
ch.admin.bit.jeap	jeap-messaging-avro-validator	8.28.0		ce43251ffd6087dc0123ae7d364b5014d1c1caae
ch.admin.bit.jeap	jeap-messaging-avro-validator	8.29.0		4d11f148b6907fe0c5f0792c32fbb64317615936
ch.admin.bit.jeap	jeap-messaging-avro-validator	8.30.0		631d56ff4cdab381ff3bea4cc97b1a58d436de06
ch.admin.bit.jeap	jeap-messaging-avro-validator	8.30.1		5ce7fc0dec74560735101307afe05d6e4d0babea
ch.admin.bit.jeap	jeap-messaging-avro-validator	8.30.2		7039ff9b87e1fb59aa6fcc164f7b7a2eefe9cff6
ch.admin.bit.jeap	jeap-messaging-avro-validator	8.30.3		3ecf9d5210b984b0feb3e179ba78cc7c9d99eed0
ch.admin.bit.jeap	jeap-messaging-avro-validator	8.31.0		0ea28e17c7edf64a0b106d03570964992af7ebcd
ch.admin.bit.jeap	jeap-messaging-avro-validator	8.31.1		e722e672ea0fb192d43f80bd057c3fd07a326164
ch.admin.bit.jeap	jeap-messaging-avro-validator	8.31.2		c9745cf098214790651ee74f6c1104d91df022c7
ch.admin.bit.jeap	jeap-messaging-avro-validator	8.32.0		eb4d671602638cc2a29de7e5095a011af43ec540
ch.admin.bit.jeap	jeap-messaging-avro-validator	8.33.0		8a1fb58ada4d66167526d015043555dd607d6863
ch.admin.bit.jeap	jeap-messaging-avro-validator	8.34.0		2ed8de3985bcfe2093dbcfd18b9703cbf80cfac1
ch.admin.bit.jeap	jeap-messaging-avro-validator	8.35.0		d86875fcf8e23327f6c1b4317d7ae42592bbd51d
ch.admin.bit.jeap	jeap-messaging-avro-validator	8.36.0		93188df8489a66b0bb7e53c12bd401b0d807334e
com.aliyun	aiearth_meteorology20210928	1.0.0		45369aee61d6f1fbdec136e5616ba2521ee9bd31
com.aliyun	aiearth_meteorology20210928	1.0.1		427e102517554eda80634d9ff3513b688773989e
com.aliyun	aiearth_meteorology20210928	1.0.2		3a7d650166ebe62cf7f7d713b8f711201f885619
com.aliyun	aiearth_meteorology20210928	1.0.2	shaded	baa8002a26cf10409e989b6c47e6cc0eaf9ac5ec
com.codecommit	shims-scalaz-72_2.10	0.1-b7e8e5f		a6acd71fbb154ce7fb0af820a027346eef2a28ae
com.codecommit	shims-scalaz-72_2.10	0.2		8d725414f4e755f486c9f3da7166a1356ec3c1d1
com.codecommit	shims-scalaz-72_2.10	0.2-521580f		39c0118a82a2339c0e1775bf03326567627bb938
com.codecommit	shims-scalaz-72_2.10	0.3		c346675646e29d649e0c362588054d83b9c1088b
com.codecommit	shims-scalaz-72_2.10	0.3.1		e2ac433b71867875e50a0c739acff139566fc679
com.fayelau	tummy-base	1.0.1		N/A
com.fluxtion.csv-compiler	csv-compiler	0.1.10		8d19627ae646d14880a7e7274f555cb19233b120
com.fluxtion.csv-compiler	csv-compiler	0.1.11		8a8988a0e96e7102efb4cf1de7d4dce79f15373b
com.fluxtion.csv-compiler	csv-compiler	0.1.12		0eebcf76958a1a2fc4c190a87ecc9d49b9ccb85c
com.fluxtion.csv-compiler	csv-compiler	0.1.13		9faa0215326fa749d7a0fa25983811fb388744b2
com.fluxtion.csv-compiler	csv-compiler	0.1.14		912662288fd54b70eb73d71b6ce2cb551c993e49
com.fluxtion.csv-compiler	csv-compiler	0.1.15		1acd82367ac162661276e560432b293fe3b6732b
com.fluxtion.csv-compiler	csv-compiler	0.1.16		40d66ce104cb4a513ba7bb78185250dad61f8ffb
com.fluxtion.csv-compiler	csv-compiler	0.1.17		b71321aeec1a8cfc1ffd6e7fc5f5b67a1457097b
com.fluxtion.csv-compiler	csv-compiler	0.1.18		108fcf578a47778cee55fb72cdef747056473364
com.fluxtion.csv-compiler	csv-compiler	0.1.19		b9106bd2ec5b48c537326343b927de0d4c4a35c4
com.fluxtion.csv-compiler	csv-compiler	0.1.2		f82a289295a7da6a3011c910b927193a40a16216
com.fluxtion.csv-compiler	csv-compiler	0.1.3		fb2716dccf7e3146a8c8295f982a0fd67cca6816
com.fluxtion.csv-compiler	csv-compiler	0.1.6		1718ff3204753313a5e580b626a808af00bfb430
com.fluxtion.csv-compiler	csv-compiler	0.1.7		e2d43825e493bd6f5e0d9a095346f5b25cf84d3b
com.fluxtion.csv-compiler	csv-compiler	0.1.8		b570165f4fde2969a01b21791cfe04d31b7a5fec
com.fluxtion.csv-compiler	csv-compiler	0.1.9		033dcb1e77dceb24ac16d0a85ef101f69779eb74
com.fluxtion.csv-compiler	csv-compiler	0.2.0		36f959ae61bdfc68a1c5015ce1a1d3ad49239ea5
com.github.aaronp	dockerenv_2.12	0.0.1		b792e5f39275b57fddc157a11dec875670584240
com.github.aaronp	dockerenv_2.12	0.0.2		c7ee6847a5f8ba534f8e194d10ef77b6da8eec10
com.github.aaronp	dockerenv_2.12	0.0.3		19f04027d5b5408d0438a41040d9f6826248a23d
com.github.aaronp	dockerenv_2.12	0.0.4		ed14703cf402211951f776250db453cf10175252
com.github.aaronp	dockerenv_2.12	0.3.0		6431b3961b1772be96770e2031912f5629fb04c8
com.github.aaronp	dockerenv_2.12	0.3.4		e8085f6d54f6e2fe114678e85fde27f7a3bc2b7a
com.github.aaronp	dockerenv_2.12	0.4.0		c28807fa2683ddc3db79ab5e26414f232b7db847
com.github.aaronp	dockerenv_2.12	0.4.3		16b9ff0b966b8043a2db2ba1a5637a2e64f13829
com.github.aaronp	dockerenv_2.12	0.4.5		c45209d63a16f4bc6174ab287661f276e9690d3d
com.github.aaronp	dockerenv_2.12	0.5.0		98585a2a656f87a9925ddcdb9678dae407325452
com.github.aaronp	dockerenv_2.12	0.5.4		f46c32442b854e1ee0b0c98b5c8d6437a31463a6
com.github.aaronp	dockerenv_2.12	0.6.0		5f34aa07422fbabb91de7d90ccab43dfb20723e4
com.github.wookietreiber.sfreechart	sfreechart_2.10.0-RC5	0.1.0		74adbf59a85b9fd375b8fb24f358e05d22ce8611
com.github.yiuman	citrus-boot-starter	0.0.1		66132846cacaec1fc2f646399c9274d13a2ff175
com.github.yiuman	citrus-boot-starter	0.0.2		5155ce52a10dc98452d9c3bfca436d5621852dc8
com.github.yiuman	citrus-boot-starter	0.0.3		4db7c46cf0acc2b61f793e6cd8eb52d6a37c5969
com.github.yiuman	citrus-boot-starter	0.0.4		a07cc8bf40f0f3908106f856f3337a7f74eae08c
com.github.yiuman	citrus-boot-starter	0.0.5		b049f492bdcca9d28bceda1b257959a81b36be9b
com.github.yiuman	citrus-boot-starter	0.0.6		d98290273a221bf59244fe9fe106bf745306f0da
com.github.yiuman	citrus-boot-starter	0.0.7		ce319367d0f2f10139e4cf8e2d71ff46faa4b4e9
com.github.yiuman	citrus-boot-starter	0.0.8		3991e8855ce4e4105158d81bb171ba130428a16a
com.github.yiuman	citrus-boot-starter	0.1.0.RELEASE		b10cf9573453e1a127e4634a4b8e3b3f8ee334f9
com.github.yiuman	citrus-boot-starter	0.1.2.RELEASE		706729299e852568923c1e6a8b4ac98b768ce846
com.github.yiuman	citrus-boot-starter	0.10.0		0944e702273de359c6e2b90535cb7e382885cc50
com.github.yiuman	citrus-boot-starter	0.11.0		9a813ae89dd7b0eb68c54aa67535c61ca9a44ab0
com.github.yiuman	citrus-boot-starter	0.12.0		18ed3cd6762ff052379d79dcc666b8567b40c260
com.github.yiuman	citrus-boot-starter	0.13.0		0eab532c5c8ca8dc7d3c702c59f542e2b30067ec
com.github.yiuman	citrus-boot-starter	0.14.0		638d117b4b41bd3b02e7a8a44fdcb5d047c9e79e
com.github.yiuman	citrus-boot-starter	0.15.0		5d49edc46f575f0b889c438c7f3295375c325c7b
com.google.cloud	spring-cloud-gcp-starter-vision	2.0.0		6de0bd5cd2f707c7693c64a0e2d901d6a18f250b
com.google.cloud	spring-cloud-gcp-starter-vision	2.0.0-RC1		2e962e86c19efc8f788f50a52dd0e8153c0847ff
com.google.cloud	spring-cloud-gcp-starter-vision	2.0.0-RC2		996f5eb891cc4aa91335bb2cb2d258cfc6cc51cb
com.google.cloud	spring-cloud-gcp-starter-vision	2.0.1		ef36fe869ea3ed66503ffce7c6e75a42a00b6d76
com.google.cloud	spring-cloud-gcp-starter-vision	2.0.10		e42c63cb06a9e524cccd77fd715e4c1fb59af5eb
com.google.cloud	spring-cloud-gcp-starter-vision	2.0.11		936ea005d58fabb90394a5f7b5d6f29aaad47488
com.google.cloud	spring-cloud-gcp-starter-vision	2.0.2		5913b92d23dc0bf2c5c70fa5bb0e91e53cdcc4fb
com.google.cloud	spring-cloud-gcp-starter-vision	2.0.3		9857854ccd9718ed1ddc18053aa927d210020c23
com.google.cloud	spring-cloud-gcp-starter-vision	2.0.4		0162c1378ccb06f3d8c0eee64f12bf6a6c2006ff
com.google.cloud	spring-cloud-gcp-starter-vision	2.0.5		d33c71aaf736e14b9858cefd0596798b08490f13
com.google.cloud	spring-cloud-gcp-starter-vision	2.0.6		a9254f151226c6b970deed2675ff78a8226f2876
com.google.cloud	spring-cloud-gcp-starter-vision	2.0.7		2dd4562b5ffd642cfaacf9e7bed8370b5dab8958
com.google.cloud	spring-cloud-gcp-starter-vision	2.0.8		891cb3d602ae0e574baefc2f58bf75950d799ff1
com.google.cloud	spring-cloud-gcp-starter-vision	2.0.9		4d74e03d073c88fc37d22bd26b340b1bf6edfd5c
com.google.cloud	spring-cloud-gcp-starter-vision	3.0.0		11ac714362dde9521e2e8f2e4753b7a4b103cdd5
com.google.cloud	spring-cloud-gcp-starter-vision	3.1.0		119ba4ed3c7436cb5bf11e116c8c796c4df3fd25
com.google.cloud	spring-cloud-gcp-starter-vision	3.2.0		e550be750f2e2de7d80e8fe153d0717a6c83d0dd
com.google.cloud	spring-cloud-gcp-starter-vision	3.2.1		17c269b167eb84967edd75dc2944ff57094b90b2
com.google.cloud	spring-cloud-gcp-starter-vision	3.3.0		52b15d50579d595ce6afed10135451d81f5f6ee7
com.google.cloud	spring-cloud-gcp-starter-vision	3.4.0		764005cfa372db87f2853f60961884f0759cef6b
com.google.cloud	spring-cloud-gcp-starter-vision	3.4.1		e871d840ac8fb71ee32d0bfdf26049503ed0685d
com.google.cloud	spring-cloud-gcp-starter-vision	3.4.2		2a065994c8e0f42eb3dbe46decaf4ef564eaf564
com.google.cloud	spring-cloud-gcp-starter-vision	3.4.3		f47de7c90699bd027e7b6c71817ed159091ddf90
com.google.cloud	spring-cloud-gcp-starter-vision	3.4.4		c3d9086a82bb1fa855eea1f74b31fa43e638f8ad
com.google.cloud	spring-cloud-gcp-starter-vision	3.4.5		c798097c71a2ac733291dc41d8787958f2236c2f
com.google.cloud	spring-cloud-gcp-starter-vision	3.4.6		53255f242a5d0e76649938138a070cc21743a3fd
com.google.cloud	spring-cloud-gcp-starter-vision	3.4.7		cad1ce4212a3c25fb283ff1a9b2ae434340ae771
com.google.cloud	spring-cloud-gcp-starter-vision	3.4.8		b2ab324a09a58e8b4d544c94af52cc478d962d53
com.google.cloud	spring-cloud-gcp-starter-vision	3.4.9		498ff0ced1a1ffdeaff589714e5f3511136d138a
com.google.cloud	spring-cloud-gcp-starter-vision	3.5.0		e5ca6f12a8d7cbcce59c70c7f00848d36887ba9e
com.google.cloud	spring-cloud-gcp-starter-vision	3.5.1		ab99d364ed4b8edad5c77e48fee1f1461bc8c639
com.google.cloud	spring-cloud-gcp-starter-vision	3.5.2		2216529c1fd0f1f39671d353dec8727717d180fc
com.google.cloud	spring-cloud-gcp-starter-vision	3.5.3		62cac0f20f14721b2e69cda1011bcf958f4eb535
com.google.cloud	spring-cloud-gcp-starter-vision	3.5.4		0d7d895e9eb847384becfd9d73d454aed1221b89
com.google.cloud	spring-cloud-gcp-starter-vision	3.5.5		5c96cc7ed5dc3bb6f3de2818149483ea215171f3
com.google.cloud	spring-cloud-gcp-starter-vision	3.6.0		caa45fcc4fd69b170ea94b04d65b670af9d3f997
com.google.cloud	spring-cloud-gcp-starter-vision	3.6.1		a7612d3983178240337c934215650b8b0cb8f29e
com.google.cloud	spring-cloud-gcp-starter-vision	3.6.2		a100c3ecd39a1ca4bbf62d91532f8b8ac83dd1cf
com.google.cloud	spring-cloud-gcp-starter-vision	3.6.3		8fd72e517eb8fd0184904b6ff9aba53a532ee867
com.google.cloud	spring-cloud-gcp-starter-vision	3.7.0		66ae0187b1452fd0f7ea2cec4d627c3f90018baf
com.google.cloud	spring-cloud-gcp-starter-vision	3.7.1		eb266d35c5d12a30b5d6f7172db205dde3ae116c
com.google.cloud	spring-cloud-gcp-starter-vision	3.7.2		182834aa2951dc32dc997c914e4b3f89b09330cd
com.google.cloud	spring-cloud-gcp-starter-vision	3.7.3		15a88413ccc455beff0d4364d09ab06202762c4d
com.google.cloud	spring-cloud-gcp-starter-vision	3.7.4		9795dc12ba576bce2001192fd669982ba9d69a79
com.google.cloud	spring-cloud-gcp-starter-vision	3.7.5		b73eeb9729fd4021ea85697434faf9da979cbf5b
com.google.cloud	spring-cloud-gcp-starter-vision	3.7.6		c1dfc047793f19b796be628cb69f4ca833faf7e1
com.google.cloud	spring-cloud-gcp-starter-vision	3.7.7		2c6ded2f41eda0279a20137024a0ee39a033a17b
com.google.cloud	spring-cloud-gcp-starter-vision	3.7.8		d372cd1cb71c984dc8ebb2b874261e4608aa4229
com.google.cloud	spring-cloud-gcp-starter-vision	3.7.9		e53fc8e56c9adfca9b0b7d8c062282e473b9f0c7
com.google.cloud	spring-cloud-gcp-starter-vision	3.8.0		e14aee2de6d812a48962156fe9a48b76a5462136
com.google.cloud	spring-cloud-gcp-starter-vision	3.8.1		9ba91bff9633135288acc610c4db541772d0a480
com.google.cloud	spring-cloud-gcp-starter-vision	3.8.10		1bb599cbca00dab9c1d8ae4fa0652d8e2da5c3e6
com.google.cloud	spring-cloud-gcp-starter-vision	3.8.11		20dd81ab06d13e47cdb01dafecec487b14e69e17
com.google.cloud	spring-cloud-gcp-starter-vision	3.8.12		b9ec2fba7b2116743b42a6f7476f25b2ed683ba5
com.google.cloud	spring-cloud-gcp-starter-vision	3.8.13		fbcd6c9ccfeff971058d73c4120d68d6fe105309
com.google.cloud	spring-cloud-gcp-starter-vision	3.8.14		e47cdf70a07b6e29f672f389524088e52f3b4685
com.google.cloud	spring-cloud-gcp-starter-vision	3.8.15		4bcfa3dcef3c50af535672214e4342420408b429
com.google.cloud	spring-cloud-gcp-starter-vision	3.8.16		9e0cd0469e2b7e5b6bda82657b4745016e28a314
com.google.cloud	spring-cloud-gcp-starter-vision	3.8.17		964fc80b97618c5e901ddd2fe173aa80f6e0ea08
com.google.cloud	spring-cloud-gcp-starter-vision	3.8.18		b74758c7578f9d531140815d4bed25322da3e071
com.google.cloud	spring-cloud-gcp-starter-vision	3.8.2		9216cc939fc056a9df384f5c452e811a8c382fea
com.google.cloud	spring-cloud-gcp-starter-vision	3.8.3		ec29a9bedddd4a01a10883a6676a0c57322429c5
com.google.cloud	spring-cloud-gcp-starter-vision	3.8.4		564319975938ac395b3e4082a4fd3adcf013b621
com.google.cloud	spring-cloud-gcp-starter-vision	3.8.5		d82bf0701c97a8d50286638208c0129f7cfeddca
com.google.cloud	spring-cloud-gcp-starter-vision	3.8.6		b281296d55ea08762a405d1fe614654912ff7524
com.google.cloud	spring-cloud-gcp-starter-vision	3.8.7		aed9e763083fd145ab3555fd0c949c5abf3331bd
com.google.cloud	spring-cloud-gcp-starter-vision	3.8.8		6c1dca0413bc4e6d1a5c47e119ea6a86f9486db4
com.google.cloud	spring-cloud-gcp-starter-vision	3.8.9		26914f74250924cb9990a787ff6a42115e76058f
com.google.cloud	spring-cloud-gcp-starter-vision	4.0.0		d8629d7b3996dc9eaa5e6d610e9244d8f9f63e69
com.google.cloud	spring-cloud-gcp-starter-vision	4.1.0		8e69f56f5500998857625c5e2a935c3b7b972d79
com.google.cloud	spring-cloud-gcp-starter-vision	4.1.1		d97442b362a6e4b587d99d8eb248625430b49e33
com.google.cloud	spring-cloud-gcp-starter-vision	4.1.2		c74d6640c90dc62ad7a5d7efbf054d78002abe3d
com.google.cloud	spring-cloud-gcp-starter-vision	4.1.3		87d5138fc183bcce32e4c5d3c10ea3fa455bc11b
com.google.cloud	spring-cloud-gcp-starter-vision	4.1.4		964308ff8cb5b1ac3c14602ecfbec03b357c1059
com.google.cloud	spring-cloud-gcp-starter-vision	4.10.0		689a737f71cf02b1076661799ef5bad2e9adf4ea
com.google.cloud	spring-cloud-gcp-starter-vision	4.10.1		ddf2ef7b2fe4e64488c8d241aa068f1dd68cfdcc
com.google.cloud	spring-cloud-gcp-starter-vision	4.10.10		a091c725cc4ba215e9beb532fac93a4d178e1a5b
com.google.cloud	spring-cloud-gcp-starter-vision	4.10.11		9a75151ad37c3d08229b85d3325e781e70022c35
com.google.cloud	spring-cloud-gcp-starter-vision	4.10.12		c8de510783e72d5e544dd3ec8058b466f12d0b7f
com.google.cloud	spring-cloud-gcp-starter-vision	4.10.13		e6a4e9d731ef472583df93491873498b9afc6d31
com.google.cloud	spring-cloud-gcp-starter-vision	4.10.14		487b1dde55835582b260d9391e260bb9c7533495
com.google.cloud	spring-cloud-gcp-starter-vision	4.10.15		607fc24f15d09dc0751418de7dc62a11207adbe5
com.google.cloud	spring-cloud-gcp-starter-vision	4.10.16		869d71545a5f7db8f29a0f394dcf7603464bfce0
com.google.cloud	spring-cloud-gcp-starter-vision	4.10.17		575b1ecea9505c5e881b718bf3086c9a1eceb7bb
com.google.cloud	spring-cloud-gcp-starter-vision	4.10.18		ae4bb4225cd3d6cdac7679a51957a9d295d67ea1
com.google.cloud	spring-cloud-gcp-starter-vision	4.10.19		010e4534ff8091d92844e65a71ec7a7f461bae9f
com.google.cloud	spring-cloud-gcp-starter-vision	4.10.2		3b959c0e918c83f3a8dc2e041aa50bdaff4bfce9
com.google.cloud	spring-cloud-gcp-starter-vision	4.10.3		a8d48ca4953dbe13c1fb2c683cc22f62c163cda1
com.google.cloud	spring-cloud-gcp-starter-vision	4.10.4		bf5842d5a1c8bc2851fb385c8dcee494469cfef7
com.google.cloud	spring-cloud-gcp-starter-vision	4.10.5		028313159cc28b88719cf66a4ed16376462c0755
com.google.cloud	spring-cloud-gcp-starter-vision	4.10.6		a9bfb4761390c5596086e516cc3ad8246eeccc32
com.google.cloud	spring-cloud-gcp-starter-vision	4.10.7		cce028492c8d68383c654b26d46cd393431b8495
com.google.cloud	spring-cloud-gcp-starter-vision	4.10.8		03093eb9f74292992d8ef42bfe6f9cea977f0a71
com.google.cloud	spring-cloud-gcp-starter-vision	4.10.9		6e3abdbb07eedd9a68b40f0eb9e674b6797981a9
com.google.cloud	spring-cloud-gcp-starter-vision	4.2.0		e53a12c979c338aa5559e54c5a1d5aea4b89a5df
com.google.cloud	spring-cloud-gcp-starter-vision	4.3.0		228a983508a4ab52b45a8bb573dfd410782cc6d9
