ch.epfl.scala	sbt-web-scalajs-bundler-0-6_2.10_0.13	0.16.0		74d4fb9dfe6b13606f98b1c9b99b70bf144d6049
cn.cimoc	broky-spring-boot-starter	1.0		faf9b5d7e2e0133a6b1626e67f6d50020b50fc0e
cn.cimoc	broky-spring-boot-starter	1.0.1		545cd3560fb2aba2743bf585798692c47396ed61
cn.jeeweb	jeeweb-common-security	1.0.3.RELEASE		b2fad499fa4f0cdbf5ca48236c1ffea6689af098
cn.jeeweb	jeeweb-common-security	1.0.4.RELEASE		20280ef83058fbf5c22bb166456cc8ff1758e20b
cn.loyom.boot	loyom-boot-spring-service	1.0.0-JDK21		N/A
cn.loyom.boot	loyom-boot-spring-service	1.0.0-JDK21	jdk21	c2de746193999a9358c18575dd66fcb6ca01a32f
cn.loyom.boot	loyom-boot-spring-service	1.0.1-JDK21		N/A
cn.loyom.boot	loyom-boot-spring-service	1.0.1-JDK21	jdk21	e070564d20549cc045651f588d53e60440dbf4d6
cn.loyom.boot	loyom-boot-spring-service	1.0.3-JDK21		N/A
cn.loyom.boot	loyom-boot-spring-service	1.0.3-JDK21	jdk21	fd86d039043f90d37807d970ac7a715febb4b5df
cn.thinkingdata.android	TAThirdParty	1.0.0		N/A
cn.thinkingdata.android	TAThirdParty	1.1.0		N/A
cn.thinkingdata.android	TAThirdParty	1.2.0		N/A
cn.thinkingdata.android	TAThirdParty	1.3.0		N/A
cn.thinkingdata.android	TAThirdParty	2.0.0		N/A
cn.thinkingdata.android	TAThirdParty	2.0.1		N/A
cn.thinkingdata.android	TAThirdParty	2.0.2		N/A
co.adcel.android	adcel-interstitial-image	1.12.0		N/A
co.adcel.android	adcel-interstitial-image	1.12.1		N/A
co.adcel.android	adcel-interstitial-image	1.12.2		N/A
co.adcel.android	adcel-interstitial-image	1.12.3		N/A
co.adcel.android	adcel-interstitial-image	1.12.4		N/A
co.adcel.android	adcel-interstitial-image	1.12.5		N/A
co.adcel.android	adcel-interstitial-image	1.13.0		N/A
co.adcel.android	adcel-interstitial-image	1.13.1		N/A
co.adcel.android	adcel-interstitial-image	1.13.2		N/A
co.adcel.android	adcel-interstitial-image	1.13.3		N/A
co.touchlab	stately-iso-collections-iosarm64	0.10.0		N/A
co.touchlab	stately-iso-collections-iosarm64	0.10.1		N/A
co.touchlab	stately-iso-collections-iosarm64	0.10.2		N/A
co.touchlab	stately-iso-collections-iosarm64	1.0.0-a2		N/A
co.touchlab	stately-iso-collections-iosarm64	1.0.0-a3		N/A
co.touchlab	stately-iso-collections-iosarm64	1.0.1-eap		N/A
co.touchlab	stately-iso-collections-iosarm64	1.0.2-a4		N/A
co.touchlab	stately-iso-collections-iosarm64	1.0.3-a4		N/A
co.touchlab	stately-iso-collections-iosarm64	1.0.4-a1-1.4-M2		N/A
co.touchlab	stately-iso-collections-iosarm64	1.0.4-a1-1.4-M3		N/A
co.touchlab	stately-iso-collections-iosarm64	1.0.4-a1-1.4.0-rc		N/A
co.touchlab	stately-iso-collections-iosarm64	1.1.0-a1		N/A
co.touchlab	stately-iso-collections-iosarm64	1.1.1-a1		N/A
co.touchlab	stately-iso-collections-iosarm64	1.1.10-a1		N/A
co.touchlab	stately-iso-collections-iosarm64	1.1.10-a1	metadata	0fc07d2d5de8e5ae6ad09166ad8f94a113ae5496
co.touchlab	stately-iso-collections-iosarm64	1.1.3-a1		N/A
co.touchlab	stately-iso-collections-iosarm64	1.1.4-a1		N/A
co.touchlab	stately-iso-collections-iosarm64	1.1.5-a1		N/A
co.touchlab	stately-iso-collections-iosarm64	1.1.6-a1		N/A
co.touchlab	stately-iso-collections-iosarm64	1.1.7-a1		N/A
