ba.sake	kalem-core_2.13	0.0.1		411234f6035ba1b29c97abf39c428277383d2726
biz.lobachev.annette	camunda_2.13	0.4.0		47630b4e42a58105656df7ad73e85092d85bd400
biz.lobachev.annette	camunda_2.13	0.4.1		1b3632526135e30474097b1dfffc619815087908
biz.lobachev.annette	camunda_2.13	0.4.2		9e45d2ced95a4fc32e36d5d33c0c5c283fdae812
biz.lobachev.annette	camunda_2.13	0.5.0		3d7d67e24ac09ff02643f875c1edee84ae2d3531
biz.lobachev.annette	camunda_2.13	0.5.1		76a7e33c32ecaaffc7ae590ef5332952b9052187
cn.sayjava	keylock	0.0.1		ac0a852de2ee119701821675f0c107708ef370e5
com.agapsys.libs	servlet-testing-framework	0.1.0		8fa68f8e085404b709021ec099022074e39a6a0e
com.agapsys.libs	servlet-testing-framework	0.2.0		9d8867f171041051db158d36f7ad68af8c2c0387
com.agapsys.libs	servlet-testing-framework	1.0.0-RC1		f448dd9cc628fef383bc2352d5b08e025a54871a
com.apzda.cloud	audit-proto	1.0.0		80af7bc5ba5eb2066f24097ef615ae1b36cf3066
com.apzda.cloud	audit-proto	1.0.1		bc2739ff77283c3d85ed8a07f3b4068904a06fc7
com.apzda.cloud	audit-proto	1.0.2		122974db1211f808e92b6a2d971d919a63d4ec8f
com.apzda.cloud	audit-proto	1.0.3		46e479a54f37c538d4022fec9ccedbc93910d93d
com.apzda.cloud	audit-proto	1.0.4		d93fc47f9aec49ff41b313c5011708a2433ca54f
com.badlogicgames.gdxpay	gdx-pay-android-googleplay	0.10.0		1dac779e992e7372305fb0fa1875cebf0fc24a45
com.badlogicgames.gdxpay	gdx-pay-android-googleplay	0.10.1		1d1a39ed1c3c4c7ba1998409c602eefac1686827
com.badlogicgames.gdxpay	gdx-pay-android-googleplay	0.10.2		3ca23ddf8c1ce81ca3834ffba6cabe879c360cb1
com.badlogicgames.gdxpay	gdx-pay-android-googleplay	0.10.3		1c6879d36eeeb95e76768054ede10f73a32e267f
com.badlogicgames.gdxpay	gdx-pay-android-googleplay	0.11.0		1658864fc5369fb2fba1e2f6fd849e3559181d7c
com.badlogicgames.gdxpay	gdx-pay-android-googleplay	0.11.1		e243460ab690d748dfe3a49b82eea8b1ac44b02e
com.badlogicgames.gdxpay	gdx-pay-android-googleplay	0.11.2		f3c3528109ac051d996208870594d045a21bed7b
com.badlogicgames.gdxpay	gdx-pay-android-googleplay	0.11.3		c9e8d5fb1110953c14c2e422e3b15ecc0b6979e3
com.badlogicgames.gdxpay	gdx-pay-android-googleplay	0.11.4		2727e2eacbb9c5371d5139aba6267418acef3bbc
com.badlogicgames.gdxpay	gdx-pay-android-googleplay	0.12.0		d3145f37ee2b8b1d1c9abb4d7361e629adabed3e
com.badlogicgames.gdxpay	gdx-pay-android-googleplay	0.12.1		f5d8c0301216d9a5bddbc8548a2494061d127596
com.badlogicgames.gdxpay	gdx-pay-android-googleplay	0.9.0		77f7979ab486b732d79463b92c7e3ab707c0ce92
com.badlogicgames.gdxpay	gdx-pay-android-googleplay	0.9.1		e60bfb926a481f436152243a56e0a8a84dbab0bb
com.badlogicgames.gdxpay	gdx-pay-android-googleplay	0.9.2		cd101cd22d47327c24ad92fe9ca62a09a563dfec
com.buschmais.jqassistant	neo4jserver.bootstrap	1.3.0		48a414cb7e41688a7f16f74da13c8293532a3c28
com.codecommit	shims-effect_2.13	2.0-b07462c		3cf118f9d509150f22ad8a6a5d98139f9cb1ead2
com.codecommit	shims-effect_2.13	2.0-f7d011a		5905bc8e03a5113f389b9055313131bd38609e9d
com.codecommit	shims-effect_2.13	2.0.0		6714619ea105b43febe45ce220305078118e08c5
com.codecommit	shims-effect_2.13	2.1-1aafef6		7afd4e331c58673c46ecbc86684386f1862102ad
com.codecommit	shims-effect_2.13	2.1-5b1126a		0e4819f3b53eecac5bd7c0b91ee1e280340dac55
com.codecommit	shims-effect_2.13	2.1.0		36f2eb82332f36a5dc4f3439c440e2ae9e9f7a0c
com.codecommit	shims-effect_2.13	2.2.0		7cdfde6051fa03369d4855a4d1ef02a462124bcd
com.datadoghq	dd-sdk-kotlin-multiplatform-webview	0.0.1		6f945a32d8799bf63fc9631586c5ab1a9f243e1f
com.datadoghq	dd-sdk-kotlin-multiplatform-webview	0.0.2		6f945a32d8799bf63fc9631586c5ab1a9f243e1f
com.datadoghq	dd-sdk-kotlin-multiplatform-webview	0.0.3		6f945a32d8799bf63fc9631586c5ab1a9f243e1f
com.datadoghq	dd-sdk-kotlin-multiplatform-webview	0.4.0		6f945a32d8799bf63fc9631586c5ab1a9f243e1f
com.datadoghq	dd-sdk-kotlin-multiplatform-webview	0.5.0		6f945a32d8799bf63fc9631586c5ab1a9f243e1f
com.datadoghq	dd-sdk-kotlin-multiplatform-webview	1.0.0		6f945a32d8799bf63fc9631586c5ab1a9f243e1f
com.datadoghq	dd-sdk-kotlin-multiplatform-webview	1.1.0		6f945a32d8799bf63fc9631586c5ab1a9f243e1f
com.eed3si9n.eval	eval_3.4.3	0.3.0		d0185f1f52cb79e984e6381c590b3323063c1890
com.eed3si9n.eval	eval_3.4.3	0.3.1		df62594f334ec6c18b1cb765ecbfd647af6d8239
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.45		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.46		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.47		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.48		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.49		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.50		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.51		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.52		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.53		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.54		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.55		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.56		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.57		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.58		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.59		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.60		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.61		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.62		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.63		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.64		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.65		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.66		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.67		N/A
com.eygraber.conventions-project-common	com.eygraber.conventions-project-common.gradle.plugin	0.0.68		N/A
