br.com.objectos	csv-parent	0.1.0		N/A
br.com.objectos.way	assertion	0.2.0		3702fb8015c30ddef84ab0adae01db43b5506356
br.com.objectos.way	assertion	0.2.1		14e3e7806117ee91a08421d0d0ca76d1ab58ecdd
br.com.objectos.way	assertion	0.2.2		4b6bae84adcb37fe67903ef3476bf7c75dbe780c
br.com.objectos.way	assertion	0.3.0		d1f8a44a359a4ff11ad1350ee3ffef761a259276
br.com.objectos.way	assertion	0.3.1		3773625edc42b797a47a8fd07b7019d8f9272370
br.com.objectos.way	assertion	0.4.0		f32c960b6f37751563e46792b272b2d747985ed8
br.com.objectos.way	assertion	0.4.1		28223efbfcae2fb7f2871275bad48aec7fd609e7
ch.sbb.polarion.extensions	ch.sbb.polarion.extension.api-extender	1.4.0		32465a16416e1b99d581a0cf473ee1eaf560b454
ch.sbb.polarion.extensions	ch.sbb.polarion.extension.api-extender	1.5.0		546a8bbb58fcb88053a1657cfd835a78f8a55c2d
ch.sbb.polarion.extensions	ch.sbb.polarion.extension.api-extender	2.0.0		794ffbd159189dd198c08c848188efc27075c9e8
cn.com.pism	flyway-resource-scanner	1.0.2		16e38e4f38a873bbeaf3cae1af3d036b611c6970
cn.herodotus.engine	oss-sdk-minio	2.7.0.0		6feb3dd1922ff31bd657a03e81578f43b4c60484
cn.herodotus.engine	oss-sdk-minio	2.7.0.10		f9cd42bef245ddf24b9a036492fc4de3cdb1bc17
cn.herodotus.engine	oss-sdk-minio	2.7.0.20		1a7d24cde53e2033219126863d1bb5e73310d34e
cn.herodotus.engine	oss-sdk-minio	2.7.0.30		411477dc7f6e60718db42cd2969649e54aae5f48
cn.herodotus.engine	oss-sdk-minio	2.7.0.40		45e56ecb5a1a72262e1872421a60ea4c82ddd5fc
cn.herodotus.engine	oss-sdk-minio	2.7.0.50		eef84073324b1f401eab65811ef5148993f9c6a5
cn.herodotus.engine	oss-sdk-minio	2.7.0.60		8baaed9a6bac01e4ae1f2d3ec86c37ecfd87bdf7
cn.herodotus.engine	oss-sdk-minio	2.7.0.Beta1		2b549838e2575576d851d40c7d75c2cb62773cac
cn.herodotus.engine	oss-sdk-minio	2.7.0.Beta2		351dd0bac5d6d257298bce855231bf9a2f082fa0
cn.herodotus.engine	oss-sdk-minio	2.7.0.Beta3		d11f3bcbb314c430220de464ec84fcd5b1d5553b
cn.herodotus.engine	oss-sdk-minio	2.7.0.Beta4		ca4a08cba720451a96cee16a9562f10732fb3491
cn.herodotus.engine	oss-sdk-minio	2.7.0.Beta5		1fe0bcbf877ef7da81f104f602099a818f47b28e
cn.herodotus.engine	oss-sdk-minio	2.7.0.RC1		6bc4d928e74b5769059c5319d4ba19dba11fbf36
cn.herodotus.engine	oss-sdk-minio	2.7.1.0		d87f5ad4ce18fbc7d6dd7dc75a5d003c7de59db5
cn.herodotus.engine	oss-sdk-minio	2.7.1.1		e2835a3515f7ac9942e8ddb869a380e0212fe446
cn.herodotus.engine	oss-sdk-minio	2.7.1.2		3c535437e630f00e4d6c97a24150a7f777081dea
cn.herodotus.engine	oss-sdk-minio	2.7.1.3		6b568c0b1b16e1c5b8ee698d4b67bb63d7d56498
cn.herodotus.engine	oss-sdk-minio	2.7.10.0		c69a60969b19ab293c2c87ea240b3af9a8ca1fed
cn.herodotus.engine	oss-sdk-minio	2.7.10.1		7572dd593c5d56da23a57794d6ec807e726271b0
cn.herodotus.engine	oss-sdk-minio	2.7.10.2		13aef59825979e846c2fbcdb307794601fb8d864
cn.herodotus.engine	oss-sdk-minio	2.7.11.0		9ba671d6ab3a8a792c798661aa5772a9d45a12b7
cn.herodotus.engine	oss-sdk-minio	2.7.11.1		695a04fe2499ab1a2b223516a8bd52b24403409d
cn.herodotus.engine	oss-sdk-minio	2.7.12.0		9218e87b1b4ddc2cb5cea9da8684b81b87f867a0
cn.herodotus.engine	oss-sdk-minio	2.7.12.1		6c7e58b88f10e4593242e22f3c22bc13f5a3680c
cn.herodotus.engine	oss-sdk-minio	2.7.13.0		a0759e1aea17374b03965c6edf09b289bcbe612b
cn.herodotus.engine	oss-sdk-minio	2.7.14.0		9439eac0ab5e23c4e7983ba92ea23507a7214f01
cn.herodotus.engine	oss-sdk-minio	2.7.15.0		647f0dc07c115ec0f46cf2941103c0fd295d4d8b
cn.herodotus.engine	oss-sdk-minio	2.7.16.Final		07e1b17cf0cc1c9b406e034b951b495c19f8f703
cn.herodotus.engine	oss-sdk-minio	2.7.18.Final		3bd2f6ecfdeda8e296b7f5f9cda553a1690a82cc
cn.herodotus.engine	oss-sdk-minio	2.7.2.0		38fa3ceaa7f2b2b32620289f0b63b40cc1aea290
cn.herodotus.engine	oss-sdk-minio	2.7.2.1		46d4f588a0276921a4882152753a9b5f97b79a2f
cn.herodotus.engine	oss-sdk-minio	2.7.2.2		abfd08b2c58084a7e25a623f19b46773342004f8
cn.herodotus.engine	oss-sdk-minio	2.7.2.3		beac7d1cc1557b04153dbc1c223e7e0770f6800d
cn.herodotus.engine	oss-sdk-minio	2.7.2.4		8bff63f6ae7f87efcb15625d03602d943ad59db9
cn.herodotus.engine	oss-sdk-minio	2.7.2.5		04e6e687553fbb74ba9af28aad67d3a5c17f54bd
cn.herodotus.engine	oss-sdk-minio	2.7.2.6		3ed6599d7fd1d44f2f48477e24f26b820e845c4c
cn.herodotus.engine	oss-sdk-minio	2.7.3.0		5a8f3819fd0d97762db1b82b0fc5bdbe6df6efaf
cn.herodotus.engine	oss-sdk-minio	2.7.3.1		91fd6c6d87b7521cb2a361d92f750a3bdae3e3ac
cn.herodotus.engine	oss-sdk-minio	2.7.3.2		5a25e13ad16c4d58456d8667a4483b0ff33f8cf9
cn.herodotus.engine	oss-sdk-minio	2.7.3.3		06622a1fa4c66416dd30b15df6646bf9b4e8f39f
cn.herodotus.engine	oss-sdk-minio	2.7.3.4		a20d06dea8106a7e136e14861cdbdf2c4b7f1149
cn.herodotus.engine	oss-sdk-minio	2.7.3.5		2ba7f0d00488e2eb447ffc1411b6b7e4103fca86
cn.herodotus.engine	oss-sdk-minio	2.7.3.6		556e7780e80c5feb2eaf6ede96827b475ffbfeb5
cn.herodotus.engine	oss-sdk-minio	2.7.4.0		ef0c6eb73ce862761de719aa83627548c998ff80
cn.herodotus.engine	oss-sdk-minio	2.7.4.1		cec86875a9fc947108ed34153db9c9947690ccd6
cn.herodotus.engine	oss-sdk-minio	2.7.4.2		f826f302fbd7173af2f415039284f9fc79a30894
cn.herodotus.engine	oss-sdk-minio	2.7.4.3		d22e5fbb4b06f07667b421a8c7dd7fb394540511
cn.herodotus.engine	oss-sdk-minio	2.7.4.4		366a0867e60078a1dc3a02546fb1af724c5f4c2b
cn.herodotus.engine	oss-sdk-minio	2.7.4.5		a1a5501607f0abbb8127d5bd66cdc4527b64c076
cn.herodotus.engine	oss-sdk-minio	2.7.5.0		18d6a78f3cf4c2fd09c4925dc4ad5450a25fa8fb
cn.herodotus.engine	oss-sdk-minio	2.7.5.1		751a1c7fd1b2a0f26f7f8d5f0e30de6c72e85547
cn.herodotus.engine	oss-sdk-minio	2.7.5.2		850918b630304b4a3c2af071e493c9edb3afbc78
cn.herodotus.engine	oss-sdk-minio	2.7.5.3		fc4f81b42cd725c1af48396b66d907e0ca82fb7b
cn.herodotus.engine	oss-sdk-minio	2.7.6.0		4273ee7e215e82d8e71a5912a8f3a2fee8251d1f
cn.herodotus.engine	oss-sdk-minio	2.7.6.1		d645f9ee9f392dc00bad6d40dcc44120b56f9e24
cn.herodotus.engine	oss-sdk-minio	2.7.7.0		4260503018a5f517b9531af1fcb158833abff03a
cn.herodotus.engine	oss-sdk-minio	2.7.7.1		25356399adc2f2f08a62a17cc22c529c7a4d07bb
cn.herodotus.engine	oss-sdk-minio	2.7.7.2		d0ddff3227c24398f3d459940c73ca87c47ca8a1
cn.herodotus.engine	oss-sdk-minio	2.7.7.3		afa2f4a454f6b5b6632a3d1591dbd65227869610
cn.herodotus.engine	oss-sdk-minio	2.7.7.4		db09b43dbafdcf9505352530e27bf7c1fb4e3f03
