apache-jaxme	jaxmexs-incubation	0.2		01990ef5c7daf262a126e1d0b128acbb206515d6
br.com.objectos	core-service	0.7.0-jdk11		2c91fe158bc5ce16f7640bdd342cddbb6745193c
br.com.objectos	core-service	0.7.0-jdk17		edb76da29d9d455bf8d899ce9e3548d4c20e9547
br.com.objectos	core-service	0.7.0-jdk6		2640eb99cd9019caf513484a4ebd39c927a62eda
br.com.objectos	core-service	0.7.0-jdk7		266c801470a876fdaf23afb73c66bb331c0a15f8
br.com.objectos	core-service	0.7.0-jdk8		75c088880d604ceafb32ac9377e1f8737574c655
cn.javaer	aliyun-spring-boot-starter-oss	1.0.0		4e5ee57eb1da3b702417cf1ee24e16aaadff61ec
com.amazonaws	aws-java-sdk-dax	1.11.1000		f9e2c3c008d0326163bde33a1ad1c693e0c0ba2c
com.amazonaws	aws-java-sdk-dax	1.11.1001		7a0b86f89cb5edf9fbc28e4e956e482ec1cefb06
com.amazonaws	aws-java-sdk-dax	1.11.1002		372c293851e97c46fdc4135b02bb9fc9b3ad9f95
com.amazonaws	aws-java-sdk-dax	1.11.1003		2c1daea7a15e8563df33b5fcd386649113e581b0
com.amazonaws	aws-java-sdk-dax	1.11.1004		a4697d0ec5c105829a7f85004833848526a31e78
com.amazonaws	aws-java-sdk-dax	1.11.1005		e2ab07ea04a05a548033b094a9523dab9633b865
com.amazonaws	aws-java-sdk-dax	1.11.1006		53d9934b4c7ca8af6f6795200973e083734104ba
com.amazonaws	aws-java-sdk-dax	1.11.1007		d7d934fa23926af43c3828262abedc87d9ae2bba
com.amazonaws	aws-java-sdk-dax	1.11.1008		fdd01ea387d0b541df1453035f2b6f97ecb6de83
com.amazonaws	aws-java-sdk-dax	1.11.1009		4d1507ad78cba2d8c30b9b4ad0bb51d13d4f2c75
com.amazonaws	aws-java-sdk-dax	1.11.1010		ebf9c90caaa27ff82cc8dc2003333f34daed4f0e
com.amazonaws	aws-java-sdk-dax	1.11.1011		7f36a117d1cbf143975674a92769b652896b4776
com.amazonaws	aws-java-sdk-dax	1.11.1012		c8104376c32267cfe87c53279b0d604bc6e5523a
com.amazonaws	aws-java-sdk-dax	1.11.1013		ad499897c3ac399b50e6d7d72eaf787833ee6d08
com.amazonaws	aws-java-sdk-dax	1.11.1014		7251b7ae2c5555765e16791ae7b48a4788632f33
com.amazonaws	aws-java-sdk-dax	1.11.1015		db7e299abf33675a8edcb4975d33c4669486eb3e
com.amazonaws	aws-java-sdk-dax	1.11.1016		7598cbf5ef8dad1110dc4de1eca0063167cdee00
com.amazonaws	aws-java-sdk-dax	1.11.1017		78da2c9ee98f8d4f9f1886e3d685ebca963e062d
com.amazonaws	aws-java-sdk-dax	1.11.1018		1cb11746d9e703c5b67659d3d8819ce7125060c1
com.amazonaws	aws-java-sdk-dax	1.11.1019		0c9bc1087bdc2cd88b464ca8ea66e9ffe6f25e2b
com.amazonaws	aws-java-sdk-dax	1.11.1020		d91a0b4714812466ed48d50cb6fcc47860419961
com.amazonaws	aws-java-sdk-dax	1.11.1021		b6201a3f59dc34f6a443250bc4513433896fd59d
com.amazonaws	aws-java-sdk-dax	1.11.1022		8a697f0f907c768d56a17d8160d134a7e7576ab8
com.amazonaws	aws-java-sdk-dax	1.11.1023		c70b3eeec82a4e9e99c568e423adf7ee64cc9777
com.amazonaws	aws-java-sdk-dax	1.11.1024		676126c4f352871f9607fc3a12e003d1d87f7871
com.amazonaws	aws-java-sdk-dax	1.11.1025		faafd1fd0811903602b9a023e19412c2f51ca170
com.amazonaws	aws-java-sdk-dax	1.11.1026		108953a32cabb0ebd99c88d34bb980936c7dc846
com.amazonaws	aws-java-sdk-dax	1.11.1027		b54ed89ba3b9ee84d171a591b4e26ba9b5522d76
