activemq	jaxb-impl	20050407	-	4d45daa19e7e8e941753133ce3a780f3076c0abb
ai.djl.llama	llama	0.26.0	-	b660bc02632078c251f99731374989c9fea299a4
ai.djl.llama	llama	0.27.0	-	4c7f338505adb2f90abd48959f2baa3359774eba
ai.djl.llama	llama	0.28.0	-	89338ce522aa75a31e5300caf1c77414f8e567ef
ai.djl.spring	djl-spring-boot-starter-mxnet-linux-x86_64	0.11	-	77fb4c692cdafeca6e09516ccbf7fdd234c04be3
ai.djl.spring	djl-spring-boot-starter-mxnet-linux-x86_64	0.15	-	30fab2cd49a2add7724d1fb8383060a6d5339475
ai.djl.spring	djl-spring-boot-starter-mxnet-linux-x86_64	0.18	-	60013356ceaeb94649f16115757191d0c61e2c78
ai.djl.spring	djl-spring-boot-starter-mxnet-linux-x86_64	0.19	-	25ecaf0b1cae69c41a17cd7e59f6cb330c521d22
ai.djl.spring	djl-spring-boot-starter-mxnet-linux-x86_64	0.2	-	ecd19fb7d9c827fc4817ac5c5ca87bfeee80c59a
ai.djl.spring	djl-spring-boot-starter-mxnet-linux-x86_64	0.20	-	63490d125361c39325407e865369015a75849291
ai.djl.spring	djl-spring-boot-starter-mxnet-linux-x86_64	0.23	-	6fcb078ec12d15c9f67cb84644a6be37afa738fe
ai.djl.spring	djl-spring-boot-starter-mxnet-linux-x86_64	0.26	-	be98d037c354ed831b6026334f439dd4056630f4
ai.djl.spring	djl-spring-boot-starter-mxnet-linux-x86_64	0.5	-	ccd44726bd53e9d11407634f32f07f48eedf4c82
ai.djl.spring	djl-spring-boot-starter-mxnet-linux-x86_64	0.6	-	108378cfe4639ecaa641d0cbd390f0dde19339aa
ai.djl.spring	djl-spring-boot-starter-mxnet-linux-x86_64	0.7	-	333c0114d61ebbd15f1586769f92001a7b51619e
ai.h2o	h2o-persist-s3	3.10.0.1	-	be3eb2fce65886bb1413f5874b524a07c6be764e
ai.h2o	h2o-persist-s3	3.10.0.10	-	b669ab0c01029578407cb458fa96e17e2442c286
ai.h2o	h2o-persist-s3	3.10.0.2	-	6b1eff622b7acc2e19af2d57df195ba05244c9fd
ai.h2o	h2o-persist-s3	3.10.0.3	-	18cf2dc9d9b63d2a3d32fcc6f26d32ebeab96715
