activesoap	retroweaver-rt	1.1	-	e796b959c4d32e69271d5516d7e5c59e4ac7c713
africa.absa	inception-mail	1.0.0	-	99220f0c6d01b6674db6900c25c8640069966a24
africa.absa	inception-mail	1.0.1	-	f3326e25b0b12dfdc57a305380c195f02846edf5
africa.absa	inception-mail	1.1.0	-	b70212856ec4b12115cc64f8fdc3f7a3c34ccece
africa.absa	inception-mail	1.1.1	-	219049408556854196dbc68aed11f6f8416db73d
africa.absa	inception-mail	1.2.0	-	a79bd684e9eb1dd75787fa708514d502cd813f56
ai.djl.paddlepaddle	paddlepaddle-native-auto	2.0.0	-	b4fbdee4b4ef6cb340a8198157c15560b2ebfaa5
ai.djl.paddlepaddle	paddlepaddle-native-auto	2.0.2	-	69c73b88b62f17256e4fca68da2afb4637bbe3d5
app.cash.sqldelight	async-extensions-iosx64	2.0.0	2.0.0-metadata	2ad14aed781c4a73ed4dbb421966d408a0a06686
app.cash.sqldelight	async-extensions-iosx64	2.0.0-alpha03	2.0.0-alpha03-metadata	733b1abc33f229752e2b000606e810f9453fa4df
app.cash.sqldelight	async-extensions-iosx64	2.0.0-alpha04	2.0.0-alpha04-metadata	b151d9b307a0c7051d747cebdd6e195275fff9e0
app.cash.sqldelight	async-extensions-iosx64	2.0.0-alpha05	2.0.0-alpha05-metadata	361577612c5267a0d85e36e12fbff3e89d93f95d
app.cash.sqldelight	async-extensions-iosx64	2.0.0-rc01	2.0.0-rc01-metadata	2ad14aed781c4a73ed4dbb421966d408a0a06686
app.cash.sqldelight	async-extensions-iosx64	2.0.0-rc02	2.0.0-rc02-metadata	2ad14aed781c4a73ed4dbb421966d408a0a06686
app.cash.sqldelight	async-extensions-iosx64	2.0.1	2.0.1-metadata	2ad14aed781c4a73ed4dbb421966d408a0a06686
app.cash.sqldelight	async-extensions-iosx64	2.0.2	2.0.2-metadata	2ad14aed781c4a73ed4dbb421966d408a0a06686
at.crea-doo.homer	hwabstraction.toughswitch	1.0.10	-	872d9029dd2a8e5ae5ebc08043121569a593fabe
at.crea-doo.homer	hwabstraction.toughswitch	1.0.11	-	cf762a2a6d39093ddcb7d5150a45ca04fc1c76f1
at.crea-doo.homer	hwabstraction.toughswitch	1.0.9	-	3fa0766fb3e75f56a44822310000b8a45ea5eaa8
at.molindo.social	manual	1.1.0.RELEASE	-	6a0eb8c3baece9c8792c6b86d18cbe7f073ccd23
at.molindo.social	manual	1.1.4.RELEASE	-	749620f1045f1bc42bf9dcc6e9f3c49398a07098
at.newmedialab.ldpath	ldpath-backend-jena	0.9.12	-	135d9d9a0d7c26244b5b3da39a5c714ab75c9267
at.newmedialab.ldpath	ldpath-backend-jena	0.9.13	-	ee151340bdb0eab31668d555b6d9f752ce2d3b19
at.newmedialab.ldpath	ldpath-backend-jena	2.6.0	-	2b0767b053796b3ecb3092829e620d32193e8ad0
aws.sdk.kotlin	codeconnections	1.1.10	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	codeconnections	1.1.11	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	codeconnections	1.1.12	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	codeconnections	1.1.13	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	codeconnections	1.1.15	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	codeconnections	1.1.16	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	codeconnections	1.1.17	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	codeconnections	1.1.18	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	codeconnections	1.1.19	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	codeconnections	1.1.20	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	codeconnections	1.1.21	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	codeconnections	1.1.22	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	codeconnections	1.1.23	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	codeconnections	1.1.24	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	codeconnections	1.1.25	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	codeconnections	1.1.26	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	codeconnections	1.1.27	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	codeconnections	1.1.8	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	codeconnections	1.1.9	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	codeconnections	1.2.0	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
