ai.themsp	facebook-biddingkit	0.3.0		N/A
app.tulz	tuplez-apply_3.0.0-RC2	0.3.6		25fda8d29185f2296e1fbf17daecff2d77e8cb28
br.gov.lexml	lexml-renderer-scala	1.1.2		66ec7efa0289854fc77dcfb6f6f235a054c96741
br.gov.lexml	lexml-renderer-scala	1.1.3		892d61e3232b1a84a513416a96655ca306f28291
ch.epfl.scala	scalafix-cli_2.13.6	0.9.28		15ae830701532fb775e9d3bfea2b415f586e91ca
ch.epfl.scala	scalafix-cli_2.13.6	0.9.29		fa962880d5d960dcb2b8b888d5cb8ec9ed2de642
ch.epfl.scala	scalafix-cli_2.13.6	0.9.30		7d31ee667663187c4934b6c83934d386ac8b324a
ch.epfl.scala	scalafix-cli_2.13.6	0.9.31		beb0dc8770a9e96edcca12d25f082bbc7288cfd7
cloud.altemista.fwk.archetype	cloud-altemistafwk-web-archetype	3.0.0.RELEASE		3055556412bdc18a393a05606c192150a00efafc
cloud.altemista.fwk.archetype	cloud-altemistafwk-web-archetype	3.0.1.RELEASE		23f80f62465074373e999f7508e56a030c49ab79
cloud.altemista.fwk.archetype	cloud-altemistafwk-web-archetype	3.1.0.RELEASE		920e29b0dad5d0ffa61ac7f6ebc9117470dea3ab
cloud.orbit	orbit-actors-parent	0.8.0		N/A
cloud.orbit	orbit-actors-parent	0.8.1		N/A
cloud.orbit	orbit-actors-parent	0.8.2		N/A
cloud.orbit	orbit-actors-parent	0.9.0		N/A
cloud.orbit	orbit-actors-parent	0.9.1		N/A
cloud.orbit	orbit-actors-parent	0.9.10		N/A
cloud.orbit	orbit-actors-parent	0.9.11		N/A
cloud.orbit	orbit-actors-parent	0.9.12		N/A
cloud.orbit	orbit-actors-parent	0.9.13		N/A
cloud.orbit	orbit-actors-parent	0.9.14		N/A
cloud.orbit	orbit-actors-parent	0.9.15		N/A
cloud.orbit	orbit-actors-parent	0.9.16		N/A
cloud.orbit	orbit-actors-parent	0.9.17		N/A
cloud.orbit	orbit-actors-parent	0.9.18		N/A
cloud.orbit	orbit-actors-parent	0.9.19		N/A
cloud.orbit	orbit-actors-parent	0.9.2		N/A
cloud.orbit	orbit-actors-parent	0.9.3		N/A
cloud.orbit	orbit-actors-parent	0.9.4		N/A
cloud.orbit	orbit-actors-parent	0.9.5		N/A
cloud.orbit	orbit-actors-parent	0.9.6		N/A
cloud.orbit	orbit-actors-parent	0.9.7		N/A
cloud.orbit	orbit-actors-parent	0.9.8		N/A
cloud.orbit	orbit-actors-parent	0.9.9		N/A
cloud.orbit	orbit-actors-parent	1.0.0		N/A
cloud.orbit	orbit-actors-parent	1.0.0-rc1		N/A
cloud.orbit	orbit-actors-parent	1.0.0-rc2		N/A
cloud.orbit	orbit-actors-parent	1.0.0-rc3		N/A
cloud.orbit	orbit-actors-parent	1.0.0-rc4		N/A
cloud.orbit	orbit-actors-parent	1.0.0-rc5		N/A
cloud.orbit	orbit-actors-parent	1.1.0		N/A
cloud.orbit	orbit-actors-parent	1.10.0		N/A
cloud.orbit	orbit-actors-parent	1.10.1		N/A
cloud.orbit	orbit-actors-parent	1.10.2		N/A
cloud.orbit	orbit-actors-parent	1.11.0		N/A
cloud.orbit	orbit-actors-parent	1.11.1		N/A
cloud.orbit	orbit-actors-parent	1.11.2		N/A
cloud.orbit	orbit-actors-parent	1.11.2-placementflush		N/A
cloud.orbit	orbit-actors-parent	1.11.3-mrkt		N/A
cloud.orbit	orbit-actors-parent	1.12.0		N/A
cloud.orbit	orbit-actors-parent	1.12.1		N/A
cloud.orbit	orbit-actors-parent	1.13.0-rc1		N/A
cloud.orbit	orbit-actors-parent	1.13.0-rc2		N/A
cloud.orbit	orbit-actors-parent	1.14.0		N/A
cloud.orbit	orbit-actors-parent	1.2.0		N/A
cloud.orbit	orbit-actors-parent	1.3.0		N/A
cloud.orbit	orbit-actors-parent	1.4.0		N/A
cloud.orbit	orbit-actors-parent	1.4.1		N/A
cloud.orbit	orbit-actors-parent	1.4.2		N/A
cloud.orbit	orbit-actors-parent	1.5.0		N/A
cloud.orbit	orbit-actors-parent	1.6.0		N/A
cloud.orbit	orbit-actors-parent	1.7.0		N/A
cloud.orbit	orbit-actors-parent	1.8.0		N/A
cloud.orbit	orbit-actors-parent	1.9.0		N/A
cloud.orbit	orbit-actors-parent	1.9.1		N/A
cloud.orbit	orbit-actors-parent	1.9.2		N/A
cloud.orbit	orbit-actors-parent	1.9.3		N/A
cn.stylefeng.roses	security-sdk-count	7.0.1		c94a74f5a1c12d04e9c641ff36ccc20f6bf98df1
cn.stylefeng.roses	security-sdk-count	7.0.2		562adba435d06fffae6a4136696bfb7bb0cdb5d2
cn.stylefeng.roses	security-sdk-count	7.0.3		fa2c82771b3106e84df50323a73a90812b3b306b
cn.stylefeng.roses	security-sdk-count	7.1.0		9aa2e185f702751780067f95c80920226935082e
cn.stylefeng.roses	security-sdk-count	7.1.0.Final		936f3f391e8145eda56c13802d582afb3aa32117
cn.stylefeng.roses	security-sdk-count	7.1.1		24d051566acc47943ceb3a856dc7e3a2f5181b25
cn.stylefeng.roses	security-sdk-count	7.1.2		e33412914a82e5a6339dba275e01e6d68198ffe7
cn.stylefeng.roses	security-sdk-count	7.1.3		dde69afb7b5cdcf36e93a2c1ded84db88bac289e
cn.stylefeng.roses	security-sdk-count	7.1.4		7f5cba3c637a6bc56ffe657cfc762547f5658a63
cn.stylefeng.roses	security-sdk-count	7.1.5		f3fe900691f1a67a0d6af354a397c5008ab4ffe9
cn.stylefeng.roses	security-sdk-count	7.2.0		104ad7a8bedf2191fb6cb91d14cf5b529b5ba3e6
cn.stylefeng.roses	security-sdk-count	7.2.1		c5ac9de1c8a1d298f83920d240c5c3ea1f3c3475
cn.stylefeng.roses	security-sdk-count	7.2.2		0ef858ba514374d8ffec46eac76554ade1622078
cn.stylefeng.roses	security-sdk-count	7.2.3		e8ebe63be3bfc750dd7ed72d58974525d9495c32
