beehive	beehive-netui-tags-template	1.0-alpha		107d9b918241826488bcf34a6a1cee5b7a142d70
com.51degrees	device-detection.shared	4.1.9		e3b2ddd0e4715fc8648f3561b7d14d85e62d66c6
com.51degrees	device-detection.shared	4.2.0		e4ed7cb847799cbb06eed46d7f6ce7872a494dcc
com.51degrees	device-detection.shared	4.2.1		f8d0d2349d52432caf911d5f9e5af510f47bdebb
com.51degrees	device-detection.shared	4.2.3		14153565669cfd122e9fe03bc9c05cd47cb618e0
com.51degrees	device-detection.shared	4.2.7		a9c378d79122b25c89cac1b9a9bbbe003c015d0c
com.51degrees	device-detection.shared	4.2.8		c1494b56367e7df9c94f22e6e018113488a57b5e
com.51degrees	device-detection.shared	4.3.0		e169f009a7af89f7e5e97777996361586eebf354
com.51degrees	device-detection.shared	4.3.10		a740cfb8f344a0e2766c4195bb6aad6064bcbc1c
com.51degrees	device-detection.shared	4.3.11		42f52bbc44895c0623b4c09fbe2e63f9b903043e
com.51degrees	device-detection.shared	4.3.12		01a8967747ff24c29d4f62fa7c83093edd79aa53
com.51degrees	device-detection.shared	4.3.13		a183ed654c74fe97bab2f8eb2c776f7d550c4e04
com.51degrees	device-detection.shared	4.3.14		66bd94a02044f216f3b73c46ee3f17602aba0945
com.51degrees	device-detection.shared	4.3.16		8e0f6a79428c4a8928038eb494d9cf39cbdda998
com.51degrees	device-detection.shared	4.3.17		4fad2f29071fbe9a9949bec39371f2b213ee1ec6
com.51degrees	device-detection.shared	4.3.2		da879ce2484245e1faca4c3d41bbb0ffad8c49b0
com.51degrees	device-detection.shared	4.3.3		2849d856e23d43299fa6a8dd440ec0f80852948d
com.51degrees	device-detection.shared	4.3.5		33a49637619d9dc1a26bb68e3c061d0f99af45b7
com.51degrees	device-detection.shared	4.3.9		01cd1d4058fbd54b9fb09aeea7a64c5a5de9d2c5
com.51degrees	device-detection.shared	4.4.1		44ee233b19289278794c58ca24394cd349c734e1
