ai.vyro.imagine.sdk	shared-android	1.0.0		N/A
cc.taylorzhang	format-edit	0.1.0		N/A
cc.taylorzhang	format-edit	1.1.0		N/A
ch.cern.spark	spark-network-yarn_2.12	3.0.1		fae354c0fdf7e8294408e47f865aa735f1067b57
ch.tutteli.atrium	atrium-domain-robstoll-lib-kotlin_1_3-common	0.10.0		4e8f7822927087f9ca138489c4993570d167d09f
ch.tutteli.atrium	atrium-domain-robstoll-lib-kotlin_1_3-common	0.11.0		70379073edf9e2c5af48d6b7dce85e94fedfc3da
ch.tutteli.atrium	atrium-domain-robstoll-lib-kotlin_1_3-common	0.11.1		aec27567d7de9758a6565c7d130bd5ba70a69828
ch.tutteli.atrium	atrium-domain-robstoll-lib-kotlin_1_3-common	0.12.0		34e44fbd704b05b0de6fa6450b997bea1c1dfaa6
ch.tutteli.atrium	atrium-domain-robstoll-lib-kotlin_1_3-common	0.13.0		7c94c0ee04ffc6e0652713921dc1b421bb764af2
ch.tutteli.atrium	atrium-domain-robstoll-lib-kotlin_1_3-common	0.14.0		6fe0e47fda9fb80db496242a726e9e8c3df5dede
ch.tutteli.atrium	atrium-domain-robstoll-lib-kotlin_1_3-common	0.14.0.RC1		f7341af81fd51a2701bd2f892974646ae93e7894
ch.tutteli.atrium	atrium-domain-robstoll-lib-kotlin_1_3-common	0.15.0		8ea3c623fa1f235deac132d9d02e552450606a5a
ch.tutteli.atrium	atrium-domain-robstoll-lib-kotlin_1_3-common	0.9.0		5c647e21473482e60495cd81ee0b798579e3b11c
ch.tutteli.atrium	atrium-domain-robstoll-lib-kotlin_1_3-common	0.9.0-alpha2		52646a60956efa89685e22ea3c3ab46afb54c5ba
ch.tutteli.atrium	atrium-domain-robstoll-lib-kotlin_1_3-common	0.9.1		d716be58457dce2e600b0dd733549c2c222f68b6
ch.tutteli.atrium	atrium-domain-robstoll-lib-kotlin_1_3-common	0.9.2		936ed288d45f544146191c4f561d547f37230365
ch.tutteli.atrium	atrium-domain-robstoll-lib-kotlin_1_3-common	1.0.0		N/A
ch.tutteli.atrium	atrium-domain-robstoll-lib-kotlin_1_3-common	1.0.0-RC2		N/A
com.agorapulse	pierrot	0.10.0		2f44ec93d33d1d51b57b80ff54227abe4635c582
com.agorapulse	pierrot	0.10.1		9ffcfc75235a859e8dd0979f124f5bee57bf2ea6
com.agorapulse	pierrot	0.10.2		a6bddf6d9e1666aaad5a2fe64081b919998b9a76
com.agorapulse	pierrot	0.10.3		332a5740f3de3c4a1fe5db21bba1790bda68581c
com.agorapulse	pierrot	0.10.4		6af25614994cd6bd1fda9c51f02e736838e4bd46
com.agorapulse	pierrot	0.10.5		4107f221318a6a284931c1104d008febfb4ddf6e
com.agorapulse	pierrot	0.10.6		0e87e264931e557bb6874ecc4dbc3e0219fbcd52
com.agorapulse	pierrot	0.10.7		ade95aa6fe70a83351d51ccd5266ae2b0201240f
com.agorapulse	pierrot	0.9.0		c08e52cb7d6eeaef6abc9c7589a8ca64cc039b7e
com.agorapulse	pierrot	0.9.1		65c8e87d18e1e72092e8936c3d7ebde12e8d61a2
com.agorapulse	pierrot	0.9.10		f83f80fc9a814885860d66353ec863745360e31f
com.agorapulse	pierrot	0.9.11		ac136818a89eb036bdf0aec20b18462c32e996dc
com.agorapulse	pierrot	0.9.12		3e0a07b7154ce1ea864649f4791ac48af7995d76
com.agorapulse	pierrot	0.9.14		a24c20635d7305feef0d75c1c1fafbe469c1d646
com.agorapulse	pierrot	0.9.3		8eb2ba94a667cf25e2a8ed808e7a5168ffbe9632
com.agorapulse	pierrot	0.9.4		165f087c63300e5934b04de5b8339a0b1a08df72
com.agorapulse	pierrot	0.9.5		b3ce02fc4295b2569b5ca21fff4e3609e14ee4db
com.agorapulse	pierrot	0.9.7		7d4e957fd2183a0966225e864ef31b7f1c891d14
com.agorapulse	pierrot	0.9.8		d619272c8a7e795dcb94c4e882405587d62b7d4f
com.agorapulse	pierrot	0.9.9		6f414a5b1b0c398cfd253a5d142f82769f9afbcb
com.agorapulse	pierrot	1.0.0		aaec872042f38886b072e8e7b120e052e623aa62
com.agorapulse	pierrot	1.0.1		66d26f4a0f8ff8438ac0fb59b3e58c81a9abf534
com.aliyun	datav_outer20190402	1.9.0		391ee59c50901dadee2c0fd1dfaa9c5c63c73ac9
com.appmattus.fixture	fixture-kotest	1.1.0		ccd4174754015f0361794779dc2c13d46e182c36
com.appmattus.fixture	fixture-kotest	1.2.0		db9d0a3edf79ad6514266876e36b9b2610ed8f5a
com.azure.resourcemanager	azure-resourcemanager-workloadssapvirtualinstance	1.0.0		2d2682fd97e393bf534289dc3d43c65003b04df6
com.azure.resourcemanager	azure-resourcemanager-workloadssapvirtualinstance	1.0.0-beta.1		5f0204d18e5a2b775b30fc937396fb6feb199257
com.braintrustdata.api	braintrust-java-client-okhttp	0.5.0		aa734627089aa97b23ec5e1744f481d81bac4365
com.braintrustdata.api	braintrust-java-client-okhttp	0.7.0		f0b87f84823def1811de101baef5c74879e9a68c
com.braintrustdata.api	braintrust-java-client-okhttp	0.8.0		9cc5077838c6fc5a6e20dc8e1bee7e5bac6faa27
com.braintrustdata.api	braintrust-java-client-okhttp	0.9.0		45d8268fc5cc9eecd67ca7c91e131e611df98509
com.bumble.appyx	utils-customisations-android	2.0.0		N/A
com.bumble.appyx	utils-customisations-android	2.0.0-alpha10		N/A
com.bumble.appyx	utils-customisations-android	2.0.1		N/A
com.busymachines	pureharm-effects-cats_sjs1_3.0.0-RC2	0.2.0		8de4274fbe3d6f51257fee3ff9f644e3f98b2fa5
