br.com.objectos.orm	testing	0.2.0		1c2f903bef0f6f6b22cd0cbd2307af80caa1e6bd
co.touchlab	kermit-io-androidnativex86	2.0.5		N/A
com.addthis	meshy	2.0.0		9117c87887314422359d53ba4c396318980a4484
com.addthis	meshy	2.1.0		10a7cf61e5524773470958c25fd4e20b5e3c63a7
com.addthis	meshy	2.1.1		7bc67e39e969caa60bfa74e30b626043a88a49a8
com.addthis	meshy	2.1.2		7217808d53dc38416b5b6d2f39ae207f350c76ac
com.addthis	meshy	2.1.4		a4bc9e34ed6cdf1fa605b32c16d81d09a1a9d8f6
com.addthis	meshy	2.1.5		eafd10a30e9ae6415453650fb0e591547bc5062a
com.addthis	meshy	2.1.6		a99537f9ba5949d7c746a9ab5b89c1b59d8010ac
com.addthis	meshy	2.1.7		9b858b19951c8ec4eabc899cb99423b6a80ef1ce
com.addthis	meshy	2.1.8		ce20f796968a257b9b3ba7dad8c381674d01dced
com.addthis	meshy	2.2.0		585ac596693f8486e027c44f1e745ad30a6aea63
com.addthis	meshy	3.0.0		a62bf078ec94ddc3b471aba584a2c4e2ebb37fee
com.addthis	meshy	3.1.0		79b54d8c184fd8aa8d78c61ae96db8b6f79f5b83
com.addthis	meshy	3.3.0		716c2ec751aaf17851132507ce9e514e445e1e01
com.addthis	meshy	3.3.1		c3b515175335385eb51b5ba4b1a5f701e25b6ddb
com.addthis	meshy	3.3.2		0afc421905f31a9b96e005fdf2c985dd482d3bf7
com.addthis	meshy	3.3.3		b294c09a11081ef8f194f7d81fb49774d0f33580
com.addthis	meshy	3.3.4		5424b998f7344c6adb517f806c08949c3afe01c5
com.addthis	meshy	3.3.5		18e26f80de26e3c4492fb43f0ed6fb4324960585
com.addthis	meshy	3.3.6		d3c4b593b486183bbaddb70bfb356e84159e834f
com.addthis	meshy	3.4.0		62a77779e47ed6c9835a10d7c8a91e779d31abb6
com.addthis	meshy	3.4.2		d5d44cd61bfd7b01eaa12847d118d5d61039bbac
com.addthis	meshy	3.4.4		f2cb23969cc54aed59beaa6e06d30bc2382c4016
com.artisan-software.glide	desktop	0.2.11		5dcb25615afde059b0316bb35718b042a0fc4eda
com.artisan-software.glide	desktop	0.2.12		70f1dae7545a932fa4c1fee227d3c95e571cd6ea
com.artisan-software.glide	desktop	0.2.13		e36cfcd436974574eef25014094a074d8dfee072
com.artisan-software.glide	desktop	0.2.14		1251b72919519eeff06d8e4ed44307119954f7c2
com.artisan-software.glide	desktop	0.2.15		20f0f06c04fe2c893ccd7d31e8681a34742576c3
com.artisan-software.glide	desktop	1.0.0		5778f94479e4fb0ee01f7e5cba4d1ec451f85a8a
com.artisan-software.glide	desktop	1.1.0		e2570b6fd5a50fde403daf6850c6fec2b6a2b4f8
com.artisan-software.glide	desktop	1.2.0		9e604c197077aaf2bf943ace0d61111851cfdf42
com.artisan-software.glide	desktop	1.4.0		1c7d00e358ca5715f6a1e5fae609992bf8d8b892
com.chuusai	shapeless_2.11	1.2.4		0de64cd379104097a388ee2fecfd24e0c1d03546
com.chuusai	shapeless_2.11	2.0.0		2e8beb8ffe86c15e2f1fe84e24713ac22b4e0243
com.chuusai	shapeless_2.11	2.1.0		ede9d8a4eda1555dd6ecbb2932eb2810e42dcf0c
com.chuusai	shapeless_2.11	2.1.0-RC1		296ce767a90ba1fd11e94f6c5b816c0e5f6a66fd
com.chuusai	shapeless_2.11	2.1.0-RC2		52254032895adbe6a29e4bef403ea94eb11710f2
com.chuusai	shapeless_2.11	2.2.0		7db0a44197860484944ad62b215e26ab899bfbb2
com.chuusai	shapeless_2.11	2.2.0-RC1		ee759a9848334b553c8348e666b0d88a5a4d0fd1
com.chuusai	shapeless_2.11	2.2.0-RC2		2ff67253963fca72f5384a39726603fa165265ab
com.chuusai	shapeless_2.11	2.2.0-RC3		f845c815e740e99ac68c1419332b33cf4ed3e6cd
com.chuusai	shapeless_2.11	2.2.0-RC4		d1c5f98cdc9bbd8348ec4f7a1987b1e4e24bc1f9
com.chuusai	shapeless_2.11	2.2.0-RC5		75b6bdf7c93cfa6eee1dad6c5d5e60cb37518b38
com.chuusai	shapeless_2.11	2.2.0-RC6		33f5aa9cfe655429b0450b536fd108135a55269f
com.chuusai	shapeless_2.11	2.2.1		3c2c7a1d46667ddfef269986344e6c369b2f3065
com.chuusai	shapeless_2.11	2.2.2		667c8903e4b90c325094824f0be6b56d1927e2cd
