at.released.cassettes.plugin.unwrap	at.released.cassettes.plugin.unwrap.gradle.plugin	0.1-alpha01		N/A
br.com.objectos	orm	0.1.0		8752c3b0f48db871c932ad9f30043a881c566afe
cn.handyplus.lib.attribute	SX-Attribute	1.0.0		a5f08311b56fa0c335c988b24a36dd9e4736827a
cn.handyplus.lib.attribute	SX-Attribute	1.0.1		08aff674e325a6ab0fbe726bfc191769c3b17d71
cn.handyplus.lib.attribute	SX-Attribute	1.0.2		90f977d9a7f680dd9200027dc01032441b1a4924
cn.handyplus.lib.attribute	SX-Attribute	1.0.3		731afdf1706141b86f8c1a5d20b038bf8c29b551
cn.handyplus.lib.attribute	SX-Attribute	1.0.4		572b6f23c15e63aa713d72fbf7af860b273e0c13
cn.handyplus.lib.attribute	SX-Attribute	1.0.5		df4e6fd36dcec7179f37759609b3c9b2856a8bea
cn.handyplus.lib.attribute	SX-Attribute	1.0.6		c116e6c214096f8e8bad1e5303d266a6f7810ad7
cn.handyplus.lib.attribute	SX-Attribute	1.0.7		db9eb9ae991e90f2676aebe5ffc6a0dcea00112c
cn.handyplus.lib.attribute	SX-Attribute	1.0.8		7be27c911d12096ce64974ed7583c297b6d3ce1a
cn.handyplus.lib.attribute	SX-Attribute	1.0.9		e159bdafb739425534663cad7eee8871da16a1ed
cn.handyplus.lib.attribute	SX-Attribute	1.1.0		6e47be73d69398e7bd3e3aa83ee2c47be9c4dc01
cn.handyplus.lib.attribute	SX-Attribute	1.1.1		1303e9da94e6fa7de5c00e7a08a7337abc859618
cn.handyplus.lib.attribute	SX-Attribute	1.1.2		87e380efd63dc06f957b3bf3a7821d94ffde24fc
cn.handyplus.lib.attribute	SX-Attribute	1.1.3		7901343a379f6c597e60a2063db16106e4746b7f
cn.handyplus.lib.attribute	SX-Attribute	1.1.4		d82c4131f64cd55ebbf99446bc5e1581274e6d1b
cn.handyplus.lib.attribute	SX-Attribute	1.1.5		84087833eabf40233b957c474615663cc535176d
cn.hangsman.operationlog	operation-log-spring-boot-starter	1.0.0		a7bd86f16bfe835c7d1ac6e0acce65cd695d358f
cn.hangsman.operationlog	operation-log-spring-boot-starter	1.0.1		9d14ddb8e8e1ea7bacbc8b2d23c61a810f5c3d85
cn.vividcode.multiplatform	flex-ui-android	1.0.0-exp-01		N/A
cn.vividcode.multiplatform	flex-ui-android	1.0.0-exp-02		N/A
cn.vividcode.multiplatform	flex-ui-android	1.0.0-exp-03		N/A
cn.vividcode.multiplatform	flex-ui-android	1.0.0-exp-04		N/A
cn.vividcode.multiplatform	flex-ui-android	1.0.0-exp-05		N/A
cn.vividcode.multiplatform	flex-ui-android	1.0.0-exp-06		N/A
cn.vividcode.multiplatform	flex-ui-android	1.0.0-exp-07		N/A
cn.wizzer	mqtt-common	1.0.0-netty		64c813d6962c2f9488c960632bea447bd5ef9bb2
cn.wizzer	mqtt-common	1.0.1-netty		3b4bacf263111179939d9c5d239d94a9c3525b62
cn.wizzer	mqtt-common	1.0.2-netty		165ac2621ca450eb2b0b2723cb92ac7b84ad0484
cn.wizzer	mqtt-common	1.0.3-netty		408b64a3b7c8e37bce768793766e94f78ab623ef
cn.wizzer	mqtt-common	1.0.4-netty		d98d53d97c8bd336b4227317a9b115e3f26bb8fb
cn.wizzer	mqtt-common	1.0.5-netty		e817beafde7d6f9923f3c1f3897fd8f9b18da20e
cn.wizzer	mqtt-common	1.0.6-netty		2332d87cb1d2e8fd3c59871824916c2abbdb3db9
cn.wizzer	mqtt-common	1.0.7-netty		0e79eee3dc0caa64b0c2bda76efe22425e73b69e
cn.wizzer	mqtt-common	1.0.8-netty		ae5b484410bba10601264bd66e1268095589bc41
cn.wizzer	mqtt-common	1.1.0-netty		4b893fc80e1fa24f9ee30228c22ebcfa256847f5
cn.wizzer	mqtt-common	1.1.1-netty		5078b20fa2a13d1391e8395e4f91e7b68376071c
cn.wizzer	mqtt-common	1.1.2-netty		ef4087c7e296be8a1d629204b1fef25d0bfb9354
cn.wizzer	mqtt-common	1.2.0-netty		0799b0b283577a797cedcec4b7dfdca76a29a0dc
com.adeo	kviewmodel-odyssey-iosx64	0.13		N/A
com.adeo	kviewmodel-odyssey-iosx64	0.13	metadata	0973b746d0f1bdcb052c28bdc784445e3b440e31
com.adeo	kviewmodel-odyssey-iosx64	0.14		N/A
com.adeo	kviewmodel-odyssey-iosx64	0.14	metadata	b4baf248eac031979e894d7d4787e0a580e062ce
com.adeo	kviewmodel-odyssey-iosx64	0.15		N/A
com.adeo	kviewmodel-odyssey-iosx64	0.15	metadata	7cb2d231c0d87be6b13614a674d2d879e7e5a81c
com.adeo	kviewmodel-odyssey-iosx64	0.16		N/A
com.adeo	kviewmodel-odyssey-iosx64	0.16	metadata	25bfcfdfde9b36034f4d47bfc9710c9b35d650fb
com.adeo	kviewmodel-odyssey-iosx64	0.17		N/A
com.adeo	kviewmodel-odyssey-iosx64	0.17	metadata	be762d28b9c7a9e460c1b466d8edf368f781f5c4
com.adeo	kviewmodel-odyssey-iosx64	0.18		N/A
com.adeo	kviewmodel-odyssey-iosx64	0.18	metadata	af625fab62a4462c4ee7c5b16da1afcc37a37c44
com.exactpro.th2.gradle.component	com.exactpro.th2.gradle.component.gradle.plugin	0.0.4		2f42e46e529a16d864c340bf2a13e950b2e90ca5
com.exactpro.th2.gradle.component	com.exactpro.th2.gradle.component.gradle.plugin	0.0.5		891bca0be4ad62090d5364d4ea59ebdefc28e096
com.exactpro.th2.gradle.component	com.exactpro.th2.gradle.component.gradle.plugin	0.0.6		23385b589f3372d7bf61870054b363e7ea4236a7
com.exactpro.th2.gradle.component	com.exactpro.th2.gradle.component.gradle.plugin	0.0.7		84f16f56506548e75882bc1e685b21e7b3c66233
com.exactpro.th2.gradle.component	com.exactpro.th2.gradle.component.gradle.plugin	0.0.8		a3559b7cc277556c2a7b4c941bd7d6ec0040d3b9
com.exactpro.th2.gradle.component	com.exactpro.th2.gradle.component.gradle.plugin	0.1.0		dff97425d95fed434270a44a8e3699b8d57187da
com.exactpro.th2.gradle.component	com.exactpro.th2.gradle.component.gradle.plugin	0.1.1		3a82077e48268f9dcaa8006984895db04821f2e2
com.exactpro.th2.gradle.component	com.exactpro.th2.gradle.component.gradle.plugin	0.1.2		b89f6d5d123c6bb266353f74dc3b0e2b8bd34523
com.exactpro.th2.gradle.component	com.exactpro.th2.gradle.component.gradle.plugin	0.1.3		90eafdc3f0b72630b546be2344839983bd7b825a
com.exactpro.th2.gradle.component	com.exactpro.th2.gradle.component.gradle.plugin	0.1.4		d48c3487791b31d947b797356b486c10d682062e
com.exactpro.th2.gradle.component	com.exactpro.th2.gradle.component.gradle.plugin	0.1.5		9747d88412de8fc5f51b2efe2436a860565910af
com.exactpro.th2.gradle.component	com.exactpro.th2.gradle.component.gradle.plugin	0.1.6		43b3d1e85628e10ea0fe7fdc63b8e7444f3bdf9b
com.exactpro.th2.gradle.component	com.exactpro.th2.gradle.component.gradle.plugin	0.1.7		2f8d1d2115fb0f724473bb3b13f0033e3a58f371
com.exactpro.th2.gradle.component	com.exactpro.th2.gradle.component.gradle.plugin	0.1.8		a9d5cc927aaea3e795019f1e96ed3257aa9fd6a9
com.exactpro.th2.gradle.component	com.exactpro.th2.gradle.component.gradle.plugin	0.1.9		6072bed836370a6ed918e11f3a403f9ef8dc85e2
com.exactpro.th2.gradle.component	com.exactpro.th2.gradle.component.gradle.plugin	0.2.0		09ff91da15d02bf72ed6266de0cf28111b41b369
com.exactpro.th2.gradle.component	com.exactpro.th2.gradle.component.gradle.plugin	0.2.1		c40fd54956e13448bdbda6832a0cf0366b9b65c0
com.exactpro.th2.gradle.component	com.exactpro.th2.gradle.component.gradle.plugin	0.2.2		39511773acdabc53055dca121a5df294b6d5c289
com.exactpro.th2.gradle.component	com.exactpro.th2.gradle.component.gradle.plugin	0.2.3		d7b1e8dd59dd4ed14bdd03a6fef2b227f05ced77
com.exactpro.th2.gradle.component	com.exactpro.th2.gradle.component.gradle.plugin	0.2.4		4b2ba5a4d904e1ed8d4ce9b057664d337751af59
com.gft.mobile	design-system-codegen	0.1.0		a80ad5c6802308390cbd1473c13c8fad63196611
com.gft.mobile	design-system-codegen	0.1.1		2040541d32b356ef1d05e3a5cfa123bf0018c443
