ai.platon.pulsar	pulsar-h2	1.4.196		1c0f2c0432421c79301a07e9dd19add5e68739e1
at.asitplus.wallet	taxid-iossimulatorarm64	1.0.0		N/A
at.asitplus.wallet	taxid-iossimulatorarm64	1.0.0	metadata	40ace0c900ebc782420be10ed1282e1c11ba2375
at.asitplus.wallet	taxid-iossimulatorarm64	1.0.1		N/A
at.asitplus.wallet	taxid-iossimulatorarm64	1.0.1	metadata	53961ec656f189857d84dfe3cb949ad0ec223c43
at.asitplus.wallet	taxid-iossimulatorarm64	1.0.2		N/A
at.asitplus.wallet	taxid-iossimulatorarm64	1.0.2	metadata	dedbf13649e9ae08653820a77e2c382b975d7a4e
cloud.commandframework	cloud-minecraft-extras	1.0.0		613804f21792257620909acf4bf68e0ba5d9b11b
cloud.commandframework	cloud-minecraft-extras	1.0.1		87e83a499ec91da5a7bf2c751f7885ed16f11dca
cloud.commandframework	cloud-minecraft-extras	1.0.2		91aed172fcd3b3e9756e132a0ac27014036fce39
cloud.commandframework	cloud-minecraft-extras	1.1.0		4abba61a1bfbaf97cacb32bb110daad2301e6a11
cloud.commandframework	cloud-minecraft-extras	1.2.0		4f09728faf2a35f89b9e96b680432f4c03a962db
cloud.commandframework	cloud-minecraft-extras	1.3.0		c85801182c240a5db169c8f022ba3bc542565301
cloud.commandframework	cloud-minecraft-extras	1.4.0		63b8ddbd43db428d3148c001f92a54019aa024cf
cloud.commandframework	cloud-minecraft-extras	1.5.0		5fc3fc6bf87d283d86e02f4e1a81b917e1950bb9
cloud.commandframework	cloud-minecraft-extras	1.6.0		8c1fcf53ed36a3aa453454785e084a83da3e1632
cloud.commandframework	cloud-minecraft-extras	1.6.1		8c1fcf53ed36a3aa453454785e084a83da3e1632
cloud.commandframework	cloud-minecraft-extras	1.6.2		8c1fcf53ed36a3aa453454785e084a83da3e1632
cloud.commandframework	cloud-minecraft-extras	1.7.0		4b91ead2c4a5ee3dbf3cca4cce00f6645b5562ba
cloud.commandframework	cloud-minecraft-extras	1.7.1		4b91ead2c4a5ee3dbf3cca4cce00f6645b5562ba
cloud.commandframework	cloud-minecraft-extras	1.8.0		07bfc887aabe3bc3a3f1670272fff455d10fef89
cloud.commandframework	cloud-minecraft-extras	1.8.1		07bfc887aabe3bc3a3f1670272fff455d10fef89
cloud.commandframework	cloud-minecraft-extras	1.8.2		07bfc887aabe3bc3a3f1670272fff455d10fef89
cloud.commandframework	cloud-minecraft-extras	1.8.3		07bfc887aabe3bc3a3f1670272fff455d10fef89
cloud.commandframework	cloud-minecraft-extras	1.8.4		07bfc887aabe3bc3a3f1670272fff455d10fef89
com.1gravity	redux-kotlin-mingwx86	0.5.10		N/A
com.applitools	eyes-sdk-core-java5	5.0.1		b6e179bc016468a3e8d6d12ceb9833caebe90b83
com.applitools	eyes-sdk-core-java5	5.0.2		7c38b2732521d9014e2f397e27adaa60eb6aa644
com.applitools	eyes-sdk-core-java5	5.0.3		0e9636181c643c0504292377d3383425896ce606
com.applitools	eyes-sdk-core-java5	5.0.5_15_0		d338db8864e5752ee08320fc463d6fda9d685b6f
com.applitools	eyes-sdk-core-java5	5.1.0		b38e9456828ef75802a5ec4c070da0bd0a2a1065
com.applitools	eyes-sdk-core-java5	5.10.0		6cf00c5faa50497b6eacf6dc9878ed7284411fdb
com.applitools	eyes-sdk-core-java5	5.11.0		6e685bdc4ed7450b25979304f9743f2b4b8ff03c
com.applitools	eyes-sdk-core-java5	5.11.1		620bb177f6c17c0377c93e9f57bff20de5cb9c1a
com.applitools	eyes-sdk-core-java5	5.12.0		59f20038c9df42b0be2fc60630055957b2bdd3ab
com.applitools	eyes-sdk-core-java5	5.13.0		a221e9021a74bb8c18ea8b23e72e1e8dce3b4191
com.applitools	eyes-sdk-core-java5	5.14.0		86d43ae62d080e27bb145b65936acc1396ebfa59
com.applitools	eyes-sdk-core-java5	5.15.0		f36b1273d4dc61f5f759a7b2195041a242a89b2c
com.applitools	eyes-sdk-core-java5	5.16.0		74ea8eb132263ba6a2d27e9f728fbaa260650a11
com.applitools	eyes-sdk-core-java5	5.17.0		9c887bf8015072e22a4622e87474db337c65646b
com.applitools	eyes-sdk-core-java5	5.18.0		56d0d679d3127f1ac7fff8da203f51633d3b39a4
com.applitools	eyes-sdk-core-java5	5.21.0		5e565ee0ba8a52e3e85d3a58e8fe11a914fff3e2
com.applitools	eyes-sdk-core-java5	5.22.0		95c901d36db66469c2c6b4a875f76e6a2685a73f
com.applitools	eyes-sdk-core-java5	5.23.0		22bae7fb178f678aed71e4deddb5908ea42a4571
com.applitools	eyes-sdk-core-java5	5.26.0		5e2c01eb40be37f9cddc105a0602c46e53fdf7cc
com.applitools	eyes-sdk-core-java5	5.28.0		3a232f6903c751e2dccd6f626202bb1d2ae8182f
com.applitools	eyes-sdk-core-java5	5.3.0		8a17f26f014947dc7446a10ce2d956b9a0660680
com.applitools	eyes-sdk-core-java5	5.32.0		be29c19679371ac8b9b0b3d2d966134af2970949
com.applitools	eyes-sdk-core-java5	5.33.0		beb43c0b2e211f35752cbf0a8872d5c1ea690e9d
com.applitools	eyes-sdk-core-java5	5.35.0		0499938094997d8dc40c1e79601ba70348cc025d
com.applitools	eyes-sdk-core-java5	5.37.0		06005e798576abb30082ff56982b82f121ad1744
com.applitools	eyes-sdk-core-java5	5.38.0		a4e7bf838757931aeb3a96f2c69b19c1784b2aa2
com.applitools	eyes-sdk-core-java5	5.39.0		63986ed08e7f35fdac72eac275732f75bdc45915
com.applitools	eyes-sdk-core-java5	5.4.0		45c6e852472e0cc1a1d2213da33299d381e59cc0
com.applitools	eyes-sdk-core-java5	5.40.0		87edc1f2563c2e0c8ca96f4938ccd00f7c823c3b
com.applitools	eyes-sdk-core-java5	5.41.0		30d4e40bae29e17072162c31832915278fac93b9
com.applitools	eyes-sdk-core-java5	5.42.0		930a6004d2a445646efbf13934c665825524ba7e
com.applitools	eyes-sdk-core-java5	5.43.0		7574c53b03921d8d537ebea47756c4c48a31930b
com.applitools	eyes-sdk-core-java5	5.44.0		6eca450b06f5d7b94e3c5cbcd3a201eda2e70ccd
com.applitools	eyes-sdk-core-java5	5.45.0		e4a5da55aff97130e3a86e063fcbbcc1993e42ae
com.applitools	eyes-sdk-core-java5	5.46.0		ad3812755e495bc30cd17fe398bd879a313983fa
com.applitools	eyes-sdk-core-java5	5.47.0		da134e4ba31ade48b6ea91eda1e649cbac82dd41
com.applitools	eyes-sdk-core-java5	5.48.0		7a3206e030cbd650aa4c47e4b7894bc6814f3c99
com.applitools	eyes-sdk-core-java5	5.49.0		2192ae46cb8f34de39f92a5dd34b17106dac09a4
com.applitools	eyes-sdk-core-java5	5.5.0		7dc1b4ececc1760de2e12c0ff078b257bfd01ec3
com.applitools	eyes-sdk-core-java5	5.50.0		676263765dfb44773de3ed755e01b7db738604a8
com.applitools	eyes-sdk-core-java5	5.51.0		3d6eb55e712b1e014386439154026ef7c11fa364
com.applitools	eyes-sdk-core-java5	5.52.0		2522fce4597c88e2cb04c0f7008909641a605f57
com.applitools	eyes-sdk-core-java5	5.53.0		78a2dbeb7948a779a3f94ddaa4402b1d5f7dd6dd
com.applitools	eyes-sdk-core-java5	5.54.0		a80d3c4ae41054c166562c75416335cbaea6c197
com.applitools	eyes-sdk-core-java5	5.55.0		420fe91256675aac808768b3f54004c84c87429d
com.applitools	eyes-sdk-core-java5	5.56.0		c889d8d9a8f8be2ab0d904d9c0f25dc04e70c4dc
com.applitools	eyes-sdk-core-java5	5.57.0		fc8319b7d55bd1a2216341cf99789efba742f248
com.applitools	eyes-sdk-core-java5	5.58.0		7c675618e4cf61d50d25c61b3aa7e3efcdf0e4d1
com.applitools	eyes-sdk-core-java5	5.59.0		2f1a70d791aba1009b3ae0cf44cd195e67bd244d
com.applitools	eyes-sdk-core-java5	5.6.0		31d48703acc04d459645de275b85b4574245b1fa
com.applitools	eyes-sdk-core-java5	5.60.0		69ad55a9b9ef4bbd01e7f097b2a2608a5a1d17f4
com.applitools	eyes-sdk-core-java5	5.61.0		148e47a213b5f0611564920c3522fd4bd0f14186
com.applitools	eyes-sdk-core-java5	5.62.0		b5ceb50d5f11cc35d3fcfb7a249d107ea6535d3c
