ai.yda-framework	filesystem-retriever-starter	0.1.0		980cba5698fb60ffa50cfb604c08d07f031ae630
br.com.anteros	Anteros-Keycloak	1.0.0		12c64fc7c1cd5e898ea7a515441b48e253acd5d7
cn.wandersnail	common-observer	1.0.1		N/A
cn.wandersnail	common-observer	1.0.2		N/A
cn.wandersnail	common-observer	1.0.3		N/A
cn.wandersnail	common-observer	1.0.4		N/A
cn.wandersnail	common-observer	1.0.5		N/A
cn.wandersnail	common-observer	1.0.6		N/A
com.adkhambek.moon	moon	0.0.1-alpha		e0596aa78cfb2970766776b8b7b5baddca87e56f
com.adkhambek.moon	moon	0.0.3		f33e63b438b8dd8d6ad056dc4c00a6fb007802e2
com.adkhambek.moon	moon	v0.0.2		86e31cb5587c5923778728fde834efb1ae2c9222
com.adobe.aem.guides	aem-cif-guides-venia.all	2012.12.01		N/A
com.adobe.aem.guides	aem-cif-guides-venia.all	2021.12.01		N/A
com.adobe.aem.guides	aem-cif-guides-venia.all	2022.01.27		N/A
com.adobe.aem.guides	aem-cif-guides-venia.all	2022.02.24		N/A
com.adobe.aem.guides	aem-cif-guides-venia.all	2022.03.31		N/A
com.adobe.aem.guides	aem-cif-guides-venia.all	2022.04.28		N/A
com.adobe.aem.guides	aem-cif-guides-venia.all	2022.05.30		N/A
com.adobe.aem.guides	aem-cif-guides-venia.all	2022.07.04		N/A
com.adobe.aem.guides	aem-cif-guides-venia.all	2022.09.02		N/A
com.adobe.aem.guides	aem-cif-guides-venia.all	2022.09.30		N/A
com.adobe.aem.guides	aem-cif-guides-venia.all	2023.11.08		N/A
com.adobe.aem.guides	aem-cif-guides-venia.all	2024.06.28		N/A
com.adobe.aem.guides	aem-cif-guides-venia.all	2024.07.18		N/A
com.adobe.aem.guides	aem-cif-guides-venia.all	2024.09.05		N/A
com.adobe.aem.guides	aem-cif-guides-venia.all	2024.10.07		N/A
com.att.camel	att-camel-dme2-servlet	2.15.5		d75a6b8c4948d15ad8b3d480b612eb040057f422
com.att.camel	att-camel-dme2-servlet	2.16.2-oss		8af9bc8276f544bcd6f3b3adad24b3839500d193
com.blinkfox	blink-pool	1.0.0		7b607a3f84b418a1d8cbdc17a054286cce492443
com.blinkfox	blink-pool	1.0.1		b1f3368cdd025e960a6c8b1cd1c34d57ef44132f
com.blinkfox	blink-pool	1.0.2		bae6656f6efad4f57747a8e94f069cb36fa3f940
com.chuusai	shapeless_sjs0.6_2.12.0-M5	2.3.1		8c9b8a7491ea39e0662d612ceb60dd8ddc1e7526
com.chuusai	shapeless_sjs0.6_2.12.0-M5	2.3.2		811d0321cd7ffb6fefa4f19fdbe941f65bc901b6
com.codacy	foundation-scala-lang_2.12	10.0.0_play_2.6		28f3d74ce97cfdc88ac7d4e84b61c5d0633e0979
com.codacy	foundation-scala-lang_2.12	10.0.0_play_2.7		7627e03a20d35e0483e7e2c9b575aa3cadb81ea6
com.codacy	foundation-scala-lang_2.12	10.0.1_play_2.6		10bc1fc697672ed25fdffb54e09fee5043ddc2be
com.codacy	foundation-scala-lang_2.12	10.0.1_play_2.7		0f79e2dc93e2a1dae45bfc709a8c6c5f1f3bbb98
com.codacy	foundation-scala-lang_2.12	10.0.2_play_2.6		cb8b41ccbcf18d58a5bef0b633cc77d3b1fdac64
com.codacy	foundation-scala-lang_2.12	10.0.2_play_2.7		92086f14d6cd3c670c4024e7da8fe40bb5df7a63
com.codacy	foundation-scala-lang_2.12	10.1.0_play_2.6		1a9530abfd46806193260a47cacbd39154fe8897
com.codacy	foundation-scala-lang_2.12	10.1.0_play_2.7		45f6f611e4f0d233c33cc77490951ddf4f922dae
com.codacy	foundation-scala-lang_2.12	10.2.0_play_2.6		cfe11125344f3cf75c24accececba7a1f58e91bb
com.codacy	foundation-scala-lang_2.12	10.2.0_play_2.7		7a4e58161e25e7a594c895bb001dee63c71e3061
com.codacy	foundation-scala-lang_2.12	10.2.1_play_2.6		364bed368b9b4acdc946a588d97e7133c0519dd4
com.codacy	foundation-scala-lang_2.12	10.2.1_play_2.7		9ebccf672d57c805e6e7aad77f9bbabf91147e45
com.codacy	foundation-scala-lang_2.12	10.3.0_play_2.6		f168eb97f35cbcc0747910c5b7ba664d93f8f3cc
com.codacy	foundation-scala-lang_2.12	10.3.0_play_2.7		815ed948f08d5fb100363a4a887e0b14bba56ae7
com.codacy	foundation-scala-lang_2.12	10.4.0_play_2.6		977f86df80de94839e2e585714142d785d551366
com.codacy	foundation-scala-lang_2.12	10.4.0_play_2.7		b8911dd3b2773958f75e79074e80458f4a7627e9
com.codacy	foundation-scala-lang_2.12	10.5.0_play_2.6		ec4c003e09721fbc5a7a4eeea7c90e2f5c9912e9
com.codacy	foundation-scala-lang_2.12	10.5.0_play_2.7		7e9ef0ece2641b003a289b7ed74aa23e886510bc
com.codacy	foundation-scala-lang_2.12	10.6.0_play_2.6		ffe5d753d222c95664a0f8c8df12a67d0b304744
com.codacy	foundation-scala-lang_2.12	10.6.0_play_2.7		44c9c397cd692c0cef51c4cad123b4de8ab85a8d
com.codacy	foundation-scala-lang_2.12	10.7.0_play_2.6		34ac53114ad943b7a1fa7428009497e980776566
com.codacy	foundation-scala-lang_2.12	10.7.0_play_2.7		4cd13a04ac2c94d7bdff99216500dc3c028a7c13
com.codacy	foundation-scala-lang_2.12	11.0.0_play_2.6		72d88aafad64701fe8c88bb55107fd87b5474858
com.codacy	foundation-scala-lang_2.12	11.0.0_play_2.7		7d25eb3d4e1ff10421f04342a21843bc8c754269
com.codacy	foundation-scala-lang_2.12	11.0.1_play_2.6		f98cfe9b5ccd023d869ba4fe5dfc45a41c73c4f0
com.codacy	foundation-scala-lang_2.12	11.0.1_play_2.7		6b1e5483822bb153d3f23f9f1f94d90383b7f14d
com.codacy	foundation-scala-lang_2.12	11.1.0-scala213supporttest.2.bca0241_play_2.6		476c06900371b19bffd9221d016d006c09b7299b
com.codacy	foundation-scala-lang_2.12	11.1.0-scala213supporttest.2.bca0241_play_2.7		c024c0cdfcae0ffb31e47201e33320d065e242ef
com.codacy	foundation-scala-lang_2.12	12.0.0_play_2.6		3678798d9e74778627e3f7e1526ca27daf566a8e
com.codacy	foundation-scala-lang_2.12	12.0.0_play_2.7		79acb56ec282a174910cbdf00eb490351e560076
com.codacy	foundation-scala-lang_2.12	13.0.0_play_2.6		95e955d1fa73518eebbff28a99fe010ef3759c49
com.codacy	foundation-scala-lang_2.12	13.0.0_play_2.7		2b06e05cd5fabc7df726c510b3c08629a63b9f47
com.codacy	foundation-scala-lang_2.12	13.1.0_play_2.6		d518d43928587d5a3278ca8546238d139d5d075c
com.codacy	foundation-scala-lang_2.12	13.1.0_play_2.7		8ffb9a551c4f0d5057d4652ec774e242c515f105
com.codacy	foundation-scala-lang_2.12	14.0.0_play_2.6		e121584d4920f4037a3b8d67f488d659bfd2c8a2
com.codacy	foundation-scala-lang_2.12	14.0.0_play_2.7		c2ed88fd5813934ce1ab9b88723a8ad0f8724a37
com.codacy	foundation-scala-lang_2.12	14.0.0_play_2.8		29e4a0514658f417d8ff0774dcebb77b73582495
com.codacy	foundation-scala-lang_2.12	14.0.1_play_2.6		97c4223bbf05ea99f44693bb55335126b01de4db
com.codacy	foundation-scala-lang_2.12	14.0.1_play_2.7		dd94bc7be827971612ccefa5ef2e07d81bfc02ca
com.codacy	foundation-scala-lang_2.12	14.0.1_play_2.8		14540cfa49a53cdc884192ebb203c191ef7eb09e
com.codacy	foundation-scala-lang_2.12	14.0.2_play_2.6		b8968574680fa74985cbd931d466dbd74efbcdea
com.codacy	foundation-scala-lang_2.12	14.0.2_play_2.7		8951c1fd1589fe4d0dd367ddfa5eb7372746b18e
com.codacy	foundation-scala-lang_2.12	14.0.2_play_2.8		660def1853fad24e08f52d93c1f398a04bd4d6a1
com.codacy	foundation-scala-lang_2.12	14.0.3_play_2.6		9426a017fa90b0dbb3b1261c4dd998488bd51dbb
com.codacy	foundation-scala-lang_2.12	14.0.3_play_2.7		36a821070921027de918c6d402d2a034a87ce296
com.codacy	foundation-scala-lang_2.12	14.0.3_play_2.8		46cafc46dd4e1b9bb884b519c185f06546b90638
com.codacy	foundation-scala-lang_2.12	14.0.4_play_2.6		222de2037e31b340c42cd478a9b3e8ed30a29c3b
com.codacy	foundation-scala-lang_2.12	14.0.4_play_2.7		904c3ff9069e330847c720b897382a154c4b6171
com.codacy	foundation-scala-lang_2.12	14.0.4_play_2.8		4dff961ccf59317906a81bfb9035fd4c631f9305
com.codacy	foundation-scala-lang_2.12	15.0.0_play_2.6		b89dcf067c268c1c93711f4a9c81accb8e9f6075
com.codacy	foundation-scala-lang_2.12	15.0.0_play_2.7		4b06496dd6957be451a9e1787cb33aa17dd00065
com.codacy	foundation-scala-lang_2.12	15.0.0_play_2.8		74dad8afedd8ac078310ae74514ea331045cd370
com.codacy	foundation-scala-lang_2.12	15.1.0_play_2.6		480acccde92cb24d9aa8279d09484807e5efa7bc
com.codacy	foundation-scala-lang_2.12	15.1.0_play_2.7		84541583cca88d445a011a295f3183c4387514ee
com.codacy	foundation-scala-lang_2.12	15.1.0_play_2.8		6d7e3b8e7fa696a9923c2add1d02e3c9b6466849
com.codacy	foundation-scala-lang_2.12	15.1.1_play_2.6		6ef9140e53201ee3288a36f5b7308bd0be23529f
com.codacy	foundation-scala-lang_2.12	15.1.1_play_2.7		78880946e61b734950f0cad0a25d91f6aa203558
com.codacy	foundation-scala-lang_2.12	15.1.1_play_2.8		b4dc91c1d7d28c512ab7c39e82206fc3c9f2cce1
com.codacy	foundation-scala-lang_2.12	15.1.2_play_2.6		434d0a76a602b81e294049b3ba32ab9b75cf6ab2
com.codacy	foundation-scala-lang_2.12	15.1.2_play_2.7		f0958e4a48d4f0fa05747c84bdbae63a64b477cd
com.codacy	foundation-scala-lang_2.12	15.1.2_play_2.8		9347234d0844c6f0328a64299cc09e71eec84645
com.codacy	foundation-scala-lang_2.12	15.1.3_play_2.6		d884ff23706d84c7712ad39958a5e63b1e9998e3
com.codacy	foundation-scala-lang_2.12	15.1.3_play_2.7		7c69167482459404d9554a28138ab35f5a3e0ddc
com.codacy	foundation-scala-lang_2.12	15.1.3_play_2.8		983d24ef2b0f9bffbcdb6458dc960070cdf8fda9
com.codacy	foundation-scala-lang_2.12	15.2.0_play_2.6		a5b18e1b0e41746b76facaddee206039b2d79d05
com.codacy	foundation-scala-lang_2.12	15.2.0_play_2.7		2ff8e0441cae63ded9e15eeab9c542e3b7d9fa8d
com.codacy	foundation-scala-lang_2.12	15.2.0_play_2.8		67ba9f8a8a5ac7b6c8cb34f9734455ebc8b38a13
com.codacy	foundation-scala-lang_2.12	16.0.0_play_2.6		0e91b5888732a877426065af3fae45f0d8434ad0
com.codacy	foundation-scala-lang_2.12	16.0.0_play_2.7		20a172267bfa88d4f330240c660b6957ea32c328
com.codacy	foundation-scala-lang_2.12	16.0.0_play_2.8		2aa5a7ccc64029819906da482374cdb538ac47fb
com.codacy	foundation-scala-lang_2.12	17.0.0_play_2.6		da903981a6fc42d26d965290dc1d669e8a892d75
com.codacy	foundation-scala-lang_2.12	17.0.0_play_2.7		92ae3151c8bd52e5d728a865159ff84ed04754ed
com.codacy	foundation-scala-lang_2.12	17.0.0_play_2.8		12d67ca05ff6a47eae603fbcf2e93c470eb7d2a1
com.codacy	foundation-scala-lang_2.12	17.0.1_play_2.6		28616478cecdf4598e40d5952db0e5e811603533
com.codacy	foundation-scala-lang_2.12	17.0.1_play_2.7		d98e7419c346e58ecdd5fe3b04776c80ebd1407c
com.codacy	foundation-scala-lang_2.12	17.0.1_play_2.8		37ea92f7923f9b40aea3241e5a38ffc9cba636aa
