at.crea-doo.flexdock	flexdock-drag	1.3		c6cddec24205870ee1e44369138e6967983d60a3
at.researchstudio.sat	won-vocab	0.7		2ac0efa2a2faaf5dbc4c01fd5d44331d3e2389e5
at.researchstudio.sat	won-vocab	0.8		5715f206b05d9fb97d13b0b7dfb38d4dc2026d86
at.researchstudio.sat	won-vocab	0.9		43898ac79b05608c0d3f3a52a413d37d8eb0da15
br.com.uniquedata.sdk.restfull.restfull	uniquedata-sdk-restfull	0.0.1-BETA.1		b73261249a32d2465c9e2f3e0e9ab172fe921ece
cc.otavia	otavia-mysql-driver_3	0.3.2		14df382503234d11157c533b4e04ba3a7dbda4c9
cc.otavia	otavia-mysql-driver_3	0.3.3-alpha		b81a885f46d1226686d734b0e5c5addc95eca2aa
cc.otavia	otavia-mysql-driver_3	0.3.4-alpha		791d9d1f62b5c8a168376d17f5c0c0aae49147da
cc.otavia	otavia-mysql-driver_3	0.3.5		acba885f66b4640fe6d827d43ae19973fb2ca33e
cc.otavia	otavia-mysql-driver_3	0.3.6		411d05edfaffce1312c7b56ebff683aa1d3854f0
cc.otavia	otavia-mysql-driver_3	0.3.7		6b1046a0e2271a479e828943709ea232e3e78651
cc.otavia	otavia-mysql-driver_3	0.4.0		eebcd6b759f16354106c676fd32c4027f3ca55f2
cc.otavia	otavia-mysql-driver_3	0.4.2		45b8ca295ef3a0ae8b8e96720405faefb01f5156
cc.otavia	otavia-mysql-driver_3	0.4.3		ad0054bd19637d7ad4ee8ecbb15f8820c75417f0
cc.otavia	otavia-mysql-driver_3	0.4.4		0128a0f44f1f00b656ffe9734bb0b828befe82a9
cc.otavia	otavia-mysql-driver_3	0.4.5		95b39633fc969ca3b62ae2e28c210b503985c3c2
cn.stylefeng.roses	email-sdk-java	7.0.0		75cecb0a3fe589e31ef5e5e3fe742fc708268cd6
cn.stylefeng.roses	email-sdk-java	7.0.1		850b3edf2879b0c195d5ca1325563b926714c9f5
cn.stylefeng.roses	email-sdk-java	7.0.2		9b272a463997747059509c51fe4441e0b38dbc79
cn.stylefeng.roses	email-sdk-java	7.0.3		3edd0347f4bf07d08282c13f4fee950943e25ccd
cn.stylefeng.roses	email-sdk-java	7.1.0		ed8808db90b4ab6751040d08664bfaa085af1805
