app.tulz	tuplez-full_sjs1_3.0.0-RC3	0.3.6	-	bf6250bfd89ddcc10c0d1b346a799499e5df1177
aws.sdk.kotlin	iotevents-jvm	0.16.0	-	6bef9db9992c4bcb9956ce77beb776bb4993a496
aws.sdk.kotlin	iotevents-jvm	0.16.1-beta	-	7d3ccf52fc955fdc4b3228d8f4b5cad664275f33
aws.sdk.kotlin	iotevents-jvm	0.16.2-beta	-	dbcf4a7967348a00e8601faaecbfdb37db8c2472
aws.sdk.kotlin	iotevents-jvm	0.16.3-beta	-	e9e2919d1d01af4984e0be434d1d346e4e98cb15
aws.sdk.kotlin	iotevents-jvm	0.16.4-beta	-	5949e0fc4de17b988eb76c4b1702f3cb1a3ec2ee
aws.sdk.kotlin	iotevents-jvm	0.16.5-beta	-	15db748e2cf2aaee3bad93c250eeb152ed5a8abc
aws.sdk.kotlin	iotevents-jvm	0.16.6-beta	-	f49c05b080d6eb53b4673da79311e5a2dd5d9c16
aws.sdk.kotlin	iotevents-jvm	0.16.7-beta	-	1787962c1732af621a22d5d6811d9f023edc24c2
aws.sdk.kotlin	iotevents-jvm	0.17.0-beta	-	b19e2295a4daf611ad96b9ce6a9024c9a93dcfea
aws.sdk.kotlin	iotevents-jvm	0.17.1-beta	-	5fc81a46e92897c2691ead23a93bc276ec9bcb58
aws.sdk.kotlin	iotevents-jvm	0.17.10-beta	-	7bc9f5ba2c67e7c27b7b65f66f78c0eb378329ec
aws.sdk.kotlin	iotevents-jvm	0.17.11-beta	-	929db1e5cd91a8e39a69d2cd7d1b405adc814480
aws.sdk.kotlin	iotevents-jvm	0.17.12-beta	-	645efe2ff51f6b1dfed80d7cab9b688dc3dea663
aws.sdk.kotlin	iotevents-jvm	0.17.2-beta	-	ea4e0c0ef837edaf0b03dd52827236cdcdd06eba
aws.sdk.kotlin	iotevents-jvm	0.17.3-beta	-	cbb662c5905560bd1493f714d8eee7c055ed5dd6
aws.sdk.kotlin	iotevents-jvm	0.17.4-beta	-	6ad052cc96bafdf9a63e6aa9e18087f02c664d14
aws.sdk.kotlin	iotevents-jvm	0.17.5-beta	-	d48328b7620f8ad2a86e97277681fa439ceb5945
aws.sdk.kotlin	iotevents-jvm	0.17.6-beta	-	33bf955063e367114d4380d290711b3f6835d638
aws.sdk.kotlin	iotevents-jvm	0.17.7-beta	-	5293237306558c76584b6ea33d3c40629e6dd30f
aws.sdk.kotlin	iotevents-jvm	0.17.8-beta	-	c425d4ceabca5a551cac08fe07207a868576f33b
aws.sdk.kotlin	iotevents-jvm	0.17.9-beta	-	2afb5b6e3c6eff4c5ddf5e81231b296d3891385b
aws.sdk.kotlin	iotevents-jvm	0.18.0-beta	-	0f8438ebde2227478a056ac59a797e8b26f34529
aws.sdk.kotlin	iotevents-jvm	0.19.0-beta	-	a6c8d7f0174826d496c77577c8575bb9b54cae5b
aws.sdk.kotlin	iotevents-jvm	0.19.1-beta	-	180c2c638ec3f1977f34eae76e5e450c8f80b769
aws.sdk.kotlin	iotevents-jvm	0.19.2-beta	-	4efd6db7ac4050c59001c311fa461cc8b9882d8f
aws.sdk.kotlin	iotevents-jvm	0.19.3-beta	-	cb20c1030d6437d8a0d5720b7f6b5deda68e8797
aws.sdk.kotlin	iotevents-jvm	0.19.4-beta	-	1c1417b0d353ab6005f7459fc69f1f639cfbce47
aws.sdk.kotlin	iotevents-jvm	0.19.5-beta	-	1b8f0d9c0f1a6753e2c46bd3727f4ac9baa5654c
aws.sdk.kotlin	iotevents-jvm	0.20.0-beta	-	a161071488c4800d4d5bbe5ee8a6b3382f8b1b45
aws.sdk.kotlin	iotevents-jvm	0.20.1-beta	-	2be4037ed015ba51a48296694b3187d884c9eb97
aws.sdk.kotlin	iotevents-jvm	0.20.2-beta	-	77f207a7cef4142e5f7385275e443eca273dd447
aws.sdk.kotlin	iotevents-jvm	0.20.3-beta	-	c295d52a51e2df6496b8bc66f1fdd2e1fc0f42f2
aws.sdk.kotlin	iotevents-jvm	0.21.0-beta	-	23544f2743d3dd5c4ea6b9df138e426d0f932e1a
aws.sdk.kotlin	iotevents-jvm	0.21.1-beta	-	d60c11db4675e4e79b9db514a8035e4109063f18
aws.sdk.kotlin	iotevents-jvm	0.21.2-beta	-	83e1ed675627393c435bea0ce5cc7f49471e1064
aws.sdk.kotlin	iotevents-jvm	0.21.3-beta	-	44e4d1625a92ec4c979e53903650c5f16f42bc8a
aws.sdk.kotlin	iotevents-jvm	0.21.4-beta	-	aca8dcd47668bf25dd50e79280bd5c334652e82f
