au.net.causal.shoelaces	shoelaces-assorted-integration-tests-container	2.0	-	44a0e2813586047b264e16fdb63ecfa7366d40b9
biz.aQute	org.eclipse.ot.rsa.integration.test	1.0.0	-	81DCD40590EEE83D4A7433E674FA40B2885EC854
ca.jimr	gae-mini-profiler	1.1.0	-	59d9821f54381520fae60abb98ab044a6c619dd0
ca.jimr	gae-mini-profiler	1.1.1	-	c51bb38064e70315213065d3192ec342d2f38abe
ca.jimr	gae-mini-profiler	2.0.0	-	ba1e93caf914edb04291bbf8e6593907731fa062
ca.jimr	gae-mini-profiler	2.0.1	-	b1df9c458f5b72017b736fc269d94e2674f995b4
ca.jimr	gae-mini-profiler	2.0.2	-	4325c41c1532bfa7fd764fd668fbda95681301d6
ca.jimr	gae-mini-profiler	2.0.3	-	9a11028db69d6cdac2ae5ab33ccf0186055fc2ac
ch.epfl.scala	scalafix-cli_2.13.8	0.10.0	-	3ab3ab28480a8bf5494210db3a38ca27a908418c
ch.epfl.scala	scalafix-cli_2.13.8	0.10.0-RC1	-	33707c933f44a7c0734e16dd8c21f92f63cd6cfb
ch.epfl.scala	scalafix-cli_2.13.8	0.10.1	-	497d80e3e53b6318fb47c195c32607e1c215bc27
ch.epfl.scala	scalafix-cli_2.13.8	0.10.2	-	30ecc7d603a803a0654c318009256ddf70204b78
ch.epfl.scala	scalafix-cli_2.13.8	0.9.34	-	3fe880e220f828654953094b5d45301bda8e04ea
ch.exense	node-plugin	3.6.1	-	20686bacb210dca9b5b3e2ea948fe5ee937e8cea
ch.qos.logback.access	tomcat	2.0.0	-	1d2c8a18c8feb8ac308b31e18b1769cbedd657b7
ch.qos.logback.access	tomcat	2.0.1	-	08f9b4477c246f7e2ffe27f58e02a47011ebbbe3
ch.qos.logback.access	tomcat	2.0.2	-	cc9421b58912c9d09484094603dddec47608c8ed
ch.qos.logback.access	tomcat	2.0.3	-	2532c0164f55f0931439f8aa74d1fa9f67b8c8a9
ch.ubique.gradle	ubdiag-android	4.2.0	-	15fc2d5f8dc98f8f9d817786d9c4fa180a0cd3ea
ch.ubique.gradle	ubdiag-android	7.0.0	-	3bea1bf10f0311a4882bb1b7083796b390632fba
ch.ubique.gradle	ubdiag-android	7.0.1	-	78353f6aaeb325bd1a0fb6f8658d4d76934adf46
ch.ubique.gradle	ubdiag-android	7.0.2	-	fd17d8314d35d4b4094ded61e3326b1f8fc84851
ch.ubique.gradle	ubdiag-android	7.0.2-rc01	-	eb8f13dafdf4ba9ab16adf674eb4c99706a97adf
ch.ubique.gradle	ubdiag-android	7.1.0	-	19c2a586cf0c9eff038cb984b554cb4f934aabe6
ch.ubique.gradle	ubdiag-android	7.1.0-rc01	-	cbcfdca915ee34e7cfbaad01f984262245fed428
ch.ubique.gradle	ubdiag-android	7.1.1	-	5819c5274492d30166dd285b1e7fba3850469222
ch.ubique.gradle	ubdiag-android	7.3.1	-	c3a05781e5d45e223fc271a459a6fced35054d8c
