be.ugent.brightspace	valence-sdk-java	1.0.1		f96df3bdeea1cf1c362c1b0f86d48c9897b5e36a
cn.cescforz	commons-encrypt	1.0.0		N/A
cn.cescforz	commons-encrypt	1.0.1		91f6009b4b2cb1ccf3d7c66b14f4ee68ce01d28b
cn.herodotus.oss	oss-solution	1.3.0		b62bc8f0dc1c83ae453b5710e845a46578fd9b65
cn.herodotus.oss	oss-solution	1.3.1		ec0245dd5b32743f5bf2a6e299fcce1957399a5e
cn.herodotus.oss	oss-solution	1.3.2		f7788e2a73af7b60befb4beb0f931693ca94f2cf
cn.herodotus.oss	oss-solution	1.3.3		1e020c97114c1ffc926ba89f8ebeb6f4a3748a9d
cn.herodotus.oss	oss-solution	3.1.10.0		9c0dde4546a2d93d2edbde6c03f9b33fd2588ecd
cn.herodotus.oss	oss-solution	3.1.10.1		a5a7371c132e6fc22015ec58201a16f8b5847361
cn.herodotus.oss	oss-solution	3.1.10.2		ddf319b677195a5627f7582d2b1b91c8d194b70c
cn.herodotus.oss	oss-solution	3.1.11.0		5a172238813ed253cd40a1cb272c74ab27fd23f1
cn.herodotus.oss	oss-solution	3.1.11.1		1f7574d050d0333bb58993a6ba54b618f4aa4f40
cn.herodotus.oss	oss-solution	3.1.11.2		904e2764af526c48b27245dad51e07741531c3a3
cn.herodotus.oss	oss-solution	3.1.11.3		ef062594a00109008d4417468ab8d0d1a648dacf
cn.herodotus.oss	oss-solution	3.1.12.0-Final		e80a669fe9fa0c3aa2353188b828dd7b9897e322
cn.herodotus.oss	oss-solution	3.1.3.2		15329e5b1dffda98178f009bc7a719280c7694e4
cn.herodotus.oss	oss-solution	3.1.3.3		07c5c7bd788f4fbf5fcbb0c3541c4c80a97dab3f
cn.herodotus.oss	oss-solution	3.1.3.4		842144b3bc18f83858c18c1abc59d3b8db790c0e
cn.herodotus.oss	oss-solution	3.1.3.5		4c95da57cbf11b33b258cffc09b19f1338a21be1
cn.herodotus.oss	oss-solution	3.1.3.6		bd41b407453727b68ac765ba001e2e2490ad25ad
cn.herodotus.oss	oss-solution	3.1.4.0		3fda8734ce2074cf420121f1cf3b6c2178ab726f
cn.herodotus.oss	oss-solution	3.1.4.1		b10d80bf0a4670390d1c7dbbc221983fe642e5aa
cn.herodotus.oss	oss-solution	3.1.4.2		3f3c17092964802eea9bd6d8be1f02193d00b338
cn.herodotus.oss	oss-solution	3.1.4.3		84e245e33f682f1478c4f131b2ab2732ed3a4d71
cn.herodotus.oss	oss-solution	3.1.5.0		4d4d23fa03b7c7c334254627de1fa9fddb2aaacf
cn.herodotus.oss	oss-solution	3.1.5.1		3f1da79b7425491cb43475f2a1d9c59f5aef27fa
cn.herodotus.oss	oss-solution	3.1.5.2		3200eb95e9e0c43dd84621349ca244f94d1c30c7
cn.herodotus.oss	oss-solution	3.1.5.3		158395152dc43911c3151d27de88ffe2abb24a26
cn.herodotus.oss	oss-solution	3.1.5.4		ae8f323b24795aaa2065a04a5e5112c547cd6096
cn.herodotus.oss	oss-solution	3.1.5.5		e460683141c3329cd9127d9dc52255ca8f0bb45a
cn.herodotus.oss	oss-solution	3.1.5.6		6f748b1d5c307445999c343b66377d00aff33325
