be.vlaanderen.informatievlaanderen.ldes.ldi.nifi	archive-file-in	2.12.0		N/A
co.blocke	scala-reflection_3.0.0-RC1	1.0.0-RC1		8f92f126582ea573e4c9637be10a13255b2257b6
com.aol.microservices	microserver-jersey	0.60		2349e21caca46832eb2248d177fb9a112bb436a8
com.aol.microservices	microserver-jersey	0.61		a643be4f612c58097921fe4c5cd10800eab3bc43
com.bertoncelj.dropwizard	dropwizard-listening-datasource	1.0.0		9557fd6cbd741349803599559f8e8d4656d9ae84
com.cmeza	spring-boot-starter-jwt	1.0.0		b7fe01e103522c67cc9b065e6298c24ad154d64e
com.coreoz	plume-db-querydsl-codegen	1.0.0		c2e56c996a6c2bceefe0b66cdeb1ec8a41af5dfb
com.coreoz	plume-db-querydsl-codegen	1.0.0-beta3		5cde4394e6083ad240490eb2b4c5d4ae8d306bf6
com.coreoz	plume-db-querydsl-codegen	1.0.0-beta4		38d3b7a5487ae7a6d90f5222bb6e92df1bad7dc5
com.coreoz	plume-db-querydsl-codegen	1.0.0-beta5		f090fbc03ba4b72ba8c4daa6e9e14d70a13043f2
com.coreoz	plume-db-querydsl-codegen	1.0.0-beta6		be887578e256f7bbc7542726cdebd422358038f4
com.coreoz	plume-db-querydsl-codegen	1.0.0-rc1		50862a861dfec30b0dc6f938e56c9f84c9216b35
com.coreoz	plume-db-querydsl-codegen	1.0.0-rc2		0252192f0721c3f7fd0cdb8b174c1a9997f0a903
com.coreoz	plume-db-querydsl-codegen	1.0.0-rc3		38ca20ad93aaf56ee37042bb4fc24f5b6cdc66b4
com.coreoz	plume-db-querydsl-codegen	1.1.0		cdeb57f19706b27e8eb9e616ff315be20ae679f0
com.coreoz	plume-db-querydsl-codegen	1.1.1		3c28c2c32f9230a231b2ecc0590a41ba262aa541
com.coreoz	plume-db-querydsl-codegen	2.0.0		8e8706e72c7d81b2d0f9f33ae9ec1d51612f12a6
com.coreoz	plume-db-querydsl-codegen	2.0.0-RC1		815e2880a7fb2624df8543734c38e6ef5cf5f953
com.coreoz	plume-db-querydsl-codegen	2.0.0-beta1		0d179949a4d1977e2f197e4981a44e8329d56151
com.coreoz	plume-db-querydsl-codegen	2.0.0-beta2		2aaecd89bb6071a075c40720a7e7ea9a43cdb78e
com.coreoz	plume-db-querydsl-codegen	2.0.0-beta3		e77c92a2949dd03f4dae5d7a350b242858cea589
com.coreoz	plume-db-querydsl-codegen	2.0.0-beta4		d9dfdb741b17dc3d36a0e079054291e31b310790
com.coreoz	plume-db-querydsl-codegen	2.0.1		af7ddd58285c815ba9fe6005cb39c4cda1588b9d
com.coreoz	plume-db-querydsl-codegen	2.1.0		7d777f89478143d9673c636461f389c5f28d6c79
com.coreoz	plume-db-querydsl-codegen	3.0.0		f7da771b91097de7c3b0fac970ab0efac5b48e6e
com.coreoz	plume-db-querydsl-codegen	4.0.0		31cbe63fbf57f37f23b7e85b98ec695dbe84ad05
com.coreoz	plume-db-querydsl-codegen	4.1.0		b9e3751031c35f809034c1ff195eff68c167803b
com.coreoz	plume-db-querydsl-codegen	4.1.1		42fec06412aeac4628a9fe7370738a38ade3af3c
com.coreoz	plume-db-querydsl-codegen	4.2.1		e8aa71236e02c0485675772bbab977097ead6826
com.coreoz	plume-db-querydsl-codegen	4.2.2		ea3e2d5f813466943fed03f8ff885bee8a628424
com.coreoz	plume-db-querydsl-codegen	4.2.3		9a87b3fe93ae1539ca4883aaabe81933a435a2d9
com.coreoz	plume-db-querydsl-codegen	5.0.0		64faed6084a0f2036ae59ea8fcf29466b6a33679
com.coreoz	plume-db-querydsl-codegen	5.0.0-RC1		02252a0b6df2a3762188a9d7a2919fa4d0662f11
com.coreoz	plume-db-querydsl-codegen	5.0.0-beta1		2e22002b04bf344e92a53d34035de52d6a99206f
com.coreoz	plume-db-querydsl-codegen	5.0.0-beta2		9508e6df06211cfab62fe117ffef8d1782c8b263
com.ecfront	rpc	0.1		5103b4ddad0f71344605dfc2a5d7e429cd78f16d
com.ecfront	rpc	0.2		e4a0804bdb08d6dd4e210ce14aafd50b264ea790
com.ecfront	rpc	0.2.1		e206351d2f25492a151f4b1cfb92845637ca6ebd
com.ecfront	rpc	0.3		780050f171aaf4efa4acbab662f5ef59e019a1ce
com.ecfront	rpc	0.3.6		c7aba36209dcdefff7b904cdcdf661ca56bf8b43
com.ecfront	rpc	0.5		64aa852b72e5ee196dc2e92b44d5d2a6051573bd
com.ecfront	rpc	0.5.3		553a81bb947ac2ef776d7358d0395c59157e1998
com.ecfront	rpc	0.6		ed613d79c1e633f2c3ce1175566f325548a3808b
com.ecfront	rpc	0.7		b35b5fb4ad2e189fec24ec6e250dbe30a4dd3e1f
