acegisecurity	acegi-security-adapters	1.0.0-RC1		N/A
br.com.anteros	anteros-hardware-android	1.0.1		N/A
br.com.anteros	anteros-hardware-android	1.0.2		N/A
cloud.altemista.fwk.azure	cloud-altemistafwk-core-azure	3.0.0.RELEASE		98e6b7fa097b64053d4828c456b108387fa4b269
cloud.altemista.fwk.azure	cloud-altemistafwk-core-azure	3.0.1.RELEASE		325accbda40fd272a5f02d1a793add322186ef3c
cloud.altemista.fwk.azure	cloud-altemistafwk-core-azure	3.1.0.RELEASE		c583d0457b8c57131398aa8852bc313334ed5e1a
cn.t	common-base-response	1.0.0.RELEASE		717ccc799bae4c62b35f64c773fcc25dfb92241a
cn.t	common-base-response	1.0.1.RELEASE		N/A
cn.t	common-base-response	1.0.2.RELEASE		b419969f77a9e548e941b727f44333155efe6152
cn.t	common-base-response	1.0.3.RELEASE		ab429277f31b4015762fd291f21b0dd42483d838
co.cask.cdap	cdap-sentry-extension	0.3.0		N/A
co.cask.cdap	cdap-sentry-extension	0.4.0		N/A
co.cask.cdap	cdap-sentry-extension	0.4.1		N/A
co.cask.cdap	cdap-sentry-extension	0.5.0		N/A
co.cask.cdap	cdap-sentry-extension	0.6.0		N/A
co.cask.cdap	cdap-sentry-extension	0.6.1		N/A
co.cask.cdap	cdap-sentry-extension	0.6.2		N/A
co.cask.cdap	cdap-sentry-extension	0.6.3		N/A
co.cask.cdap	cdap-sentry-extension	0.6.4		N/A
co.cask.cdap	cdap-sentry-extension	0.6.5		N/A
co.cask.cdap	cdap-sentry-extension	0.6.6		N/A
co.cask.cdap	cdap-sentry-extension	0.7.0		N/A
co.cask.cdap	cdap-sentry-extension	0.8.0		N/A
co.cask.cdap	cdap-sentry-extension	0.8.1		N/A
co.cask.cdap	cdap-sentry-extension	0.8.2		N/A
com.addc	addc-security	2.2		c5be70bcf7d00455b3a0498e45235a7667999971
com.addc	addc-security	2.3		586ad2686e4ce0f792c8cfc5ac9a24bffb96fa94
com.addc	addc-security	2.4		3b98e785d561dab1778c1e673abb77e2ca1a86d3
com.addc	addc-security	2.5		5b1589400caa499da93be711740c0b741c4b8d19
com.addc	addc-security	2.5.1		8097c8ed6156ca7e90517093fcf8769b2f221e81
com.addc	addc-security	2.5.2		24028f834d065f716544c4c9758b5ba4946dea22
com.addc	addc-security	2.6		78e86c106b4dc2a8144d9d35270424509568b996
com.aoindustries	ao-web-resources-servlet	0.1.0		e2a58925db705d2f5612455e75af57d751da33eb
com.aoindustries	ao-web-resources-servlet	0.4.0		N/A
com.eventsourcing	eventsourcing-inmem	0.4.0		9d6ae14b17d9a956783f84411be0f09bade50fe4
com.eventsourcing	eventsourcing-inmem	0.4.1		d8040c2877df502d84e9ea0ab080901cf369273e
com.eventsourcing	eventsourcing-inmem	0.4.2		54d6614de908a916f53fe9b0b53ebf1effe42d3a
com.eventsourcing	eventsourcing-inmem	0.4.3		8c88e50634dced9d4e3a22abf70134232eda9681
com.eventsourcing	eventsourcing-inmem	0.4.4		906972bc966b514cb9dc52d7e4f6635e36e45285
com.eventsourcing	eventsourcing-inmem	0.4.5		350e6f99e77ab7bbbaaac7a5dcf5d8f4f7a0f197
com.eventsourcing	eventsourcing-inmem	0.4.6		e99f5a05bf893ef954833d1c36619e658eb0e38b
com.exadatum.xsuite	shell-functions	1.0.0		2f997f9a33105f80b7b2a55129004d2909ffd240
com.fpliu.ndk.pkg.prefab.android.21	libjpeg-turbo	2.1.3		N/A
com.gitee.chinasoft_ohos	StikkyHeader	1.0.0		N/A
com.github.apetrelli.gwtintegration	gwt-integration-spring-web	1.0.0-alpha2		a8e62614f441b8a4b4db78f755eda93540ef8987
com.github.apetrelli.gwtintegration	gwt-integration-spring-web	1.0.0-alpha3		019b2024c052737f3b25811940328b2bf466717c
com.github.apetrelli.gwtintegration	gwt-integration-spring-web	1.0.0-alpha4		0b47f63ec54f9564449c0db8bdb70bb2adfc2999
com.github.cquiroz	kuyfi_2.11	0.1.0		eb8cec09aefc48ebf9862cf77faf38c6b137e121
com.github.cquiroz	kuyfi_2.11	0.2.0		b8b087f577ba5b5624087d699ef1136515c6da9d
com.github.developframework	mybatis-extension	1.0		N/A
com.github.developframework	mybatis-extension	1.1		N/A
com.github.myibu	slf4j-general	1.0.0		ed3ba7267342ec5885a7ceb149ec77379728edf2
com.github.tototoshi	play-json4s-native_2.11	0.3.0		3d03179ccf6af5f92cc63dc71f626de985acf2c2
com.github.tototoshi	play-json4s-native_2.11	0.3.1		e7289c46771b71818fae3b183ea7ab1c4a457dd3
com.github.tototoshi	play-json4s-native_2.11	0.4.0		2bff8be195511a6dc471db3d19903fbfb7a07aac
com.github.tototoshi	play-json4s-native_2.11	0.4.1		efac1659c0d1503052ee112f305718f59f283f40
com.github.tototoshi	play-json4s-native_2.11	0.4.2		ce8b5a286c3e3287d2bdd14964dce439530007c5
com.github.tototoshi	play-json4s-native_2.11	0.5.0		6b3d24dedd9899da452ff6509655cfae9c640c7d
com.github.tototoshi	play-json4s-native_2.11	0.6.0		e43d1c28b04409fefb1936dcabfe205848829ef5
com.github.tototoshi	play-json4s-native_2.11	0.7.0		2736061833373ba54353db094b099d295a253fa6
com.github.tototoshi	play-json4s-native_2.11	0.8.0		adba7c05a3120d77829a8f4eaf43f9c66b67d6b2
com.github.tototoshi	play-json4s-native_2.11	0.8.1		e7d2821b458292f1ac80e513c5f6f5f370cb6946
com.github.tototoshi	play-json4s-native_2.11	0.9.0		c166d78f567f149b63a5d04195eec42ba3d97177
com.github.tototoshi	play-json4s-native_2.11	0.9.1		56a09fc6c0814bda02069ea8de3947ef6e91c39f
com.googlecode.flyway-test-extensions	flyway-spring4-test	2.3.0.1		a918559e27decd02303c8143e2d451abef975ce6
com.heretere.hdl	plugin	2.0.0		2f6dbfe62b8646cc7117328b7c1d4efafd47b37e
com.heretere.hdl	plugin	2.0.1		dbd9e3cefd87459b6e4d59bcf3a7fdd46a4b3987
com.linkedin.parseq	parseq-http-client	2.0.0		23ef8fa3906f518c550fbf2e7066e55fce764f98
com.linkedin.parseq	parseq-http-client	2.0.2		bbcdcc396edda3a9a24cac4c596948eda4919a7f
com.linkedin.parseq	parseq-http-client	2.0.4		e101fe62574d40bf73e69352dcd5347f4245a3a4
com.linkedin.parseq	parseq-http-client	2.0.5		6ca83758e73f4a381a1507991548581128359595
com.linkedin.parseq	parseq-http-client	2.0.6		7072bc24708bb870a824e4f6084e391f848910fb
com.linkedin.parseq	parseq-http-client	2.0.7		8e0f520d813b8b3e906306a30f87591d4980744d
com.linkedin.parseq	parseq-http-client	2.0.8		41d8868a2320c4a558f82abe63f0e5b1a245198b
com.linkedin.parseq	parseq-http-client	2.1.0		b4b13269efb9734060580d0a23d59995f2409cfb
com.linkedin.parseq	parseq-http-client	2.1.2		3fc6a4a74b90635f2932519e6dc3f5a2ada37390
com.linkedin.parseq	parseq-http-client	2.2.0		711178fb03dd31fab80af7c28f43800ff5bbdaf3
com.linkedin.parseq	parseq-http-client	2.3.0		4e494048a88909b27ada0debc762d761a1387f91
com.linkedin.parseq	parseq-http-client	2.3.1		b57a3de235478a871606963325270b808459cc99
com.linkedin.parseq	parseq-http-client	2.3.2		85c8428d2dd1f2c65ea45be03253edc9d9bffb98
com.linkedin.parseq	parseq-http-client	2.3.3		0ee73586caf90ba23a2745b293dc14c0bfbdeea7
com.linkedin.parseq	parseq-http-client	2.3.4		e9aeaf0863f01d4aec74874a7f3b1b1485b5dc6f
com.linkedin.parseq	parseq-http-client	2.3.5		ccc8e559d855c28bef3ec8dbe5634a31c9a787a8
com.linkedin.parseq	parseq-http-client	2.4.0		0d7d476df762841017ae779c04a443919781ec01
com.linkedin.parseq	parseq-http-client	2.4.1		4f143a668c3f8c66615357f9ad7b933701e97170
com.linkedin.parseq	parseq-http-client	2.4.2		4666e9b9a39e93491a37cfe7d217464c615f41ff
com.linkedin.parseq	parseq-http-client	2.5.0		f300cde07423ab5cc902551b63f15dd0522c4d0f
com.linkedin.parseq	parseq-http-client	2.6.0		f5ddbbe07f73bc45e25dc07d794fe0a35e513d38
com.linkedin.parseq	parseq-http-client	2.6.1		7c67968ebb0bd6757708921fec810ab3d489b2da
com.linkedin.parseq	parseq-http-client	2.6.10		c8ae2e526ef2c3d5284d153a509f091538a31cb9
com.linkedin.parseq	parseq-http-client	2.6.11		4feb4c73dd342beaddae1f4e01c53875ec9b124b
com.linkedin.parseq	parseq-http-client	2.6.12		662c1a898947ba3760f1d95a28553b4ff67f357a
com.linkedin.parseq	parseq-http-client	2.6.13		8102cbf64dc95fa792aa7ebd73efa28ca718c0b0
com.linkedin.parseq	parseq-http-client	2.6.14		c64ddc56107368d1dc3bea239f5141faff868353
com.linkedin.parseq	parseq-http-client	2.6.15		3d484d25144e2e2c7226c2760487e35b4ea8abe9
com.linkedin.parseq	parseq-http-client	2.6.16		fc89b4b680b53dcd553495395ba9b6633aed5bf4
com.linkedin.parseq	parseq-http-client	2.6.17		34a1b5c67cb1908c8e9f7d38f084e725a54ad98f
com.linkedin.parseq	parseq-http-client	2.6.18		bf2ac06873529dc8f9a2a0322526270225b57b3a
com.linkedin.parseq	parseq-http-client	2.6.19		40c456c8322c7dda0831e3b973f9e468b688f2ae
com.linkedin.parseq	parseq-http-client	2.6.2		3ee3a2accb092e20617799128206025638a8a334
com.linkedin.parseq	parseq-http-client	2.6.20		4e9e0d7d17982a646e8768beb5a698bd8790eb52
com.linkedin.parseq	parseq-http-client	2.6.21		3de4f67ecc98507c47ce7b0cb5b9b3f44b7489d6
com.linkedin.parseq	parseq-http-client	2.6.22		055c71159a0c019575ece18157cad7d24ab97b20
com.linkedin.parseq	parseq-http-client	2.6.23		463ca478a60a029a3d812ae2cfa9e58e3c9717bf
com.linkedin.parseq	parseq-http-client	2.6.24		8c4cefe9c9f2adf0f187ac8c476903ddd376b9ef
com.linkedin.parseq	parseq-http-client	2.6.25		b13493ea822cdf8d4f430b7eb44f73a07348b5f3
com.linkedin.parseq	parseq-http-client	2.6.26		235971c035fc38d593a55da33ae438aa85579063
com.linkedin.parseq	parseq-http-client	2.6.27		122ce84632506e55694fbef7a6749ff3169eea51
com.linkedin.parseq	parseq-http-client	2.6.28		463571033e5d105b783fd9132c80072a7d6c48ad
com.linkedin.parseq	parseq-http-client	2.6.29		6f6bc8e2709a15a372ffa38953fb2b7b8b5629b2
com.linkedin.parseq	parseq-http-client	2.6.3		3d08dd5d6ffda2154f3427bf339b25e6fefbfbe8
com.linkedin.parseq	parseq-http-client	2.6.30		d427cde1c3462beaaf3709b72c824764d3615978
com.linkedin.parseq	parseq-http-client	2.6.31		4057b46fb6d6626fc64ebc40c23868d8bbfd7b40
com.linkedin.parseq	parseq-http-client	2.6.32		814e57174dcf4acf1c8286243827e07ca65fde52
com.linkedin.parseq	parseq-http-client	2.6.33		ee0d9d8975b976ef9d4c7fd292daf741d9e0a643
com.linkedin.parseq	parseq-http-client	2.6.34		2d9144d1231d776f06f8c266929b6fc8c58e2422
com.linkedin.parseq	parseq-http-client	2.6.35		d0a3298dd11e86bc0152a5203e3694150330de2f
com.linkedin.parseq	parseq-http-client	2.6.36		058b188d591f1080538d634bb6b8369509a53a3d
com.linkedin.parseq	parseq-http-client	2.6.4		2a66c5c3be5f2e0d7a8b0c4ad6eef24b00f1a7af
com.linkedin.parseq	parseq-http-client	2.6.5		7c50c91ae735998529e757a981b489d3eee84c36
com.linkedin.parseq	parseq-http-client	2.6.7		a6bb785158bc4a0f43c56f8884f2aa186bb896c1
com.linkedin.parseq	parseq-http-client	2.6.8		dbde027e317bc3f5f8c3b1ced101878cba647a0e
com.linkedin.parseq	parseq-http-client	2.6.9		88744bda13ebda2963f4ec6f7ee3b9c2f27f219b
com.linkedin.parseq	parseq-http-client	3.0.0		713a11a0766d9236aeb4dc91b1e8b2e2a4684c6b
com.linkedin.parseq	parseq-http-client	3.0.1		67d25a1480f537f53177dd769fcdbdbf85d8d148
com.linkedin.parseq	parseq-http-client	3.0.10		7a25fd879425ab287bba096663b980db7e81e184
com.linkedin.parseq	parseq-http-client	3.0.11		590b6a96bc58f78cdd4c6e17af3b48aa8767f908
com.linkedin.parseq	parseq-http-client	3.0.12		42b2617daa46f0607b6720d162157a2f8272c830
com.linkedin.parseq	parseq-http-client	3.0.13		6c4988cb2df290511003135f09133b202184f197
com.linkedin.parseq	parseq-http-client	3.0.2		b77912489873e441a45689a894384857d7b2befc
com.linkedin.parseq	parseq-http-client	3.0.3		d4a121d049b64eb51ed0411e856800d8f2fa7f2a
com.linkedin.parseq	parseq-http-client	3.0.4		441ceb6933d347eba37d3e6cb760e6b3546c81ce
com.linkedin.parseq	parseq-http-client	3.0.5		c9e528518822aa334e31e85975d4b063d03988f4
com.linkedin.parseq	parseq-http-client	3.0.6		f82c49b8d6192e6571ddcf012c998c0190058a6f
