activesoap	jaxb1-impl	20050407		cae9dadf049aaa269cc9b0cdea89a9989a06cfeb
cn.stackbox	phpserialize	1.0.0		f451c9571bfc96fbf9b8f711ec5888fa88660813
co.early.fore	fore-test-fixtures-watchosarm32	2.0.0		N/A
co.early.fore	fore-test-fixtures-watchosarm32	2.0.0	metadata	387f46f7d43f24357da6ad1ac35a93040e8fbc13
co.early.fore	fore-test-fixtures-watchosarm32	2.0.0-rc.2		N/A
co.early.fore	fore-test-fixtures-watchosarm32	2.0.0-rc.2	metadata	ee0a1d70bbe46f7ac46ab7cfd534c332ff39f0d3
co.early.fore	fore-test-fixtures-watchosarm32	2.0.0-rc.3		N/A
co.early.fore	fore-test-fixtures-watchosarm32	2.0.0-rc.3	metadata	53a76e56da9d90a87e561bfb48d577f1f1007cd1
co.touchlab	stately-iso-collections-watchosx86	0.10.0		N/A
co.touchlab	stately-iso-collections-watchosx86	0.10.1		N/A
co.touchlab	stately-iso-collections-watchosx86	0.10.2		N/A
co.touchlab	stately-iso-collections-watchosx86	1.0.0-a2		N/A
co.touchlab	stately-iso-collections-watchosx86	1.0.0-a3		N/A
co.touchlab	stately-iso-collections-watchosx86	1.0.1-eap		N/A
co.touchlab	stately-iso-collections-watchosx86	1.0.2-a4		N/A
co.touchlab	stately-iso-collections-watchosx86	1.0.3-a4		N/A
co.touchlab	stately-iso-collections-watchosx86	1.0.4-a1-1.4-M2		N/A
co.touchlab	stately-iso-collections-watchosx86	1.0.4-a1-1.4-M3		N/A
co.touchlab	stately-iso-collections-watchosx86	1.0.4-a1-1.4.0-rc		N/A
co.touchlab	stately-iso-collections-watchosx86	1.1.0-a1		N/A
co.touchlab	stately-iso-collections-watchosx86	1.1.1-a1		N/A
co.touchlab	stately-iso-collections-watchosx86	1.1.10-a1		N/A
co.touchlab	stately-iso-collections-watchosx86	1.1.10-a1	metadata	e682acbaf1a73adad959ba1f1dd931ea9fe8f51b
co.touchlab	stately-iso-collections-watchosx86	1.1.3-a1		N/A
co.touchlab	stately-iso-collections-watchosx86	1.1.4-a1		N/A
co.touchlab	stately-iso-collections-watchosx86	1.1.5-a1		N/A
co.touchlab	stately-iso-collections-watchosx86	1.1.6-a1		N/A
co.touchlab	stately-iso-collections-watchosx86	1.1.7-a1		N/A
co.touchlab	stately-iso-collections-watchosx86	1.1.9-a1		N/A
co.touchlab	stately-iso-collections-watchosx86	1.1.9-a1	metadata	c1ccde97ffe28cfdb748c2c0c3e6b35402d535cc
co.touchlab	stately-iso-collections-watchosx86	1.1.9-a1-hmpp		N/A
co.touchlab	stately-iso-collections-watchosx86	1.1.9-a1-hmpp	metadata	b0ce54835050b30652df00b979aae7f21a478167
co.touchlab	stately-iso-collections-watchosx86	1.2.0		N/A
