com.beepiz.blegattcoroutines	blegattcoroutines-genericaccess	0.5.0		bb435c40a7080740b372100a51d8906c799d20e3
com.chuckiefan	APKUploadPlugin	0.0.1		6c172f87997059c7d0bfa30446ef0a764fb2c3b2
com.chuckiefan	APKUploadPlugin	0.0.2		dc5cd1369385e867d29570363590de5bc0632970
com.coinbase	coinbase-wallet-sdk	0.1.0		N/A
com.coinbase	coinbase-wallet-sdk	0.3.0		N/A
com.coinbase	coinbase-wallet-sdk	0.3.2		N/A
com.coinbase	coinbase-wallet-sdk	0.3.3		N/A
com.coinbase	coinbase-wallet-sdk	0.3.4		N/A
com.coinbase	coinbase-wallet-sdk	0.3.6		N/A
com.coinbase	coinbase-wallet-sdk	1.0.0		N/A
com.coinbase	coinbase-wallet-sdk	1.0.1		N/A
com.coinbase	coinbase-wallet-sdk	1.0.2		N/A
com.coinbase	coinbase-wallet-sdk	1.0.3		N/A
com.coinbase	coinbase-wallet-sdk	1.0.4		N/A
com.coinbase	coinbase-wallet-sdk	1.1.0		N/A
com.coinbase	coinbase-wallet-sdk	1.1.1		N/A
com.coinbase	coinbase-wallet-sdk	1.2.0		N/A
com.daml	concurrent_2.12	1.10.0		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.10.0-snapshot.20210120.6106.0.58ef725a		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.10.0-snapshot.20210125.6143.0.550aa48f		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.10.0-snapshot.20210201.6207.0.7cf1914d		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.10.0-snapshot.20210202.6218.0.c0573678		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.10.0-snapshot.20210208.6257.0.61feb5bf		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.10.0-snapshot.20210209.6265.0.19bf4031		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.10.1		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.10.2		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.11.0		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.11.0-snapshot.20210212.6300.0.ad161d7f		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.11.0-snapshot.20210217.6338.0.ba6ba901		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.11.0-snapshot.20210224.6385.0.dba114a2		89e2d4ae91a1c0b145ea8c6e7f141ba30574b88e
com.daml	concurrent_2.12	1.11.0-snapshot.20210225.6390.0.0617fbde		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.11.0-snapshot.20210303.6421.0.145ddaa8		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.11.0-snapshot.20210304.6422.0.d3d5042a		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.11.1		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.11.1-snapshot.20210312.6429.0.7cd6380e		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.11.1-snapshot.20210312.6429.1.7cd6380e		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.11.2		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.11.2-snapshot.20210610.6432.0.ac4a2848		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.11.2-snapshot.20210610.6433.0.a08f6ea2		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.11.2-snapshot.20210610.6433.1.a08f6ea2		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.11.3		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.11.3-snapshot.20211110.6439.0.632ba5a7		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.11.3-snapshot.20211111.6441.0.eed4ad32		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.11.3-snapshot.20211123.6448.0.c679b4ab		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.12.0		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.12.0-snapshot.20210309.6463.0.f7abca91		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.12.0-snapshot.20210311.6483.0.5cb857d9		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.12.0-snapshot.20210311.6490.0.8e25227c		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.12.0-snapshot.20210312.6493.0.9a7e2465		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.12.0-snapshot.20210312.6498.0.707c86aa		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.12.0-snapshot.20210316.6523.0.b382fc45		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.12.0-snapshot.20210317.6528.0.493e2154		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.12.0-snapshot.20210323.6567.0.90c5ce70		1406a03bb001ec966e8f8651b550b2550c727db1
com.daml	concurrent_2.12	1.12.0-snapshot.20210330.6619.0.007b8674		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.12.0-snapshot.20210330.6622.0.eef158d6		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.12.0-snapshot.20210331.6626.0.29a68134		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.12.0-snapshot.20210331.6634.0.b98a3881		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.12.0-snapshot.20210331.6640.0.4b807899		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.12.0-snapshot.20210406.6646.0.631db446		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.13.0		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.13.0-snapshot.20210413.6706.0.2dc09ba2		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.13.0-snapshot.20210419.6730.0.8c3a8c04		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.13.0-snapshot.20210426.6770.0.ca66061b		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.13.0-snapshot.20210503.6809.0.ca012c3b		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.13.0-snapshot.20210504.6833.0.9ae787d0		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.13.1		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.13.1-snapshot.20210512.6834.0.5f532380		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.13.1-snapshot.20210512.6834.1.5f532380		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.14.0		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.14.0-snapshot.20210511.6892.0.ca9e89b3		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.14.0-snapshot.20210518.6953.0.a6c7b86a		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.14.0-snapshot.20210526.7024.0.aedb9a82		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.14.0-snapshot.20210601.7081.0.7d716e6d		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.14.0-snapshot.20210602.7086.0.f36f556b		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.14.0-snapshot.20210608.7123.0.3cb8d5c2		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.14.0-snapshot.20210615.7124.0.d1b54ff0		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.14.0-snapshot.20210615.7169.0.adeba206		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.14.1		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.14.1-snapshot.20210706.7133.0.8ec16e94		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.14.2		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.14.2-snapshot.20210708.7135.0.aa297840		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.15.0		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.15.0-snapshot.20210615.7169.0.adeba206		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.15.0-snapshot.20210623.7217.0.5b73813d		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.15.0-snapshot.20210630.7261.0.84e1f3a7		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.15.0-snapshot.20210705.7286.0.62aabcc4		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.16.0		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.16.0-snapshot.20210713.7343.0.1f35db17		438d08771a10669c0a09be6656b5fe230cc0ac76
com.daml	concurrent_2.12	1.16.0-snapshot.20210720.7404.0.b7cf42d1		438d08771a10669c0a09be6656b5fe230cc0ac76
