cn.mybatis-mp	mybatis-mp-benchmark	1.7.3-M2		6be10cc53730d62bf6ecde2aefd22f81da71df11
cn.sliew	carp	0.0.1		N/A
cn.sliew	carp	0.0.10		N/A
cn.sliew	carp	0.0.11		N/A
cn.sliew	carp	0.0.12		N/A
cn.sliew	carp	0.0.13		N/A
cn.sliew	carp	0.0.14		N/A
cn.sliew	carp	0.0.19		N/A
cn.sliew	carp	0.0.2		N/A
cn.sliew	carp	0.0.20		N/A
cn.sliew	carp	0.0.22		N/A
cn.sliew	carp	0.0.23		N/A
cn.sliew	carp	0.0.24		N/A
cn.sliew	carp	0.0.3		N/A
cn.sliew	carp	0.0.31		N/A
cn.sliew	carp	0.0.32		N/A
cn.sliew	carp	0.0.4		N/A
cn.sliew	carp	0.0.5		N/A
cn.sliew	carp	0.0.6		N/A
cn.sliew	carp	0.0.7		N/A
cn.sliew	carp	0.0.8		N/A
cn.sliew	carp	0.0.9		N/A
com.ToxicBakery.kfinstatemachine	core	1.0.20		6558de993b560dc73ecb71f585a2bbb54ca92d59
com.ToxicBakery.kfinstatemachine	core	2.0.113		f8927f15f2457b335999ff40471d2e1602e58e02
com.ToxicBakery.kfinstatemachine	core	2.1.139		5635b31ecadd56841e017ef17a01c0ca7c3454cd
com.ToxicBakery.kfinstatemachine	core	2.2.145		c47459e7f091b2579f55ec151034c93e8dbc5eff
com.ToxicBakery.kfinstatemachine	core	2.3.159		7b75e72e9773f52edc9661ca55ad2a963ed4ffd2
com.ToxicBakery.kfinstatemachine	core	2.4.163		1768d94aaf5eda5ca3710a06b0700c151bdcd2fe
com.ToxicBakery.kfinstatemachine	core	3.0.14		N/A
com.ToxicBakery.kfinstatemachine	core	3.0.17		N/A
com.ToxicBakery.kfinstatemachine	core	4.0.29		N/A
com.ToxicBakery.kfinstatemachine	core	4.1.35		N/A
com.adobe.marketing.mobile	edgeidentity	1.0.0		N/A
com.adobe.marketing.mobile	edgeidentity	1.1.0		N/A
com.adobe.marketing.mobile	edgeidentity	2.0.0		N/A
com.adobe.marketing.mobile	edgeidentity	2.0.1		N/A
com.adobe.marketing.mobile	edgeidentity	3.0.0		N/A
com.adobe.marketing.mobile	edgeidentity	3.0.1		N/A
com.anaptecs.jeaf.x-fun	jeaf-x-fun-types-project	1.5.13		N/A
com.anaptecs.jeaf.x-fun	jeaf-x-fun-types-project	1.5.16		N/A
com.anaptecs.jeaf.x-fun	jeaf-x-fun-types-project	1.5.17		N/A
com.anaptecs.jeaf.x-fun	jeaf-x-fun-types-project	1.5.23		N/A
com.anaptecs.jeaf.x-fun	jeaf-x-fun-types-project	1.5.24		N/A
com.anaptecs.jeaf.x-fun	jeaf-x-fun-types-project	1.5.25		N/A
com.anaptecs.jeaf.x-fun	jeaf-x-fun-types-project	1.5.26		N/A
com.anaptecs.jeaf.x-fun	jeaf-x-fun-types-project	1.5.28		N/A
com.anaptecs.jeaf.x-fun	jeaf-x-fun-types-project	1.5.29		N/A
com.anaptecs.jeaf.x-fun	jeaf-x-fun-types-project	1.5.30		N/A
com.anaptecs.jeaf.x-fun	jeaf-x-fun-types-project	1.5.31		N/A
com.anaptecs.jeaf.x-fun	jeaf-x-fun-types-project	1.5.4		N/A
com.anaptecs.jeaf.x-fun	jeaf-x-fun-types-project	1.5.5		N/A
com.anaptecs.jeaf.x-fun	jeaf-x-fun-types-project	1.5.6		N/A
com.anaptecs.jeaf.x-fun	jeaf-x-fun-types-project	1.5.7		N/A
com.anaptecs.jeaf.x-fun	jeaf-x-fun-types-project	1.5.8		N/A
com.anaptecs.jeaf.x-fun	jeaf-x-fun-types-project	1.6.0		N/A
com.anaptecs.jeaf.x-fun	jeaf-x-fun-types-project	1.6.1		N/A
com.anaptecs.jeaf.x-fun	jeaf-x-fun-types-project	1.6.10		N/A
com.anaptecs.jeaf.x-fun	jeaf-x-fun-types-project	1.6.11		N/A
com.anaptecs.jeaf.x-fun	jeaf-x-fun-types-project	1.6.12		N/A
com.anaptecs.jeaf.x-fun	jeaf-x-fun-types-project	1.6.13		N/A
com.anaptecs.jeaf.x-fun	jeaf-x-fun-types-project	1.6.14		N/A
com.anaptecs.jeaf.x-fun	jeaf-x-fun-types-project	1.6.15		N/A
com.anaptecs.jeaf.x-fun	jeaf-x-fun-types-project	1.6.16		N/A
