at.released.cassettes	cassettes-base-wasm-wasi	0.1-alpha01		N/A
br.com.caelum.vraptor	vraptor-simple-validator	1.0.0		ba318bef8ea4e90fa90e1042ae98ae9248c3bf49
br.com.caelum.vraptor	vraptor-simple-validator	1.0.1		046ef69d6dc254333d1471fc287312e0aab5d629
br.com.caelum.vraptor	vraptor-simple-validator	1.1.0		338cc95d2a56294fc0d8b990eac8f1c1fbbd11a1
br.com.caelum.vraptor	vraptor-simple-validator	4.0.0.Final		e1038e9a25fb3d771ad23590a98b89cb2bd2936d
br.com.caelum.vraptor	vraptor-simple-validator	4.0.1.Final		84543f773a6da06b0fa7944aa35fdcf38c1bde30
br.com.caelum.vraptor	vraptor-simple-validator	4.1.0-RC2		bd10c0678d0ef9b82d8883b11c2b23724be688c3
br.com.caelum.vraptor	vraptor-simple-validator	4.1.0-RC3		cba84ce75a644757387a93e6b3e8fba03ad39e03
codes.rafael.documentsql	document-sql-management	1.0		70db35ba3341b991d2996d2d6113834a557af990
codes.rafael.documentsql	document-sql-management	1.1		038691ae50127ee159753f47eba0625d0c334d7e
codes.rafael.documentsql	document-sql-management	1.2		1b8283315e760681d3ee7dd0078cb23d6ef86e71
codes.rafael.documentsql	document-sql-management	1.3		9f4825cd7244bfd3350261ba1ce85e6b5b2a31ed
codes.rafael.documentsql	document-sql-management	1.4		fba67c46287fb230126533e9c3e179138c23b84d
com.dshatz.compose-mpp	constraintlayout-compose-multiplatform-jvm	0.3.1		8a46f3fb95df8b4feec693fa08551267cb819d8b
com.facebook.airlift	node	0.185		b6278e270c009f2893398a63a7717872d7213801
com.facebook.airlift	node	0.186		7f0008157c9f65d5e51afbd4651140c47f9f639a
com.facebook.airlift	node	0.187		40a44027f1cb162e473f32f7587681ea8612a080
com.facebook.airlift	node	0.188		1f140892bacee33c3ef2d9ba0031c9f6ed7b983c
com.facebook.airlift	node	0.189		fe9efc116f745f97df5fb3777dd8f84beca1fbed
com.facebook.airlift	node	0.190		40584b7cf667ca9f5c4f3e54d2c209c909027358
com.facebook.airlift	node	0.191		9808ada964fb813175878d5bdcf8304518e0c79b
com.facebook.airlift	node	0.192		3371ea077f1f64fc58e4d11e6c604f01da04f096
com.facebook.airlift	node	0.193		8b26391bc066c0d59c2076e0c130ec4b47495f7b
com.facebook.airlift	node	0.194		df07a0f312007dd686fac39205bc3aa56df91d15
com.facebook.airlift	node	0.195		f0462556d8d75efefd31483519febdd3d5bcb8cc
com.facebook.airlift	node	0.196		ae1d2553090361f3074f59d473c8583d665bbd78
com.facebook.airlift	node	0.197		03961e5a080b1a6d5a140ce0b17430ac34b82e90
com.facebook.airlift	node	0.198		342ee68da47f4f4dd8dfe81be689ad13083d6dc0
com.facebook.airlift	node	0.199		e1b28e8dd147db60312c3fce5e534b14cf8ce96e
com.facebook.airlift	node	0.200		fd6889b6c2d19cc2fb0a91fd5a250825038cc794
com.facebook.airlift	node	0.201		f0e111e8e25fb0609d0daa143c03272fe9bff4eb
com.facebook.airlift	node	0.202		04307f7dffb25d699acefbbe4086e84d8eff7c92
