biz.aQute	osgi.enroute.bostock.d3.webresource	3.5.6		E5F0B417BE48D4B9C54A3A0E2A29F054AEFA2C72
cn.herodotus.oss	dialect-sdk-minio	1.2.0		9b33413fc290719f0d95e091e18e1e375e11f6a2
cn.herodotus.oss	dialect-sdk-minio	1.2.1		3568916b5c25dd22c76cded9d0d0985e94d0607e
cn.herodotus.oss	dialect-sdk-minio	1.2.8		2ead97f1ecc809576ef2bf1bac9bd3b5f6b7d7c2
cn.herodotus.oss	dialect-sdk-minio	1.3.0		d8fb999dbc63f5963cb3f94fa706dfb5b63cb297
cn.herodotus.oss	dialect-sdk-minio	1.3.1		a5fa8db78dcc79f112fd96d89afe5bee75ca2e4c
cn.herodotus.oss	dialect-sdk-minio	1.3.2		20df0d10de905383ecbd51894d0649236e233905
cn.herodotus.oss	dialect-sdk-minio	1.3.3		623aff9a6908c5c672628f833c09ded5ee5fe335
cn.herodotus.oss	dialect-sdk-minio	3.1.10.0		d9a00640dbadc457f27a9cc2141c8197c5ea7edf
cn.herodotus.oss	dialect-sdk-minio	3.1.10.1		c34d202df184e352d712bd574bbc53a0526c72a3
cn.herodotus.oss	dialect-sdk-minio	3.1.10.2		7600bac2b11348e6d4f9628153633b44b3fbce3b
cn.herodotus.oss	dialect-sdk-minio	3.1.11.0		f5840fd4928e37988b4a28ae49b19b2f89968363
cn.herodotus.oss	dialect-sdk-minio	3.1.11.1		60ec932fd5a810e3a0bfc9f79ee0f4da71777aaf
cn.herodotus.oss	dialect-sdk-minio	3.1.11.2		465e632a6a2f5e1b9215b4e6ea3672401b429c26
cn.herodotus.oss	dialect-sdk-minio	3.1.11.3		477e4a25003e824586e010b22525658e5a3d9fa5
cn.herodotus.oss	dialect-sdk-minio	3.1.12.0-Final		83b3ea4726e3c85e75965bac0b990621cf9b5c98
cn.herodotus.oss	dialect-sdk-minio	3.1.3.2		44b0fff2681590e906de6e4e8d78cae837090805
cn.herodotus.oss	dialect-sdk-minio	3.1.3.3		78aa04daba3eb452c5743cd468441ac853a93bbe
cn.herodotus.oss	dialect-sdk-minio	3.1.3.4		f301ba6a22e2fa8a0efd9a8f299d4bc3762b2533
cn.herodotus.oss	dialect-sdk-minio	3.1.3.5		c240fc8aec2c2d625a76c443b5c3950565368989
cn.herodotus.oss	dialect-sdk-minio	3.1.3.6		86b60d69735585133546d10bd78ae825c2a2bb98
cn.herodotus.oss	dialect-sdk-minio	3.1.4.0		a466ea7b96623e852f4d6ae557b550b2e8bb1aee
cn.herodotus.oss	dialect-sdk-minio	3.1.4.1		141df378f03e1f50e16caa7ae4c6de563da5d618
cn.herodotus.oss	dialect-sdk-minio	3.1.4.2		243110701c16190304b240124d9aefff5bed70b3
cn.herodotus.oss	dialect-sdk-minio	3.1.4.3		0c5e0982a0de0fe14a97d66965f6a61cb400da5f
cn.herodotus.oss	dialect-sdk-minio	3.1.5.0		f765a6eacb979e5e8ec87f9794a9aec3bc739fb5
cn.herodotus.oss	dialect-sdk-minio	3.1.5.1		67dd4d78ab729be057a0935fd562a97c071a5fcd
cn.herodotus.oss	dialect-sdk-minio	3.1.5.2		b4ca6dc567f91711e1a48b4e0959f229f8b07018
cn.herodotus.oss	dialect-sdk-minio	3.1.5.3		c9764863becc212f28748637ca31bc2b3173c6c3
cn.herodotus.oss	dialect-sdk-minio	3.1.5.4		5aef8b887a71a2ef62c8f269712857ebe7c3a1e1
cn.herodotus.oss	dialect-sdk-minio	3.1.5.5		ed15943669d0ad860ec300f4f47ccde6dba17cad
cn.herodotus.oss	dialect-sdk-minio	3.1.5.6		68902b7c322eda7897ec000fe10ae2d51a1cb095
cn.herodotus.oss	dialect-sdk-minio	3.1.5.7		19f75426c578e59b8f660f5ddac09dde6064269b
cn.herodotus.oss	dialect-sdk-minio	3.1.5.8		18a4edf0bdab3f23cafb3bdecd9d8e72927af899
cn.herodotus.oss	dialect-sdk-minio	3.1.6.0		37b959de53d48add6458b53e8474a799bfb9533b
cn.herodotus.oss	dialect-sdk-minio	3.1.6.1		6acbc9fbc50a6fabff52e73323f9fe92182a215b
cn.herodotus.oss	dialect-sdk-minio	3.1.6.2		665567a789f4c524bbef7d1056bfbb008b0b6f09
cn.herodotus.oss	dialect-sdk-minio	3.1.6.3		4b667d0ec46d73c8b6a4281cee07278a09c6ceb4
cn.herodotus.oss	dialect-sdk-minio	3.1.7.0		6d50df21f6d57a5c185d5fc7d770e6f9865eddb1
cn.herodotus.oss	dialect-sdk-minio	3.1.7.1		5cd5691d52b33e73730ff252e477f83ed4814999
cn.herodotus.oss	dialect-sdk-minio	3.1.7.2		2759bd5304363fb892e096af7a20cc373f4da934
cn.herodotus.oss	dialect-sdk-minio	3.1.7.3		bb62252d2926042b310a72b0dcb17d151dec0339
cn.herodotus.oss	dialect-sdk-minio	3.1.7.5		7b7f61d4012d530b402225d8bdf31a4e76a6b1d9
cn.herodotus.oss	dialect-sdk-minio	3.1.8.0		123542ec6894e78efe4ca04ce944661fab3a031e
cn.herodotus.oss	dialect-sdk-minio	3.1.8.1		a230a07c4f9929d07b792f3eb7d54f80e33672cf
cn.herodotus.oss	dialect-sdk-minio	3.1.8.2		828e9e647e8a903d6c823cfe4af382d5a870479d
cn.herodotus.oss	dialect-sdk-minio	3.1.8.3		eb2a072411a68af3991aab0996cbce32ca22ddad
cn.herodotus.oss	dialect-sdk-minio	3.1.8.4		993fdffe911631b02510ecc3ff40c37904658615
cn.herodotus.oss	dialect-sdk-minio	3.1.9.0		2ca4123374712d30d62c803865739fa36800a016
cn.herodotus.oss	dialect-sdk-minio	3.1.9.1		bbb5a2546ea98798b76ffb1c2cedb412d8716864
cn.herodotus.oss	dialect-sdk-minio	3.1.9.2		6ebcb93814d3b4d50cfcbebec1ed36ed2c81c8ae
cn.herodotus.oss	dialect-sdk-minio	3.2.0-RC1		cb14b450c566ad4422345c66a57fb196b46ce411
