app.softwork	kotlinx-serialization-csv-wasm-js	0.0.20		N/A
at.released.igdbclient	igdbclient-ktor-linuxx64	0.7		N/A
at.released.igdbclient	igdbclient-ktor-linuxx64	0.8		N/A
co.adcel.android	ads-inhouse	2.1.5		N/A
com.alibaba	dubbo-registry-nacos	0.0.1		9f275e756681cdc0f118f2fef94ca13004cca365
com.alibaba	dubbo-registry-nacos	0.0.2		f2ced3bf4af05c3011a62d6a069e67cc6206d5c8
com.alibaba	dubbo-registry-nacos	2.6.10		636b195e230b664d43f8931ab0574f74a093b9c6
com.alibaba	dubbo-registry-nacos	2.6.10.1		ad034b77f006b7d7bd109cbb113d5f80d89f2c45
com.alibaba	dubbo-registry-nacos	2.6.11		c8dc5f4067c24a247d8800c110df7522099e4be4
com.alibaba	dubbo-registry-nacos	2.6.12		591676e96c7d180963736c6ba9b361078d68d898
com.alibaba	dubbo-registry-nacos	2.6.6		26e245198112f0c223e2999bb5a8ddd543f0fed3
com.alibaba	dubbo-registry-nacos	2.6.7		2ca4df03d44fea6255067db9bead812eed636a93
com.alibaba	dubbo-registry-nacos	2.6.8		5d0d11f565c5da9e4c44366f18147622f67068b0
com.alibaba	dubbo-registry-nacos	2.6.9		6520570882ad554de1ecc2da833fcebea8e24797
com.alibaba	dubbo-registry-nacos	2.7.6		ec9e8724a7bcd1f98a95940068409b3214eb804c
com.alibaba	dubbo-registry-nacos	2.7.7		74be445fcad63519ebb9e6c42624b8448b31e094
com.carrotgarden.osgi	carrot-osgi-anno-scr-make	1.1.0		21c5a9972af53906a8bcffd7d1701d45fab97f89
com.carrotgarden.osgi	carrot-osgi-anno-scr-make	1.1.1		e9ae64f2c4a8be17b118d004fbb1229e46d6fc5e
com.carrotgarden.osgi	carrot-osgi-anno-scr-make	1.1.3		5f91060f71b645f0337a3c8ab0505c1ec32aafc6
com.carrotgarden.osgi	carrot-osgi-anno-scr-make	1.1.4		6927d051a3f458c36451961d5963113af20ec287
com.carrotgarden.osgi	carrot-osgi-anno-scr-make	2.0.0		5475570d83a1348775e62b2f76c129b78733ec44
com.carrotgarden.osgi	carrot-osgi-anno-scr-make	2.0.1		d68401d1741577d40f281d1cd65282a9feb3bc38
com.carrotgarden.osgi	carrot-osgi-anno-scr-make	2.0.2		ac5b675f534af348ab7580f87c66229cb692ca3f
com.eu.mediahub.android.exoplayer	extension-mediasession	2.15.1		N/A
com.eu.mediahub.android.exoplayer	extension-mediasession	2.15.1-1		N/A
com.eu.mediahub.android.exoplayer	extension-mediasession	2.15.1-2		N/A
com.eu.mediahub.android.exoplayer	extension-mediasession	2.17.1		N/A
com.eu.mediahub.android.exoplayer	extension-mediasession	2.17.1-1		N/A
com.eu.mediahub.android.exoplayer	extension-mediasession	2.17.1-2		N/A
com.excelsiorjet	excelsior-jet-gradle-plugin	0.1.0		640d2a55d6d733631f264e9808ac5ff41dbdbc60
com.excelsiorjet	excelsior-jet-gradle-plugin	0.3.0		abc80930b3777a3391946d408c0f854437e1c958
com.excelsiorjet	excelsior-jet-gradle-plugin	0.7.0		b04a2b81d0876ecbb22bd2c6369e20609f7782ae
com.excelsiorjet	excelsior-jet-gradle-plugin	0.7.1		f8faf2de4acef2916d0a55ed932faf74fce525bd
com.excelsiorjet	excelsior-jet-gradle-plugin	0.7.2		cc786ac7b6f8a3f468cbf7146b2a66aafaef89c9
com.excelsiorjet	excelsior-jet-gradle-plugin	0.8.0		435dad60be681ec287b52fda4c093f15aaaac90d
com.excelsiorjet	excelsior-jet-gradle-plugin	0.8.1		14612e4cef193e7c6149037659c6a225b6876f96
com.excelsiorjet	excelsior-jet-gradle-plugin	0.9.0		caa03b60618cf2bea4cbbf4dc45af9dd80054469
com.excelsiorjet	excelsior-jet-gradle-plugin	0.9.1		112bf0e04eca5e1126d54030d99a7f1f9e92730e
com.excelsiorjet	excelsior-jet-gradle-plugin	0.9.3		2b77237156476653f691438f41fc5362f93a37c3
com.excelsiorjet	excelsior-jet-gradle-plugin	0.9.4		df0a6b7b893c80a610c624c92c56a8c5d6ae3eed
com.excelsiorjet	excelsior-jet-gradle-plugin	0.9.5		7b28b3c61f8fd09cb9f41dcf459b810b9c7d1ed6
com.excelsiorjet	excelsior-jet-gradle-plugin	1.0.0		93fa413eaaa4257bced452156f59b99f1e34c9da
com.excelsiorjet	excelsior-jet-gradle-plugin	1.1.0		567fa02386cd9220fcd4ade9a2ba09b7f0617fbd
com.excelsiorjet	excelsior-jet-gradle-plugin	1.1.1		e0446f9794d987104e11678c4b15beae08bb0eae
com.excelsiorjet	excelsior-jet-gradle-plugin	1.1.2		5488b7c44028ecb1ae1b4e71438944e96c7f8f7a
com.excelsiorjet	excelsior-jet-gradle-plugin	1.1.3		2c92f6da7af42835af6aa7a08bd148ba3abcf008
com.excelsiorjet	excelsior-jet-gradle-plugin	1.2.0		1ee0b816bb92b91a6a3f63a52580fd6a5036f6ed
com.excelsiorjet	excelsior-jet-gradle-plugin	1.3.0		4241c0a7f593f1aa2deabf7c3ba0231f1787a036
com.excelsiorjet	excelsior-jet-gradle-plugin	1.3.1		f78d190c5a236b91f4f6e0395999e5fdc74fa621
com.excelsiorjet	excelsior-jet-gradle-plugin	1.3.3		8302b79ac31803fdb95d7e9b2605a25160c0686e
com.fathzer	chess-test-utils	0.0.1		91d32f5f7fcdafb7f4b7d39e88a56261de479b80
com.javiersc.run-blocking	suspend-test	0.1.0-alpha.1		0dc20e699a5b56b8c0ff85cd0f970526709717c9
com.javiersc.run-blocking	suspend-test	0.1.0-alpha.1	all	729728a064d27592c90ff051dcea134b77f52cbb
com.javiersc.run-blocking	suspend-test	0.1.0-alpha.2		35b9fed8111282ea3538e06aad70a5873f2d7088
com.javiersc.run-blocking	suspend-test	0.1.0-alpha.2	all	9bab73136c0b4c4a1e647e1e082cfcace96e33ba
com.javiersc.run-blocking	suspend-test	0.1.0-alpha.3		ef0f4ce11746105765137321d79c2566dbce95f7
com.javiersc.run-blocking	suspend-test	0.1.0-alpha.3	all	af865923be7c5c7d99c908684b03483a12be6c7d
com.javiersc.run-blocking	suspend-test	0.1.0-alpha.4		bb6d300966e2fdbeff3236011f5f7135170dc368
com.javiersc.run-blocking	suspend-test	0.1.0-alpha.4	all	60644cde38b06e93117f6b12b46c0c236ff92bca
com.javiersc.run-blocking	suspend-test	0.1.0-beta.1		25a058e2b1a9290bb0a531ef9a9b8d1e00e48753
com.javiersc.run-blocking	suspend-test	0.1.0-beta.1	all	bd63c536ec36e8f31a7202bce76104ea37b5e535
com.javiersc.run-blocking	suspend-test	0.1.0-beta.2		46d8803bb299e2ca93fd50c2938ea54cc8bba79f
com.javiersc.run-blocking	suspend-test	0.1.0-beta.2	all	725bbde5c825c2bae1c41fda2025a1d71a409260
com.javiersc.run-blocking	suspend-test	0.1.0-beta.3		3eb4698fb026974421d85a9b32788e7caa58fa58
com.javiersc.run-blocking	suspend-test	0.1.0-beta.3	all	b814535b9da6fde62a64d41d03402a7bb0d806d5
com.lazygeniouz	acv	0.1.4		N/A
com.lazygeniouz	acv	0.1.6		N/A
com.lazygeniouz	acv	0.1.8		N/A
com.lazygeniouz	acv	0.2.0		N/A
com.lazygeniouz	acv	0.2.1		N/A
com.lazygeniouz	acv	0.2.2		N/A
com.lazygeniouz	acv	0.2.4		N/A
com.lazygeniouz	acv	0.2.6		N/A
com.lazygeniouz	acv	0.2.8		N/A
