br.com.caelum.vraptor	vraptor-erb	0.9.0		56b3fe038895814fe44183694be8af71c6a18881
cn.huangxulin	hot-patch	1.0.0		N/A
cn.huangxulin	hot-patch	1.0.1		N/A
cn.huangxulin	hot-patch	1.0.2		N/A
cn.jpush.api	jsms-client	0.0.1		3c76ddcf1093fb7d2f4a40e596a7bc882f9942d1
cn.jpush.api	jsms-client	0.0.2		8fb27ed7a796caf92ee04842446a99990ee04a30
cn.jpush.api	jsms-client	1.1.0		e87b6c25d3c6b649efde19aae7927958c190d798
cn.jpush.api	jsms-client	1.1.1		6a703513939073fb602469821e882086fc3c6541
cn.jpush.api	jsms-client	1.2.0		f5c56edca3e8b040f6fe47b456ebb28506265b14
cn.jpush.api	jsms-client	1.2.1		c72df86b63954ec3b6703c455e1f8a4a51ba2ccf
cn.jpush.api	jsms-client	1.2.10		ede962b8bdc6bdd0f0735c7377daaefc10e5b7ba
cn.jpush.api	jsms-client	1.2.2		d9aa6d89feb9780447246b850aa6880ba7f14dd4
cn.jpush.api	jsms-client	1.2.3		e3178be7da8cd298e737f71fb60f1fec9bfa1ad8
cn.jpush.api	jsms-client	1.2.4		07e59c60e02494617483aed7819d4d625b21d415
cn.jpush.api	jsms-client	1.2.5		f62b1a830908b8494caae4a51e848a3b92bf17d3
cn.jpush.api	jsms-client	1.2.6		055235d270bf413969cd50e7dc07bf1528a05d08
cn.jpush.api	jsms-client	1.2.7		1dd9a47539547a61f8ccf9f94235f35cbecde6da
cn.jpush.api	jsms-client	1.2.8		bb5f14fd55fe82408e5d8c2e586dc0a9ab2817ba
cn.jpush.api	jsms-client	1.2.9		806e251d41a4b4b64f6b9b3ad2f9620d9959c890
com.aliyun	aliyun-java-sdk-swas	1.0.0		833afda79212c387f3b3717aeac47d969ed3c9de
com.aliyun	documentautoml20221229	1.0.0		f09f0ec00433138c682941b0956dc52d32593551
com.aliyun	documentautoml20221229	1.0.0	shaded	bb934f11485e285c89f0b857dca68113bf961c99
com.aliyun	documentautoml20221229	1.0.1		fc8ffec703128be1a65eef230d1ee29f8c7efe94
com.aliyun	documentautoml20221229	1.0.1	shaded	471a5de8ef3675457c23811dfbae83bb3b4da4cf
com.aliyun	documentautoml20221229	1.0.10		d4e798c8e9e230a831b85059ac9770d20fe0f96e
com.aliyun	documentautoml20221229	1.0.10	shaded	97a897ace27192d64f63335a30c812a695791345
com.aliyun	documentautoml20221229	1.0.11		d2394adb2821ee0730625aae687af0e06a8504ca
com.aliyun	documentautoml20221229	1.0.11	shaded	1938b756785442cc98c47218bcdb3547e6e096eb
com.aliyun	documentautoml20221229	1.0.2		a7ec56db72b9c586d29c46eafda2549796199171
