ai.basemind	client	1.0.0		N/A
ch.cern.spark	spark-mllib-local_2.12	3.0.1		01939e4c9da1d8f790bad38aa3b03852b6453642
ch.epfl.scala	scalac-profiling-root_2.13	1.1.0		75860d14df2e078e1a32af751841e3d23ed6977d
ch.epfl.scala	scalac-profiling-root_2.13	1.1.0-RC2		0887fdb19bd6827c6b5f0aa8e0b472c0c72c2591
ch.epfl.scala	scalac-profiling-root_2.13	1.1.0-RC3		92f9633a350297f27539779c206d5e5037a0934a
ch.epfl.scala	scalac-profiling-root_2.13	1.1.0-RC4		25d736c3148cd1d4ae730b5976aedc6ed3ebefe2
ch.epfl.scala	scalac-profiling-root_2.13	1.1.0-RC5		e84fedc2fc71e87db19ee1c50aece826a93090bf
ch.epfl.scala	scalac-profiling-root_2.13	1.1.1		23f240e19ce7447587b64b65ec5691366bbb7ee2
ch.epfl.scala	scalac-profiling-root_2.13	1.1.2		541166a5a34d03f3c310272ce0f79eb8d010fe76
cn.webfuse	webfuse-starter-framework	1.0		bb708db08e99bb07fa50dcea61f503465c50ccdd
co.fast.android.sdk	sdk-internal-design-system	0.2.0		N/A
co.fast.android.sdk	sdk-internal-design-system	0.2.0-alpha01		N/A
co.fast.android.sdk	sdk-internal-design-system	0.2.0-beta01		N/A
co.fast.android.sdk	sdk-internal-design-system	0.2.0-beta02		N/A
co.fast.android.sdk	sdk-internal-design-system	0.2.0-beta03		N/A
com.aceevo	ursus-example-application	0.2		eebbefa90cad2a300ae13811d48644b2e8f2645a
com.aceevo	ursus-example-application	0.2.1		669f52512149bab23a081862bc0968222eadb255
com.aceevo	ursus-example-application	0.2.2		36a0fd497b48fb8a15c3f7993bb8f37117792b75
com.anrisoftware.propertiesutils	propertiesutils	4.5.1		N/A
com.anrisoftware.propertiesutils	propertiesutils	4.5.2		N/A
com.anrisoftware.propertiesutils	propertiesutils	4.6.0		N/A
com.anrisoftware.propertiesutils	propertiesutils	4.6.1		N/A
com.anrisoftware.propertiesutils	propertiesutils	4.6.2		N/A
com.anrisoftware.propertiesutils	propertiesutils	4.6.3		N/A
com.anrisoftware.propertiesutils	propertiesutils	4.7.0		N/A
com.anrisoftware.propertiesutils	propertiesutils	4.8.0		N/A
com.atlassian.maven.archetypes	studio-plugin-archetype	5.0.18		531d6b1a340dade5e3e199365f246a5604abb140
com.avsystem.scex	scex-util_2.12.13	1.20.27		61bad868aeadb8f6c87b0be12e1db88cb12f7c93
com.avsystem.scex	scex-util_2.12.13	1.20.28		a4f06a370a1b903ce3a8a0ec1d472fdb137f103b
com.avsystem.scex	scex-util_2.12.13	1.22.18		0b7e2df2c2269a3ecccfb9b72025d54f80e17361
com.avsystem.scex	scex-util_2.12.13	1.22.19		0851cfbf71579cc1dbd8ce3c15b3ecc92ff7700f
com.avsystem.scex	scex-util_2.12.13	1.22.20		8309fa27460b211a5d6fb221865eb1a22758c3c7
com.avsystem.scex	scex-util_2.12.13	1.22.21		14afd871e53f93221b406a362e1e6976eeb9af52
com.avsystem.scex	scex-util_2.12.13	1.22.22		c3454bc08acebfb74e3bea22b2433ba24359e867
com.avsystem.scex	scex-util_2.12.13	1.22.23		ff360a90c053ab06cd48bad0b3aa80796d220eeb
com.avsystem.scex	scex-util_2.12.13	1.22.24		06ad1da77c1bb63aaf6f8789e264b3f639193881
com.condation.cms	cms-filesystem	6.0.0		0a50c0e123082d6acb70945c3cd96779207ca1e2
com.condation.cms	cms-filesystem	6.0.1		afd74f8aed0b41f6d9eedd8ebdeb441840a2112b
com.condation.cms	cms-filesystem	6.1.0		13e4193c224b3ab233532a0446de768a12ad77f5
com.condation.cms	cms-filesystem	6.1.1		2ff93e2dadb0c81c96e49ed656bf0c568dec46f9
com.condation.cms	cms-filesystem	6.2.0		179d5ec776defd856f1f6caabb2af5624dba37bb
com.condation.cms	cms-filesystem	6.3.0		b3cd1e39e79f661d811851899c72387820f80509
com.condation.cms	cms-filesystem	6.3.1		bcdca8d4211eb014f909ea5e40cf62d92ac8e716
com.condation.cms	cms-filesystem	6.4.0		05a65f8e0079f9e6e420e044e7d037f8bdc12e53
com.condation.cms	cms-filesystem	7.0.0		124199b8fc68c8b6494cc4386652dece2964cd98
com.condation.cms	cms-filesystem	7.1.0		c6748e46502abb998debd4edca7c72e7266ffcf2
com.condation.cms	cms-filesystem	7.1.1		5684db7e1dce2c79fe6051214c30ba14c14a768e
com.condation.cms	cms-filesystem	7.1.2		3fe6fd10bd2d0882007cc7ccc9fd447e1025dd71
