com.badlogicgames.jamepad	jamepad	2.0.14.1		e84cc8466a811bb002e0ac0243761078c61cfbe6
com.badlogicgames.jamepad	jamepad	2.0.14.2		7703e8d5020a5a80495149fedebffcca90d852c7
com.badlogicgames.jamepad	jamepad	2.0.20.0		55eb0007fd55c9914d106dac3387b9d444572cab
com.badlogicgames.jamepad	jamepad	2.26.4.0		591498f78dd0d738d97d765c7b605e001b65dc6b
com.badlogicgames.jamepad	jamepad	2.26.5.0		5c39b34fa0c39e3dd4607085d27d51b599ea30a0
com.badlogicgames.jamepad	jamepad	2.30.0.0		45560285a49564bcb1fc62e147ca8b577eab6012
com.badoo.reaktive	reaktive-annotations-ios64	1.1.22		N/A
com.badoo.reaktive	reaktive-annotations-ios64	1.2.0		N/A
com.dangdang	sharding-jdbc-transaction-async-job	1.2.0		06e0cc4a713f50828f6750a9ae001b013b678c44
com.dangdang	sharding-jdbc-transaction-async-job	1.2.1		bb0d41564322998e530b3a65128f076f09deb8e1
com.dangdang	sharding-jdbc-transaction-async-job	1.3.0		9f6e3dd3b57363519cf36ab29d9b0eec32289afe
com.dangdang	sharding-jdbc-transaction-async-job	1.3.1		803e21b54c23bc11ad9cfb393e4aa6faef94bde7
com.dangdang	sharding-jdbc-transaction-async-job	1.3.2		186e8785a9937196a50501f861eae1d3b56a6b94
com.dangdang	sharding-jdbc-transaction-async-job	1.3.3		5d2dc18523b8a544de505476137beb5d845f5c43
com.dangdang	sharding-jdbc-transaction-async-job	1.4.0		eb434667c13f227c63055d37ac63e193e12be624
com.dangdang	sharding-jdbc-transaction-async-job	1.4.1		b37c0378e6ff93d9fcb4b235e729d60cb5271e35
com.dangdang	sharding-jdbc-transaction-async-job	1.4.2		91ccb99806e51e0774fdec0beecbc586f3f74d18
com.dangdang	sharding-jdbc-transaction-async-job	1.5.0		d8c284d6ac0d1a315716333c2eb2b5f13cd66ac7
com.dangdang	sharding-jdbc-transaction-async-job	1.5.0.M1		ef73b69ee80f94a47d9e7847c2b309ebcb822a13
com.dangdang	sharding-jdbc-transaction-async-job	1.5.0.M2		369830738c3a2a55135dd5c6c84b6a71ceda5467
com.dangdang	sharding-jdbc-transaction-async-job	1.5.0.M3		670ca1fd20555faf8d20cef16b8cb53c15a6193e
com.dangdang	sharding-jdbc-transaction-async-job	1.5.1		9d78cc66f090f4d05fb7fa6489d9e24626f7f686
com.dangdang	sharding-jdbc-transaction-async-job	1.5.2		4cbcc63703b268471c524720f750c8ac651cff66
com.dangdang	sharding-jdbc-transaction-async-job	1.5.3		b01bb7d0768b4273d76f706dff8c6c1c7d2dc4a7
com.dangdang	sharding-jdbc-transaction-async-job	1.5.4		41cd4af7ddf1f68ca9fface88f24c41260a8c6fc
com.dangdang	sharding-jdbc-transaction-async-job	1.5.4.1		2070b0419bca2e15dfe5142bd845819133f3b1bd
com.dragishak	monocle-cats_2.11	1.0		7092d80207e5618ba73b94d0943fd74588df5064
com.dragishak	monocle-cats_2.11	1.1		8b8c8754b5a62b1273f78adbf681ee841cd5ae73
com.dragishak	monocle-cats_2.11	1.2		0450a13c3cb85170d756c978201406b38132f37d
com.github.kristofa	brave-client	2.2.1		99cf311297b0df8b3f12968b0586e76aba0b516f
com.github.kristofa	brave-client	2.3		e2be8e345f59a18b95e14f0097e04a955c016ed7
com.github.kristofa	brave-client	2.4		4c66aa14459cb8ad6a7eb5f1e8fbccafa57ba2fd
com.github.kristofa	brave-client	2.4.1		f7bb0e038c8718558b91c275a518716ef7f80870
com.github.kristofa	brave-client	2.4.2		1d3381fff908d040c9edab767d206e6e6c2998e2
com.github.rssh	dotty-cps-async-logic-next_sjs1_3	0.9.23		b670bd996afb3530232ee941e841ba03c29783d1
com.hexagontk.http	http_test	4.0.0		c3b59a521edff68327ef6568cf9ca323cc4641d5
com.hexagontk.http	http_test	4.0.0-B1		6c784289b907862a0e8984f42058e36fdd3841a6
com.hexagontk.http	http_test	4.0.0-B2		f49b75877f13c05ce84e66e1d46eb61b684fd6a0
com.hexagontk.http	http_test	4.0.0-B3		d012118d44c576fbee7b8d6105404523a4d492a3
com.hexagontk.http	http_test	4.0.0-B4		008e04216cb389f42079562383d64e596174fe51
