activemq	xsdlib	20050407	-	bafe37188ccc6b64e8fd7be6ac362f9fa6a13315
app.tulz	tuplez-parse_sjs1_2.12	0.3.0	-	62f90b2c9e02cb3da38c2c2f7f5bbf25e2380dca
app.tulz	tuplez-parse_sjs1_2.12	0.4.0	-	790ff23b3f547a45530f94320cc8d26a2302ccec
aws.smithy.kotlin	aws-protocol-core	0.15.3	-	d073914315d5e6876d49d6191dbc0857e848fee3
aws.smithy.kotlin	aws-protocol-core	0.15.3	0.15.3-all	228df587f5ebfbde1cb518c44d67fd24194a4bc8
aws.smithy.kotlin	aws-protocol-core	0.16.0	-	e451f6feebb00a49943d9720b96d744e90c3c266
aws.smithy.kotlin	aws-protocol-core	0.16.0	0.16.0-all	228df587f5ebfbde1cb518c44d67fd24194a4bc8
aws.smithy.kotlin	aws-protocol-core	0.16.1	-	c1a102c7e80ab83e99f7a6872fc086b5b761a0a1
aws.smithy.kotlin	aws-protocol-core	0.16.1	0.16.1-all	228df587f5ebfbde1cb518c44d67fd24194a4bc8
aws.smithy.kotlin	aws-protocol-core	0.16.2	-	4e76e100bd5291e5fd782e1101119861fd26ab0b
aws.smithy.kotlin	aws-protocol-core	0.16.2	0.16.2-all	228df587f5ebfbde1cb518c44d67fd24194a4bc8
aws.smithy.kotlin	aws-protocol-core	0.16.3	-	170442ad99c3db8d0f113f0b8854bb2d35f466bf
aws.smithy.kotlin	aws-protocol-core	0.16.3	0.16.3-all	228df587f5ebfbde1cb518c44d67fd24194a4bc8
aws.smithy.kotlin	aws-protocol-core	0.16.4	-	8e129c626ab7c347a9333077713ac657d41e4c5e
aws.smithy.kotlin	aws-protocol-core	0.16.4	0.16.4-all	228df587f5ebfbde1cb518c44d67fd24194a4bc8
aws.smithy.kotlin	aws-protocol-core	0.16.5	-	e7a7092a126bafb085ca5f4d1bcd8f115f4a089e
aws.smithy.kotlin	aws-protocol-core	0.16.5	0.16.5-all	228df587f5ebfbde1cb518c44d67fd24194a4bc8
aws.smithy.kotlin	aws-protocol-core	0.16.6	-	c608eef549024a002f3dc646e56bb38039923423
aws.smithy.kotlin	aws-protocol-core	0.16.6	0.16.6-all	228df587f5ebfbde1cb518c44d67fd24194a4bc8
aws.smithy.kotlin	aws-protocol-core	0.17.0	-	c5ab4f85d153319f4223a315bd83258097fbc780
aws.smithy.kotlin	aws-protocol-core	0.17.0	0.17.0-all	228df587f5ebfbde1cb518c44d67fd24194a4bc8
aws.smithy.kotlin	aws-protocol-core	0.17.1	-	4eb73c2ca239ae106e17a2e96cf1b7cf2e69cea0
aws.smithy.kotlin	aws-protocol-core	0.17.1	0.17.1-all	228df587f5ebfbde1cb518c44d67fd24194a4bc8
aws.smithy.kotlin	aws-protocol-core	0.17.2	-	c2696869199ce081ad610a20d3a10d77f5a4a6cb
aws.smithy.kotlin	aws-protocol-core	0.17.2	0.17.2-all	228df587f5ebfbde1cb518c44d67fd24194a4bc8
aws.smithy.kotlin	aws-protocol-core	0.17.3	-	f294143746405050993f5f0e2e1e4615725eb5da
aws.smithy.kotlin	aws-protocol-core	0.17.3	0.17.3-all	228df587f5ebfbde1cb518c44d67fd24194a4bc8
aws.smithy.kotlin	aws-protocol-core	0.17.4	-	388f8eba503a4283dbc31a72d2af04de225474c6
aws.smithy.kotlin	aws-protocol-core	0.17.4	0.17.4-all	228df587f5ebfbde1cb518c44d67fd24194a4bc8
aws.smithy.kotlin	aws-protocol-core	0.18.0	-	7e35aeae1e336702748108b95358f2e8404f36a2
aws.smithy.kotlin	aws-protocol-core	0.18.0	0.18.0-all	228df587f5ebfbde1cb518c44d67fd24194a4bc8
aws.smithy.kotlin	aws-protocol-core	0.19.0	-	1be5bbd31267daafb03a6450b9303903b74e37f6
aws.smithy.kotlin	aws-protocol-core	0.19.0	0.19.0-all	228df587f5ebfbde1cb518c44d67fd24194a4bc8
aws.smithy.kotlin	aws-protocol-core	0.20.0	-	86fccb019deb92988afd439fde20536bc8dc9020
aws.smithy.kotlin	aws-protocol-core	0.20.0	0.20.0-all	228df587f5ebfbde1cb518c44d67fd24194a4bc8
aws.smithy.kotlin	aws-protocol-core	0.21.0	-	fec9e0eca35f4dbec869b6986e35b3f80bb9b903
aws.smithy.kotlin	aws-protocol-core	0.21.0	0.21.0-all	228df587f5ebfbde1cb518c44d67fd24194a4bc8
aws.smithy.kotlin	aws-protocol-core	0.21.1	-	b709c4ad289dafffa81e02c99ed2ce71e801088c
aws.smithy.kotlin	aws-protocol-core	0.21.1	0.21.1-all	228df587f5ebfbde1cb518c44d67fd24194a4bc8
aws.smithy.kotlin	aws-protocol-core	0.21.2	-	c1e85f9f50ee912ead179e7c20aad686337cc5f7
aws.smithy.kotlin	aws-protocol-core	0.21.2	0.21.2-all	228df587f5ebfbde1cb518c44d67fd24194a4bc8
aws.smithy.kotlin	aws-protocol-core	0.21.3	-	26584bf9242020bcdba96389623a276de1df5057
aws.smithy.kotlin	aws-protocol-core	0.21.3	0.21.3-all	228df587f5ebfbde1cb518c44d67fd24194a4bc8
aws.smithy.kotlin	aws-protocol-core	0.22.0	-	194b32937c02d6932db910f91462bea21b7d51ba
aws.smithy.kotlin	aws-protocol-core	0.22.0	0.22.0-all	228df587f5ebfbde1cb518c44d67fd24194a4bc8
aws.smithy.kotlin	aws-protocol-core	0.22.1	-	cc649135482039984f0b136ca7851006c8710004
aws.smithy.kotlin	aws-protocol-core	0.22.1	0.22.1-all	228df587f5ebfbde1cb518c44d67fd24194a4bc8
aws.smithy.kotlin	aws-protocol-core	0.23.0	-	2446e9fc16371fe3ec2d6f3128e05ac919e6c92b
aws.smithy.kotlin	aws-protocol-core	0.23.0	0.23.0-all	228df587f5ebfbde1cb518c44d67fd24194a4bc8
aws.smithy.kotlin	aws-protocol-core	0.24.0	-	dd5aaa7e3ed9d35fe5c1ed6547ceac8a85420e77
aws.smithy.kotlin	aws-protocol-core	0.24.0	0.24.0-all	228df587f5ebfbde1cb518c44d67fd24194a4bc8
aws.smithy.kotlin	aws-protocol-core	0.25.0	-	228df587f5ebfbde1cb518c44d67fd24194a4bc8
aws.smithy.kotlin	aws-protocol-core	0.25.1	-	c77a8bf0e5db21028f320211bb1532f5393007fa
aws.smithy.kotlin	aws-protocol-core	0.26.0	-	c77a8bf0e5db21028f320211bb1532f5393007fa
aws.smithy.kotlin	aws-protocol-core	0.27.0	-	c77a8bf0e5db21028f320211bb1532f5393007fa
aws.smithy.kotlin	aws-protocol-core	0.27.1	-	c77a8bf0e5db21028f320211bb1532f5393007fa
aws.smithy.kotlin	aws-protocol-core	0.27.2	-	c77a8bf0e5db21028f320211bb1532f5393007fa
aws.smithy.kotlin	aws-protocol-core	0.27.3	-	c77a8bf0e5db21028f320211bb1532f5393007fa
aws.smithy.kotlin	aws-protocol-core	0.27.4	-	c77a8bf0e5db21028f320211bb1532f5393007fa
aws.smithy.kotlin	aws-protocol-core	0.27.5	-	c77a8bf0e5db21028f320211bb1532f5393007fa
aws.smithy.kotlin	aws-protocol-core	0.27.6	-	c77a8bf0e5db21028f320211bb1532f5393007fa
aws.smithy.kotlin	aws-protocol-core	0.27.7	-	c77a8bf0e5db21028f320211bb1532f5393007fa
aws.smithy.kotlin	aws-protocol-core	0.28.0	-	e795f7b82d1cfdab40031bcc9ec0403183c603de
aws.smithy.kotlin	aws-protocol-core	0.28.1	-	e51bd510b4c3d74d00775a9b5dc54f5ea662525f
aws.smithy.kotlin	aws-protocol-core	0.28.2	-	e51bd510b4c3d74d00775a9b5dc54f5ea662525f
