com.cleveradssolutions	bidmachine	2.4.0.0		N/A
com.cosium.murmur	spec-compliance	0.8		a30a9ceaab7626719503419d95f07da03aabac3d
com.evernym.vdrtools	vdr-tools	0.0.3		f23028336deb10e0eaf67dd1dc04921790807a1a
com.evernym.vdrtools	vdr-tools	0.0.4		19360457d36dba13fca9c4ef57e75f46b103c3b0
com.evernym.vdrtools	vdr-tools	0.0.5		2d88aa4cdd4d25057185be5d0276a184914afc53
com.evernym.vdrtools	vdr-tools	0.8.0		72fa993327d6ba05fe2b9e0a0a21f40f9b5a9017
com.evernym.vdrtools	vdr-tools	0.8.1		bd5156e04dde852869a61d32260e9392b9154e4d
com.evernym.vdrtools	vdr-tools	0.8.2		4495819bf1605ed218945380f79c97e906bf57bf
com.evernym.vdrtools	vdr-tools	0.8.3		af4acdeffceb68872c86de5b720d7873240912b0
com.evernym.vdrtools	vdr-tools	0.8.4		bd97cf5734698b2b1f8c44df8fdc630748c6800f
com.evernym.vdrtools	vdr-tools	0.8.5		19e995e378112d7f2a4089a65e5501925200d74d
com.evernym.vdrtools	vdr-tools	0.8.6		acc2f1b0eeff0f147f6ce19551935235b72c021c
com.genesys.gms	mobileSDK	8.5.201.00.b.234.rev.222		N/A
com.gitee.ts_ohos	libaudiowife	1.0.0		N/A
com.github.AnonymousMister.plugin	confusion-maven-plugin	0.1		6e9701380e66528f5e7cf17312d412ed2b9d24d1
com.github.AnonymousMister.plugin	confusion-maven-plugin	0.2		824e6d80884dd9e3b0dfa3524ea1af6a3dda8113
com.github.AnonymousMister.plugin	confusion-maven-plugin	0.3		557e369512214682173e8464e62af722646dfcea
com.github.dandelion	datatables-compression-yui	0.3.6		d5ad55a47665385942832284d4d130c11f029ac3
com.github.dandelion	datatables-compression-yui	0.3.7		9889620fde100e8bb1ba01c05a97a324deda509a
com.github.dandelion	datatables-compression-yui	0.8.10		30f6f6737e54bb0d45bab0cfa7d0f23c31108067
com.github.dandelion	datatables-compression-yui	0.8.11		1af249d355dca4337cbb86caa6ce0cdb8c744d49
com.github.dandelion	datatables-compression-yui	0.8.12		3c3f1eb8337e7b52863a10efb72225038f635e4c
com.github.dandelion	datatables-compression-yui	0.8.13		e5ef756debda399e7821e74f6a1808ace391fd54
com.github.dandelion	datatables-compression-yui	0.8.14		756ffe92abc0743eebe7de536919f7e4528a4ef8
com.github.dandelion	datatables-compression-yui	0.8.6		c62de35a3d6da768dd3d13967fe2ea6936eea92d
com.github.dandelion	datatables-compression-yui	0.8.7		4badd84f42fc309569902847381e770c51ae7138
com.github.dandelion	datatables-compression-yui	0.8.8		1934afa07214c81c49c57cae6d8b3ccd318b3280
com.github.dandelion	datatables-compression-yui	0.8.9		d20f63e025741c96b34afa27bac1f13908c20c16
com.github.dandelion	datatables-compression-yui	0.9.0		1aff0fc59dd1f13242303a15b506a93ff90f425a
com.github.dandelion	datatables-compression-yui	0.9.1		0f8590378886920ec46b3b88477716918bf1672b
com.github.dandelion	datatables-compression-yui	0.9.2		0f709614b5c16e5879c9e5db33e84d13acb6f5cf
com.github.dandelion	datatables-compression-yui	0.9.3		cac360a2f55709eb64855ab2e04496300a52de55
com.github.superutils	utils-poi	1.0.0		90ec29016baa81fe74ca4c74e5ae4b9afdd4e306
com.github.superutils	utils-poi	1.1.0		94b25d73f44d6b70e6a2541242668d539f60de3a
com.github.superutils	utils-poi	1.2.0		d89eb4fd50bb64ac4271e779ca7da89e56a0b1b5
com.github.superutils	utils-poi	1.3.0		84f457fdadbdcabcb7ac27f4bdbe22e70bd6ab00
com.github.superutils	utils-poi	1.4.0		276e28618cf6b6f39216b5f5bc66df94152bfb07
com.github.wookietreiber	scala-xdg-basedir_2.10	0.1.0		a7c01a70956437b9170fc57ab3000ed9142d074b
com.grookage.concierge	concierge-core	0.0.1-RC1		1e4d69f9489bcab2793e056b1696ca9ec3eb2f00
com.grookage.concierge	concierge-core	0.0.1-RC10		a4f3926e3274165dda27ac9eef9401bc63decc71
com.grookage.concierge	concierge-core	0.0.1-RC11		862e01bf2dfcd245e6cb7b3b600f2bc295b63785
com.grookage.concierge	concierge-core	0.0.1-RC12		978b5d046c00edf4bc0719afc5b8b98e854a4bb3
com.grookage.concierge	concierge-core	0.0.1-RC13		bd704ef3041ce299f58b7639cb13e1f71119cfd2
com.grookage.concierge	concierge-core	0.0.1-RC14		558444f7ac9c2d65f59dddcae94186bc86eb0351
com.grookage.concierge	concierge-core	0.0.1-RC15		ec597c98e5ef416bbf4b9aebd10f8d5920da66b7
com.grookage.concierge	concierge-core	0.0.1-RC16		302b3ce16f2d54aed8f72f363ccb11b4ddf28867
com.grookage.concierge	concierge-core	0.0.1-RC17		40b3247becf0ea72e21bbd4eaf97cf5d1a640c2a
com.grookage.concierge	concierge-core	0.0.1-RC2		c1ad33b8534da80ff161e2afe1698ba4413ed5cd
com.grookage.concierge	concierge-core	0.0.1-RC3		c4b72a6ebf5062a365a84db94eb2ed874756ff95
com.grookage.concierge	concierge-core	0.0.1-RC4		ff33f72b05faed0858a014bdecefa1781c4384fb
com.grookage.concierge	concierge-core	0.0.1-RC5		8eee629ed9b869be21ac2a9366827d1e0c5ac632
com.grookage.concierge	concierge-core	0.0.1-RC6		599594f8248ec4d7f3fc2813bd5d2957787245b6
com.grookage.concierge	concierge-core	0.0.1-RC7		368d9100e8f392f95300f491dd9b1a2db09830e1
com.grookage.concierge	concierge-core	0.0.1-RC8		b9e67f2a824e6c0eb14f7f63a94fbbcd37da8fc2
com.grookage.concierge	concierge-core	0.0.1-RC9		55ad4a031e5a8d895ac82ff1e98dc0eefcf93fc7
com.grookage.concierge	concierge-core	1.0.0		61473585296de1aa6cbd6b51f66af47ac68510da
com.grookage.concierge	concierge-core	1.0.1		c97aa5c6204be637ba5d2cf448039b9732e24b97
com.grookage.concierge	concierge-core	1.0.2		f6dc84c1b8963190c45a3c07ea61fe051f6b3c1a
com.hedera.hashgraph	config	0.51.3		0b88f0c0407454a2d6b1af1cab93e1a46bff240e
com.hedera.hashgraph	config	0.51.4		2208a51275c2ecbd11be7e59c8e756f9a0b27170
com.hedera.hashgraph	config	0.51.5		35acb3269708a950d8c192e6dcc44d1f3dcd59c4
com.hedera.hashgraph	config	0.53.4		385c1d86d129542b08e082cacd81ca2120359423
com.hedera.hashgraph	config	0.53.5		805333cb263fbc26571281e48862fa214347d949
com.hedera.hashgraph	config	0.54.0		b2e1167d22cc93879ae2e82fa8fd961c8351eaad
com.hedera.hashgraph	config	0.54.1		cb388ed69dde0ff7305bfb09392a460038434572
com.hedera.hashgraph	config	0.54.2		f38ac4c51f2a05ae9ca646d9d56bab9169149bb0
com.hedera.hashgraph	config	0.55.0		337360bf8008c717d3a2573027928a0cf757d784
com.hedera.hashgraph	config	0.55.1		a2c557c55b648c0d75d44579cff0d09b791bf40b
com.hedera.hashgraph	config	0.55.2		d75e3b6e9a2822b471dfd082e3572b99d44bf8f3
com.hedera.hashgraph	config	0.56.4		40b31a740c32f2927a69b7f034fd30021ef652f1
com.hedera.hashgraph	config	0.56.5		f25895d54ee077a2785a69fd893127da96591a83
com.hedera.hashgraph	config	0.56.6		2c5e1cd8add063aa89778d2003dc8333d175bcf3
com.hedera.hashgraph	config	0.56.7		39cb7b4e665f75262371033f842a7a7571045f4b
com.hedera.hashgraph	config	0.57.0		ea6e35b94c2f4df8925b7138a33529e3af87a067
com.hedera.hashgraph	config	0.57.1		a7ba41c4474a1d0821e64ebb923be38ed1ad25aa
com.hedera.hashgraph	config	0.57.2		b3083cde229077f8cc9caf010a4d1e67d7bf4bf2
com.hedera.hashgraph	config	0.57.3		5d14398df34b2ce12a4efe96a40042598115b530
com.hedera.hashgraph	config	0.57.4		e8e08dba829de43f677142cfaf57f29571481e04
com.hedera.hashgraph	config	0.57.5		c6ebaf4dc57b68ff9f009a046bd1c60fced012c8
com.hedera.hashgraph	config	0.58.1		c07a747c8b928c3516f9947ec1fcf8a47229e6e9
com.hedera.hashgraph	config	0.58.10		4b346b47440cfd1a5da770654262e568c4c52fd0
com.hedera.hashgraph	config	0.58.11		5d3e3213061547f04b08774a08be507acfc85408
com.hedera.hashgraph	config	0.58.12		7102545f5f1515f7ad501c8efea81b369a410399
com.hedera.hashgraph	config	0.58.13		13d54988fd79e0dfa60b23f836267d134d98f55c
com.hedera.hashgraph	config	0.58.2		18b879e6950d653d6b7ba6d9315ce273168d8aec
com.hedera.hashgraph	config	0.58.3		edfb44c57d8891e0aeb2506306d577acaef54a8d
com.hedera.hashgraph	config	0.58.4		6ff81d2dc756c0d19e449988a7d7d307356b4cc1
com.hedera.hashgraph	config	0.58.8		1b09d986aaf43c05b4c41dfa8232572e80014e38
com.hedera.hashgraph	config	0.58.9		55dab2adac62fb4d43f282dfac1807b6fc6cf66f
com.hedera.hashgraph	config	0.59.0		60112be9d6a82e56dfc20afe4de44de0422a4b24
com.hedera.hashgraph	config	0.59.1		72a1b2fa40b869be3fa615d2313888b221912c08
com.hedera.hashgraph	config	0.59.2		54635dd441f7fb5d29bec8710e28f83fc673768c
com.hedera.hashgraph	config	0.59.3		d3ca2ce10dc4bf43c415ae648f8e1193587f8e1c
com.hedera.hashgraph	config	0.59.4		2d92f0ff2e0d9079adb620f23f06bdefcc3ca566
com.hedera.hashgraph	config	0.59.5		16a26373827c0f0a405dcae82b4910de25aec41e
com.hedera.hashgraph	config	0.60.0		0aad22e718d75a22c758e5d2f0c8bcfb75bd7b04
com.hedera.hashgraph	config	0.60.1		d1ac9027b2eae14bacdcce94e31d39731be8ed01
com.hedera.hashgraph	config	0.60.2		3e74c5a3e00e62a71e8c342189054c65441169cc
com.hedera.hashgraph	config	0.61.0		d75b5821654ff619d769eb9bbb54beffb1deb5be
com.hedera.hashgraph	config	0.61.1		d2f39bdded14646ae75644ac33a0d4a965d856c8
com.hedera.hashgraph	config	0.61.2		c6c5c9a5741a1fcd1165b9d30fa1b64b977b6a78
com.hedera.hashgraph	config	0.61.3		6bd58ac27288fef2d16c1d78a3207e4fba495694
com.hedera.hashgraph	config	0.61.4		18194e6d9eb7aea7e106df23c60713d6758b74d6
com.hedera.hashgraph	config	0.62.0		eee3cf784d68cdafa6921a5f07ee92f01ff9d056
com.jashmore	local-sqs-test-utils	0.0.4		cb4e209e23c2b1add0773801dc65041d751b8588
com.jashmore	local-sqs-test-utils	0.0.5		2cce4643cf192afff9625194efe1f2c0f314ed2c
com.jashmore	local-sqs-test-utils	1.0.0		55c346f4c1e872a896582ea038640a8cb17027f2
com.jashmore	local-sqs-test-utils	1.1.0		acc4f44291e873070aaafcaf7f706cc1e27bc994
com.jashmore	local-sqs-test-utils	2.0.0		3f96601c10303616b795a0238d411762ce7c11ee
com.jashmore	local-sqs-test-utils	2.1.0		0044ebb2369f393ee4f679eead6072371045ea50
com.jashmore	local-sqs-test-utils	2.2.0		ddb35a40ace09fbfdce614c761750d3d472753c0
com.jashmore	local-sqs-test-utils	2.3.0		b9a221dfce7248ab61701b2cbc47df4a1a427502
com.jashmore	local-sqs-test-utils	3.0.0		89a7cce7c54778b33fdbdab73d2c3df9f8511a60
com.jashmore	local-sqs-test-utils	3.0.0-M1		20b0d4c50c2b5ef681369ff2bc57aa4a4d384168
