com.coditory.quark	quark-uri	0.0.7		18615866621a6497ae055f3c26b454d508720543
com.coditory.quark	quark-uri	0.0.8		2abe42a5dc88fe88fdb5a4d00e056dc2c95b7507
com.coditory.quark	quark-uri	0.0.9		48007d8402e44bcd68d0e0aae7884c83b08b2571
com.craigburke.angular	angular-annotate-asset-pipeline	2.0.1		0eee16a964c9ea0ce7d759b2d30b24ff45e409a3
com.craigburke.angular	angular-annotate-asset-pipeline	2.0.2		7df0f0f3be3897617240f52d57fa66feaeef6126
com.craigburke.angular	angular-annotate-asset-pipeline	2.0.3		0bb302da9333f36992c3cb7bfed3af35884ed0d0
com.craigburke.angular	angular-annotate-asset-pipeline	2.0.4		aacd3da8da2d5d66bbfcf14564c266fda3345995
com.craigburke.angular	angular-annotate-asset-pipeline	2.0.5		fdd25ee0afbd054ebede68802015a8c0537b18e2
com.craigburke.angular	angular-annotate-asset-pipeline	2.0.6		ddaeb1db9bfd9c5459a5272d59595199639e6faa
com.craigburke.angular	angular-annotate-asset-pipeline	2.1.0		ee94fbf6f8d17748083b76576ee1e2ed3ae91d39
com.craigburke.angular	angular-annotate-asset-pipeline	2.1.1		80b43f5f08e882556009d002f4275c6155f7de01
com.craigburke.angular	angular-annotate-asset-pipeline	2.1.2		2b667e604a071140f098fc046534eae70a5e3f91
com.craigburke.angular	angular-annotate-asset-pipeline	2.2.0		91822be5b99a17890df51f0a0c404cf22ae66667
com.craigburke.angular	angular-annotate-asset-pipeline	2.2.1		64d43554709498b14d41217be2ce1a92b7f689e1
com.craigburke.angular	angular-annotate-asset-pipeline	2.2.2		acd25fcc48a078c433fac9e89dde09f14fcb750b
com.craigburke.angular	angular-annotate-asset-pipeline	2.2.3		d1dcb3cbad80d7094d0d80b60605d58ac2669b57
com.craigburke.angular	angular-annotate-asset-pipeline	2.4.0		7ddf60152a602caded02620610a8cb316af8e1d6
com.craigburke.angular	angular-annotate-asset-pipeline	2.4.1		2f22d0bb1bd755709ac0a8b28424dccaaf548edc
