ch.sbb	export-package-generator	1.0.0		3f8d12ae1f9c490721c651fa159fd6409ab17584
cloud.oneentry	sdk-locales-iossimulatorarm64	1.1.1		N/A
cloud.oneentry	sdk-locales-iossimulatorarm64	1.1.1	metadata	45a22afb1988cc09b391a03de2c45c653eeba1d2
cloud.oneentry	sdk-locales-iossimulatorarm64	1.2.0		N/A
cloud.oneentry	sdk-locales-iossimulatorarm64	1.2.0	metadata	66bfe36d9a7e2c2fa35e50b9ab8d0ca26417d353
cloud.oneentry	sdk-locales-iossimulatorarm64	1.2.2		N/A
cloud.oneentry	sdk-locales-iossimulatorarm64	1.2.2	metadata	f8cfd727e9fb58224ef8d182c51aefc97020af1b
cloud.oneentry	sdk-locales-iossimulatorarm64	1.2.4		N/A
cloud.oneentry	sdk-locales-iossimulatorarm64	1.2.4	metadata	c689b07d8e5a097c135eb799170fcb8898357b23
cloud.oneentry	sdk-locales-iossimulatorarm64	1.2.5		N/A
cloud.oneentry	sdk-locales-iossimulatorarm64	1.2.5	metadata	44f76f15893cdbd3ccd71379ee78eadfe2b40bf5
cloud.oneentry	sdk-locales-iossimulatorarm64	1.2.6		N/A
cloud.oneentry	sdk-locales-iossimulatorarm64	1.2.6	metadata	20ad780965c47f357e35dd9724cc6712bd915c42
com.aallam.openai	openai-client-iossimulatorarm64	2.1.3		N/A
com.aallam.openai	openai-client-iossimulatorarm64	2.1.3	metadata	1285bce6312b38d6f68c3ee3a0bae737c14515c4
com.aallam.openai	openai-client-iossimulatorarm64	3.0.0		N/A
com.aallam.openai	openai-client-iossimulatorarm64	3.0.0	metadata	5884b16384692fd7f1e574d59f87a6561e879a52
com.aallam.openai	openai-client-iossimulatorarm64	3.0.0-beta01		N/A
com.aallam.openai	openai-client-iossimulatorarm64	3.0.0-beta01	metadata	f2d344c0d48fb5418137a40d440a5e50b5ef28b1
com.aallam.openai	openai-client-iossimulatorarm64	3.0.0-beta02		N/A
com.aallam.openai	openai-client-iossimulatorarm64	3.0.0-beta02	metadata	5884b16384692fd7f1e574d59f87a6561e879a52
com.aallam.openai	openai-client-iossimulatorarm64	3.1.0		N/A
com.aallam.openai	openai-client-iossimulatorarm64	3.1.0	metadata	5884b16384692fd7f1e574d59f87a6561e879a52
com.aallam.openai	openai-client-iossimulatorarm64	3.1.1		N/A
com.aallam.openai	openai-client-iossimulatorarm64	3.1.1	metadata	5884b16384692fd7f1e574d59f87a6561e879a52
com.aallam.openai	openai-client-iossimulatorarm64	3.2.0		N/A
com.aallam.openai	openai-client-iossimulatorarm64	3.2.0	metadata	5884b16384692fd7f1e574d59f87a6561e879a52
com.aallam.openai	openai-client-iossimulatorarm64	3.2.1		N/A
com.aallam.openai	openai-client-iossimulatorarm64	3.2.1	metadata	48971ccdb32ebf3bdc05c7e9b91383c5cbf8d06e
com.aallam.openai	openai-client-iossimulatorarm64	3.2.2		N/A
com.aallam.openai	openai-client-iossimulatorarm64	3.2.2	metadata	ea7be36d70592ed0cb00fe455ce79ef3c8e699a2
com.aallam.openai	openai-client-iossimulatorarm64	3.2.3		N/A
com.aallam.openai	openai-client-iossimulatorarm64	3.2.3	metadata	ea7be36d70592ed0cb00fe455ce79ef3c8e699a2
com.aallam.openai	openai-client-iossimulatorarm64	3.2.4		N/A
com.aallam.openai	openai-client-iossimulatorarm64	3.2.4	metadata	932a08d6b4d7da5e04f3f44be9b6b0f8528bc336
com.aallam.openai	openai-client-iossimulatorarm64	3.2.5		N/A
com.aallam.openai	openai-client-iossimulatorarm64	3.2.5	metadata	a17c539a84c67711620bfe9d1c8cf500d7ca7017
com.aallam.openai	openai-client-iossimulatorarm64	3.3.0		N/A
com.aallam.openai	openai-client-iossimulatorarm64	3.3.0	metadata	32c02b0140adccc7081b6c1b11a98431eb67c58e
com.aallam.openai	openai-client-iossimulatorarm64	3.3.1		N/A
com.aallam.openai	openai-client-iossimulatorarm64	3.3.1	metadata	1391f02b08619ce14af096ffa09c6ef4d3403804
com.aallam.openai	openai-client-iossimulatorarm64	3.3.2		N/A
com.aallam.openai	openai-client-iossimulatorarm64	3.3.2	metadata	b82f0b1557f71571fd6d8d3cef4a3612b5dab816
com.aallam.openai	openai-client-iossimulatorarm64	3.4.0		N/A
com.aallam.openai	openai-client-iossimulatorarm64	3.4.0	metadata	294455a6c970a29a843552b59e224e9d083b1152
com.aallam.openai	openai-client-iossimulatorarm64	3.4.1		N/A
com.aallam.openai	openai-client-iossimulatorarm64	3.4.1	metadata	42a3cc6355d4ce00b744f89296ed16942209c843
com.aallam.openai	openai-client-iossimulatorarm64	3.4.2		N/A
com.aallam.openai	openai-client-iossimulatorarm64	3.4.2	metadata	18e98c9bf3e6e2a46ef5fdde0170a797cfe55bd9
com.aallam.openai	openai-client-iossimulatorarm64	3.5.0		N/A
com.aallam.openai	openai-client-iossimulatorarm64	3.5.0	metadata	bd5660ddb9178594c228bd489d97ac5b2b1a35a2
com.aallam.openai	openai-client-iossimulatorarm64	3.5.1		N/A
com.aallam.openai	openai-client-iossimulatorarm64	3.5.1	metadata	2d5ac4bf57f66ba86c4f13bff4f97615777d60a3
com.aallam.openai	openai-client-iossimulatorarm64	3.6.0		N/A
com.aallam.openai	openai-client-iossimulatorarm64	3.6.0	metadata	60d2fa9295e377636f2c9afe754032cb9f986ad0
com.aallam.openai	openai-client-iossimulatorarm64	3.6.1		N/A
com.aallam.openai	openai-client-iossimulatorarm64	3.6.1	metadata	0d9aec1c9c8801ed3688d105b61c616b7676987c
com.aallam.openai	openai-client-iossimulatorarm64	3.6.2		N/A
com.aallam.openai	openai-client-iossimulatorarm64	3.6.2	metadata	b96410c88df2d17a440391f88186d89d27ca2468
com.aallam.openai	openai-client-iossimulatorarm64	3.6.3		N/A
com.aallam.openai	openai-client-iossimulatorarm64	3.6.3	metadata	e48978d433ba6f79d09a146c293d36f1d531dc1c
com.aallam.openai	openai-client-iossimulatorarm64	3.7.0		N/A
com.aallam.openai	openai-client-iossimulatorarm64	3.7.0	metadata	35b329781a9adfcbe2baa617e56757dc36c3e66e
com.aallam.openai	openai-client-iossimulatorarm64	3.7.1		N/A
com.aallam.openai	openai-client-iossimulatorarm64	3.7.1	metadata	959a7c019c9c8ef9cdb40cd62aa262470468e1a4
com.aallam.openai	openai-client-iossimulatorarm64	3.7.2		N/A
com.aallam.openai	openai-client-iossimulatorarm64	3.7.2	metadata	83ac7a7ea8f1af81fdf11634ea63d4cc1c41fc0f
com.aallam.openai	openai-client-iossimulatorarm64	3.8.0		N/A
com.aallam.openai	openai-client-iossimulatorarm64	3.8.0	metadata	d9280d56488d53b0a653d4b08ad29e58a978095e
com.aallam.openai	openai-client-iossimulatorarm64	3.8.1		N/A
com.aallam.openai	openai-client-iossimulatorarm64	3.8.1	metadata	ceb2e9f21134564c52f307a250ffb5678cd464a7
com.aallam.openai	openai-client-iossimulatorarm64	3.8.2		N/A
com.aallam.openai	openai-client-iossimulatorarm64	3.8.2	metadata	c2b22df1f5959cd897f537700d18d75a90de71b1
com.aallam.openai	openai-client-iossimulatorarm64	4.0.0		N/A
com.aallam.openai	openai-client-iossimulatorarm64	4.0.0	metadata	f3be6bfec9051d9bd9ac8bf81beaf1fd8e078b11
com.aallam.openai	openai-client-iossimulatorarm64	4.0.0-beta01		N/A
com.aallam.openai	openai-client-iossimulatorarm64	4.0.0-beta01	metadata	cdeeaf2848adeb5de3e17beb9ab18423016c42cb
com.aallam.openai	openai-client-iossimulatorarm64	4.0.1		N/A
com.aallam.openai	openai-client-iossimulatorarm64	4.0.1	metadata	760a684b052c175e42dc45cda646fec66608b2e2
com.aliyun	alb20200616	1.0.0		63e7aea60c0d48b4b2c115f4fdd590779adf9926
com.aliyun	alb20200616	1.0.1		2bd762cca265b6d69f1655f99309ff69054bba69
