com.github.almasb	fxgl-games	0.3.4		5b7ffd0c43eb8f6affce8aeaecaa88c9c9e77ffe
com.github.almasb	fxgl-games	0.3.5		fa8401324e76b6f5fb58c6502355a4027bf0c673
com.github.branflake2267	gwt-maps	3.10.0-alpha-1		N/A
com.github.branflake2267	gwt-maps	3.10.0-alpha-2		N/A
com.github.branflake2267	gwt-maps	3.10.0-alpha-6		N/A
com.github.branflake2267	gwt-maps	3.10.0-alpha-7		N/A
com.github.branflake2267	gwt-maps	3.9.0-alpha-15		N/A
com.github.branflake2267	gwt-maps	3.9.0-build-16		N/A
com.github.branflake2267	gwt-maps	3.9.0-build-17		N/A
com.github.lapissea	glfw-window	1.0.0		726902cd2cd1732816c596568b1e8a3b43abfecc
com.github.lapissea	glfw-window	1.0.1		f6246b04824860f2622f3924ab5c406f7fb84a04
com.github.lapissea	glfw-window	1.0.2		7ca2f0e829f311be2d34be3757c53d0e2c1aede6
com.github.lapissea	glfw-window	1.0.3		0f8185db8dd914e687e8d4120e7ffd19ba3bb30d
com.github.lapissea	glfw-window	1.1		1b8c4caaa4e046babf4a27e75dd6ac2ba71f397d
com.github.lapissea	glfw-window	1.1.1		20678d1d68089813092a0ddd275130090d3fdbf5
com.github.mamadou-diallo	HTML-Link-Reviewer-	1.0.0		283a1ee1a0b4ddd720b4646b6a3d8071f2dacea1
com.github.pinguinson	scalac-scapegoat-plugin_2.12	1.4.0		4d716aaf95d9028a48d0100f1f1704c297642bfe
com.github.rafaelstelles	nota-fiscal-api	1.0		b4e5827f9c5ded1782f6573ccbdcab57193a6656
com.github.rafaelstelles	nota-fiscal-api	1.1		2d06342415df7346910be5db9642c6bb58d70020
com.github.rafaelstelles	nota-fiscal-api	1.2		4a2b8f05417d759782dc601d780831190ae69939
com.github.seratch	scalikejdbc-interpolation_2.10.0-RC3	1.4.1		99be578128f0ba565bf934a0c4ceacec52b388f0
com.github.weibin268	my-autocode-starter	2.0.0		13b0a9cb49c01282a0955fce6c104fda1a75c376
com.github.weibin268	my-autocode-starter	2.1.1		54fb4de1f565eb63df8cf25e0872c2933d2a258f
com.github.weibin268	my-autocode-starter	2.1.2		20e647cb3a91bf32dc1da7cfd5d5958536470e33
com.github.ynfeng	atomix-gossip	3.2.0		5c761da7c54553433de34106057ba283066c3673
com.github.ynfeng	atomix-gossip	3.2.0-RELEASE		1ea8d4812b51e5144bf172a859d2c386ccafb7f9
com.github.ynfeng	atomix-gossip	3.2.1		171f7ced8f384503a2088df845db3f92cb0f83f5
com.gluonhq	charm-down-plugin-cache-desktop	3.0.0		e7cdfd0595c73ca3113a3e754cb075fe048000c3
com.gluonhq	charm-down-plugin-cache-desktop	3.1.0		d0e966bc925d944c75876009223c886fa3120702
com.gluonhq	charm-down-plugin-cache-desktop	3.2.0		079c77f1ea001178a872e24f188c053692706365
com.gluonhq	charm-down-plugin-cache-desktop	3.2.1		28570f49d7e065e046201ae84887e867db3b546e
com.gluonhq	charm-down-plugin-cache-desktop	3.2.2		18308f7ca45a36256c5f8a7583209908a6dd381b
com.gluonhq	charm-down-plugin-cache-desktop	3.2.3		7e270f35f4501cbbaee8525b9a47e7cd5ccd1d19
com.gluonhq	charm-down-plugin-cache-desktop	3.2.4		e58da4c2991728bb4ed14984b7c3e0ab1243abdb
com.gluonhq	charm-down-plugin-cache-desktop	3.3.0		1f14d268d717e67b02845c49254965de476b1a26
com.gluonhq	charm-down-plugin-cache-desktop	3.4.0		cbff67dfcd0c0f2b7ced6bc7257fc73cc1ec5ff1
com.gluonhq	charm-down-plugin-cache-desktop	3.4.1		c24ab6b103657317af7ca5158baf304b9870e2ea
com.gluonhq	charm-down-plugin-cache-desktop	3.5.0		011c57320eaffaa763ea0db4d394abf7b379a7d7
com.gluonhq	charm-down-plugin-cache-desktop	3.6.0		6ea8f9409810ce925a81bfcca5786ab27e74cd59
com.gluonhq	charm-down-plugin-cache-desktop	3.7.0		1bb0f33c5888301bd9f064bffdafffe35bfeafc3
com.gluonhq	charm-down-plugin-cache-desktop	3.7.1		6c5ab55f609467521a5b7c5b808aff5ff717b1c7
com.gluonhq	charm-down-plugin-cache-desktop	3.7.2		7fe5b534d07735f96fc16f289a4e38bad586a82f
com.gluonhq	charm-down-plugin-cache-desktop	3.8.0		151c58f1c0c8ec691e57a42522c1d046731fcf09
com.gluonhq	charm-down-plugin-cache-desktop	3.8.1		c3db8aa6e92356d1b32077553d143d90a0d00b5c
com.gluonhq	charm-down-plugin-cache-desktop	3.8.2		bf7e20908dbc0060184bf5e45c7e6f1ab23c44c6
com.gluonhq	charm-down-plugin-cache-desktop	3.8.3		026bc01eea0969e73249c1d741d1c2399f2cff39
com.gluonhq	charm-down-plugin-cache-desktop	3.8.4		21420b8988faa0c6d0ae02213a3447299a44631e
com.gluonhq	charm-down-plugin-cache-desktop	3.8.5		283c0572efcf4af8c4b24ee9fb0b417cce6f0025
com.gluonhq	charm-down-plugin-cache-desktop	3.8.6		8e1b29d4f49e31acc9239d163c27986c6f24d32e
com.hexascribe	vertexai-kt-iosx64	0.0.1		N/A
com.hexascribe	vertexai-kt-iosx64	0.0.1	metadata	942d6d2d622e98eeb2f1f1aeef68cab622b5b5fe
com.hexascribe	vertexai-kt-iosx64	1.0.0		N/A
com.hexascribe	vertexai-kt-iosx64	1.0.0	metadata	942d6d2d622e98eeb2f1f1aeef68cab622b5b5fe
com.ibm.fhir	fhir-server-webapp	4.10.0		N/A
com.ibm.fhir	fhir-server-webapp	4.10.1		N/A
com.ibm.fhir	fhir-server-webapp	4.10.2		N/A
com.ibm.fhir	fhir-server-webapp	4.11.0		N/A
com.ibm.fhir	fhir-server-webapp	4.11.1		N/A
com.ibm.fhir	fhir-server-webapp	4.7.0		N/A
com.ibm.fhir	fhir-server-webapp	4.7.1		N/A
com.ibm.fhir	fhir-server-webapp	4.8.0		N/A
com.ibm.fhir	fhir-server-webapp	4.8.1		N/A
com.ibm.fhir	fhir-server-webapp	4.8.2		N/A
com.ibm.fhir	fhir-server-webapp	4.8.3		N/A
com.ibm.fhir	fhir-server-webapp	4.9.0		N/A
com.ibm.fhir	fhir-server-webapp	4.9.1		N/A
com.ibm.fhir	fhir-server-webapp	4.9.2		N/A
com.juul.krayon	chart	0.1.0		N/A
com.juul.krayon	chart	0.1.1		N/A
com.juul.krayon	chart	0.10.0		7e2522b4c09c957d54480505e15bdbfd8bbc860e
com.juul.krayon	chart	0.11.0		51e2993e582a4ebea74f030842caaa8fa0dba520
com.juul.krayon	chart	0.11.1		5dea8fd6567a67a3999d30a8c587ca00e7240b2d
com.juul.krayon	chart	0.11.2		d0d03ceae3a13673a54e2f94f3eb9e4c4a07516d
com.juul.krayon	chart	0.11.3		3798110054d2615d1df95f3e69e6c6fe56fc196b
com.juul.krayon	chart	0.11.4		0cde842b848ab4f1e6940064521c90bb57db95bc
com.juul.krayon	chart	0.2.0		N/A
com.juul.krayon	chart	0.3.0		N/A
com.juul.krayon	chart	0.4.0		2d241039816b82babb5b37b245640d27de2bbec7
com.juul.krayon	chart	0.5.0		305e0a5b53080fe30fc52472a1b899f6d22929fa
com.juul.krayon	chart	0.6.0		9dbb6bcb976c5e8e3e43ad4379ffb6c7346003a3
com.juul.krayon	chart	0.7.0		a2c9b317957462e355747f7767f1611cde3ed30e
com.juul.krayon	chart	0.7.1		cdd306640b82561c7cd339f85796048d2c80cb48
com.juul.krayon	chart	0.8.0		5b8050f56a17f4c5435647bf8fde4c1af7a6fc57
com.juul.krayon	chart	0.8.1		c180cd599d60985c5457b1f4d004a0fc3293cfe8
com.juul.krayon	chart	0.8.2		8ce318536c4eeddd1b5fa8e0f3a001fa9784da7d
com.juul.krayon	chart	0.9.0		5493eba65fee533b61db1c9202775581864b9bc6
com.kasisoft.mgnl	light-yaml	1.2		704489c4399d085afe3d3c4b47d6252524d37ac3
com.kylecorry.andromeda	alerts	12.0.0		N/A
com.kylecorry.andromeda	alerts	12.0.0-beta01		N/A
com.kylecorry.andromeda	alerts	12.1.0		N/A
com.kylecorry.andromeda	alerts	12.2.0		N/A
com.kylecorry.andromeda	alerts	12.3.0		N/A
com.kylecorry.andromeda	alerts	12.4.0		N/A
com.kylecorry.andromeda	alerts	12.5.0		N/A
com.kylecorry.andromeda	alerts	12.6.0		N/A
com.kylecorry.andromeda	alerts	13.0.0		N/A
com.kylecorry.andromeda	alerts	13.0.1		N/A
com.kylecorry.andromeda	alerts	13.1.0		N/A
com.kylecorry.andromeda	alerts	13.1.1		N/A
com.kylecorry.andromeda	alerts	13.1.2		N/A
com.kylecorry.andromeda	alerts	13.2.0		N/A
com.kylecorry.andromeda	alerts	13.2.1		N/A
com.kylecorry.andromeda	alerts	13.2.2		N/A
com.kylecorry.andromeda	alerts	14.0.0		N/A
com.kylecorry.andromeda	alerts	14.1.0		N/A
com.liferay.commerce	com.liferay.commerce.fragment.collection.contributor.cart	1.0.0		169f84f878ae7567260dee8790519393cec849b1
com.liferay.commerce	com.liferay.commerce.fragment.collection.contributor.cart	1.0.1		eaa06e112878a598d39ce97c3e76cef5a3bdddd4
com.liferay.commerce	com.liferay.commerce.fragment.collection.contributor.cart	1.0.2		5fc244fda479637c73f57e5b983a855e0a30849c
com.liferay.commerce	com.liferay.commerce.fragment.collection.contributor.cart	1.0.3		c813a708432ab43b8161e3682fa8f819ec286772
com.lightbend	scala-fortify_2.13.0	1.0.21		43c6e57383cc374edf207c5c91a9040d27c80cfc
com.lightbend	scala-fortify_2.13.0	1.0.21-RC1		3704bcca632ee847ae885de1cc79fc521fe784b4
com.lightbend	scala-fortify_2.13.0	1.0.22		49cfb4e3f615358e9348149d41562866d2409df2
com.lightbend	scala-fortify_2.13.0	1.0.22-RC1		0bdfc05c49eac6ca9fffc709d3b43de237506846
com.manorrock.piranha	project	19.11.0		N/A
com.manorrock.piranha	project	4.0.0.2		N/A
com.manorrock.piranha	project	4.0.1.0		N/A
com.manorrock.piranha	project	4.0.10.0		N/A
com.manorrock.piranha	project	4.0.11.0		N/A
com.manorrock.piranha	project	4.0.12.0		N/A
com.manorrock.piranha	project	4.0.13.0		N/A
com.manorrock.piranha	project	4.0.14.0		N/A
com.manorrock.piranha	project	4.0.15.0		N/A
com.manorrock.piranha	project	4.0.2.0		N/A
com.manorrock.piranha	project	4.0.3.0		N/A
com.manorrock.piranha	project	4.0.4.0		N/A
com.manorrock.piranha	project	4.0.5.0		N/A
com.manorrock.piranha	project	4.0.8.0		N/A
com.manorrock.piranha	project	4.0.9.0		N/A
com.marvinformatics	mapstruct-spis	0.1		N/A
com.microsoft.azure	azure-mgmt-relay	1.10.0-beta		54aec4aebc4c04766340469fa35309288a13524a
com.microsoft.azure	azure-mgmt-relay	1.2.0-beta		675096fe25f96ee44252ba5a08ceaa2c5a698906
com.microsoft.azure	azure-mgmt-relay	1.2.1-beta		a846162a6037a47d20931b45b39da80c3e269ad3
com.microsoft.azure	azure-mgmt-relay	1.3.0-beta		77bf678b3505a222be5a49eb661d4e9ed5150be5
com.microsoft.azure	azure-mgmt-relay	1.4.0-beta		08ab016e57d7f6b37a185fe368c794e5cd57f73b
com.microsoft.azure	azure-mgmt-relay	1.5.0-beta		84446bd8af0c22f84feaea94e608dece80cb8369
com.microsoft.azure	azure-mgmt-relay	1.5.1-beta		79655f1d9c4efbf2acd672d4ae8dde46ffca718b
com.microsoft.azure	azure-mgmt-relay	1.6.0-beta		810010c03618db12a70324e38d63e4351f3da342
com.microsoft.azure	azure-mgmt-relay	1.7.0-beta		e4e2321a2220ebe4bd9b08cb0b506d86fe5854c4
com.microsoft.azure	azure-mgmt-relay	1.8.0-beta		f41b31fb0b58fa08af7f022f6735fe03f6bd3644
com.microsoft.azure	azure-mgmt-relay	1.9.0-beta		c5286cf767d342e7e21e2a70f8bf1cb2f874329a
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.10.0		ead51dd77ee5112900bd43120a518ca0043ec2c8
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.11.0		959c0b16b20ad0e40ca526b06d8700717db5e85e
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.11.1		6092670d23f0c5e5a092e3b63148ed5513e3f6f1
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.12.0		16b282be4ddca43337a0eb0b829c112fdfe5929c
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.13.0		a184f27a06078f93c50b436f6a7b91170cd7ea5a
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.13.1		2aa08cd88bb200b1f9d704929db03c37089c5dd5
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.14.0		9a464577ad98f85509106973c2ebf4f635ac4b4b
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.14.1		4b6837560b19b0a613b7f12123df0b67e24e429b
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.15.0		b342d4412b2a8b8f83613e0e3fbd6187c0f307f7
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.16.0		2687d193746569301d448b601855dc089d715e2f
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.17.0		3835d4698b5897da50322dd279e04e8403ad5e85
