app.cash.sqldelight	android-paging3-extensions	2.0.0-alpha01	-	2bf5d4b8c6b483b79b57916102d1b0089b6a79c3
at.ait.dme.forcelayout	scala-force-layout_2.10	0.3.0	-	888940b61a41da222dc3d36b0987bf196b3c55dd
at.ait.dme.forcelayout	scala-force-layout_2.10	0.4.0	-	7590a788cf7f87d3feccbd2db25ff530edd6619c
at.asitplus	multibase-tvossimulatorarm64	1.0.0	1.0.0-metadata	c47a390121629d14be0e150784bb7fb4a759f34d
at.asitplus	multibase-tvossimulatorarm64	1.1.0	1.1.0-metadata	630f09939405fd1a2e06bd35e57961b0f1aff280
at.asitplus	multibase-tvossimulatorarm64	1.1.1	1.1.1-metadata	99969447c6f4bd660726cd08e9890860bd7ba617
at.asitplus	multibase-tvossimulatorarm64	1.2.0	1.2.0-metadata	f8052ab11f0a8cab3ee3e95b5691336529d543fa
at.asitplus	multibase-tvossimulatorarm64	1.2.1	1.2.1-metadata	33b533a38882be3d551080ef18c086c035da77c8
at.logic.gapt	gapt-examples_3	2.17.0	-	d9a96ef2f09ea38d02b40d094a6c1960243bce9f
at.logic.gapt	gapt-examples_3	2.18.0	-	73e58c705c1555dfbbfc701a237cf2452f19b9d0
aws.sdk.kotlin	geoplaces-jvm	1.3.100	-	9cfa63e0e6b765292154a6ee434b480add260f22
aws.sdk.kotlin	geoplaces-jvm	1.3.101	-	8824c4e82944c52ca870548855cea5eab04262c1
aws.sdk.kotlin	geoplaces-jvm	1.3.102	-	cfa067e67a227b36c8a1ef0b70e25e350e10d63d
aws.sdk.kotlin	geoplaces-jvm	1.3.103	-	5a91bf7a9d4c674c6c1290139dcdb9ce1c48bb72
aws.sdk.kotlin	geoplaces-jvm	1.3.104	-	fd97eefa17353660c01dbff2c907dc097f3508da
aws.sdk.kotlin	geoplaces-jvm	1.3.105	-	9bdfe5c5400e6eb342aa124222e94f11eaef5011
aws.sdk.kotlin	geoplaces-jvm	1.3.106	-	df34b7a3fcf4dcec1103c83214bfa82e43094123
aws.sdk.kotlin	geoplaces-jvm	1.3.107	-	9ce45e8e943eb24c7fd18173facc6ee081dacfbc
