activemq	activemq-itest-ear	1.3		b66fd82f47afc0eab984465e228eff299047b461
ch.epfl.lamp	dotty-language-server_0.18	0.18.0-bin-20190723-3540085-NIGHTLY		9fc752697bf6b7c948cce7eacbd76944af583ead
ch.epfl.lamp	dotty-language-server_0.18	0.18.0-bin-20190724-1faa30f-NIGHTLY		3f8ad78e46f998cf6061983c9a1a4affc176ff20
ch.epfl.lamp	dotty-language-server_0.18	0.18.0-bin-20190725-8095c23-NIGHTLY		eb317aa5daaff0eb2189125c72fb5c2f1b3d6a22
ch.epfl.lamp	dotty-language-server_0.18	0.18.0-bin-20190726-232b3fa-NIGHTLY		000b0723ead15c5706f318619f4fb167fd068e62
ch.epfl.lamp	dotty-language-server_0.18	0.18.0-bin-20190727-bc81953-NIGHTLY		b9ce8195b32668f14c0eceef3c289ac47e79d67d
ch.epfl.lamp	dotty-language-server_0.18	0.18.0-bin-20190728-939a07e-NIGHTLY		ca33ab83f3e7e223efe23cef8187649c35ff15a0
ch.epfl.lamp	dotty-language-server_0.18	0.18.0-bin-20190729-0b52037-NIGHTLY		e7c475898096c3322de5b0e0f2b6b4eac5a39eef
ch.epfl.lamp	dotty-language-server_0.18	0.18.0-bin-20190731-5bdab50-NIGHTLY		30a653f9d7e88341665a62e6a0da51ea2f1bf243
ch.epfl.lamp	dotty-language-server_0.18	0.18.0-bin-20190801-b25d17c-NIGHTLY		b886ca066ed7f4007ad709c2db9aa917c8498a45
ch.epfl.lamp	dotty-language-server_0.18	0.18.0-bin-20190802-95ae77c-NIGHTLY		82d918cd1e8422b48f000c50254f3e332e509cc0
ch.epfl.lamp	dotty-language-server_0.18	0.18.0-bin-20190803-36707c7-NIGHTLY		42a6afd60fbfb7d02ca0fd073db3bd84cfd8d4d1
ch.epfl.lamp	dotty-language-server_0.18	0.18.0-bin-20190804-10e3990-NIGHTLY		fca72a1e1949792545b2269f185122373cdf889e
ch.epfl.lamp	dotty-language-server_0.18	0.18.0-bin-20190805-c770869-NIGHTLY		51da652c96dfc480c37d8dcc5de35f7ad4b0a331
ch.epfl.lamp	dotty-language-server_0.18	0.18.0-bin-20190806-a0c370a-NIGHTLY		fba57a0ab9860a21920852ce669c6fbf9392047c
ch.epfl.lamp	dotty-language-server_0.18	0.18.0-bin-20190807-963719e-NIGHTLY		56adfd165b6bf4857d6fae674d442cf44cd8924d
ch.epfl.lamp	dotty-language-server_0.18	0.18.0-bin-20190808-259ee05-NIGHTLY		f36352e46a0a7950630fbdac7d48a52be8fd32d0
ch.epfl.lamp	dotty-language-server_0.18	0.18.0-bin-20190809-b1f6bb2-NIGHTLY		0063cc9750863c6ae8131909cd2e32fd0d0f0895
ch.epfl.lamp	dotty-language-server_0.18	0.18.0-bin-20190810-ec51eb0-NIGHTLY		c17bbb3ad836f008090698d180ee952efeec6eab
ch.epfl.lamp	dotty-language-server_0.18	0.18.0-bin-20190811-b221132-NIGHTLY		16d476c93128932b8b524b59f14d5f245cfa27b9
ch.epfl.lamp	dotty-language-server_0.18	0.18.0-bin-20190812-0ebbcff-NIGHTLY		03a21a09a906ee7d3e1c18e05d278899621f1ca8
ch.epfl.lamp	dotty-language-server_0.18	0.18.0-bin-20190814-0f4d3b2-NIGHTLY		b8b3a1b3f8216e9db64910582b6be0c8207d0465
ch.epfl.lamp	dotty-language-server_0.18	0.18.0-bin-20190816-ff43160-NIGHTLY		cbc7b2bea9e0080c84c4550d3d8f7ef28f83be33
ch.epfl.lamp	dotty-language-server_0.18	0.18.0-bin-20190817-848a1cd-NIGHTLY		78f5dced35e880013f94f9f4186fed503d528214
ch.epfl.lamp	dotty-language-server_0.18	0.18.0-bin-20190819-2c12b93-NIGHTLY		dbf8ae1bd3945e060db4555c2cfe3e069144a302
