app.msign	qrsign-api	0.7		bd15b3d92a8c76c254ac6b6dc60464e501df2196
br.com.jarch	jarch-faces	23.1.0		17f3f87a9dfcd955ffbd08074afeb6764e8c16c2
br.com.jarch	jarch-faces	23.10.1		b232084ff60e1225b11322f7e96ec5d01e6135e2
br.com.jarch	jarch-faces	23.11.0		42d8cba484b5555d725959c7a5a5f1be969934bc
br.com.jarch	jarch-faces	23.11.1		3eb556fdd02e3a0eb4e7da95a8434cb0bd8f2c3f
br.com.jarch	jarch-faces	23.11.2		e0d6a74ec6f435ab5a222e8da8d5363ff29ee85d
br.com.jarch	jarch-faces	23.12.0		30870a659d89c8e29f596bc6e49819953c5d3042
br.com.jarch	jarch-faces	23.2.0		d3f0ce7c5d234e19ec4acc5781e4a3185c11281a
br.com.jarch	jarch-faces	23.3.0		64b33aafad6a176ecd7b7f490388e345e3be5558
br.com.jarch	jarch-faces	23.4.0		249cf5945823a30901c0174d4132bdeb01b9dcd9
br.com.jarch	jarch-faces	23.5.0		9193ff49b985591646c1b6d92cd55654c2f84da7
br.com.jarch	jarch-faces	23.6.0		0c00117e38efbbb0a4bcffdd8e9202e55280f9f9
br.com.jarch	jarch-faces	23.6.1		6aaad93985d97609cda09ab5b12e324561fe5f0c
br.com.jarch	jarch-faces	23.9.0		b099f4170b18ca05ed4d81966ae1cde2316b1b92
br.com.jarch	jarch-faces	24.1.0		0c8d719ac1a9ba76d7d014c1ff50f09dff8eb131
br.com.jarch	jarch-faces	24.10.0		c8cd328778d46d175e56951347c677bb86ddfed3
br.com.jarch	jarch-faces	24.11.0		61ce049868ac3a84ac0c30ef01744ae463037c36
br.com.jarch	jarch-faces	24.12.0		7b379565f4086b3dfda23e7dd171958a6145eb10
br.com.jarch	jarch-faces	24.2.0		ffbba9d6a3ca221037f756a49c8cd7e9a05e317d
br.com.jarch	jarch-faces	24.3.1		9b3bc4e67a3af7413e02afa3d4f62b56fd328841
br.com.jarch	jarch-faces	24.4.0		4b253f167356cf97421107706c5479905638c3f2
br.com.jarch	jarch-faces	24.4.1		f2a498307a950eeb794330852baf5e123409198d
br.com.jarch	jarch-faces	24.4.2		b08dbb3fe4613f25d5c555fd6880f5bac2df4737
br.com.jarch	jarch-faces	24.5.1		a0ab65bd63afc2582f90673792b6ca432ae62628
br.com.jarch	jarch-faces	24.5.3		8ace48bdcc8c1bc0a722a8ced7362091263e3665
br.com.jarch	jarch-faces	24.6.0		ad5d3c91f8d29d138052a78849e52a17a368a933
br.com.jarch	jarch-faces	24.7.0		5e6ad5e34ee64283f8119e6d8ec12f69fb12c943
br.com.jarch	jarch-faces	24.8.0		023c203b7347485cf3df9baf579c18aeccd92aa3
br.com.jarch	jarch-faces	24.9.0		b604bdea0e005fac81cb89c51d7931d3151467b1
br.com.jarch	jarch-faces	25.1.0		020da1f5bd0aa07ab163600295535edb68f52dc3
br.com.jarch	jarch-faces	25.2.0		e8f12177b0827ce9fe99494c74b081600f07114b
ch.epfl.lamp	dotty-staging_0.27	0.27.0-RC1		f844b1fa06e7a5a385a2386ecc3a311028320ca3
ch.epfl.lamp	dotty-staging_0.27	0.27.0-bin-20200723-eb3b0ac-NIGHTLY		9642bf1cd5febc5a4997016cbb59e80845775c75
