ch.dvbern.oss.datatypes	datatypes	3.0.2		9db01e01a20745abf1b646bbdd62d72b3f0bba40
cn.lovecyy	relaxed-common-idempotent	1.6.0		39f6d2807377bd655e7f1054ccc47f535a46ccbb
co.fs2	fs2-core_sjs0.6_2.12	0.10.0		b4da30d392059fbc88cf6950b9903c23d9d48774
co.fs2	fs2-core_sjs0.6_2.12	0.10.0-M1		5a932204ab979fa5bdad8ca9fe1661a031d1715a
co.fs2	fs2-core_sjs0.6_2.12	0.10.0-M10		6be9ca63e0f183e0e540a72d4ddfc5e4d3ce2f0d
co.fs2	fs2-core_sjs0.6_2.12	0.10.0-M11		34de9b29a755e82cbf37fe6c547b03c26c2c65cd
co.fs2	fs2-core_sjs0.6_2.12	0.10.0-M2		15ba84bc55dc19279c1dbae6fd5f7327582e0ca5
co.fs2	fs2-core_sjs0.6_2.12	0.10.0-M3		657964a15d95166d1c6177d95050128dfcc755a7
co.fs2	fs2-core_sjs0.6_2.12	0.10.0-M4		a8aff89ac8390f1dd60e23f326e0ee85ca31ebc9
co.fs2	fs2-core_sjs0.6_2.12	0.10.0-M5		b17773a66c638cb1402a5476f35a3095891ef422
co.fs2	fs2-core_sjs0.6_2.12	0.10.0-M6		09b65c0680fe2a0a55da939a6c926afe163d4475
co.fs2	fs2-core_sjs0.6_2.12	0.10.0-M7		8cf40f53f1cb52b2b0551c5d95acbc2332e784fb
co.fs2	fs2-core_sjs0.6_2.12	0.10.0-M8		0085784d60aedb8091fc246eb23db3e45a7ebefb
co.fs2	fs2-core_sjs0.6_2.12	0.10.0-M9		0ad4db20a6c99a78ea37046f70e254f76c844695
co.fs2	fs2-core_sjs0.6_2.12	0.10.0-RC1		2dc42705f8c442812a685890db8ef723e6006814
co.fs2	fs2-core_sjs0.6_2.12	0.10.0-RC2		3602330dcabf275397bb7a472967e2524dcdd5a1
co.fs2	fs2-core_sjs0.6_2.12	0.10.1		576edd25960d5af911e8c0744b64813012cac72d
co.fs2	fs2-core_sjs0.6_2.12	0.10.2		70555dec03ec4908e00b66e22ad93daf527ac37c
co.fs2	fs2-core_sjs0.6_2.12	0.10.3		20684f664bb37257b0a5e38e72ce8b7c51ff11b1
co.fs2	fs2-core_sjs0.6_2.12	0.10.4		b0d86d9ef5fe51bc27eed9679d15cb111bb89786
co.fs2	fs2-core_sjs0.6_2.12	0.10.5		d471bcfa4c2dc6eb5814df74edf69f54612b7f88
co.fs2	fs2-core_sjs0.6_2.12	0.10.6		1b377bc44abef06926e81d2a9370c3c676c75b33
co.fs2	fs2-core_sjs0.6_2.12	0.10.7		a222fa70ea90f10826a5fab7f625087754208555
co.fs2	fs2-core_sjs0.6_2.12	0.9.2		6607be23bce115520c6796d852193881692083d4
co.fs2	fs2-core_sjs0.6_2.12	0.9.3		b6d8085d56dcbd496678967f4d62547c12c1fa8e
co.fs2	fs2-core_sjs0.6_2.12	0.9.4		e822a58ea54a86fae25a11963027969c9581b2ef
co.fs2	fs2-core_sjs0.6_2.12	0.9.5		38987daa9a86ac25ebdb629b582eb51a1eacec6d
co.fs2	fs2-core_sjs0.6_2.12	0.9.5-RC1		ed069c9931bda168048ab55c8c7ad2790a2e6367
co.fs2	fs2-core_sjs0.6_2.12	0.9.6		4ce4925d36fb6f765aca75984e46f2fb587e6285
co.fs2	fs2-core_sjs0.6_2.12	0.9.7		baacf6d71342a6fc1b1d1016b9ca566bb542c2d9
co.fs2	fs2-core_sjs0.6_2.12	1.0.0		13e58b5db51c3ec7d229c668fabf50e1d57183b4
co.fs2	fs2-core_sjs0.6_2.12	1.0.0-M1		eb4c07bc64c3964582bf35ee9c25297677b01705
co.fs2	fs2-core_sjs0.6_2.12	1.0.0-M2		8cb03a0a950eb652214d99cfabccb38b99927b0a
co.fs2	fs2-core_sjs0.6_2.12	1.0.0-M3		e6cf47eb2215d8de160740c117122384e4ff5d60
co.fs2	fs2-core_sjs0.6_2.12	1.0.0-M4		22ab0087aa85b2bbba694d9641dca4423fd8a44a
co.fs2	fs2-core_sjs0.6_2.12	1.0.0-M5		bbb828b60a9c047880556038aa70576baaba2bdd
co.fs2	fs2-core_sjs0.6_2.12	1.0.0-RC1		d6072c7b2ccc0b3fdc6daef7f8958720f7db7ab4
co.fs2	fs2-core_sjs0.6_2.12	1.0.0-RC2		5d43d0410a4ab40496fc54e1c44f2cc8402de22e
co.fs2	fs2-core_sjs0.6_2.12	1.0.1		3e638f2b6cb635551b54282bd8dcd10b4cbd6868
co.fs2	fs2-core_sjs0.6_2.12	1.0.2		2533b0ff7e88869c7ac5148a839bcd86a948dbb8
co.fs2	fs2-core_sjs0.6_2.12	1.0.3		6ee8fdb76011fc7d19aae1ab88593c80968060d3
co.fs2	fs2-core_sjs0.6_2.12	1.0.4		91d032d3f74c18ff45b5cbbc1c89e8c933d064e2
co.fs2	fs2-core_sjs0.6_2.12	1.0.5		b9b7f80661a0108fb8fd13ae2945f9c335e60dd1
co.fs2	fs2-core_sjs0.6_2.12	1.1.0-M1		a4a6dfc9e8fe89cc3acb6eba30067f69203cd5a7
co.fs2	fs2-core_sjs0.6_2.12	1.1.0-M2		b7de8f60270ed437548b6e997c2a94f2e1a113c3
