ch.mobi.mobitor	mobitor-doc	3.1.13		N/A
cn.ljserver.tool	web-office-v3-solon-plugin	1.0.0		ec47c2706ecb5d20bf444b523b18f2b5fef68c98
cn.ljserver.tool	web-office-v3-solon-plugin	1.0.1		39a4fcddde37d3e1cfd8a7a7768fcc804ce1d15c
cn.ljserver.tool	web-office-v3-solon-plugin	2.0.0		676764255a444dd9725c0dc3f136406871f293a7
com.alibaba.druid	druid-wrapper	0.2.7		c8cbfca18f56eabfb5e7748d746eaa7d21a262ea
com.alibaba.druid	druid-wrapper	0.2.8		5262f7731add4ea2b344d14063f0607bcb52f968
com.alibaba.druid	druid-wrapper	0.2.9		0426ed97b0e873ab73cf04b562cfdf9cce8d69d1
com.aliyun.datahub	aliyun-sdk-datahub	2.1.1-public		9b34c0139e789d78b3dbba249ca355cbf37daa2a
com.aliyun.datahub	aliyun-sdk-datahub	2.12.0-public		4c70811ee0828045f89bc21d5916d7de826f8de4
com.aliyun.datahub	aliyun-sdk-datahub	2.12.1-public		069391fad05171608b105b89ce8210de8ec20a5c
com.aliyun.datahub	aliyun-sdk-datahub	2.12.2-public		1a7cee711aeadb3ffc3a28136f7659a28062d211
com.aliyun.datahub	aliyun-sdk-datahub	2.12.3-public		ecd00cd3ae1ae2ca944a72e05d5cd9ceac797601
com.aliyun.datahub	aliyun-sdk-datahub	2.12.4-public		fc84f8f0cd3ca10f21f394d194e4320ae04c2ebb
com.aliyun.datahub	aliyun-sdk-datahub	2.12.4-shaded		5922c1cbb09ddf3051a0dc286ca107532d161e1d
com.aliyun.datahub	aliyun-sdk-datahub	2.13.0-public		9144fb44a4a2d74bf799f3203ff7118bd5d328ec
com.aliyun.datahub	aliyun-sdk-datahub	2.13.1-public		69f2a0aafc32e1d5d3aa837a480a22088558449b
com.aliyun.datahub	aliyun-sdk-datahub	2.15.0-public		57a5280dc7dce73d4371dc196900569ac52b0f94
com.aliyun.datahub	aliyun-sdk-datahub	2.16.0-public		4e647ade696343b6a92172d06074608482185f18
com.aliyun.datahub	aliyun-sdk-datahub	2.16.1-public		7aced9357a376ed5d711705570fa6129db38d4ae
com.aliyun.datahub	aliyun-sdk-datahub	2.17.1-public		0d9b7c0a3bbeff614871fa80e4a442761fd8bab8
com.aliyun.datahub	aliyun-sdk-datahub	2.18.0-public		26e50ba15a28b164856678cae2a7bca0a0b7a9c8
com.aliyun.datahub	aliyun-sdk-datahub	2.18.1-public		89eacb73924085d9d529eadd3b5962ab90eced61
com.aliyun.datahub	aliyun-sdk-datahub	2.18.2-public		6708dfc49203a0f7effc53c2f69d0adc381c2d8c
com.aliyun.datahub	aliyun-sdk-datahub	2.18.3-public		8b9a5f50db512f9b0397d6ed0f32d22ed57950ea
com.aliyun.datahub	aliyun-sdk-datahub	2.18.4-public		0295815aed913a706597d9dfab1edb985a9cfc5b
com.aliyun.datahub	aliyun-sdk-datahub	2.19.0-public		b3d76f6fe68b9916766d68dd80b008406614afaa
com.aliyun.datahub	aliyun-sdk-datahub	2.19.1-public		efd9230c7882c5089f134f4845a6d1f6d723e538
com.aliyun.datahub	aliyun-sdk-datahub	2.19.2-public		000e2ad73b2c99d84168e6d58ef46896745877fa
com.aliyun.datahub	aliyun-sdk-datahub	2.19.3-public		68580c91642a2b74d227a70f35e22d228f449aa4
com.aliyun.datahub	aliyun-sdk-datahub	2.21.2-public		e797de5ac815291158c5bb442ff1ba9f4c172fab
com.aliyun.datahub	aliyun-sdk-datahub	2.21.6-public		2de24df2702fda2ddbcedfab21dd14b521882619
com.aliyun.datahub	aliyun-sdk-datahub	2.23.8		36234b7df026eed53a3d5487430f639473004285
com.aliyun.datahub	aliyun-sdk-datahub	2.24.8		N/A
com.aliyun.datahub	aliyun-sdk-datahub	2.24.9		8b93be3fe04a089584500254f3e322f4eec75d38
com.aliyun.datahub	aliyun-sdk-datahub	2.25.1		ff6422467df8c143d246ed6dcfdcb5b739dfee03
com.aliyun.datahub	aliyun-sdk-datahub	2.25.3		fd89b4b5d3647278038e69cc065bdcafb7503ebb
com.aliyun.datahub	aliyun-sdk-datahub	2.25.6		a2042ff6719e05ff91ea82aa04fe255a2ea60f01
com.aliyun.datahub	aliyun-sdk-datahub	2.3.0-public		ef9a6d2ea77f0f9ea60c0de3ec7d90ffd55bc6b5
com.aliyun.datahub	aliyun-sdk-datahub	2.6.1-public		6007e8178ec503311a35a5af476bb327632f46e8
com.aliyun.datahub	aliyun-sdk-datahub	2.8.3-public		09d7e9224e4ebd5eb5f4b284c73604846e5d843b
com.aliyun.datahub	aliyun-sdk-datahub	2.8.4-public		b2f59f1abb829545a13335be1851af427a5274f3
com.aliyun.datahub	aliyun-sdk-datahub	2.8.5-public		161ac3fd98dbf8189e6504831bf877a27d3ebf4c
com.aliyun.datahub	aliyun-sdk-datahub	2.9.0-public		587f6cef3fe8715e6c93f78dcf7312a37d254ee8
com.aliyun.datahub	aliyun-sdk-datahub	2.9.1-public		0726932e6d71aac388ccab8b02ff49640164bb93
com.aliyun.datahub	aliyun-sdk-datahub	2.9.2-public		0e3a2ab01f0a9e0430edd812e7273c2f59fbe005
com.aliyun.datahub	aliyun-sdk-datahub	2.9.3-public		N/A
com.aliyun.datahub	aliyun-sdk-datahub	2.9.4-public		b6ce5ffd6c93c00ac2de3d8866f117104efaf0cd
com.aliyun.datahub	aliyun-sdk-datahub	2.9.6-public		1bf9c6a3cc62ca2c252459d0af614a5ee32dc6f3
com.aliyun.datahub	aliyun-sdk-datahub	2.9.7-public		aa071bd5dc586b1fe3d2f815cd51230e6717d6d7
com.aliyun.datahub	aliyun-sdk-datahub	2.9.8-public		7e171b0d0bc93f415e359833561ae0ae6d5cd475
com.antgroup.antchain.openapi	openapi-ak_24a703480f9e4f66a323e7a1441ec56b	1.0.0		378bcd297957bd3e5cd09c2070479469a97dbcad
com.axway.ats.framework.agent.webapp	ats-agent-webapp	4.0.0		N/A
com.axway.ats.framework.agent.webapp	ats-agent-webapp	4.0.0-SHAPSHOT		N/A
com.axway.ats.framework.agent.webapp	ats-agent-webapp	4.0.2		N/A
com.axway.ats.framework.agent.webapp	ats-agent-webapp	4.0.3		N/A
com.axway.ats.framework.agent.webapp	ats-agent-webapp	4.0.4		N/A
com.axway.ats.framework.agent.webapp	ats-agent-webapp	4.0.5		N/A
com.axway.ats.framework.agent.webapp	ats-agent-webapp	4.0.6		N/A
