black.door	jose-2.13.0-json-play-2.12.8_2.12	0.3.0-M1		3cf282554a222853331fbbff10ef67f380df2e02
com.akexorcist	google-direction-library	1.2.1		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-iosarm64	4.0.0		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-iosarm64	4.0.0	metadata	a51ea952ef937141ba51e4f9b9c3b4fb66d35cb6
com.apollographql.apollo	apollo-normalized-cache-sqlite-iosarm64	4.0.0-rc.1		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-iosarm64	4.0.0-rc.1	metadata	a9fa44b4f634b6dcbc34190730ebe03791b95265
com.apollographql.apollo	apollo-normalized-cache-sqlite-iosarm64	4.0.0-rc.2		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-iosarm64	4.0.0-rc.2	metadata	f8f61a5707ceed4e4d1c26ed71a2b614270a886a
com.apollographql.apollo	apollo-normalized-cache-sqlite-iosarm64	4.0.1		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-iosarm64	4.0.1	metadata	174ce89dde1f0dc743d3caa7ac823fe38864a223
com.apollographql.apollo	apollo-normalized-cache-sqlite-iosarm64	4.1.0		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-iosarm64	4.1.0	metadata	96843531ed70af2e2ecbd34d6f1e7b3b08c0a361
com.apollographql.apollo	apollo-normalized-cache-sqlite-iosarm64	4.1.1		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-iosarm64	4.1.1	metadata	3230c717adcab73dd93d7f9c46a7da9e95934253
com.apollographql.apollo	apollo-normalized-cache-sqlite-iosarm64	4.2.0		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-iosarm64	4.2.0	metadata	72be629aa50bdc2f09570f108e94b67b8ebdc7f3
com.azure.resourcemanager	azure-resourcemanager-scvmm	1.0.0		315a453af7835bb327681853a10bb6a2db66b3ed
com.azure.resourcemanager	azure-resourcemanager-scvmm	1.0.0-beta.1		24743cb72db148f954131a6c27df5e2c2df7537f
com.codenuity.jboss	jboss-modules-builder	1.0		b36a0a722b1886a0b0d6877026483683aadd5209
com.codenuity.jboss	jboss-modules-builder	1.1		8f1c8968f583cfb62a85c6055c3805045470ba17
com.creditdatamw.labs	zerocell-parent	0.2.5		N/A
com.creditdatamw.labs	zerocell-parent	0.3.0		N/A
com.creditdatamw.labs	zerocell-parent	0.3.2		N/A
com.creditdatamw.labs	zerocell-parent	0.4.0		N/A
com.creditdatamw.labs	zerocell-parent	0.4.1		N/A
com.creditdatamw.labs	zerocell-parent	0.5.1		N/A
com.disneystreaming.smithy	aws-cloudsearch-domain-spec	2023.02.09		5705f7e96a4852d4d4d10f3d0d11d8bca170681e
com.disneystreaming.smithy	aws-cloudsearch-domain-spec	2023.02.10		093be4196a71aced617f94ce1a4e2b7a994c6462
com.disneystreaming.smithy	aws-cloudsearch-domain-spec	2023.09.22		ac594a842593c6812f878e8e59c4f6d4c72050fc
com.disneystreaming.smithy	aws-cloudsearch-domain-spec	2023.14.24		43996afb306052f16f216a28782bf827b3b4acd1
com.disneystreaming.smithy	aws-cloudsearch-domain-spec	2023.22.04		d86d345865dda2b08ffe8e6612bba74ded8e29cf
