ai.nextbillion	android-sdk	0.3.4		N/A
app.cash.chronicler	chronicler-player	1.0.1		f5089980814e11bebbbbf59d2a71a1898cd7c0fc
app.cash.chronicler	chronicler-player	1.0.1	all	b89f88ff11b164e2397d3042daf07b9c49a9f74e
ch.acanda.maven	spring-banner-plugin	0.1		9a7d7f4fdf90de844807d9c06884faaecc48d56b
ch.acanda.maven	spring-banner-plugin	1.0		432b98cee6dc4350acf7441377da513b4c2f9c9f
ch.acanda.maven	spring-banner-plugin	1.1		22a72f20d9d260c2e4998126f2e175b2a7688f67
ch.acanda.maven	spring-banner-plugin	1.2		02e144d43e268393f330da2d9deb0bde57bd47a2
ch.acanda.maven	spring-banner-plugin	1.3		665642bc28f5e0a897bb0d9ddb4e454428d05541
ch.acanda.maven	spring-banner-plugin	1.3.1		3581d1c648ee10da4ce3e4590cd4177647c708ab
ch.acanda.maven	spring-banner-plugin	1.4.0		53ed5231c0d3353344192e4b89e1f1e4bd2b2f93
ch.acanda.maven	spring-banner-plugin	1.5.0		fafac355585a892388de74662ccec55cb65bfe44
ch.acanda.maven	spring-banner-plugin	1.5.1		52bf196a95c9eb07b3c9c1919ae92cb1b4c98d00
ch.acanda.maven	spring-banner-plugin	1.5.2		e0755adecb49713329040c83343e00577e9a8068
ch.acanda.maven	spring-banner-plugin	1.6.0		85286be177a886c05d69a8a629db1930ea6c1fdf
ch.sbs.preptools	wordhierarchy	1.5		79a7aaf62b2364737630b2fcb2d6392c07985583
cloud.piranha.extension	piranha-extension-eclipse-soteria	24.10.0		da7b6d5c1ae11f2cbafb5584b6faa6cee6365c8f
cloud.piranha.extension	piranha-extension-eclipse-soteria	24.2.0		dd0a6c0661da6b7a39d0f1a5a1e9c368aa7657df
cloud.piranha.extension	piranha-extension-eclipse-soteria	24.3.0		00cc8b405a58f8c74adbeea2efb0e5073db355ed
cloud.piranha.extension	piranha-extension-eclipse-soteria	24.4.0		3049ee23b8f54ebf00f1b2820459e65a2a76e172
cloud.piranha.extension	piranha-extension-eclipse-soteria	24.5.0		95356e3e6f305ed6fde1e88b8784f7df148fa1c4
cloud.piranha.extension	piranha-extension-eclipse-soteria	24.6.0		572cde65a4a2ffbdd8a397702700538988488f10
cloud.piranha.extension	piranha-extension-eclipse-soteria	24.7.0		7594a2318a2c46f4a2e271c1b92afb5ea5c0232d
cloud.piranha.extension	piranha-extension-eclipse-soteria	24.8.0		32c41d3ea4abaafba374447d8636267735d8f24e
cloud.piranha.extension	piranha-extension-eclipse-soteria	24.9.0		94c78ee7e508a4a318695fabce7ef56fc7f212b7
com.bitbreeds.p2p	simple-peer-kt-ext	0.1		22a7e98c2c2c061bc2393f5fae7664714ba51409
com.coherentlogic.treasurydirect.client	treasurydirect-client-core	0.8.5-RELEASE		bc11ba3409f4f8501d7b5823996e4949fed6efd2
com.coherentlogic.treasurydirect.client	treasurydirect-client-core	0.8.6-RELEASE		c7f511899cb7c1481274f42ae4625454b60847c3
com.coherentlogic.treasurydirect.client	treasurydirect-client-core	2.0.2.1-RELEASE		6fae7658fa95916b2712a410c9f15d8de52be575
com.coherentlogic.treasurydirect.client	treasurydirect-client-core	2.0.3-RELEASE		8e43a9fc2883aca66fae6b76f1c2ab9aec109064
com.daugeldauge.kinzhal	kinzhal-annotations-macosx64	0.0.2		N/A
com.daugeldauge.kinzhal	kinzhal-annotations-macosx64	0.0.2	metadata	bbbdbd4db778e50a16a71417e91df56a34384448
com.daugeldauge.kinzhal	kinzhal-annotations-macosx64	0.0.3		N/A
com.daugeldauge.kinzhal	kinzhal-annotations-macosx64	0.0.3	metadata	70a33955b0a656472df9272d1d255389e6c8c574
com.daugeldauge.kinzhal	kinzhal-annotations-macosx64	0.0.4		N/A
com.daugeldauge.kinzhal	kinzhal-annotations-macosx64	0.0.4	metadata	73105162dd6ba54bc4b50aac74d481e5d96b70e3
com.daugeldauge.kinzhal	kinzhal-annotations-macosx64	0.0.5		N/A
com.daugeldauge.kinzhal	kinzhal-annotations-macosx64	0.0.5	metadata	604e166c0bb81064d5bc38f9e55eddcf2996de1c
com.daugeldauge.kinzhal	kinzhal-annotations-macosx64	0.0.6		N/A
com.daugeldauge.kinzhal	kinzhal-annotations-macosx64	0.0.6	metadata	10fbb0d6c00e4f53d9e91685adb15ce5dbae990e
com.diglol.crypto	common-watchossimulatorarm64	0.1.0		N/A
com.diglol.crypto	common-watchossimulatorarm64	0.1.0	metadata	2a673b3e0aafde69d90b4d7fda4a2da66b6f264a
com.diglol.crypto	common-watchossimulatorarm64	0.1.1		N/A
com.diglol.crypto	common-watchossimulatorarm64	0.1.1	metadata	321e1b21153ea88eb041b35d281481cc899e4274
com.diglol.crypto	common-watchossimulatorarm64	0.1.2		N/A
com.diglol.crypto	common-watchossimulatorarm64	0.1.2	metadata	3bbc43ea7c8ae37bd1c9955a9bfbd439bf1f9956
com.diglol.crypto	common-watchossimulatorarm64	0.1.3		N/A
com.diglol.crypto	common-watchossimulatorarm64	0.1.3	metadata	33b92dabbff15a8164454bbe278fe52ac60bcd76
com.diglol.crypto	common-watchossimulatorarm64	0.1.4		N/A
com.diglol.crypto	common-watchossimulatorarm64	0.1.4	metadata	de3e2eee21f97dfbdeddd81048f51309e46c66d1
com.diglol.crypto	common-watchossimulatorarm64	0.1.5		N/A
com.diglol.crypto	common-watchossimulatorarm64	0.1.5	metadata	5593997ee387d5f136354eb030443723f61bc294
com.diglol.crypto	common-watchossimulatorarm64	0.2.0		N/A
com.diglol.crypto	common-watchossimulatorarm64	0.2.0	metadata	7b01b5b250d6597d345ec9d1806ed19db499904a
com.dimajix.flowman	flowman-plugin-mysql	0.19.0		7206248ce83eb158cf25fef2b6df73e257c1043b
com.dimajix.flowman	flowman-plugin-mysql	0.19.0-cdh6-spark2.4-hadoop3.0		79d6be2d80f0d696efd1139e5946b4005ac2fa97
