ai.vocale	vocale	1.0.0		N/A
aws.sdk.kotlin	codecatalyst-jvm	0.19.1-beta		0d19bdf2698da1a0be4995eedbe271166a064e6f
aws.sdk.kotlin	codecatalyst-jvm	0.19.2-beta		1e66c2ae5833002a5edd82561981cf38b1844105
aws.sdk.kotlin	codecatalyst-jvm	0.19.3-beta		dcc85b94a511fb7212fcab6c3f95b1b0b3d5035c
aws.sdk.kotlin	codecatalyst-jvm	0.19.4-beta		69bf68ab9864fac451643780546928ab243493e3
aws.sdk.kotlin	codecatalyst-jvm	0.19.5-beta		b836d0d73697a336b0ff39ef4ca37f8a50745c1b
aws.sdk.kotlin	codecatalyst-jvm	0.20.0-beta		5b69a5ebf1ef83df0b18039be5b2c55e0d2d51aa
aws.sdk.kotlin	codecatalyst-jvm	0.20.1-beta		7502bff18e7a72694bd341276baeab2a40909459
aws.sdk.kotlin	codecatalyst-jvm	0.20.2-beta		5956ff28463ea147138e70a20eee401a9f7a98a1
aws.sdk.kotlin	codecatalyst-jvm	0.20.3-beta		e6193245b823b1b12c148fcb6c5891bc2f626f8f
aws.sdk.kotlin	codecatalyst-jvm	0.21.0-beta		c498e315d3819366345c27f00a417154de8ecdfc
aws.sdk.kotlin	codecatalyst-jvm	0.21.1-beta		0732af0163e1f3793311c20e4c676c91cac70b74
aws.sdk.kotlin	codecatalyst-jvm	0.21.2-beta		90dd11ef429606c15fa27865ca6f229b45838897
aws.sdk.kotlin	codecatalyst-jvm	0.21.3-beta		5f5e6e8a7cc0c006fac0867e30a35f70bf2efb94
aws.sdk.kotlin	codecatalyst-jvm	0.21.4-beta		896ba4c27b6cc0cc3182709406c68708499d6138
aws.sdk.kotlin	codecatalyst-jvm	0.21.5-beta		7bbbb75c19cb606a32f9cd22b0ca8b1010473f4a
aws.sdk.kotlin	codecatalyst-jvm	0.22.0-beta		05fa0de7320c6b606739c9d4e5fde46f8ceb430d
aws.sdk.kotlin	codecatalyst-jvm	0.22.1-beta		572af996fe8efc94df2721060a8f5b0a6a7fe349
