ai.chat2db.excel	easyexcel-plus-parent	0.0.1		N/A
at.stefangeyer.challonge	core	2.0		9a6f516fab3a5d3ec02db1bdce0f40ab7ff79278
at.stefangeyer.challonge	core	2.0.1		ddd4ecc6ecc532638bc56e6b22015fe35bc64d87
at.stefangeyer.challonge	core	2.1.0		4e82c516ee316d116513f4e0215f3cf38ccc3ebd
bg.codexio.ai	openai-api-sdk	0.8.0.BETA		a245cda4a7d38488b6c49dc22791ed4be3ddd031
bg.codexio.ai	openai-api-sdk	0.8.0.BETA-JDK11		a3069a1cb411ce3df14bb029de24a273742b0d04
bg.codexio.ai	openai-api-sdk	0.8.0.BETA-JDK17		33e92beeb4e5325a104e3023528ccedfd4e2edca
bg.codexio.ai	openai-api-sdk	0.8.1.BETA		c9588412565dd0862e921661d3512da1f045b8a1
bg.codexio.ai	openai-api-sdk	0.8.1.BETA-JDK11		4294a565beb509f670e90e7b4c9a7ff284401385
bg.codexio.ai	openai-api-sdk	0.8.1.BETA-JDK17		088ab1d975aa5d8a86247f4e1b3411fe2d692b0f
bg.codexio.ai	openai-api-sdk	0.9.0.BETA		315f91a76a86b248196ee6da8f661345951436f6
bg.codexio.ai	openai-api-sdk	0.9.0.BETA-JDK17		233fc28b94bfe25a4bdc2bb6a88cb4c5e4d8dc29
com.armanbilge	scalajs-importmap_2.12	0.1.0		4ee845f226774f372eaffa517ed168c1897bc024
com.armanbilge	scalajs-importmap_2.12	0.1.1		7d56cf870c83463df0d3f6debc01179a50be42cb
com.avenida.banten	banten-hibernate	1.0		b70e212720d94319dc897f92e9be0d0457b3bc49
com.badoo.reaktive	reaktive-annotations-tvosx64	1.2.1		N/A
com.badoo.reaktive	reaktive-annotations-tvosx64	1.2.2		N/A
com.badoo.reaktive	reaktive-annotations-tvosx64	1.2.2	metadata	81966eaad66040605e5014da547409a0e92c748c
com.badoo.reaktive	reaktive-annotations-tvosx64	1.2.3		N/A
com.badoo.reaktive	reaktive-annotations-tvosx64	1.2.3	metadata	387e8743be9e4dd9e68c3e86d1d7296afd24dd58
com.badoo.reaktive	reaktive-annotations-tvosx64	1.3.0		N/A
com.badoo.reaktive	reaktive-annotations-tvosx64	1.3.0	metadata	7ac0737bbfd747cb34c708647115b6d39d549bfc
com.badoo.reaktive	reaktive-annotations-tvosx64	2.0.0		N/A
com.badoo.reaktive	reaktive-annotations-tvosx64	2.0.0	metadata	cdc08d532bc2cb0b2e407c544e84530c9d295625
com.badoo.reaktive	reaktive-annotations-tvosx64	2.0.0-alpha01		N/A
com.badoo.reaktive	reaktive-annotations-tvosx64	2.0.0-alpha01	metadata	35015cd1109b1b335500f75f2efa832356088653
com.badoo.reaktive	reaktive-annotations-tvosx64	2.0.0-beta01		N/A
com.badoo.reaktive	reaktive-annotations-tvosx64	2.0.0-beta01	metadata	7b951b643f18543b9bb6d853776252cdeaddf42f
com.badoo.reaktive	reaktive-annotations-tvosx64	2.0.1		N/A
com.badoo.reaktive	reaktive-annotations-tvosx64	2.0.1	metadata	953027b736dc54811186eb991fdb45a320ab9317
com.badoo.reaktive	reaktive-annotations-tvosx64	2.1.0		N/A
com.badoo.reaktive	reaktive-annotations-tvosx64	2.1.0	metadata	fad3e782bcff16e6a051d3af0706e7a321f23fd2
com.badoo.reaktive	reaktive-annotations-tvosx64	2.1.0-beta01		N/A
com.badoo.reaktive	reaktive-annotations-tvosx64	2.1.0-beta01	metadata	7a673b500fee4e9031fccd67fc9f90e1d6c4d4af
com.badoo.reaktive	reaktive-annotations-tvosx64	2.2.0		N/A
com.badoo.reaktive	reaktive-annotations-tvosx64	2.2.0	metadata	5ff3b817edf0051401d1369cb3b86b04f2cf4535
com.badoo.reaktive	reaktive-annotations-tvosx64	2.3.0		N/A
com.badoo.reaktive	reaktive-annotations-tvosx64	2.3.0	metadata	0699ef4cef8123b6cfef2a97aada6fbc76416f2e
com.dottydingo.hyperion.dependency	dependency-jpa	1.1.0-EA1		N/A
com.dottydingo.hyperion.dependency	dependency-jpa	2.0.0		N/A
com.dottydingo.hyperion.dependency	dependency-jpa	2.0.0-EA1		N/A
com.dottydingo.hyperion.dependency	dependency-jpa	2.0.0-EA2		N/A
com.dottydingo.hyperion.dependency	dependency-jpa	2.0.0-EA3		N/A
com.garethevans.plugin	patch-maven-plugin	0.0.7		3cd1c2ebe977e6b8b893200a8babc57a27cf6218
com.gitee.chinasoft_ohos	Ohos-DragDismissAbility	1.0.0		N/A
com.gitee.chinasoft_ohos	ohos-swipe-to-dismiss-undo	1.0.0		N/A
com.github.7moor-tech	react-native-immersive-mode	2.0.1-jitsi-19686623		N/A
