com.github.triceo.robozonky.installer	robozonky-installer-app	4.0.0-beta-2	dist	62790f62b7e20244fc8eab02cfa99bb59714bff7
com.github.triceo.robozonky.installer	robozonky-installer-app	4.0.0-beta-4		N/A
com.github.triceo.robozonky.installer	robozonky-installer-app	4.0.0-beta-4	dist	401d0548bc5aebb68412b2c4f2b92658b8a10205
com.github.triceo.robozonky.installer	robozonky-installer-app	4.0.0-beta-5		N/A
com.github.triceo.robozonky.installer	robozonky-installer-app	4.0.0-beta-5	dist	9d63404cdcf53095992f0df1f7a391f117f8cba4
com.harium.gdx	gdx-backend-jogl	1.9.7		93f0a253a8da2f336ccc2f99294e7847c7d9fa03
com.harium.gdx	gdx-backend-jogl	1.9.8		bf0bb9c5152128c0dfcc553c8af6f569293f5708
com.harium.gdx	gdx-backend-jogl	1.9.9		802e47ce41bf56e3ce2de6133b53f6d35da1959e
com.hexascribe	vertexai-kt-iosarm64	0.0.1		N/A
com.hexascribe	vertexai-kt-iosarm64	0.0.1	metadata	5a0b46e15c33e7cc0e1c6ba9e2d0ae6c802aa5c4
com.hexascribe	vertexai-kt-iosarm64	1.0.0		N/A
com.hexascribe	vertexai-kt-iosarm64	1.0.0	metadata	5a0b46e15c33e7cc0e1c6ba9e2d0ae6c802aa5c4
com.io7m.kstructural	io7m-kstructural-latex	0.1.0		6a677bf5b91986c46109f00fe075cfec6f660f63
com.io7m.kstructural	io7m-kstructural-latex	0.2.0		d783f0824646bd57f3a91edf7811f763a0d8eeb7
com.io7m.kstructural	io7m-kstructural-latex	0.3.0		b06ae72bd5340215224fe9e6ddc1d6656a1994ee
com.io7m.kstructural	io7m-kstructural-latex	0.3.1		b3d83c25bcf7ed13d2c2b6887db1de0a55b019b3
com.lightbend.play	lagom-scaladsl-grpc-testkit_2.13	0.8.2		f7e44676dae626cb52a1e69fd3a441f64f7244fa
com.lightbend.play	lagom-scaladsl-grpc-testkit_2.13	0.8.3		5a9d3222057481d5740424558cf675e95e3b6bb3
com.lightbend.play	lagom-scaladsl-grpc-testkit_2.13	0.9.0		ce0e3a8bfd4b1d77e41d7eac19f1619a7ecbfc6e
com.lightbend.play	lagom-scaladsl-grpc-testkit_2.13	0.9.1		a8363f7f2a69f09635be2356e9917ce172cc8ecf
com.linkedin.iceberg	iceberg-spark2	0.11.1.1		b048d02ad09522c3a3f66f7d65c6f0c7eeb34dd2
com.linkedin.iceberg	iceberg-spark2	0.11.1.11		b048d02ad09522c3a3f66f7d65c6f0c7eeb34dd2
com.linkedin.iceberg	iceberg-spark2	0.11.1.12		b048d02ad09522c3a3f66f7d65c6f0c7eeb34dd2
com.linkedin.iceberg	iceberg-spark2	0.11.1.13		b048d02ad09522c3a3f66f7d65c6f0c7eeb34dd2
com.linkedin.iceberg	iceberg-spark2	0.11.1.14		b048d02ad09522c3a3f66f7d65c6f0c7eeb34dd2
com.linkedin.iceberg	iceberg-spark2	0.11.1.15		b048d02ad09522c3a3f66f7d65c6f0c7eeb34dd2
