ch.sbb.maven.archetypes	iib9-maven-projects	1.0		53e3f6bbfcdb30e55cd64e1e0a206f77bec9155a
cn.fox-tech	fox-edge-server-protocol-zktl-electric	1.0.2		eeab85506fd4ab4629ab885689528dfbf216e042
cn.fox-tech	fox-edge-server-protocol-zktl-electric	1.0.3		fabd2d2234787f13009ed25078ab47df9ee197a8
cn.fox-tech	fox-edge-server-protocol-zktl-electric	1.0.4		de182e2a514ca8d7ec379dfaed3c4e521ec9ab6f
cn.fox-tech	fox-edge-server-protocol-zktl-electric	1.0.6		5c71172a72d27a6477ada1fca4189173af347372
cn.fox-tech	fox-edge-server-protocol-zktl-electric	1.0.7		78552a77e189a593920eeadf9a3863d142425fa9
cn.fox-tech	fox-edge-server-protocol-zktl-electric	1.0.8		ea58764bd592f27cf16a2ced81b30f535a59d4aa
cn.fox-tech	fox-edge-server-protocol-zktl-electric	1.0.9		a4f47d84c7d43de3635ee2161ccfdbaa536aeb1d
cn.fox-tech	fox-edge-server-protocol-zktl-electric	1.1.0		725ed9bc8c3bcef546f106ec885c1182597aa3e8
cn.fox-tech	fox-edge-server-protocol-zktl-electric	1.1.1		e955acbb721c10d71b14806a671ef37b300cfd9a
cn.fox-tech	fox-edge-server-protocol-zktl-electric	1.1.2		5846dac8e17fc76110bd22b3ba5d5d455ae67e2c
cn.fox-tech	fox-edge-server-protocol-zktl-electric	1.1.3		55fc583d15f1649a7cbae64766913afcd8040950
cn.fox-tech	fox-edge-server-protocol-zktl-electric	1.1.4		baccfd7104c5e02387fb17c53d4a0786d26b258b
cn.fox-tech	fox-edge-server-protocol-zktl-electric	1.1.5		af781615b14f731746ea05c84b6c8237a4dc064d
cn.fox-tech	fox-edge-server-protocol-zktl-electric	1.1.6		9322e0110222635d5324e0225226dd0bf1835447
cn.fox-tech	fox-edge-server-protocol-zktl-electric	1.1.7		c933e648232bb61b4acad78054da95c826f05242
cn.fox-tech	fox-edge-server-protocol-zktl-electric	1.1.8		396d9fe6632278d84633c13cad6ebcc0300a3455
cn.fox-tech	fox-edge-server-protocol-zktl-electric	1.1.9		bca0d703db37c78237af6bfbce9ab19a03b9880a
cn.fox-tech	fox-edge-server-protocol-zktl-electric	1.2.0		8713726f18fa56131271a9d36a6b19f1a532837a
cn.fox-tech	fox-edge-server-protocol-zktl-electric	1.2.1		5c08c156ed74a6b3a5e69f7204b46cfaf2807c77
cn.fox-tech	fox-edge-server-protocol-zktl-electric	1.2.3		79f5acb50a92b67f024839d8eb58f72fbf3db395
cn.jmicro	jmicro.main.rcptool	0.0.3-RELEASE		f1fa8c623328009cf51ef9e6594816a6c03e014d
cn.jmicro	jmicro.main.rcptool	0.0.3-RELEASE	without-core	435b4a1defa953f2fa09cd4d08db0b60b4bb467d
co.touchlab.kxcbridge	kmmbridge	1.0.0-alpha1		c65cf6058c25fd2dd93190db2248b7165d4271e6
com.alexecollins.docker	docker-java-orchestration-model	2.10.0		64e3c09f6e401f4b6abf2475efbe51647de91a17
com.alexecollins.docker	docker-java-orchestration-model	2.10.1		4dd0c8ab4c448e4d5a30118ce1e84a215777a47a
com.alexecollins.docker	docker-java-orchestration-model	2.10.2		4e5b91e4829d87639ce75ea0860fe1d3ef6f9327
com.alexecollins.docker	docker-java-orchestration-model	2.10.3		aa1b5fd5afe402d8fb7771fa70c0efa7e4b79794
com.alexecollins.docker	docker-java-orchestration-model	2.10.4		cb190a81a63f6af3d5f68ea8c757fe53932d1d96
com.alexecollins.docker	docker-java-orchestration-model	2.10.6		615614c9641ead57137e98d6661c8caba786d45e
com.alexecollins.docker	docker-java-orchestration-model	2.10.7		a338d829eb3dffc8e2bab079422b51b2f87fa0b2
com.alexecollins.docker	docker-java-orchestration-model	2.10.8		eeaec9867f4380c1984313c7909cabb810b998f0
com.alexecollins.docker	docker-java-orchestration-model	2.11.0		8d207f1e4464e1fc36b5bbc54ccd57c710d78014
com.alexecollins.docker	docker-java-orchestration-model	2.11.1		b711ac339da8f4f36cc7a670a2d72057f3704fa0
com.alexecollins.docker	docker-java-orchestration-model	2.11.10		7e3b90b67d41fcc8692c652ab4cf27a35a5cac9c
com.alexecollins.docker	docker-java-orchestration-model	2.11.13		5f5bd9ba4c526146153ce0f6c90d4064b6d01de6
com.alexecollins.docker	docker-java-orchestration-model	2.11.14		045888cc61a956a267b6c43a59e49fb8ae0a3c3b
com.alexecollins.docker	docker-java-orchestration-model	2.11.15		53e0ca610a832503d9a4352608d83bc5ed8951c8
com.alexecollins.docker	docker-java-orchestration-model	2.11.16		df702989073be6a87d5f3bf41799e702e69d2d06
com.alexecollins.docker	docker-java-orchestration-model	2.11.17		5e13fa223e5de51c776aef7a7010c4116e9f566e
com.alexecollins.docker	docker-java-orchestration-model	2.11.18		bc03cbc5acd333a79bc735fb1218d3f731dfef14
com.alexecollins.docker	docker-java-orchestration-model	2.11.19		dd9d309545600ee243ff33b05b879b26db2dff1c
com.alexecollins.docker	docker-java-orchestration-model	2.11.2		b4bebe1fd214cedf65399487ad4866a4898f4a2d
com.alexecollins.docker	docker-java-orchestration-model	2.11.24		5a46ccc61ae8314b5c8f79d4fe9123a83e5181b8
com.alexecollins.docker	docker-java-orchestration-model	2.11.25		b85c1ecde90cd6bd4b9fb46a5c3932885df2357b
com.alexecollins.docker	docker-java-orchestration-model	2.11.26		2733cc8ab1c510718d096ff3e23d8efee5478ef9
com.alexecollins.docker	docker-java-orchestration-model	2.11.27		3a39c736c85ce0141d97fc094e53cc7406f25d70
com.alexecollins.docker	docker-java-orchestration-model	2.11.28		77560b8d95ec8dac8bc29c41b6b22311e6df1d19
com.alexecollins.docker	docker-java-orchestration-model	2.11.29		7ea8d9a7ad2d06dc2090cb678d1cb3c3ad58d2d7
com.alexecollins.docker	docker-java-orchestration-model	2.11.3		9432a3bb9b16205afa5b1f7ae2bb7d7f66e49c4d
com.alexecollins.docker	docker-java-orchestration-model	2.11.4		6973d58161c896b74cd16ae28e5b2422aa6fc869
com.alexecollins.docker	docker-java-orchestration-model	2.11.5		93fbfbb86e5449eecffbb78444f4109373135c1b
com.alexecollins.docker	docker-java-orchestration-model	2.11.7		4fb2af982747c7849fadcfaac516f6713539d0b7
com.alexecollins.docker	docker-java-orchestration-model	2.11.8		0f4b762ad89ca07c1444f77d7b15615a51f9cb26
