activesoap	jaxb-xercesImpl	1.5		73a51faadb407dccdbd77234e0d5a0a648665692
br.com.objectos.rio	dhcp	0.7.0		N/A
cc.kebei	onion-easy-orm-core	3.0.0		1e9e03d28fd446108a89150ab9ac7f72d054e025
cn.com.antcloud.api	antcloud-api-ak_1c815cb61ea641fc864ccbdfba2970f7	1.0.0		aead60af63b70c02ca52d8fab4efa774c64478a9
cn.com.antcloud.api	antcloud-api-ak_1c815cb61ea641fc864ccbdfba2970f7	1.0.1		ef6fce4d81d1c1547dce9c913241707150bca93a
cn.jbone	jbone-system-core	1.0.0		d878f1b7f9584a92d6db8c811df3415bd2dd40e3
com.aliyun	aliyun-java-sdk-dbfs	1.0.0		6fa02d977fa2297b93644411efad307a50ca676d
com.aliyun	aliyun-java-sdk-dbfs	1.0.1		7a78dfb3d028b8b4cecc3b3e611c13bf7c85f8b1
com.aliyun	aliyun-java-sdk-dbfs	1.0.2		18aaab612d1cfd40d7e2207bd66f779e18a64dbe
com.aliyun	aliyun-java-sdk-dbfs	1.8.0		c28961a66d0f8b89b0207d64df6f7d1898164e5a
com.aliyun	aliyun-java-sdk-dbfs	1.8.1		5bf6908275637b5f58a77e22db0c64d149445edc
com.aliyun	aliyun-java-sdk-dbfs	1.8.3		44ba6aa5924d7480820e89132670cc43609cda05
com.aliyun	aliyun-java-sdk-dbfs	1.8.4-beta		9746f25955166bc5e88faeaff85cd1c44f03d3cc
com.aliyun	aliyun-java-sdk-dbfs	1.8.5-beta		8d1f04568fa2b8c5cf03c055a0f2e7cee02e1658
com.aliyun	aliyun-java-sdk-dbfs	1.8.8-beta		1bb6aebbc7de36f6c84c4580a33d03b43a83d0e8
com.aliyun	aliyun-java-sdk-dbfs	1.8.9-beta		d3138b09989d4d1e39e0146922d5e170f1ff6965
com.aliyun	aliyun-java-sdk-dbfs	1.9.0-beta		ec3808ae6d725f481e743f78bfd07b2bd00d1113
com.aliyun	aliyun-java-sdk-dbfs	2.0.0		0562e7b1dc40c4c7e61bb728e4d605303dfdf6e7
com.aliyun	aliyun-java-sdk-dbfs	2.0.1		ef7ff933670d821659f995408228e0b40d6795bc
com.aliyun	aliyun-java-sdk-dbfs	2.0.2		77cc918404f334dce5c1b22b105304034f5f8008
com.aliyun	aliyun-java-sdk-dbfs	2.0.3		8f665789723ea59ba57cf7c635820308c9c37852
com.aliyun	aliyun-java-sdk-dbfs	2.0.4		56ab281f75d5d53eb576783b5168651231097b4c
com.aliyun	aliyun-java-sdk-dbfs	2.0.5		4920a399c146135bb006e81cb15ca43abdd80b0e
com.aliyun	aliyun-java-sdk-dbfs	2.0.6		371de44ac7e3ed1b43eead85ca4f69631e591517
com.aliyun	aliyun-java-sdk-dbfs	2.0.7		6ff0410bf67c0803ec2064722d212897d383de40
com.aliyun	aliyun-java-sdk-dbfs	2.0.8		7602f45ffe63a1214e9f60f20279f655079d0af4
