br.com.objectos.rio	tftp-core	0.7.0		a7544a00d8e04f97e369ce9abfbe151cacf6a683
cn.imaq	tompuss	0.1		e0c704a633fca635493c7e792c06f5be4907be55
cn.imaq	tompuss	0.2		22f1b7c025113bdfe7e5009a0dc8593a1218dd83
cn.imaq	tompuss	0.3		e9affb661796bf8ee01cb4fc6de144172e0f242c
cn.imaq	tompuss	0.3.1		77752e3febf4a13e67dd4fc18e4bd2565a423d72
cn.imaq	tompuss	0.3.2		866b8bcce3f88968c1e8324a76ad1eff9f2603fb
cn.imaq	tompuss	0.3.3		90b2dedc69103dabf3a292995f953a8e56ec1aa4
cn.imaq	tompuss	0.4		e77ac34936ada3530ef5470d85a9f8d846deb348
cn.imaq	tompuss	2019.06		64283df6fdb4e90dcaa2f6518bb0d99baa7f6691
cn.imaq	tompuss	2020.10		6e15f36e8a40b9713792403ec4faeece7b84d234
com.appstractive	jwt-ecdsa-kt-mingwx64	1.0.0		N/A
com.appstractive	jwt-ecdsa-kt-mingwx64	1.0.1		N/A
com.appstractive	jwt-ecdsa-kt-mingwx64	1.0.2		N/A
com.appstractive	jwt-ecdsa-kt-mingwx64	1.0.3		N/A
com.appstractive	jwt-ecdsa-kt-mingwx64	1.1.0		N/A
com.appstractive	jwt-ecdsa-kt-mingwx64	1.1.0-2.0.21		N/A
com.codiform	moo-mvel	2.0		01d8f7f5298e4ef64bf40a27a43833c770aebc5e
com.codiform	moo-mvel	2.1.0		eb0121b567fc82d3455fe36c4bb0fc3360ebf783
com.digy4	digy-runner-core	0.0.101		f57ca1e22092d35c2ec96a37fa851a19ae40d582
com.digy4	digy-runner-core	0.0.102		86497af87409a3084d623f8dec4d12d9cfbdc90e
com.digy4	digy-runner-core	0.0.45		fed2e2c1e21173c5b8cbb634d7128eb84ac813d8
com.digy4	digy-runner-core	0.0.53		fea8390f8bff752b301f4fa4ba8421ae189ada75
com.digy4	digy-runner-core	0.0.54		57777c4b161560e4a60f8ff665198b2899eeb0da
com.digy4	digy-runner-core	0.0.55		774e084269645e47c150191e38e5b2704cfae0f9
com.digy4	digy-runner-core	0.0.56		510ede1bf6795c12477f04bcd29975abbd5ce832
com.digy4	digy-runner-core	0.0.57		e11a1a9c411f4054ef83d97085bc9d8217b9d63e
com.digy4	digy-runner-core	0.0.59		f5c6d6776fb2245533f2169f4c69aa46b7e629a0
com.digy4	digy-runner-core	0.0.60		7688042a22e9d07323ee19526f1f5b6df15f3e88
com.digy4	digy-runner-core	0.0.61		c20f0b47c10790280820ec134675cd421aa1dab7
com.digy4	digy-runner-core	0.0.62		feb308b462dcdc7d22cafb8f8895ae4bff191893
com.digy4	digy-runner-core	0.0.63		412d0510d1fe81a03d3ae613ccfbd2852b4616d6
com.digy4	digy-runner-core	0.0.64		c7eaf7c9a3655c3f7a5cc36070cc07aeb2681041
com.digy4	digy-runner-core	0.0.64-1		b6de7836c7a6eaf782e7efe6b9da3e2b646a78c6
com.digy4	digy-runner-core	0.0.65		bf1ef4a93512f56b2ff4ad0bf56466aed72ae057
com.digy4	digy-runner-core	0.0.66		a9bcf3581bddf5ec84163d164f10e0e3150d3997
com.digy4	digy-runner-core	0.0.68		69f4c9882807c4a90720af8e0fecd82c45c30e64
com.digy4	digy-runner-core	0.0.69		57ac428a8b63ba848ebe5249777ee8a61a58009b
com.digy4	digy-runner-core	0.0.70		7784fdfd209fac0b241f95c8bdf3a5a68fdb3b18
com.digy4	digy-runner-core	0.0.71		1b11cc52dda64d0e0d4e3b7577ecdb5817ba0607
com.digy4	digy-runner-core	0.0.72		e06ee7bfa4fe5a4663d62a67097f9da0f3e3f9f8
com.digy4	digy-runner-core	0.0.73		1a6f53da335a7a5a806794cb7a6e44bfe1a92c03
com.digy4	digy-runner-core	0.0.74		24811d60dac6f4ed60557e6b2d652350f86da80d
