br.com.objectos.finos	cvm	0.1.0		N/A
ch.epfl.lamp	dotty-compiler_0.22	0.22.0		23bd51d19de2793c8cef7e069b9db0329a8c43b2
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-RC1		7ad7961940351dad2939ed108ec63227f80cb275
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-bin-20191218-35fbb34-NIGHTLY		2af9a200eefd76c69c526e50a816273b793a21d5
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-bin-20191219-394217e-NIGHTLY		2ff0ea761c9507c86b8a8419b89b5ede8a481917
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-bin-20191220-d45fea0-NIGHTLY		47b4f803bda695a037c3bac3d62b2761cfd472d6
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-bin-20191222-77ec689-NIGHTLY		d0e95b7e7047ff3358306e51c7e51b613f449ced
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-bin-20191225-2e3fbfd-NIGHTLY		28171f123f57983d8392a72eaca1554f8b73ea7c
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-bin-20191229-59152e9-NIGHTLY		8e3946346eeb645a8b2369838e7a88dbefbebfc9
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-bin-20191231-54a54d2-NIGHTLY		e573ba03a0e582ef6bba953001b4f5cfff3cc448
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-bin-20200101-283b095-NIGHTLY		1df85df750653915f77a403805bbe1409d08c28d
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-bin-20200104-4b6d693-NIGHTLY		f96ae645e0f6bec50ca76f80ac499979a26b672e
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-bin-20200105-255a538-NIGHTLY		8d988106675cc1621d6c8964c285cc717118e092
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-bin-20200106-47b62c1-NIGHTLY		6fc647f2cb15ba2a634a956381fdd708b5ed76f7
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-bin-20200107-21a5608-NIGHTLY		f76c5fa4351f509188b3f9f2cb2e9c90833c4acb
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-bin-20200110-842e4c4-NIGHTLY		d1c3d182e6def840d1dda4ee2e501e0dcf1c89c2
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-bin-20200113-0f0d25c-NIGHTLY		c80917bbfe46fdbc467e39b50bb4158f5f4e426c
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-bin-20200114-193f7de-NIGHTLY		e54a895a1aab2df4244dde499e324c1ac77290ab
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-bin-20200115-83ab6c7-NIGHTLY		42549144f93a065d493c68afa4245939c48c232f
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-bin-20200116-9ab1842-NIGHTLY		bf03eb5f60d5fdc65bdb7ac2bdeb08438c560daf
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-bin-20200118-754a552-NIGHTLY		8b18d9253e50589044bad7004b8ecc26cd7a750e
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-bin-20200120-90a6448-NIGHTLY		05b87bd458fbc993a024f760c16eec5fae142b47
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-bin-20200121-54ab00e-NIGHTLY		25adeaa69dabd1638e5b470ae49e2d70953d1751
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-bin-20200122-5a86c1f-NIGHTLY		795569b4a7d76b60cc0541ba508a74299bb2bd43
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-bin-20200123-9982f0d-NIGHTLY		9e1604318de981faf7ef1686fad2aa0d050f11d1
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-bin-20200124-c4f6fee-NIGHTLY		42e684f2e6797df5cb4e08623da4369d2d05ec01
ch.epfl.lamp	dotty-compiler_0.22	0.22.0-bin-20200125-c8371e4-NIGHTLY		bcb5112163d6070f513fbee5c69951de6a299210
