ai.dragonfly	democrossy-docs_3	0.1	-	e51011baa32489279c6447f687504f0c0f097ed9
ai.tripl	arc_2.11	1.13.3	-	3fb204487b17b329bf403daf14a26c7e73b62bd6
ai.tripl	arc_2.11	1.14.0	-	375ad0e18eb963bd658658c51798a5925273a675
ai.tripl	arc_2.11	1.15.0	-	d1bf29f1990ee98f19ba7bf5340ac4efeb4eff4b
ai.tripl	arc_2.11	2.0.0	-	f616633e637464fd39a04e68f327f9ee789d94ef
ai.tripl	arc_2.11	2.0.1	-	5122309aded9a68208be764678e6ae777a8f195b
ai.tripl	arc_2.11	2.1.0	-	51a17a7fb92d6a21742af6573a13931e2ca48953
ai.tripl	arc_2.11	2.10.0	-	ab40354ef23cfea5d3b634a700a2aa38c6e1daa7
ai.tripl	arc_2.11	2.10.1	-	de9f392649ec4ef7a4232c63d643e98661bc367e
ai.tripl	arc_2.11	2.10.2	-	1342c77c439b6aa2ac0768d18a1592da4784ab45
ai.tripl	arc_2.11	2.11.0	-	438e3c19b2a5a413ec89b44749223648c27abbc1
ai.tripl	arc_2.11	2.12.0	-	09b97ce276fa4ece7053d6f8ce86046f92f4cda4
ai.tripl	arc_2.11	2.12.1	-	d9d961aec1a4a9741fae24cd897536b35665d42d
ai.tripl	arc_2.11	2.12.2	-	2d30b28e7d0fdabcc12d94813eeacc4f6aa3c8bf
ai.tripl	arc_2.11	2.12.3	-	beaa70736ce1a84ff38aaf9a4dafb0856ed515ce
ai.tripl	arc_2.11	2.12.4	-	92447bb50a93e2bea83c788a81b10d5620abe3b6
ai.tripl	arc_2.11	2.12.5	-	904ee45df8b40b12f250b675be3e31252bc46b73
ai.tripl	arc_2.11	2.13.0	-	50eb153f929f7e1d5363aba70b06727a0cc33984
ai.tripl	arc_2.11	2.14.0	-	71067eb117c94b0465efef42d07546fe5ca8ed3d
ai.tripl	arc_2.11	2.2.0	-	be401de966e4678868cae9cd148227b043e5fba2
ai.tripl	arc_2.11	2.3.0	-	e1dfd49da80348035c191a9765a0a4f50f313478
ai.tripl	arc_2.11	2.3.1	-	40ca856bb672537130c725a711e080ae14ad288a
ai.tripl	arc_2.11	2.4.0	-	947518332f4c97df1e4ba41c9f7a9657a4e0925f
ai.tripl	arc_2.11	2.5.0	-	6e5e0a18f86644655651b6cfc7145b128dad0de2
ai.tripl	arc_2.11	2.6.0	-	9e7431187887e76763f4cfe73125505efe3bf2ed
ai.tripl	arc_2.11	2.7.0	-	100752dd1f3146f2b1f178f7a73b757cae7ebfd8
ai.tripl	arc_2.11	2.8.0	-	2f672de1e3c0340d364a616124055a75946c01e3
ai.tripl	arc_2.11	2.8.1	-	e1d6a3e51ea8fc7eec693d67363230e4542163f0
ai.tripl	arc_2.11	2.9.0	-	cd5e2db489830a90967f1d0ac8faf917eac44d1c
au.net.zeus.jgdms	jgdms-osgi-services	3.0.1-RC-07	-	35a6f5b5157e8a7147db43733541def8500f4a1f
au.net.zeus.jgdms	jgdms-osgi-services	3.0.1-RC-07	3.0.1-RC-07-jdk14	59ebf82dbea3775a075427b4b07a58c29798ba1b
au.net.zeus.jgdms	jgdms-osgi-services	3.1.0	-	8b50ce71ba9d4a07ae9cacee42fef350392fc86a
au.net.zeus.jgdms	jgdms-osgi-services	3.1.0	3.1.0-jdk14	49649d9f4939b8a35e28f11450bb86df52965912
aws.sdk.kotlin	freetier	1.0.1	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	freetier	1.0.10	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	freetier	1.0.11	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	freetier	1.0.12	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	freetier	1.0.13	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	freetier	1.0.14	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	freetier	1.0.15	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	freetier	1.0.16	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	freetier	1.0.17	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	freetier	1.0.18	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	freetier	1.0.19	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	freetier	1.0.2	-	f06f3d86f20f6f01ec12c694b9498b534a8da5ba
aws.sdk.kotlin	freetier	1.0.20	-	ec6e0db5f3e773e9c7d3fc756c62d80a4cd128e5
aws.sdk.kotlin	freetier	1.0.21	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	freetier	1.0.22	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	freetier	1.0.23	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	freetier	1.0.24	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	freetier	1.0.25	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	freetier	1.0.26	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
