app.controlresearch	commons-mingwx64	0.0.1		N/A
biz.aQute	biz.aQute.api.dtos	1.10.0		962D69AD6F5393D4473CE2173EAE2DE0BC941269
biz.aQute	biz.aQute.api.dtos	1.6.0		46D9B5B59125B0E22B01290525AF5396CD9062CD
biz.aQute	biz.aQute.api.dtos	1.7.0		012AFBBB8BC39C2A5287BAF0B4DDA736BBFB0E41
biz.aQute	biz.aQute.api.dtos	1.8.0		F8806F052C405FE4BAB9D9CBAA96A125F3C02D99
biz.aQute	biz.aQute.api.dtos	1.9.0		4A01BE4DB25142AD543DF36B81D1EF55E657BA2B
city.smartb.f2	f2-client-js	0.2.1		N/A
city.smartb.f2	f2-client-js	0.2.2		N/A
city.smartb.f2	f2-client-js	0.2.3		N/A
city.smartb.f2	f2-client-js	0.2.4		N/A
city.smartb.f2	f2-client-js	0.3.1		N/A
cn.lingyangwl.framework	data-mate-spring-boot-starter	1.1.0		bab45444404e4340fa40b147c808fe626c80cfcc
cn.lingyangwl.framework	data-mate-spring-boot-starter	1.2.0		b38328304b5679518e42ce8a041c40948dbd6df3
cn.lingyangwl.framework	data-mate-spring-boot-starter	1.3.0		d95d8a4ab2046e6e0dd27b159b5aa8c135874dbb
com.47deg.xef	xef-tokenizer-js	0.0.1-alpha.10		N/A
com.47deg.xef	xef-tokenizer-js	0.0.1-alpha.11		N/A
com.47deg.xef	xef-tokenizer-js	0.0.1-alpha.12		N/A
com.47deg.xef	xef-tokenizer-js	0.0.1-alpha.13		N/A
com.47deg.xef	xef-tokenizer-js	0.0.1-alpha.14		N/A
com.47deg.xef	xef-tokenizer-js	0.0.1-alpha.15		N/A
com.47deg.xef	xef-tokenizer-js	0.0.1-alpha.16		N/A
com.47deg.xef	xef-tokenizer-js	0.0.1-alpha.21		N/A
com.47deg.xef	xef-tokenizer-js	0.0.1-alpha.22		N/A
com.47deg.xef	xef-tokenizer-js	0.0.1-alpha.23		N/A
com.47deg.xef	xef-tokenizer-js	0.0.1-alpha.24		N/A
com.47deg.xef	xef-tokenizer-js	0.0.1-alpha.25		N/A
com.47deg.xef	xef-tokenizer-js	0.0.1-alpha.26		N/A
com.47deg.xef	xef-tokenizer-js	0.0.1-alpha.27		N/A
com.47deg.xef	xef-tokenizer-js	0.0.1-alpha.3		N/A
com.47deg.xef	xef-tokenizer-js	0.0.1-alpha.4		N/A
com.47deg.xef	xef-tokenizer-js	0.0.1-alpha.5		N/A
com.47deg.xef	xef-tokenizer-js	0.0.1-alpha.6		N/A
com.47deg.xef	xef-tokenizer-js	0.0.1-alpha.7		N/A
com.47deg.xef	xef-tokenizer-js	0.0.1-alpha.8		N/A
com.47deg.xef	xef-tokenizer-js	0.0.1-alpha.9		N/A
com.afrigis.services	geocode	2.0.2		1e27c74c67d9fbb98e1c2aa574d18e5a86ec0d29
com.afrigis.services	geocode	3.0.0		9740f7190df9633f4888c60a6a5d1ebce1bc66ec
com.afrigis.services	geocode	3.0.1		297c609e709fd9b616a32467100c58ff91246db2
com.afrigis.services	geocode	3.0.2		f08a513b6f88c15fb68bbb2ae0d5862d47d8eaf8
com.definesys.mpaas	ddmp-webservice-fmwclient	12.2.1.3		b02ec00f3cacad233da42cf19803e0ab5f69b169
com.dimajix.flowman	flowman-spark-testing	0.19.0		d046c187af8aea6e5357a6f997f408e11357cda3
com.dimajix.flowman	flowman-spark-testing	0.19.0-cdh6-spark2.4-hadoop3.0		0985f5a42f18f1863abf14ca59a63f441b6e71ee
com.dimajix.flowman	flowman-spark-testing	0.19.0-cdp7-spark2.4-hadoop3.1		2e8aa07f0e59c54458ac040ab8f43849120c11fe
com.dimajix.flowman	flowman-spark-testing	0.19.0-oss-spark2.4-hadoop2.6		3861c6e3c32cb545fa7b0d61c4658168aa0131f6
com.dimajix.flowman	flowman-spark-testing	0.19.0-oss-spark2.4-hadoop2.7		56204fd09ab4f631045f352e3bf1d06a36fe1114
com.dimajix.flowman	flowman-spark-testing	0.19.0-oss-spark3.0-hadoop2.7		6b26bea4623c2e1506d547d2bbf9a30427d92a77
com.dimajix.flowman	flowman-spark-testing	0.19.0-oss-spark3.0-hadoop3.2		0c8ecce73c6fcf03d5f2f23782660ec29ac60209
com.dimajix.flowman	flowman-spark-testing	0.19.0-oss-spark3.1-hadoop2.7		88bae5a941fe8e4ccbc042bd1c711b57b1287587
com.dimajix.flowman	flowman-spark-testing	0.19.0-oss-spark3.1-hadoop3.2		b99c0dbb83d59d346fc9ac674345fee9ad7253ce
com.dimajix.flowman	flowman-spark-testing	0.19.0-oss-spark3.2-hadoop2.7		836e7550f6e82bc1894f135b32140cc84a399f05
com.dimajix.flowman	flowman-spark-testing	0.19.0-oss-spark3.2-hadoop3.3		6920be152ca6bd92a1cb51975bc564947b109058
com.dimajix.flowman	flowman-spark-testing	0.20.0		f38fa6b28fc513d596a93adc6a9a8cf7e99d4ed1
com.dimajix.flowman	flowman-spark-testing	0.20.0-cdh6-spark2.4-hadoop3.0		dc7ef2bf67204832c57907e4b430466eed0a1678
com.dimajix.flowman	flowman-spark-testing	0.20.0-cdp7-spark2.4-hadoop3.1		c4368208f13a78ba011e3ae73f1df6a952d79f7d
com.dimajix.flowman	flowman-spark-testing	0.20.0-oss-spark2.4-hadoop2.6		de66f8c5b7db0ac6c3a432d36dae5612fdb43d51
com.dimajix.flowman	flowman-spark-testing	0.20.0-oss-spark2.4-hadoop2.7		7b5afe1e7613dbfdea4a7290b5b19a129dd56a9f
com.dimajix.flowman	flowman-spark-testing	0.20.0-oss-spark3.0-hadoop2.7		f328b5d5bb992e4f087f7c9c52f9caf23c3ffa07
com.dimajix.flowman	flowman-spark-testing	0.20.0-oss-spark3.0-hadoop3.2		bb56588639e7ed7c36eec85b91bd4cff42aee08e
com.dimajix.flowman	flowman-spark-testing	0.20.0-oss-spark3.1-hadoop2.7		941cb203d37e5b800745ae2c6f0eac1b448e316a
com.dimajix.flowman	flowman-spark-testing	0.20.0-oss-spark3.1-hadoop3.2		59e1cb20b707661796aef9c011216254778ade68
com.dimajix.flowman	flowman-spark-testing	0.20.0-oss-spark3.2-hadoop2.7		552b7664cca1532b88685ed11353b824c0068f7a
com.dimajix.flowman	flowman-spark-testing	0.20.0-oss-spark3.2-hadoop3.3		af90efa710c085b1e62caf700ed28d6e54115b80
com.dimajix.flowman	flowman-spark-testing	0.20.1		1d3a1491d815a2af28c3d6691369585dc464bd15
