ai.swim	swim-js	3.10.0		716721be9201abafcb0a77c3b0edf7e5f0f7edfb
be.nicholasmeyers	skoda-api-client	1.0.1		1318d47a7de86f8b6c56e4d6c5f18f9c631d8c38
be.nicholasmeyers	skoda-api-client	1.1.0		b4fb81d42f9cdd0f55ad5d93819fe5b314412498
be.nicholasmeyers	skoda-api-client	1.2.0		5305ce5b27d91833299127aeb997a0128ac22555
ch.ubique.kmp	network	1.0.0		d9cd6cfaee6af6136f254f48517e8fb63cb8780d
ch.ubique.kmp	network	1.0.0-mc03		d9cd6cfaee6af6136f254f48517e8fb63cb8780d
com.alipay.sofa	sofa-boot-starter	4.0.0		989c02d16efaec7ac4a032fcbbd29dbeefdb9449
com.alipay.sofa	sofa-boot-starter	4.0.0-M1		f43624513378fe552fb3c16244ad6dc781f4767c
com.alipay.sofa	sofa-boot-starter	4.0.0-M2		4d3dfd4da1394e06ec110a2be7af255e99ead783
com.alipay.sofa	sofa-boot-starter	4.0.1		4dc0a8fd3e7bd0b5eaee178614bafbd4a7bb5a54
com.alipay.sofa	sofa-boot-starter	4.0.2		e1d678788fc57286ea63cbcebfcdf5800a85ec4a
com.alipay.sofa	sofa-boot-starter	4.1.0		a72901a0911dc02b7af0c9a3af6d938157b7a9a6
com.alipay.sofa	sofa-boot-starter	4.2.0		6d5672b1e97c62e3f021a60e5e55f8c36660a214
com.alipay.sofa	sofa-boot-starter	4.3.0		31a253b4a9b960c56b5c2c4c2a86308ec0579d21
com.alipay.sofa	sofa-boot-starter	4.4.0		09209b5f9dde70323a9f3e229fc391576b420305
com.alipay.sofa	sofa-boot-starter	4.4.1		18b29b9371d44e7970759babf2a0c8561ddb1fb9
com.apollographql.cache	normalized-cache-tvossimulatorarm64	0.0.9		N/A
com.apollographql.cache	normalized-cache-tvossimulatorarm64	0.0.9	metadata	f55b873f5b15f28cec613b3f73f1feb9b58644c5
com.apollographql.cache	normalized-cache-tvossimulatorarm64	1.0.0-alpha.1		N/A
com.apollographql.cache	normalized-cache-tvossimulatorarm64	1.0.0-alpha.1	metadata	56b7c1aa5753cdc207249de8d7e597e4847eeaf3
com.bbrownsound	macros_2.13	1.0.2		29f0d9f9cd758a9478769fd6c12c20a3133c9a6b
com.datasqrl	acorn-spring	0.1.0		b51b80818cd948baf9fa54ad541e8a7218d823c0
com.episode6.hackit.android.inject	more-annotations	0.0.2		7911a05bfd153abf73d57c6270b0305d132d8a72
com.episode6.hackit.android.inject	more-annotations	0.0.3		f416f44a193b62db0b43a768c68337b35403dae3
com.github.alexarchambault.ammonium	shell-api_2.10.6	0.4.0		9d9a993e3818d4f4b9164d92f29376ea878dbe8f
com.github.alexarchambault.ammonium	shell-api_2.10.6	0.4.0-M1		0e0fdb65fde6d8b28f6e03aadf674fc69191d4ca
com.github.alexarchambault.ammonium	shell-api_2.10.6	0.4.0-M2		49caea2d6013173b967d898d7c3aef3b07a67929
com.github.alexarchambault.ammonium	shell-api_2.10.6	0.4.0-M3		d8008f4e1d79534f814d979cb8807a70b585658a
com.github.alexarchambault.ammonium	shell-api_2.10.6	0.4.0-M4		2111e386db9177293393391944e3eb75b7ca7e9e
com.github.alexarchambault.ammonium	shell-api_2.10.6	0.4.0-M5		41c8262bddd572b4feaa929298641bc6685e1b31
com.github.alexarchambault.ammonium	shell-api_2.10.6	0.4.0-M6		c41065ccdf3dfc0d26c7bb450d3df4c9fc222b8b
com.github.alexarchambault.ammonium	shell-api_2.10.6	0.4.0-M6-1		e1a36283fa1804e61cad2ff99a5dcee8a97f522d
com.github.cb372	cats-retry-catsEffect_2.12	0.2.1		191dbf44b17be2011d961660bca961e008fba340
com.github.hadoop002	spring-schedule-admin	1.0.0		4d8afdba3430143135deff695878320e1985e062
com.github.houbb	explain-api	0.1.0		bf1083b447d14955e2f7ce0051e4496768c97a79
com.github.ramasct1	mm-audit	1.0.0		a59f97f03f866a061df01184e2f92b0e1ddb82ce
com.github.ramasct1	mm-audit	1.0.1		d0225fc16af59d5e32b66ba71f88567aa08054c6
com.github.ramasct1	mm-audit	1.0.2		47ac872f63dd47a0f5be0ad76bd9083828b05686
com.github.ramasct1	mm-audit	1.0.3		f5a0a84eb87b68ca8308b08f28827122a2562d6a
com.github.ramasct1	mm-audit	1.0.4		fdff732c080c52995a5425b5adb91b66639b0fd6
com.github.ramasct1	mm-audit	1.0.5		d5ec52f963b5c29a4d94fd0b74265b2121bfa7a3
com.github.ramasct1	mm-audit	1.0.6		04f2c650c1290316804bffb65800852b021c9129
com.github.ramasct1	mm-audit	1.0.7		732038bd6b46149d398cd780c973be21830abe93
com.github.sxlatgithub.javaglue	javaglue-ext-list	0.0.1		af71b769183f94c2899265142f4179794bcee791
com.ivianuu.essentials	essentials-time-metadata	0.0.1-dev858		ac98bbefca8eb671e8d010519b9421efaf1fcdbd
com.ivianuu.essentials	essentials-time-metadata	0.0.1-dev860		17b5da82877c6f100efecfd90241eb8924185551
com.ivianuu.essentials	essentials-time-metadata	0.0.1-dev861		caafb73817cc9404b503db055ee133504fcc6d60
com.ivianuu.essentials	essentials-time-metadata	0.0.1-dev862		a962bc93dcd04bb907cb582b1d4777f3145c0e99
com.liferay	com.liferay.portal.security.auth.verifier	1.0.0		74775739bdd8f12870ed8adcb89e982366d63b30
com.liferay	com.liferay.portal.security.auth.verifier	2.0.0		b148d88bd2d543a777e625cfd6c41b11cf17fe58
com.liferay	com.liferay.portal.security.auth.verifier	2.0.1		54aa6785d4dee3bfbee6d54d5f99eefd71d7446d
com.liferay	com.liferay.portal.security.auth.verifier	2.0.2		a0a379d14b2eedf56670f2d566bc34d3d85b27bf
com.liferay	com.liferay.portal.security.auth.verifier	2.0.3		e89de6185106e752cb2fa05ad6dfa33e979b5768
com.liferay	com.liferay.portal.security.auth.verifier	2.1.0		8f8db7832eb5d36f69e4d15c57d521f7f5fdc28a
com.liferay	com.liferay.portal.security.auth.verifier	2.1.1		93ec15b674f79d6afa75536c2f13866ed790dcd3
com.liferay	com.liferay.portal.security.auth.verifier	2.1.10		ae8c4210841ab913c0306b66967e28dd4acacded
com.liferay	com.liferay.portal.security.auth.verifier	2.1.2		dfa2ae3028808326c3061c7d591ae374c3044d09
com.liferay	com.liferay.portal.security.auth.verifier	2.1.3		489f557d72c83a9c9076cfc6c4a23ea8357ee05d
com.liferay	com.liferay.portal.security.auth.verifier	2.1.4		8a423d7358b7bc0104cf73c6c9b1c12b17bbe56c
com.liferay	com.liferay.portal.security.auth.verifier	2.1.5		f45911d11d4d41b93e80d951cafabd76b67e83da
com.liferay	com.liferay.portal.security.auth.verifier	2.1.6		12906b39b93e33d12bc8276933eb5528d5e59162
com.liferay	com.liferay.portal.security.auth.verifier	2.1.7		7746e549d37728f670f272bccf422fd30aa3c50c
com.liferay	com.liferay.portal.security.auth.verifier	2.1.8		cbf5194a3bb6f90afe878628d7cf451f06a5283e
com.liferay	com.liferay.portal.security.auth.verifier	2.1.9		f9e7f8dc8e840f5437dceb0793b99c5357d7fee2
com.liferay	com.liferay.portal.security.auth.verifier	2.2.0		754c13b16fe69ff870f0ee0fb0588f676eba509e
com.liferay	com.liferay.portal.security.auth.verifier	2.2.1		9091d82cb4ad3b81456c6fbc3c2841ab7a861beb
com.liferay	com.liferay.portal.security.auth.verifier	2.2.10		87e66644a2c1a15a56248cdf15390c7bf3d3a3f9
com.liferay	com.liferay.portal.security.auth.verifier	2.2.11		da106e7737f5a6859ce99176f4e7762571e79b70
com.liferay	com.liferay.portal.security.auth.verifier	2.2.12		735ccf787a9d0b27bd8bc8a1c88a58acc01b8866
com.liferay	com.liferay.portal.security.auth.verifier	2.2.13		96c8f4b67d46ef146a0dd2f23912251920f4ca34
com.liferay	com.liferay.portal.security.auth.verifier	2.2.14		b0357203bcb0865e9b4804f4459bf31023291653
com.liferay	com.liferay.portal.security.auth.verifier	2.2.15		a5b1ff670d0a4991666e69296bd0f3657b4f04bb
com.liferay	com.liferay.portal.security.auth.verifier	2.2.16		f09cc06e805e5e4bd5f48d480382e86118b048b1
com.liferay	com.liferay.portal.security.auth.verifier	2.2.17		271850e97671f101b50f47fe1288a0db2796bded
com.liferay	com.liferay.portal.security.auth.verifier	2.2.18		3ea6739caa5d24c2f92c787147d0197c491de9b2
com.liferay	com.liferay.portal.security.auth.verifier	2.2.19		6c56ce0d963ae537bb98b052131b04a8b34c97c1
com.liferay	com.liferay.portal.security.auth.verifier	2.2.2		5f66dd4fc2a383ebac66476f40ac2bbe49f5326c
com.liferay	com.liferay.portal.security.auth.verifier	2.2.20		f6cee955714e4d22bc44f2206e1287348ca4e351
com.liferay	com.liferay.portal.security.auth.verifier	2.2.21		7a925dc222b03702fcd235825803b735bc58014f
com.liferay	com.liferay.portal.security.auth.verifier	2.2.22		eeb0f5d64976924882cc390eb158c423f955a252
com.liferay	com.liferay.portal.security.auth.verifier	2.2.23		4e276886b40bf9b0037e7442076305937d11e451
com.liferay	com.liferay.portal.security.auth.verifier	2.2.24		e30b16eb0172856a19eb1bf2023cb808ac96cad4
com.liferay	com.liferay.portal.security.auth.verifier	2.2.25		2be92c88a4a998031e56aaa6ca7614ffd2e91d12
com.liferay	com.liferay.portal.security.auth.verifier	2.2.26		d3e5efd53445452cd627eef150ee8d90bf71db58
com.liferay	com.liferay.portal.security.auth.verifier	2.2.27		24caf219fbaef31d0bee91e0bd6f8edec1c18833
com.liferay	com.liferay.portal.security.auth.verifier	2.2.28		b4ff5d3c900589f0597150ee220eeff43124981e
com.liferay	com.liferay.portal.security.auth.verifier	2.2.29		a5daeca80a20c52cb8db8c865ee10ca6fdcb413f
com.liferay	com.liferay.portal.security.auth.verifier	2.2.3		138b3df8384b6e728474988256d85f6abb3f9c03
